<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IQLT.US,D,20150123,000000,21.7468,21.7468,21.7468,21.7468,129.7110643391,0
IQLT.US,D,20150127,000000,22.0699,22.0699,21.97,22.0288,817.07757064,0
IQLT.US,D,20150202,000000,21.7076,21.738,21.7076,21.738,2661.6301863598,0
IQLT.US,D,20150205,000000,22.1188,22.1188,22.1188,22.1188,2417.5282621311,0
IQLT.US,D,20150206,000000,22.1188,22.1188,22.1188,22.1188,1649.4753457295,0
IQLT.US,D,20150209,000000,21.9534,21.9534,21.9534,21.9534,180.7784125041,0
IQLT.US,D,20150223,000000,22.6475,22.6475,22.6475,22.6475,193.0345760637,0
IQLT.US,D,20150226,000000,22.673,22.6985,22.673,22.6985,1172.5063138684,0
IQLT.US,D,20150302,000000,22.6319,22.6319,22.6319,22.6319,243.0805772654,0
IQLT.US,D,20150303,000000,22.7415,22.7415,22.7415,22.7415,121.5402886327,0
IQLT.US,D,20150306,000000,22.1619,22.1619,22.1619,22.1619,121.5402886327,0
IQLT.US,D,20150309,000000,22.1854,22.1854,22.1854,22.1854,243.0805772654,0
IQLT.US,D,20150310,000000,21.9211,21.9211,21.9211,21.9211,483.0971136409,0
IQLT.US,D,20150312,000000,21.8398,21.9769,21.8398,21.9024,1090.7985568044,0
IQLT.US,D,20150316,000000,22.0532,22.0532,22.0532,22.0532,363.5995189348,0
IQLT.US,D,20150318,000000,22.1433,22.1433,22.1433,22.1433,243.0805772654,0
IQLT.US,D,20150319,000000,22.2442,22.2442,22.2442,22.2442,846.6966325757,0
IQLT.US,D,20150326,000000,22.2442,22.2442,22.2442,22.2442,121.5402886327,0
IQLT.US,D,20150331,000000,22.343,22.343,22.2843,22.2843,1209.2748045472,0
IQLT.US,D,20150401,000000,22.4488,22.4488,22.4488,22.4488,1090.7985568044,0
IQLT.US,D,20150406,000000,22.4488,22.4488,22.4488,22.4488,121.5402886327,0
IQLT.US,D,20150413,000000,22.9129,23.0686,22.8992,23.0617,81146.016234185,0
IQLT.US,D,20150420,000000,23.1459,23.1459,23.1459,23.1459,968.2369212084,0
IQLT.US,D,20150424,000000,23.4837,23.4837,23.4661,23.4661,1449.2913409227,0
IQLT.US,D,20150429,000000,23.4171,23.4661,23.4171,23.4426,846.6966325757,0
IQLT.US,D,20150430,000000,23.3182,23.3182,23.3182,23.3182,727.1990378696,0
IQLT.US,D,20150501,000000,23.3603,23.376,23.3603,23.376,727.1990378696,0
IQLT.US,D,20150505,000000,23.3437,23.3437,23.2174,23.2174,2055.9714371229,0
