<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVRA.US,D,20201223,000000,10.9859,11.0248,10.9112,10.9112,7527.3186644868,0
IVRA.US,D,20201224,000000,11.0148,11.0148,10.9112,10.972,4028.5503116388,0
IVRA.US,D,20201228,000000,11.1453,11.1453,10.968,10.9919,5639.9704362943,0
IVRA.US,D,20201229,000000,10.978,10.978,10.939,10.939,617.07557700071,0
IVRA.US,D,20201230,000000,11.0298,11.0298,11.0058,11.0238,1409.7417653431,0
IVRA.US,D,20201231,000000,11.0995,11.0995,11.0058,11.0796,1422.7856393285,0
IVRA.US,D,20210104,000000,11.0338,11.0377,10.9112,10.9292,4236.2489204829,0
IVRA.US,D,20210105,000000,11.0716,11.0716,11.0268,11.0268,553.86295691771,0
IVRA.US,D,20210106,000000,11.248,11.258,11.2301,11.2301,854.87543350343,0
IVRA.US,D,20210107,000000,11.2291,11.259,11.2012,11.259,983.30742351333,0
IVRA.US,D,20210108,000000,11.1933,11.2022,11.1543,11.2022,852.86868365952,0
IVRA.US,D,20210111,000000,11.1185,11.1185,11.0995,11.0995,584.96757949824,0
IVRA.US,D,20210112,000000,11.0995,11.2281,11.0995,11.2281,302.01585150767,0
IVRA.US,D,20210113,000000,11.268,11.3148,11.268,11.3148,470.58283839567,0
IVRA.US,D,20210114,000000,11.4563,11.4563,11.4563,11.4563,198.66823454657,0
IVRA.US,D,20210115,000000,11.3996,11.4534,11.3996,11.4534,3045.2428881255,0
IVRA.US,D,20210119,000000,11.5959,11.5959,11.3666,11.4254,1795.0377353728,0
IVRA.US,D,20210120,000000,11.5949,11.5949,11.5949,11.5949,240.80998126857,0
IVRA.US,D,20210121,000000,11.4823,11.4942,11.4713,11.4942,2363.9513161198,0
IVRA.US,D,20210122,000000,11.3666,11.4703,11.3666,11.4703,3852.9597002971,0
IVRA.US,D,20210125,000000,11.5002,11.5002,11.4045,11.4703,1049.5301683622,0
IVRA.US,D,20210126,000000,11.4713,11.4713,11.4144,11.4563,446.50184026881,0
IVRA.US,D,20210127,000000,11.3098,11.3098,11.1205,11.1483,2906.777148896,0
IVRA.US,D,20210128,000000,11.2998,11.3018,11.2998,11.3018,553.86295691771,0
IVRA.US,D,20210129,000000,11.2809,11.3098,11.1713,11.1713,758.551440996,0
IVRA.US,D,20210201,000000,11.1962,11.3576,11.1763,11.2869,959.22642538647,0
IVRA.US,D,20210202,000000,11.4434,11.4434,11.3477,11.3516,1899.3887272559,0
IVRA.US,D,20210203,000000,11.4204,11.4204,11.4204,11.4204,706.37594505448,0
IVRA.US,D,20210204,000000,11.5002,11.5002,11.4902,11.4912,1940.5270990559,0
IVRA.US,D,20210205,000000,11.5959,11.6247,11.5959,11.6237,4747.9701306787,0
IVRA.US,D,20210208,000000,11.7862,11.7862,11.6816,11.7484,4786.0983777129,0
IVRA.US,D,20210209,000000,11.7862,11.7862,11.7653,11.7653,1938.520349212,0
IVRA.US,D,20210210,000000,11.843,11.863,11.7673,11.8012,4435.9205299515,0
IVRA.US,D,20210211,000000,11.8052,11.8899,11.8052,11.8899,6248.0156389975,0
IVRA.US,D,20210212,000000,11.9467,11.9467,11.872,11.9108,1567.2716280896,0
IVRA.US,D,20210216,000000,12.0803,12.0803,11.9008,11.9108,5114.2019771913,0
IVRA.US,D,20210217,000000,12.0235,12.0235,11.8152,11.8869,5912.8884150654,0
IVRA.US,D,20210218,000000,11.863,11.863,11.8241,11.8241,1439.8430130017,0
IVRA.US,D,20210219,000000,11.8909,11.9098,11.8859,11.8859,4323.5425386928,0
IVRA.US,D,20210222,000000,11.9367,12.0235,11.9277,11.9467,8205.6001117266,0
IVRA.US,D,20210223,000000,12.0045,12.0553,11.9367,12.0553,5449.3292011234,0
IVRA.US,D,20210224,000000,12.166,12.1988,12.166,12.1978,995.34792257676,0
IVRA.US,D,20210225,000000,12.1948,12.2038,11.9198,11.9198,1407.7350154992,0
IVRA.US,D,20210226,000000,11.9178,11.9178,11.7434,11.7434,2037.8544664853,0
IVRA.US,D,20210301,000000,11.8819,11.9756,11.854,11.859,2750.2506610715,0
IVRA.US,D,20210302,000000,11.853,11.872,11.8142,11.8142,5584.7848155869,0
IVRA.US,D,20210303,000000,11.843,11.9656,11.843,11.844,3538.903349726,0
IVRA.US,D,20210304,000000,11.9178,11.9845,11.7623,11.7623,1440.8463879236,0
IVRA.US,D,20210305,000000,12.9752,12.9752,11.9098,11.9815,2138.1919586805,0
IVRA.US,D,20210308,000000,12.0235,12.1849,11.9845,12.0962,1254.2186524405,0
IVRA.US,D,20210309,000000,12.137,12.156,12.0763,12.0763,1991.6992200755,0
IVRA.US,D,20210310,000000,12.142,12.2616,12.142,12.2466,1170.9385339184,0
IVRA.US,D,20210311,000000,12.2516,12.4141,12.2516,12.4051,2875.6725263155,0
IVRA.US,D,20210312,000000,12.5497,12.5497,12.5497,12.5497,517.74145972743,0
IVRA.US,D,20210315,000000,12.5287,12.6842,12.5287,12.6842,973.27367429381,0
IVRA.US,D,20210316,000000,12.6025,12.6025,12.5536,12.5536,930.12855264986,0
IVRA.US,D,20210317,000000,12.4051,12.6214,12.4051,12.6214,4838.2738736544,0
IVRA.US,D,20210318,000000,12.5845,12.6234,12.5088,12.5088,1472.9543854261,0
IVRA.US,D,20210319,000000,12.3932,12.3932,12.3932,12.3932,430.44784151757,0
IVRA.US,D,20210322,000000,12.3334,12.3334,12.2616,12.3314,4725.8958823957,0
IVRA.US,D,20210323,000000,12.3762,12.3762,12.16,12.16,829.79106045462,0
IVRA.US,D,20210324,000000,12.1948,12.1988,12.1948,12.1988,322.08334994671,0
IVRA.US,D,20210325,000000,12.0603,12.2925,12.0313,12.2925,3796.7707046678,0
IVRA.US,D,20210326,000000,12.4331,12.5297,12.3951,12.5297,3439.5692324528,0
IVRA.US,D,20210329,000000,12.5477,12.5477,12.4539,12.4539,992.3377978109,0
IVRA.US,D,20210330,000000,12.4331,12.442,12.4241,12.4291,4781.0815031031,0
IVRA.US,D,20210331,000000,12.3882,12.4051,12.3882,12.3882,324.09009979062,0
IVRA.US,D,20210401,000000,12.4609,12.5427,12.4609,12.5427,3460.6401058138,0
IVRA.US,D,20210405,000000,12.7081,12.7081,12.5477,12.5955,2027.8207172658,0
IVRA.US,D,20210406,000000,12.6454,12.6454,12.6454,12.6454,200.67498439048,0
IVRA.US,D,20210407,000000,12.6134,12.6682,12.5945,12.6682,2182.3404552464,0
IVRA.US,D,20210408,000000,12.6234,12.6234,12.6094,12.6094,1660.5854958312,0
IVRA.US,D,20210409,000000,12.6134,12.6424,12.6134,12.6344,6722.6119770809,0
IVRA.US,D,20210412,000000,12.5477,12.6005,12.5477,12.6005,394.32634432729,0
IVRA.US,D,20210413,000000,12.6034,12.6134,12.6034,12.6084,464.56258886395,0
IVRA.US,D,20210414,000000,12.6134,12.8137,12.6134,12.746,9365.5015215035,0
IVRA.US,D,20210415,000000,12.7938,12.8895,12.7938,12.8895,1127.7934122745,0
IVRA.US,D,20210416,000000,12.9812,12.9812,12.9812,12.9812,458.54233933224,0
IVRA.US,D,20210419,000000,13.0998,13.0998,12.9095,12.9174,4983.7632373375,0
IVRA.US,D,20210420,000000,12.9184,12.9184,12.8616,12.9025,1160.9047846989,0
IVRA.US,D,20210421,000000,12.9852,13.0051,12.9852,13.0051,857.88555826928,0
IVRA.US,D,20210422,000000,12.9852,12.9852,12.9135,12.9135,679.28482216176,0
IVRA.US,D,20210423,000000,12.9095,13.0091,12.9095,13.0091,1225.1207797039,0
IVRA.US,D,20210426,000000,13.0051,13.0908,13.0051,13.033,3399.4342355747,0
IVRA.US,D,20210427,000000,13.0958,13.0958,13.0719,13.0858,710.38944474228,0
IVRA.US,D,20210428,000000,13.1855,13.1855,13.1845,13.1845,605.03507793728,0
IVRA.US,D,20210429,000000,13.2991,13.2991,13.1476,13.2034,4694.7912598152,0
IVRA.US,D,20210430,000000,13.1716,13.1885,13.1716,13.1885,2676.000916847,0
IVRA.US,D,20210503,000000,13.3281,13.3659,13.2234,13.2762,4786.0983777129,0
IVRA.US,D,20210504,000000,13.3281,13.3281,13.2044,13.2284,8663.1390761368,0
IVRA.US,D,20210505,000000,13.2104,13.2104,13.1566,13.1696,896.01380530347,0
IVRA.US,D,20210506,000000,13.1855,13.2851,13.1855,13.2851,1226.1241546258,0
IVRA.US,D,20210507,000000,13.3859,13.4027,13.3459,13.4027,1571.2851277774,0
IVRA.US,D,20210510,000000,13.5662,13.5762,13.4456,13.4456,8685.2133244198,0
IVRA.US,D,20210511,000000,13.4805,13.4805,13.2613,13.3629,1856.2436056119,0
IVRA.US,D,20210512,000000,13.4805,13.4805,13.1048,13.1048,6153.6983963339,0
IVRA.US,D,20210513,000000,13.0998,13.2523,13.0998,13.2433,2412.1133123735,0
IVRA.US,D,20210514,000000,13.3181,13.3569,13.3181,13.3569,3539.906724648,0
IVRA.US,D,20210517,000000,13.4137,13.4426,13.3539,13.4237,4658.6697626249,0
IVRA.US,D,20210518,000000,13.4337,13.4895,13.4207,13.4506,2503.4204302712,0
IVRA.US,D,20210519,000000,13.2802,13.3281,13.2144,13.2941,1333.4852712747,0
IVRA.US,D,20210520,000000,13.3759,13.4147,13.3281,13.4147,5398.1570801038,0
IVRA.US,D,20210521,000000,13.5472,13.5472,13.4117,13.4117,1082.6415407866,0
IVRA.US,D,20210524,000000,13.4137,13.5124,13.4137,13.5124,600.01820332752,0
IVRA.US,D,20210525,000000,13.5762,13.5762,13.3739,13.3739,2917.8142730375,0
