<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JHMM.US,D,20150930,000000,22.8882,23.9506,22.8882,22.935,21710.157385339,0
JHMM.US,D,20151001,000000,22.9818,22.9818,22.9818,22.9818,21496.219678975,0
JHMM.US,D,20151002,000000,23.1202,23.1202,23.1202,23.1202,21496.219678975,0
JHMM.US,D,20151005,000000,23.7445,23.7445,23.7445,23.7445,21496.219678975,0
JHMM.US,D,20151006,000000,23.6678,23.6678,23.5961,23.5961,21603.690733346,0
JHMM.US,D,20151007,000000,23.8072,23.8072,23.8072,23.8072,21496.219678975,0
JHMM.US,D,20151008,000000,23.9028,24.1168,23.854,24.1168,22891.334581044,0
JHMM.US,D,20151009,000000,24.0969,24.0969,24.0969,24.0969,21496.219678975,0
JHMM.US,D,20151012,000000,24.1347,24.1347,24.1347,24.1347,21496.219678975,0
JHMM.US,D,20151013,000000,24.1437,24.1437,23.9595,23.9595,21819.637244465,0
JHMM.US,D,20151014,000000,23.8002,23.8002,23.8002,23.8002,21496.219678975,0
JHMM.US,D,20151015,000000,24.0043,24.0043,24.0043,24.0043,21496.219678975,0
JHMM.US,D,20151016,000000,24.0501,24.0591,24.0501,24.0591,22248.517059572,0
JHMM.US,D,20151019,000000,24.3199,24.3199,24.0402,24.0501,21926.103896459,0
JHMM.US,D,20151020,000000,23.9028,24.1626,23.9028,24.1626,21603.690733346,0
JHMM.US,D,20151021,000000,23.9028,24.0133,23.9028,24.0133,21710.157385339,0
JHMM.US,D,20151022,000000,24.1168,24.2283,24.088,24.2283,21819.637244465,0
JHMM.US,D,20151023,000000,24.2542,24.2542,24.2383,24.2542,21710.157385339,0
JHMM.US,D,20151026,000000,24.1626,24.2204,24.1626,24.2204,22143.054809956,0
JHMM.US,D,20151027,000000,24.4245,24.4245,23.9864,24.0501,22570.930222686,0
JHMM.US,D,20151028,000000,24.31,24.4145,24.31,24.4145,21926.103896459,0
JHMM.US,D,20151029,000000,24.4972,25.213,24.2831,24.31,25796.066256196,0
JHMM.US,D,20151030,000000,24.3866,24.3956,24.3866,24.3956,22248.517059572,0
JHMM.US,D,20151102,000000,25.6242,25.6242,24.4782,24.6953,30391.207132343,0
JHMM.US,D,20151103,000000,24.6853,24.6853,24.6475,24.6475,22570.930222686,0
JHMM.US,D,20151104,000000,24.6754,24.6754,24.5997,24.5997,31037.037860947,0
JHMM.US,D,20151105,000000,24.6475,24.6475,24.4603,24.5997,24396.933744617,0
JHMM.US,D,20151106,000000,24.5161,24.5609,24.4972,24.5609,27837.011886869,0
JHMM.US,D,20151109,000000,24.2463,24.5071,24.2463,24.3956,19278.499229896,0
JHMM.US,D,20151110,000000,24.2104,24.4145,24.2104,24.4145,968.2438917172,0
JHMM.US,D,20151111,000000,24.3767,24.3767,24.3199,24.3199,858.7640325915,0
JHMM.US,D,20151112,000000,24.2383,24.2383,24.0591,24.0591,2578.3009025291,0
JHMM.US,D,20151113,000000,23.7345,23.8072,23.7345,23.8072,3011.1983271454,0
JHMM.US,D,20151116,000000,23.6778,23.9227,23.6778,23.8928,15586.316090941,0
JHMM.US,D,20151117,000000,24.0969,24.0969,23.9028,23.9316,6018.3790447816,0
JHMM.US,D,20151118,000000,24.0133,24.069,24.0133,24.069,1505.5991635727,0
JHMM.US,D,20151119,000000,24.2741,24.2741,24.2542,24.2542,4512.7798812089,0
JHMM.US,D,20151120,000000,24.3956,24.3956,24.3478,24.3578,6770.6764253793,0
JHMM.US,D,20151123,000000,24.4414,24.4872,24.3956,24.4145,751.2929782204,0
JHMM.US,D,20151124,000000,24.3199,24.4046,24.3199,24.4046,537.3552718555,0
JHMM.US,D,20151125,000000,24.5071,24.5519,24.5071,24.533,1935.4833810571,0
JHMM.US,D,20151127,000000,24.5907,24.5907,24.5907,24.5907,751.2929782204,0
JHMM.US,D,20151130,000000,24.6186,24.6186,24.526,24.533,2794.2474136486,0
JHMM.US,D,20151201,000000,24.6565,24.7132,24.5808,24.7132,7924.734756897,0
JHMM.US,D,20151202,000000,24.533,24.533,24.526,24.526,1213.3180717784,0
JHMM.US,D,20151203,000000,24.4245,24.4245,24.0133,24.0133,8940.1855603473,0
JHMM.US,D,20151204,000000,24.2463,24.4414,24.2463,24.4414,1720.5412723149,0
JHMM.US,D,20151207,000000,24.2931,24.2931,24.1626,24.1626,2365.3675985415,0
JHMM.US,D,20151208,000000,24.2283,24.2283,24.0212,24.0501,1019.4684129595,0
JHMM.US,D,20151209,000000,24.1347,24.2383,23.8072,23.8361,3654.0158486174,0
JHMM.US,D,20151210,000000,23.9506,24.0402,23.8361,23.8361,1612.0658155665,0
JHMM.US,D,20151211,000000,23.6598,23.6598,23.5015,23.5115,858.7640325915,0
JHMM.US,D,20151214,000000,23.4089,23.4089,23.4089,23.4089,214.9421087422,0
JHMM.US,D,20151215,000000,23.7156,23.7156,23.6977,23.6977,858.7640325915,0
JHMM.US,D,20151216,000000,23.8928,23.9964,23.7345,23.9964,2256.8921417931,0
JHMM.US,D,20151217,000000,23.9028,23.9028,23.7246,23.7246,1182.1815980821,0
JHMM.US,D,20151218,000000,23.8261,23.8261,23.3622,23.3622,5373.552718555,0
JHMM.US,D,20151221,000000,23.5115,23.5115,23.3253,23.399,20100.100374528,0
JHMM.US,D,20151222,000000,23.6598,23.6598,23.6598,23.6598,2638.5650451671,0
JHMM.US,D,20151223,000000,23.9227,23.9774,23.8928,23.9774,2794.2474136486,0
JHMM.US,D,20151224,000000,24.0073,24.0073,24.0073,24.0073,801.5130970854,0
JHMM.US,D,20151229,000000,24.1397,24.1666,24.1397,24.1547,6748.5795730787,0
JHMM.US,D,20151230,000000,24.1567,24.1567,24.1517,24.1517,802.5174994627,0
JHMM.US,D,20151231,000000,23.8858,23.9446,23.8858,23.9058,1613.0702179438,0
JHMM.US,D,20160104,000000,23.5214,23.5214,23.3084,23.3084,3170.8983051361,0
JHMM.US,D,20160105,000000,23.5035,23.5035,23.4717,23.4717,836.6671802909,0
JHMM.US,D,20160106,000000,23.2138,23.2138,23.1212,23.1212,2138.3726612717,0
JHMM.US,D,20160107,000000,22.8215,22.8504,22.6523,22.6702,38178.33876355,0
JHMM.US,D,20160108,000000,22.5896,22.5985,22.3735,22.3735,4530.8591240003,0
JHMM.US,D,20160111,000000,22.4681,22.4681,22.0629,22.253,7036.8430553638,0
JHMM.US,D,20160112,000000,22.2192,22.2192,22.1037,22.1585,589.5841954751,0
JHMM.US,D,20160114,000000,21.9354,22.0201,21.5352,22.0201,2351.3059652593,0
JHMM.US,D,20160115,000000,21.5103,21.582,21.3291,21.574,6614.9940568978,0
JHMM.US,D,20160119,000000,21.9165,21.9165,21.2813,21.2813,1820.9815100449,0
JHMM.US,D,20160120,000000,21.133,21.4127,20.674,21.4127,7230.6927141827,0
JHMM.US,D,20160121,000000,21.2903,21.5442,21.2903,21.5442,1124.930662576,0
JHMM.US,D,20160125,000000,21.582,21.582,21.4774,21.4774,1654.2507154131,0
JHMM.US,D,20160126,000000,21.6089,21.7483,21.6089,21.7124,1982.6902927902,0
JHMM.US,D,20160127,000000,21.5352,21.5352,21.5352,21.5352,213.9377063649,0
JHMM.US,D,20160128,000000,21.5641,21.5641,21.5342,21.5342,1934.4789786798,0
JHMM.US,D,20160129,000000,21.9444,21.9444,21.9444,21.9444,535.3464671009,0
JHMM.US,D,20160201,000000,22.1694,22.1694,22.1505,22.1505,2002.7783403362,0
JHMM.US,D,20160202,000000,21.9066,21.9066,21.7771,21.7771,1517.6519921003,0
JHMM.US,D,20160203,000000,21.6746,21.6746,21.6746,21.6746,216.9509134968,0
JHMM.US,D,20160204,000000,22.0101,22.03,21.9454,22.03,3454.1397755347,0
JHMM.US,D,20160205,000000,22.1873,22.1873,21.573,21.573,1905.3513097381,0
JHMM.US,D,20160208,000000,21.133,21.133,20.8632,20.8632,2113.2626018392,0
JHMM.US,D,20160209,000000,21.0095,21.1708,21.0095,21.1608,753.301782975,0
JHMM.US,D,20160210,000000,21.1887,21.1887,21.1887,21.1887,1071.6973365791,0
JHMM.US,D,20160211,000000,20.9,20.9,20.7696,20.9,1111.8734316711,0
JHMM.US,D,20160212,000000,21.1977,21.2275,21.1977,21.2275,968.2438917172,0
JHMM.US,D,20160216,000000,21.5442,21.5442,21.5442,21.5442,1659.2727272996,0
JHMM.US,D,20160217,000000,22.0758,22.1356,22.0758,22.1206,3298.4574070532,0
JHMM.US,D,20160218,000000,22.0479,22.0758,21.9832,22.0669,1499.5727493089,0
JHMM.US,D,20160219,000000,22.0479,22.0479,22.0479,22.0479,982.3055249994,0
JHMM.US,D,20160222,000000,22.3138,22.3685,22.3138,22.3685,295.2942989262,0
JHMM.US,D,20160223,000000,22.5796,22.5796,22.1873,22.2252,2569.2612811334,0
JHMM.US,D,20160224,000000,21.8906,21.9265,21.8906,21.9265,1131.9614792171,0
JHMM.US,D,20160225,000000,22.493,22.495,22.493,22.495,213.9377063649,0
JHMM.US,D,20160226,000000,22.6075,22.7379,22.5985,22.6543,1542.7620515328,0
JHMM.US,D,20160229,000000,22.5766,22.7279,22.5388,22.5428,7774.074400302,0
JHMM.US,D,20160301,000000,22.7409,22.944,22.716,22.944,3475.232225458,0
JHMM.US,D,20160302,000000,22.8882,23.0266,22.8753,23.0266,2407.5524983881,0
JHMM.US,D,20160303,000000,23.1252,23.3253,23.1252,23.3253,3177.9291217772,0
JHMM.US,D,20160304,000000,23.4936,23.4936,23.3532,23.404,1736.6117103517,0
JHMM.US,D,20160307,000000,23.5135,23.5135,23.3821,23.3821,1780.8054149529,0
JHMM.US,D,20160308,000000,23.3343,23.3343,23.158,23.158,2113.2626018392,0
JHMM.US,D,20160310,000000,23.3631,23.3631,23.0754,23.0844,1426.251375766,0
JHMM.US,D,20160311,000000,23.6081,23.6907,23.6011,23.6907,2367.3764032961,0
JHMM.US,D,20160314,000000,23.5981,23.6519,23.5782,23.6429,4368.1459388777,0
JHMM.US,D,20160315,000000,23.4667,23.4667,23.4279,23.4667,2468.8210434034,0
JHMM.US,D,20160316,000000,23.5135,23.5135,23.5135,23.5135,109.4798591257,0
JHMM.US,D,20160317,000000,23.9157,23.9157,23.8659,23.8659,765.3546115026,0
JHMM.US,D,20160318,000000,24.0173,24.0173,23.9814,23.9814,2211.6940348146,0
JHMM.US,D,20160321,000000,23.9605,24.0292,23.9157,24.0242,5550.3275369598,0
JHMM.US,D,20160322,000000,24.0342,24.1855,23.8858,24.1855,5066.2055911012,0
JHMM.US,D,20160323,000000,23.8958,24.082,23.8958,24.0342,1375.0268545237,0
JHMM.US,D,20160324,000000,23.7574,23.7763,23.618,23.7763,325.4263702452,0
JHMM.US,D,20160328,000000,23.7923,23.847,23.7923,23.847,828.6319612725,0
JHMM.US,D,20160329,000000,23.9535,24.3717,23.9436,24.3339,14883.234426831,0
JHMM.US,D,20160330,000000,24.2881,24.5021,24.2144,24.315,6773.6896325112,0
JHMM.US,D,20160331,000000,24.2323,24.315,24.2323,24.2592,7137.2832930938,0
JHMM.US,D,20160401,000000,24.082,24.3528,24.082,24.3528,966.2350869626,0
JHMM.US,D,20160404,000000,22.8783,24.4464,22.8783,24.2323,2296.0638345078,0
JHMM.US,D,20160405,000000,24.2791,24.2791,23.9157,23.9247,31137.478098677,0
JHMM.US,D,20160406,000000,24.0242,24.0929,24.0242,24.0929,7354.2342065906,0
JHMM.US,D,20160407,000000,23.9247,23.9247,23.862,23.862,2473.8430552899,0
JHMM.US,D,20160408,000000,23.9904,23.9904,23.8759,23.9157,1764.7349769161,0
JHMM.US,D,20160411,000000,24.1288,24.1288,23.9456,23.9456,1928.452564416,0
JHMM.US,D,20160412,000000,23.7574,24.0342,23.7574,24.0342,10157.521241635,0
JHMM.US,D,20160413,000000,24.2413,24.4095,24.2413,24.4095,830.6407660271,0
JHMM.US,D,20160414,000000,24.5479,24.5479,24.3438,24.3627,3100.5901387251,0
JHMM.US,D,20160415,000000,24.3717,24.4006,24.3717,24.4006,1400.1369139562,0
JHMM.US,D,20160418,000000,24.4295,24.529,24.3528,24.4295,3702.2271627278,0
JHMM.US,D,20160419,000000,24.5967,24.6246,24.5121,24.6246,3388.8536210102,0
JHMM.US,D,20160420,000000,24.6933,24.6933,24.5569,24.5569,525.3024433279,0
JHMM.US,D,20160421,000000,24.6166,24.6704,24.4653,24.4782,3916.1648690927,0
JHMM.US,D,20160422,000000,24.5668,24.5668,24.5499,24.5499,937.1074180209,0
JHMM.US,D,20160425,000000,24.6057,24.6057,24.4762,24.4762,2726.9524543695,0
JHMM.US,D,20160426,000000,24.6525,24.7013,24.6336,24.7013,4290.8069558256,0
JHMM.US,D,20160427,000000,24.7909,24.8586,24.6813,24.8586,4188.357913341,0
JHMM.US,D,20160428,000000,24.7341,24.8008,24.7341,24.7341,5094.3288576656,0
JHMM.US,D,20160429,000000,24.2791,24.2791,24.2522,24.2632,707.0992736192,0
JHMM.US,D,20160502,000000,24.5121,24.5668,24.5121,24.5668,1950.5494167166,0
JHMM.US,D,20160503,000000,24.298,24.3438,24.1477,24.2592,24845.90160727,0
JHMM.US,D,20160504,000000,24.2234,24.2881,24.069,24.1786,37135.769095913,0
JHMM.US,D,20160505,000000,24.2453,24.2453,24.1228,24.1278,17793.992516247,0
JHMM.US,D,20160506,000000,24.0342,24.2373,24.0073,24.2234,5162.628219322,0
JHMM.US,D,20160509,000000,24.53,24.53,24.2901,24.2901,323.4175654906,0
JHMM.US,D,20160510,000000,24.4653,24.5569,24.4354,24.5569,8477.156064412,0
JHMM.US,D,20160511,000000,24.5569,24.5569,24.3528,24.3528,6878.1474797504,0
JHMM.US,D,20160512,000000,24.3817,24.3817,24.1855,24.315,7144.3141097349,0
