<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRBN.US,D,20200731,000000,14.4754,14.4754,14.3277,14.3277,14080.247140061,0
KRBN.US,D,20200803,000000,14.2436,14.3878,14.2436,14.3878,7208.452825573,0
KRBN.US,D,20200804,000000,14.3489,14.6445,14.2789,14.556,2322.6608201709,0
KRBN.US,D,20200805,000000,14.5604,14.701,14.5604,14.6515,15586.723250586,0
KRBN.US,D,20200806,000000,14.7781,14.7851,14.4196,14.4592,4160.1373155436,0
KRBN.US,D,20200807,000000,14.5108,14.5108,14.2083,14.3489,2052.4852923678,0
KRBN.US,D,20200810,000000,14.4196,14.5745,14.4161,14.4161,7117.9228057855,0
KRBN.US,D,20200811,000000,14.4896,14.5462,14.2789,14.2789,5916.9855120431,0
KRBN.US,D,20200812,000000,14.1736,14.2506,14.1383,14.1736,3209.5721077757,0
KRBN.US,D,20200813,000000,14.2083,14.3214,14.1559,14.1559,2998.8069054581,0
KRBN.US,D,20200814,000000,14.0675,14.1736,14.0675,14.1524,3232.2046127226,0
KRBN.US,D,20200817,000000,14.525,14.5604,14.356,14.356,4095.0688638214,0
KRBN.US,D,20200818,000000,14.486,14.486,14.486,14.486,155.59847150962,0
KRBN.US,D,20200819,000000,14.4754,14.4754,14.3843,14.3843,1208.0099515383,0
KRBN.US,D,20200820,000000,14.2789,14.286,14.1941,14.1941,41738.582716676,0
KRBN.US,D,20200821,000000,14.1241,14.1241,14.0125,14.117,5887.2803493004,0
KRBN.US,D,20200824,000000,14.7922,14.884,14.5441,14.7603,10572.208873299,0
KRBN.US,D,20200825,000000,15.3061,15.3061,14.94,15.2517,12921.745793094,0
KRBN.US,D,20200826,000000,15.4044,15.4256,15.123,15.1648,34726.749777829,0
KRBN.US,D,20200827,000000,15.4673,15.4673,14.9187,15.07,1612.5659774633,0
KRBN.US,D,20200828,000000,15.7345,16.199,15.4341,15.5005,3516.5254561174,0
KRBN.US,D,20200831,000000,15.4744,15.4744,15.2955,15.3804,3448.6279412769,0
KRBN.US,D,20200901,000000,15.3903,15.3903,14.947,14.947,6460.1656307676,0
KRBN.US,D,20200902,000000,14.947,15.1089,14.8897,15.1089,1942.1518307519,0
KRBN.US,D,20200903,000000,15.369,15.369,15.2567,15.2567,820.42830432345,0
KRBN.US,D,20200904,000000,15.3196,15.3196,14.7709,14.8494,8806.8734874445,0
KRBN.US,D,20200908,000000,14.7151,14.8558,14.2295,14.5425,16670.254424917,0
