<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LOPP.US,D,20210202,000000,25.025,25.025,24.983,24.983,21584,0
LOPP.US,D,20210203,000000,25.242,25.242,25.217,25.218,738,0
LOPP.US,D,20210204,000000,25.202,25.212,25.123,25.183,35230,0
LOPP.US,D,20210205,000000,25.252,25.321,25.202,25.262,68472,0
LOPP.US,D,20210208,000000,25.509,25.509,25.421,25.498,102743,0
LOPP.US,D,20210209,000000,25.528,25.528,25.42,25.439,4083,0
LOPP.US,D,20210210,000000,25.597,25.597,25.437,25.437,2002,0
LOPP.US,D,20210211,000000,25.41,25.41,25.341,25.4,832,0
LOPP.US,D,20210212,000000,25.405,25.518,25.405,25.518,854,0
LOPP.US,D,20210216,000000,25.775,25.775,25.455,25.455,8051,0
LOPP.US,D,20210217,000000,25.509,25.509,25.341,25.399,546,0
LOPP.US,D,20210218,000000,25.183,25.256,25.183,25.256,846,0
LOPP.US,D,20210219,000000,25.538,25.538,25.535,25.535,119,0
LOPP.US,D,20210222,000000,25.42,25.42,25.351,25.38,2865,0
LOPP.US,D,20210223,000000,25.193,25.42,25.193,25.405,646,0
LOPP.US,D,20210224,000000,25.667,25.667,25.617,25.63,558,0
LOPP.US,D,20210225,000000,25.607,25.607,25.148,25.19,2028,0
LOPP.US,D,20210226,000000,25.262,25.301,25.015,25.015,1987,0
LOPP.US,D,20210301,000000,25.507,25.507,25.507,25.507,28,0
LOPP.US,D,20210302,000000,25.42,25.479,25.416,25.416,576,0
LOPP.US,D,20210303,000000,25.159,25.159,25.159,25.159,529,0
LOPP.US,D,20210304,000000,25.183,25.183,24.883,24.883,886,0
LOPP.US,D,20210305,000000,25.143,25.333,25.143,25.333,357,0
LOPP.US,D,20210308,000000,25.529,25.529,25.529,25.529,5,0
LOPP.US,D,20210309,000000,25.815,25.815,25.694,25.694,107,0
LOPP.US,D,20210310,000000,25.933,25.933,25.918,25.918,216,0
LOPP.US,D,20210311,000000,26.16,26.17,26.104,26.104,1108,0
LOPP.US,D,20210312,000000,26.071,26.201,26.071,26.201,188,0
LOPP.US,D,20210315,000000,26.2,26.359,26.2,26.359,143,0
LOPP.US,D,20210316,000000,26.318,26.318,26.253,26.253,183,0
LOPP.US,D,20210317,000000,26.343,26.343,26.343,26.343,1,0
LOPP.US,D,20210318,000000,26.377,26.378,26.115,26.115,1097,0
LOPP.US,D,20210319,000000,26.151,26.151,26.151,26.151,3,0
LOPP.US,D,20210322,000000,26.104,26.104,26.104,26.104,23,0
