<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGV.US,D,20071221,000000,36.9044,37.514,36.9044,37.514,114116.27428227,0
MGV.US,D,20071224,000000,37.6077,37.6866,37.6077,37.6225,34394.455689312,0
MGV.US,D,20071226,000000,37.6146,37.7211,37.5949,37.7123,182100.22198061,0
MGV.US,D,20071227,000000,37.5071,37.5071,37.3345,37.3345,41273.144065542,0
MGV.US,D,20071228,000000,37.2674,37.2674,37.1697,37.1915,35476.188997703,0
MGV.US,D,20071231,000000,37.0356,37.1629,36.8955,37.1629,91449.55140596,0
MGV.US,D,20080102,000000,37.1441,37.155,36.4162,36.721,166990.42514061,0
MGV.US,D,20080103,000000,37.44,37.44,36.5257,36.5986,38980.923812239,0
MGV.US,D,20080104,000000,37.4834,37.4834,35.8816,35.8884,44915.75679005,0
MGV.US,D,20080107,000000,36.3273,36.3273,35.851,35.9644,62992.970118946,0
MGV.US,D,20080108,000000,37.0593,37.0593,35.5491,35.6221,108714.70439745,0
MGV.US,D,20080109,000000,35.489,35.9092,35.3232,35.9092,50315.299058554,0
MGV.US,D,20080110,000000,34.8142,36.4881,34.8142,36.3195,36688.703558936,0
MGV.US,D,20080111,000000,37.8099,37.8099,35.9022,36.0305,39119.815530373,0
MGV.US,D,20080114,000000,37.4163,37.4163,35.9555,36.1577,23874.168396733,0
MGV.US,D,20080115,000000,36.3057,36.3057,35.3637,35.3716,13758.390560622,0
MGV.US,D,20080116,000000,35.3864,35.5294,35.1398,35.489,13625.581691456,0
MGV.US,D,20080117,000000,36.213,36.213,34.1022,34.111,24415.541955011,0
MGV.US,D,20080118,000000,36.2978,36.2978,33.4491,33.9769,19028.165384445,0
MGV.US,D,20080122,000000,34.688,34.688,32.2409,33.4737,38040.109838305,0
MGV.US,D,20080123,000000,33.026,34.5341,32.7014,34.3319,55035.589858809,0
MGV.US,D,20080124,000000,34.4286,34.6663,34.2856,34.4641,7012.5110535567,0
MGV.US,D,20080125,000000,36.4378,36.4378,33.9532,33.9532,37231.090925374,0
MGV.US,D,20080128,000000,34.6811,34.6811,31.94,34.6525,23468.645132107,0
MGV.US,D,20080129,000000,36.0867,36.0867,34.8478,35.0954,9442.6092168321,0
MGV.US,D,20080130,000000,35.2453,35.4219,34.8419,34.8419,15246.660941801,0
MGV.US,D,20080131,000000,34.2786,35.6221,34.2786,35.2946,23334.82245478,0
MGV.US,D,20080201,000000,35.4653,35.9092,35.4347,35.851,17536.853578781,0
MGV.US,D,20080204,000000,36.937,36.937,35.5206,35.5206,40870.662225399,0
MGV.US,D,20080205,000000,35.9713,35.9713,34.2648,34.2648,17125.247465184,0
MGV.US,D,20080206,000000,34.6742,34.6742,34.0725,34.0725,22525.80354185,0
MGV.US,D,20080207,000000,34.0656,34.5026,34.0656,34.3083,5394.4732276963,0
