<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOAT.US,D,20120430,000000,18.33,18.33,18.198,18.259,121258,0
MOAT.US,D,20120501,000000,18.287,18.464,18.198,18.464,185375,0
MOAT.US,D,20120502,000000,18.306,18.306,18.172,18.277,33638,0
MOAT.US,D,20120503,000000,18.259,18.297,18.11,18.138,54292,0
MOAT.US,D,20120504,000000,18.076,18.076,17.812,17.829,39919,0
MOAT.US,D,20120507,000000,17.855,17.855,17.706,17.803,28903,0
MOAT.US,D,20120508,000000,17.786,17.786,17.487,17.723,46318,0
MOAT.US,D,20120509,000000,17.609,17.627,17.425,17.556,27994,0
MOAT.US,D,20120510,000000,17.812,17.812,17.459,17.539,583474,0
MOAT.US,D,20120511,000000,17.487,17.592,17.417,17.477,23458,0
MOAT.US,D,20120514,000000,17.309,17.417,17.221,17.318,17486,0
MOAT.US,D,20120515,000000,17.3,17.363,17.16,17.187,19438,0
MOAT.US,D,20120516,000000,17.3,17.417,17.108,17.117,53604,0
MOAT.US,D,20120517,000000,17.117,17.117,16.862,16.871,22770,0
MOAT.US,D,20120518,000000,16.905,16.915,16.641,16.686,63824,0
MOAT.US,D,20120521,000000,16.757,16.959,16.72,16.959,35393,0
MOAT.US,D,20120522,000000,16.966,16.984,16.809,16.809,54681,0
MOAT.US,D,20120523,000000,16.72,16.782,16.58,16.748,16587,0
MOAT.US,D,20120524,000000,16.88,16.88,16.702,16.817,27975,0
MOAT.US,D,20120525,000000,16.88,16.922,16.757,16.782,21009,0
MOAT.US,D,20120529,000000,16.941,17.046,16.862,16.941,24801,0
MOAT.US,D,20120530,000000,16.886,16.886,16.615,16.669,21261,0
MOAT.US,D,20120531,000000,16.641,16.659,16.447,16.624,9098,0
MOAT.US,D,20120601,000000,16.42,16.42,16.238,16.271,24871,0
MOAT.US,D,20120604,000000,16.271,16.289,16.095,16.253,80183,0
MOAT.US,D,20120605,000000,16.253,16.369,16.253,16.28,11291,0
MOAT.US,D,20120606,000000,16.474,16.677,16.474,16.641,4824,0
MOAT.US,D,20120607,000000,16.782,16.966,16.757,16.772,75287,0
MOAT.US,D,20120608,000000,16.677,16.852,16.677,16.843,6244,0
MOAT.US,D,20120611,000000,16.932,17.003,16.659,16.659,13661,0
MOAT.US,D,20120612,000000,16.702,16.817,16.615,16.817,7166,0
MOAT.US,D,20120613,000000,16.791,16.843,16.65,16.65,6811,0
MOAT.US,D,20120614,000000,16.739,16.843,16.677,16.843,11651,0
MOAT.US,D,20120615,000000,16.974,17.011,16.941,17.011,6084,0
MOAT.US,D,20120618,000000,17.011,17.064,16.896,17.028,71247,0
MOAT.US,D,20120619,000000,17.196,17.346,17.17,17.276,54459,0
MOAT.US,D,20120620,000000,17.346,17.372,17.117,17.231,78186,0
MOAT.US,D,20120621,000000,17.337,17.337,16.843,16.843,35326,0
MOAT.US,D,20120622,000000,17.037,17.037,16.835,16.966,40343,0
MOAT.US,D,20120625,000000,16.843,16.871,16.589,16.693,31606,0
MOAT.US,D,20120626,000000,16.686,16.809,16.589,16.809,9009,0
MOAT.US,D,20120627,000000,16.871,17.011,16.871,17.003,19380,0
MOAT.US,D,20120628,000000,16.949,16.949,16.8,16.896,97745,0
MOAT.US,D,20120629,000000,17.3,17.644,17.292,17.644,24121,0
MOAT.US,D,20120702,000000,17.751,17.996,17.379,17.601,98137,0
MOAT.US,D,20120703,000000,17.696,17.794,17.601,17.751,36628,0
MOAT.US,D,20120705,000000,17.812,17.996,17.609,17.751,70685,0
MOAT.US,D,20120706,000000,17.601,17.601,17.425,17.496,47508,0
MOAT.US,D,20120709,000000,17.487,17.512,17.354,17.417,252406,0
MOAT.US,D,20120710,000000,17.592,17.653,17.187,17.187,24966,0
MOAT.US,D,20120711,000000,17.337,17.372,17.221,17.363,34458,0
MOAT.US,D,20120712,000000,17.328,17.328,17.089,17.285,82653,0
MOAT.US,D,20120713,000000,17.248,17.653,17.248,17.653,88901,0
MOAT.US,D,20120716,000000,17.653,17.696,17.477,17.671,52724,0
MOAT.US,D,20120717,000000,17.759,17.759,17.443,17.723,44791,0
MOAT.US,D,20120718,000000,17.723,17.899,17.653,17.875,27898,0
MOAT.US,D,20120719,000000,17.953,17.989,17.883,17.943,17220,0
MOAT.US,D,20120720,000000,17.918,17.943,17.723,17.723,30992,0
MOAT.US,D,20120723,000000,17.549,17.662,17.337,17.653,27155,0
MOAT.US,D,20120724,000000,17.689,17.689,17.309,17.467,45621,0
MOAT.US,D,20120725,000000,17.539,17.539,17.309,17.309,23077,0
MOAT.US,D,20120726,000000,17.696,17.696,17.354,17.477,30552,0
MOAT.US,D,20120727,000000,17.618,17.847,17.549,17.847,45166,0
MOAT.US,D,20120730,000000,17.855,17.883,17.716,17.723,31950,0
MOAT.US,D,20120731,000000,17.847,17.847,17.627,17.627,35146,0
MOAT.US,D,20120801,000000,17.794,17.794,17.434,17.506,41618,0
MOAT.US,D,20120802,000000,17.549,17.549,17.072,17.151,88005,0
MOAT.US,D,20120803,000000,17.592,17.723,17.089,17.627,34901,0
MOAT.US,D,20120806,000000,17.759,17.847,17.627,17.741,41111,0
MOAT.US,D,20120807,000000,17.855,18.066,17.855,17.996,102546,0
MOAT.US,D,20120808,000000,18.05,18.11,18.023,18.085,40827,0
MOAT.US,D,20120809,000000,18.129,18.252,18.094,18.217,46181,0
MOAT.US,D,20120810,000000,18.164,18.259,18.129,18.259,79819,0
