<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NANR.US,D,20151221,000000,20.7896,20.7896,20.5695,20.6052,235080.79747577,0
NANR.US,D,20151222,000000,20.8153,20.9997,20.8153,20.9997,159440.93992139,0
NANR.US,D,20151223,000000,21.1921,21.8583,21.1921,21.8583,95363.574027719,0
NANR.US,D,20151224,000000,21.9594,21.9594,21.8226,21.9158,31658.410822948,0
NANR.US,D,20151228,000000,21.7651,21.7651,21.2962,21.3527,61865.332027142,0
NANR.US,D,20151229,000000,21.0275,21.5232,21.0275,21.4935,37199.086622682,0
NANR.US,D,20151230,000000,21.195,21.195,21.1028,21.1207,37326.180223768,0
NANR.US,D,20151231,000000,21.0275,21.1732,21.0275,21.1375,71462.916267898,0
NANR.US,D,20160104,000000,20.8937,21.204,20.7568,21.1108,89130.944177627,0
NANR.US,D,20160105,000000,21.1207,21.195,20.8679,21.0781,109526.44111384,0
NANR.US,D,20160106,000000,20.6567,20.8421,20.4039,20.4882,91713.163374299,0
NANR.US,D,20160107,000000,20.0837,20.4882,20.0837,20.3028,61113.865893736,0
NANR.US,D,20160108,000000,20.396,20.396,19.9498,19.9935,47400.869808284,0
NANR.US,D,20160111,000000,20.159,20.159,19.0586,19.2608,39141.803096428,0
NANR.US,D,20160112,000000,19.4373,19.4373,18.669,19.0239,59109.619978194,0
NANR.US,D,20160113,000000,19.1022,19.3173,18.7483,18.8058,50264.510550218,0
NANR.US,D,20160114,000000,18.898,19.2767,18.898,19.1528,32906.147208215,0
NANR.US,D,20160115,000000,18.7304,18.891,18.546,18.7879,44732.912864848,0
NANR.US,D,20160119,000000,18.9674,18.9674,17.9234,18.1842,85960.664906088,0
NANR.US,D,20160120,000000,17.7807,18.0325,17.3256,18.0325,116191.79441525,0
NANR.US,D,20160121,000000,18.1326,18.552,17.9165,18.552,90377.67188352,0
NANR.US,D,20160122,000000,18.9674,19.1111,18.6501,18.7741,60513.701666384,0
NANR.US,D,20160125,000000,18.1693,18.8504,18.1693,18.4112,45383.511060884,0
NANR.US,D,20160126,000000,18.6144,19.0467,18.6144,19.006,63177.623892326,0
NANR.US,D,20160127,000000,18.9832,19.589,18.9832,19.1746,26540.371680794,0
NANR.US,D,20160128,000000,19.4383,19.6227,19.2519,19.6227,77989.071815737,0
NANR.US,D,20160129,000000,19.822,20.043,19.6663,20.043,464102.45795373,0
NANR.US,D,20160201,000000,19.8914,20.0262,19.7139,19.9419,35611.425288478,0
NANR.US,D,20160202,000000,19.3957,19.3957,19.2004,19.237,29666.269059891,0
NANR.US,D,20160203,000000,19.6138,20.5308,19.6138,20.5308,63690.033014165,0
NANR.US,D,20160204,000000,20.5308,21.3061,20.5308,21.1564,25700.141762502,0
NANR.US,D,20160205,000000,21.0275,21.1633,20.6309,21.1633,36821.840536918,0
NANR.US,D,20160208,000000,20.8421,21.4568,20.8421,21.32,97638.146015413,0
NANR.US,D,20160209,000000,21.0275,21.0275,20.622,20.7241,172535.61555076,0
NANR.US,D,20160210,000000,20.6309,20.6359,20.3643,20.5477,38072.602960306,0
NANR.US,D,20160211,000000,20.6993,20.7668,20.6993,20.6993,39506.945029708,0
NANR.US,D,20160212,000000,20.858,21.3467,20.7668,21.3061,58737.417289298,0
NANR.US,D,20160216,000000,21.8256,21.8256,21.1851,21.3071,42633.851088178,0
NANR.US,D,20160217,000000,21.5232,22.1041,21.5232,22.1041,20450.974301767,0
NANR.US,D,20160218,000000,22.1468,22.348,21.8761,22.3391,138530.00782521,0
NANR.US,D,20160219,000000,21.8404,21.9277,21.8186,21.9108,112593.83508926,0
NANR.US,D,20160222,000000,22.239,22.582,22.239,22.4987,21926.672225491,0
NANR.US,D,20160223,000000,21.4052,22.4045,21.4052,22.1041,42226.344621203,0
NANR.US,D,20160224,000000,21.8841,22.3044,21.8841,22.1954,51745.25187081,0
NANR.US,D,20160225,000000,22.2489,22.4501,22.0556,22.4501,34422.192306886,0
NANR.US,D,20160226,000000,22.4739,22.5909,22.2489,22.3391,34348.558712606,0
NANR.US,D,20160229,000000,22.3332,22.5909,22.3332,22.4402,49302.230427709,0
NANR.US,D,20160301,000000,22.4402,22.6345,22.2885,22.5661,41336.6894136,0
NANR.US,D,20160302,000000,22.3738,23.1808,22.3738,23.1808,48812.01225209,0
NANR.US,D,20160303,000000,23.4009,23.617,23.4009,23.6081,84729.0673908,0
NANR.US,D,20160304,000000,23.6676,24.3269,23.6547,23.9204,104758.41371436,0
NANR.US,D,20160307,000000,23.8708,24.5013,23.8708,24.3913,276519.36350612,0
NANR.US,D,20160308,000000,24.2902,24.2902,23.4574,23.4931,71575.888357752,0
NANR.US,D,20160309,000000,23.6259,23.9977,23.4643,23.9035,78684.051904216,0
NANR.US,D,20160310,000000,23.9035,24.2069,23.8272,24.2069,286328.77041535,0
NANR.US,D,20160311,000000,24.5013,24.5479,24.426,24.4429,2696519.7172616,0
NANR.US,D,20160314,000000,24.3239,24.4795,24.0562,24.3427,32633.803777316,0
NANR.US,D,20160315,000000,24.0889,24.1891,23.845,24.1891,59359.772462871,0
NANR.US,D,20160316,000000,24.199,25.1586,24.1375,25.1586,33824.045438282,0
NANR.US,D,20160317,000000,25.342,25.8635,25.342,25.5433,460059.67102394,0
NANR.US,D,20160318,000000,25.8209,25.8209,25.4303,25.5701,63904.881720763,0
NANR.US,D,20160321,000000,25.5264,25.6117,25.1745,25.4095,24127.610618904,0
NANR.US,D,20160322,000000,25.2409,25.4432,25.233,25.233,36578.748807857,0
NANR.US,D,20160323,000000,24.9128,24.9128,24.0978,24.1147,47615.718514882,0
NANR.US,D,20160324,000000,23.7528,24.3239,23.7528,24.2902,26127.821816951,0
NANR.US,D,20160328,000000,24.2832,24.3507,24.1226,24.2832,24673.306160076,0
NANR.US,D,20160329,000000,24.1068,24.7294,24.0235,24.7294,50111.191285416,0
NANR.US,D,20160330,000000,24.9881,24.9881,24.6273,24.7294,72625.923585774,0
NANR.US,D,20160331,000000,24.6619,24.6808,24.5103,24.5103,20206.873893332,0
NANR.US,D,20160401,000000,24.5103,24.5103,23.8391,24.305,30339.058202149,0
NANR.US,D,20160404,000000,24.3655,24.3655,23.8351,23.8708,41354.845642326,0
