<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWLG.US,D,20210806,000000,25.1,25.1,25.0625,25.0625,90114,0
NWLG.US,D,20210809,000000,25.042,25.0462,25.0323,25.0323,207,0
NWLG.US,D,20210810,000000,24.883,24.883,24.883,24.883,11,0
NWLG.US,D,20210811,000000,24.97,24.97,24.7599,24.8325,1873,0
NWLG.US,D,20210812,000000,24.81,24.941,24.81,24.941,440,0
NWLG.US,D,20210813,000000,25.023,25.023,25.023,25.023,32,0
NWLG.US,D,20210816,000000,25.0885,25.0885,25.0885,25.0885,1,0
NWLG.US,D,20210817,000000,24.857,24.857,24.857,24.857,2,0
NWLG.US,D,20210818,000000,24.7123,24.7123,24.7123,24.7123,5,0
NWLG.US,D,20210823,000000,25.51,25.512,25.5096,25.512,882,0
NWLG.US,D,20210824,000000,25.58,25.6,25.5777,25.5777,843,0
NWLG.US,D,20210825,000000,25.57,25.605,25.57,25.605,594,0
NWLG.US,D,20210826,000000,25.51,25.52,25.443,25.443,545,0
NWLG.US,D,20210827,000000,25.63,25.74,25.6217,25.7276,1763,0
NWLG.US,D,20210830,000000,25.947,25.947,25.947,25.947,86,0
NWLG.US,D,20210831,000000,25.8375,25.8375,25.8375,25.8375,95,0
NWLG.US,D,20210901,000000,25.893,25.893,25.893,25.893,32,0
NWLG.US,D,20210902,000000,25.96,25.97,25.8725,25.8725,305,0
NWLG.US,D,20210903,000000,25.95,26,25.95,25.9695,1114,0
NWLG.US,D,20210907,000000,25.86,25.98,25.85,25.9525,34200,0
NWLG.US,D,20210908,000000,25.85,25.85,25.8385,25.8385,301,0
NWLG.US,D,20210909,000000,25.98,25.98,25.799,25.799,167,0
NWLG.US,D,20210910,000000,25.643,25.643,25.643,25.643,55,0
NWLG.US,D,20210913,000000,25.49,25.542,25.49,25.542,200,0
NWLG.US,D,20210914,000000,25.606,25.606,25.606,25.606,33,0
NWLG.US,D,20210915,000000,25.7985,25.7985,25.7985,25.7985,68,0
NWLG.US,D,20210916,000000,25.844,25.844,25.844,25.844,1,0
NWLG.US,D,20210917,000000,25.5397,25.5397,25.5397,25.5397,52,0
NWLG.US,D,20210920,000000,25.15,25.16,25.0877,25.0877,377,0
NWLG.US,D,20210921,000000,25.2085,25.2085,25.2085,25.2085,65,0
NWLG.US,D,20210922,000000,25.437,25.437,25.437,25.437,1,0
NWLG.US,D,20210923,000000,25.7815,25.7815,25.7815,25.7815,120,0
NWLG.US,D,20210924,000000,25.7225,25.7225,25.7225,25.7225,1,0
NWLG.US,D,20210927,000000,25.36,25.36,25.27,25.316,366,0
NWLG.US,D,20210928,000000,24.4835,24.4835,24.4835,24.4835,41,0
NWLG.US,D,20210929,000000,24.48,24.48,24.3825,24.3825,200,0
NWLG.US,D,20210930,000000,24.2746,24.2746,24.2746,24.2746,4,0
NWLG.US,D,20211001,000000,24.25,24.5299,24.1,24.5299,264,0
NWLG.US,D,20211004,000000,23.9409,23.9409,23.9409,23.9409,78,0
NWLG.US,D,20211005,000000,24.2097,24.313,24.2097,24.313,100,0
NWLG.US,D,20211006,000000,24.37,24.4672,24.37,24.4672,136,0
NWLG.US,D,20211007,000000,24.7353,24.7353,24.7353,24.7353,1,0
NWLG.US,D,20211008,000000,24.74,24.74,24.5965,24.5965,200,0
NWLG.US,D,20211011,000000,24.411,24.411,24.411,24.411,10,0
NWLG.US,D,20211012,000000,24.3802,24.3802,24.3802,24.3802,10,0
NWLG.US,D,20211013,000000,24.6078,24.6078,24.6078,24.6078,1,0
NWLG.US,D,20211014,000000,25.101,25.101,25.101,25.101,72,0
NWLG.US,D,20211015,000000,25.3165,25.3165,25.3165,25.3165,63,0
NWLG.US,D,20211018,000000,25.51,25.5115,25.5096,25.5115,1047,0
NWLG.US,D,20211019,000000,25.64,25.64,25.64,25.64,100,0
NWLG.US,D,20211020,000000,25.63,25.63,25.553,25.553,651,0
NWLG.US,D,20211021,000000,25.75,25.7649,25.7496,25.7649,200,0
NWLG.US,D,20211022,000000,25.705,25.705,25.705,25.705,117,0
NWLG.US,D,20211025,000000,25.78,25.78,25.78,25.78,99,0
NWLG.US,D,20211026,000000,25.9898,25.9898,25.942,25.942,230,0
NWLG.US,D,20211027,000000,25.9428,25.9428,25.9428,25.9428,45,0
NWLG.US,D,20211028,000000,26.1399,26.1399,26.1399,26.1399,159,0
NWLG.US,D,20211029,000000,26.3747,26.3747,26.3747,26.3747,61,0
NWLG.US,D,20211101,000000,26.27,26.27,26.2684,26.2684,109,0
NWLG.US,D,20211102,000000,26.4033,26.4033,26.4033,26.4033,181,0
NWLG.US,D,20211103,000000,26.28,26.5673,26.2796,26.5673,213,0
NWLG.US,D,20211104,000000,26.9475,26.9475,26.9475,26.9475,2,0
NWLG.US,D,20211105,000000,27.04,27.04,26.93,26.9735,417,0
NWLG.US,D,20211108,000000,27.1299,27.17,27.1299,27.17,100,0
NWLG.US,D,20211109,000000,27.1257,27.1257,27.1257,27.1257,1,0
NWLG.US,D,20211110,000000,26.662,26.662,26.662,26.662,92,0
NWLG.US,D,20211111,000000,26.81,26.81,26.776,26.776,150,0
NWLG.US,D,20211112,000000,27.1777,27.1777,27.1777,27.1777,2,0
NWLG.US,D,20211115,000000,27.1701,27.1701,27.09,27.1637,1144,0
NWLG.US,D,20211116,000000,27.5388,27.5388,27.5388,27.5388,2,0
NWLG.US,D,20211117,000000,27.3443,27.3443,27.3443,27.3443,180,0
NWLG.US,D,20211118,000000,27.4705,27.4705,27.4705,27.4705,33,0
NWLG.US,D,20211119,000000,27.7,27.7,27.5767,27.5767,1640,0
NWLG.US,D,20211122,000000,27.68,27.6801,27.1106,27.1106,3845,0
NWLG.US,D,20211123,000000,26.67,26.8943,26.67,26.8943,1933,0
NWLG.US,D,20211124,000000,26.9815,26.9815,26.9815,26.9815,341,0
NWLG.US,D,20211126,000000,26.57,26.57,26.4179,26.4179,555,0
NWLG.US,D,20211129,000000,26.75,26.9862,26.75,26.9862,3821,0
NWLG.US,D,20211130,000000,26.407,26.407,26.407,26.407,72,0
NWLG.US,D,20211201,000000,26.72,26.72,25.9917,25.9917,201,0
NWLG.US,D,20211202,000000,26.257,26.257,26.257,26.257,1,0
NWLG.US,D,20211203,000000,25.91,25.91,25.56,25.7613,1399,0
NWLG.US,D,20211206,000000,25.9905,25.9905,25.9905,25.9905,11,0
NWLG.US,D,20211207,000000,26.7609,26.7609,26.7609,26.7609,5,0
NWLG.US,D,20211208,000000,26.9205,26.9205,26.9205,26.9205,26,0
NWLG.US,D,20211209,000000,26.5991,26.5991,26.5991,26.5991,1,0
NWLG.US,D,20211210,000000,26.7429,26.7429,26.7429,26.7429,25,0
NWLG.US,D,20211213,000000,26.54,26.54,26.4586,26.4586,271,0
NWLG.US,D,20211214,000000,25.9225,25.9225,25.9225,25.9225,1,0
NWLG.US,D,20211215,000000,26.01,26.5,25.85,26.497,2702,0
NWLG.US,D,20211216,000000,25.8715,25.8715,25.8715,25.8715,15,0
NWLG.US,D,20211217,000000,25.62,25.6709,25.61,25.6709,205,0
NWLG.US,D,20211220,000000,25.313,25.35,25.313,25.313,653,0
NWLG.US,D,20211221,000000,25.695,25.9847,25.69,25.9847,369,0
NWLG.US,D,20211222,000000,26.1664,26.2897,26.1664,26.2897,4091,0
NWLG.US,D,20211223,000000,26.51,26.5104,26.51,26.5104,170,0
NWLG.US,D,20211227,000000,26.7,26.8275,26.7,26.8275,166,0
NWLG.US,D,20211228,000000,26.79,26.79,26.6965,26.6965,265,0
NWLG.US,D,20211229,000000,26.66,26.7026,26.66,26.7026,210,0
NWLG.US,D,20211230,000000,26.8,26.8,26.6081,26.6081,100,0
NWLG.US,D,20211231,000000,26.46,26.46,26.46,26.46,340,0
NWLG.US,D,20220103,000000,26.42,26.42,26.406,26.406,160,0
NWLG.US,D,20220104,000000,26.07,26.0886,26.07,26.0886,193,0
NWLG.US,D,20220105,000000,25.82,25.82,25.2024,25.2024,350,0
NWLG.US,D,20220106,000000,25.04,25.22,25.04,25.102,5923,0
NWLG.US,D,20220107,000000,25.1,25.1701,24.8138,24.8138,779,0
NWLG.US,D,20220110,000000,24.6851,24.6851,24.6851,24.6851,84,0
NWLG.US,D,20220111,000000,24.9639,24.9639,24.9639,24.9639,30,0
NWLG.US,D,20220112,000000,25,25.069,25,25.069,100,0
NWLG.US,D,20220113,000000,24.3348,24.3348,24.3348,24.3348,11,0
NWLG.US,D,20220114,000000,24.12,24.351,24.12,24.351,404,0
NWLG.US,D,20220118,000000,23.97,23.98,23.7808,23.7808,1371,0
NWLG.US,D,20220119,000000,23.8,23.8,23.6423,23.6423,103,0
NWLG.US,D,20220120,000000,24.07,24.07,23.33,23.331,2005,0
NWLG.US,D,20220121,000000,23.15,23.2,22.7465,22.7465,282,0
NWLG.US,D,20220124,000000,22.21,22.8455,21.92,22.8455,7905,0
NWLG.US,D,20220125,000000,22.48,22.48,22.16,22.269,10031,0
NWLG.US,D,20220126,000000,22.69,22.82,22.12,22.2065,3501,0
NWLG.US,D,20220127,000000,22.7,22.7,22.217,22.217,1527,0
NWLG.US,D,20220128,000000,22.24,22.8662,22.1,22.8662,3901,0
NWLG.US,D,20220131,000000,23.28,23.6024,23.28,23.6024,2255,0
NWLG.US,D,20220201,000000,23.8327,23.8327,23.8327,23.8327,86,0
NWLG.US,D,20220202,000000,23.85,23.9354,23.72,23.9354,824,0
NWLG.US,D,20220203,000000,23.43,23.46,23.1147,23.1147,700,0
NWLG.US,D,20220204,000000,23.13,23.4708,23.13,23.4708,566,0
NWLG.US,D,20220207,000000,23.2672,23.2672,23.2672,23.2672,42,0
NWLG.US,D,20220208,000000,23.18,23.584,23.18,23.584,322,0
NWLG.US,D,20220209,000000,24.11,24.1883,24.11,24.1883,1101,0
NWLG.US,D,20220210,000000,23.8,23.86,23.65,23.6767,908,0
NWLG.US,D,20220211,000000,22.94,22.977,22.94,22.977,701,0
NWLG.US,D,20220214,000000,22.79,22.9517,22.79,22.9517,2105,0
NWLG.US,D,20220215,000000,23.24,23.42,23.24,23.3995,1523,0
NWLG.US,D,20220216,000000,23.33,23.4688,23.1,23.4688,2113,0
NWLG.US,D,20220217,000000,22.97,23.01,22.7112,22.7112,510,0
NWLG.US,D,20220218,000000,22.55,22.55,22.44,22.4683,3452,0
NWLG.US,D,20220222,000000,22.3,22.3,22.16,22.1743,3491,0
NWLG.US,D,20220223,000000,22.46,22.46,21.6878,21.6878,1504,0
NWLG.US,D,20220224,000000,21.08,22.47,21.08,22.47,201,0
NWLG.US,D,20220225,000000,22.7982,22.7982,22.7982,22.7982,1,0
NWLG.US,D,20220228,000000,22.7546,22.7546,22.7546,22.7546,7,0
NWLG.US,D,20220301,000000,22.65,22.65,22.32,22.3253,852,0
NWLG.US,D,20220302,000000,22.7311,22.7311,22.7311,22.7311,107,0
NWLG.US,D,20220303,000000,22.3082,22.3082,22.3082,22.3082,27,0
NWLG.US,D,20220304,000000,21.87,21.87,21.77,21.8447,206,0
NWLG.US,D,20220307,000000,20.9258,20.9258,20.9258,20.9258,3,0
NWLG.US,D,20220308,000000,20.9,20.9,20.65,20.798,2561,0
NWLG.US,D,20220309,000000,21.37,21.671,21.34,21.671,6812,0
NWLG.US,D,20220310,000000,21.49,21.5743,21.36,21.5743,3402,0
NWLG.US,D,20220311,000000,21.47,21.47,21.1316,21.1316,2101,0
NWLG.US,D,20220314,000000,21.25,21.25,20.757,20.757,6255,0
NWLG.US,D,20220315,000000,21.37,21.39,21.36,21.3701,2197,0
NWLG.US,D,20220316,000000,21.69,22.1332,21.69,22.1332,6110,0
NWLG.US,D,20220317,000000,22.4489,22.4489,22.4489,22.4489,3,0
NWLG.US,D,20220318,000000,22.9892,22.9892,22.9892,22.9892,53,0
NWLG.US,D,20220321,000000,22.75,22.7924,22.67,22.7924,305,0
NWLG.US,D,20220322,000000,23.116,23.116,23.116,23.116,20,0
NWLG.US,D,20220323,000000,22.91,22.93,22.65,22.6507,4778,0
NWLG.US,D,20220324,000000,22.66,22.9987,22.66,22.9987,2101,0
NWLG.US,D,20220325,000000,22.9307,22.9307,22.9307,22.9307,9,0
NWLG.US,D,20220328,000000,23.1,23.2432,22.91,23.2432,2141,0
NWLG.US,D,20220329,000000,23.54,23.7,23.42,23.6955,2027,0
NWLG.US,D,20220330,000000,23.3981,23.3981,23.3981,23.3981,1,0
NWLG.US,D,20220331,000000,23.1524,23.1524,23.1524,23.1524,3,0
NWLG.US,D,20220401,000000,23.1972,23.1972,23.1972,23.1972,10,0
NWLG.US,D,20220404,000000,23.513,23.513,23.513,23.513,37,0
NWLG.US,D,20220405,000000,23.2327,23.2327,23.0933,23.0933,147,0
NWLG.US,D,20220406,000000,22.78,22.78,22.51,22.5381,3320,0
NWLG.US,D,20220407,000000,22.6133,22.6133,22.6133,22.6133,62,0
NWLG.US,D,20220408,000000,22.3078,22.3078,22.3078,22.3078,141,0
NWLG.US,D,20220411,000000,21.8043,21.8043,21.8043,21.8043,3,0
NWLG.US,D,20220412,000000,21.664,21.664,21.664,21.664,50,0
NWLG.US,D,20220413,000000,22.1015,22.1015,22.1015,22.1015,10,0
NWLG.US,D,20220414,000000,21.81,21.81,21.81,21.81,11,0
NWLG.US,D,20220418,000000,21.6781,21.6781,21.6781,21.6781,70,0
NWLG.US,D,20220419,000000,21.75,22.2351,21.75,22.2351,201,0
NWLG.US,D,20220420,000000,22.2235,22.2235,22.2235,22.2235,10,0
NWLG.US,D,20220421,000000,21.6732,21.6732,21.6732,21.6732,74,0
NWLG.US,D,20220422,000000,21.46,21.46,20.9218,20.9218,700,0
NWLG.US,D,20220425,000000,21.1,21.1,21.1,21.1,200,0
NWLG.US,D,20220426,000000,20.61,20.61,20.376,20.376,3100,0
NWLG.US,D,20220427,000000,20.5,20.73,20.484,20.484,6101,0
NWLG.US,D,20220428,000000,21.144,21.144,21.144,21.144,1,0
NWLG.US,D,20220429,000000,20.206,20.206,20.206,20.206,1,0
NWLG.US,D,20220502,000000,20.2,20.4285,19.97,20.4285,83701,0
NWLG.US,D,20220503,000000,20.42,20.47,20.21,20.3336,65601,0
NWLG.US,D,20220504,000000,20.18,20.8275,19.98,20.8275,43180,0
NWLG.US,D,20220505,000000,20.13,20.13,19.58,19.764,36544,0
NWLG.US,D,20220506,000000,19.2765,19.53,19.27,19.3718,23054,0
NWLG.US,D,20220509,000000,19.03,19.03,18.4239,18.4239,20738,0
NWLG.US,D,20220510,000000,18.88,18.9,18.32,18.6188,64330,0
NWLG.US,D,20220511,000000,18.81,18.81,18.192,18.192,10268,0
NWLG.US,D,20220512,000000,17.9781,18.1811,17.96,18.1811,850,0
NWLG.US,D,20220513,000000,18.9599,18.96,18.71,18.873,2702,0
NWLG.US,D,20220516,000000,18.69,18.75,18.65,18.6846,5203,0
NWLG.US,D,20220517,000000,19.1,19.1,19.0814,19.0814,800,0
NWLG.US,D,20220518,000000,18.2,18.2,18.16,18.1654,1201,0
NWLG.US,D,20220519,000000,18.08,18.28,18.08,18.2537,4602,0
NWLG.US,D,20220520,000000,18.2,18.2454,18.2,18.2454,900,0
NWLG.US,D,20220523,000000,18.33,18.5669,18.33,18.5669,4411,0
NWLG.US,D,20220524,000000,18.2092,18.2092,18.2092,18.2092,1,0
NWLG.US,D,20220525,000000,18.34,18.48,18.34,18.4755,12773,0
NWLG.US,D,20220526,000000,19.0758,19.0758,19.0538,19.0538,235,0
NWLG.US,D,20220527,000000,19.51,19.6109,19.51,19.6109,270,0
NWLG.US,D,20220531,000000,19.5093,19.5093,19.5093,19.5093,14,0
NWLG.US,D,20220601,000000,19.3828,19.3828,19.3828,19.3828,2,0
NWLG.US,D,20220602,000000,19.63,20.016,19.63,20.016,101,0
NWLG.US,D,20220603,000000,19.6542,19.6542,19.6542,19.6542,140,0
NWLG.US,D,20220606,000000,19.709,19.709,19.709,19.709,2,0
