<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OVT.US,D,20210119,000000,23.5765,23.5765,23.5765,23.5765,1.020044504604,0
OVT.US,D,20210120,000000,23.6049,23.6049,23.6049,23.6049,2.040089009208,0
OVT.US,D,20210125,000000,23.6293,23.6293,23.6225,23.6225,210.12916794842,0
OVT.US,D,20210126,000000,23.6205,23.6205,23.6205,23.6205,92.824049918964,0
OVT.US,D,20210127,000000,23.5254,23.5254,23.5254,23.5254,2.040089009208,0
OVT.US,D,20210128,000000,23.5999,23.5999,23.5254,23.5254,80733.462405893,0
OVT.US,D,20210129,000000,23.4666,23.4666,23.4666,23.4666,3.060133513812,0
OVT.US,D,20210201,000000,23.5715,23.6284,23.5529,23.5863,6165.1489858266,0
OVT.US,D,20210202,000000,23.5529,23.647,23.5529,23.5891,137336.75201088,0
OVT.US,D,20210203,000000,23.5343,23.5765,23.5343,23.5765,261.13139317862,0
OVT.US,D,20210204,000000,23.6382,23.647,23.6049,23.6049,143350.93441002,0
OVT.US,D,20210205,000000,23.6195,23.6421,23.6097,23.6097,434.5389589613,0
OVT.US,D,20210208,000000,23.6646,23.6646,23.6245,23.6245,3481.4118942135,0
OVT.US,D,20210209,000000,23.5715,23.6245,23.5715,23.6245,788.49440205889,0
OVT.US,D,20210210,000000,23.6646,23.6646,23.6392,23.6392,175634.32293623,0
OVT.US,D,20210211,000000,23.6646,23.6646,23.6421,23.6421,1569.8484925856,0
OVT.US,D,20210212,000000,23.7136,23.7136,23.6529,23.6529,31352.087893508,0
OVT.US,D,20210216,000000,23.694,23.694,23.6421,23.6421,218.28952398526,0
OVT.US,D,20210217,000000,23.6646,23.694,23.6421,23.6568,11470.400454273,0
OVT.US,D,20210218,000000,23.647,23.6744,23.647,23.648,7671.7547191267,0
OVT.US,D,20210219,000000,23.6333,23.6333,23.6333,23.6333,1.020044504604,0
OVT.US,D,20210222,000000,23.6744,23.6842,23.6235,23.6235,704.85075268137,0
OVT.US,D,20210223,000000,23.5117,23.6323,23.5068,23.6323,4569.7993806259,0
OVT.US,D,20210224,000000,23.6195,23.694,23.6097,23.6794,104699.40804156,0
OVT.US,D,20210225,000000,23.6195,23.6195,23.5166,23.5166,106.08462847882,0
OVT.US,D,20210226,000000,23.4921,23.4921,23.4921,23.4921,70.383070817676,0
OVT.US,D,20210301,000000,23.4921,23.4921,23.4921,23.4921,61.20267027624,0
OVT.US,D,20210302,000000,23.5715,23.5715,23.5637,23.5637,161.16703172743,0
OVT.US,D,20210303,000000,23.499,23.499,23.499,23.499,1.020044504604,0
OVT.US,D,20210304,000000,23.4186,23.4186,23.4186,23.4186,6.120267027624,0
OVT.US,D,20210305,000000,23.4029,23.4823,23.4029,23.4823,209.10912344382,0
OVT.US,D,20210308,000000,23.3931,23.3931,23.3931,23.3931,56.10244775322,0
OVT.US,D,20210309,000000,23.4578,23.4774,23.4578,23.4774,10762.489568077,0
OVT.US,D,20210310,000000,23.448,23.4921,23.448,23.4921,1757.5366814327,0
OVT.US,D,20210311,000000,23.5715,23.5715,23.5685,23.5685,246.85077011417,0
OVT.US,D,20210312,000000,23.5205,23.5205,23.5205,23.5205,56.10244775322,0
OVT.US,D,20210315,000000,23.5715,23.5715,23.5382,23.5382,86563.016749705,0
OVT.US,D,20210316,000000,23.5441,23.5441,23.5441,23.5441,1.020044504604,0
OVT.US,D,20210317,000000,23.5901,23.6293,23.5382,23.5951,13054.529569922,0
OVT.US,D,20210318,000000,23.4676,23.498,23.4676,23.498,2476.6680571785,0
OVT.US,D,20210319,000000,23.4578,23.4646,23.4578,23.4646,213.18930146224,0
OVT.US,D,20210322,000000,23.5166,23.546,23.5166,23.546,317.23384093184,0
OVT.US,D,20210323,000000,23.5901,23.5901,23.5587,23.5587,4483.0955977346,0
OVT.US,D,20210324,000000,23.5254,23.5392,23.5254,23.5392,229.5100135359,0
OVT.US,D,20210325,000000,23.5568,23.5568,23.5568,23.5568,1.020044504604,0
OVT.US,D,20210326,000000,23.6293,23.6382,23.5343,23.5765,56934.804068977,0
OVT.US,D,20210329,000000,23.5725,23.5725,23.5725,23.5725,49.982180725596,0
OVT.US,D,20210330,000000,23.5999,23.6097,23.5667,23.5667,1059.8262402836,0
OVT.US,D,20210331,000000,23.5853,23.5853,23.5853,23.5853,1.020044504604,0
OVT.US,D,20210401,000000,23.5853,23.5853,23.5853,23.5853,1.020044504604,0
OVT.US,D,20210405,000000,23.5853,23.5853,23.5853,23.5853,1.020044504604,0
OVT.US,D,20210406,000000,23.6754,23.6852,23.6323,23.6323,9082.476268994,0
OVT.US,D,20210407,000000,23.6195,23.7048,23.6097,23.6529,6663.9507485779,0
OVT.US,D,20210408,000000,23.6578,23.6852,23.6195,23.6852,10271.848161362,0
OVT.US,D,20210409,000000,23.7048,23.7431,23.7048,23.7244,6805.7369347179,0
OVT.US,D,20210412,000000,23.6706,23.6706,23.6706,23.6706,1.020044504604,0
OVT.US,D,20210413,000000,23.6852,23.7244,23.6656,23.7098,2173.7148393111,0
OVT.US,D,20210414,000000,23.7,23.7,23.7,23.7,19.380845587476,0
OVT.US,D,20210415,000000,23.748,23.748,23.748,23.748,3.060133513812,0
OVT.US,D,20210416,000000,23.7058,23.7333,23.7058,23.7333,787.47435755429,0
OVT.US,D,20210419,000000,23.7196,23.7196,23.7196,23.7196,1.020044504604,0
OVT.US,D,20210420,000000,23.7098,23.7176,23.7098,23.7176,259.09130416942,0
OVT.US,D,20210421,000000,23.7617,23.7989,23.7617,23.7989,2604.173620254,0
OVT.US,D,20210422,000000,23.745,23.745,23.745,23.745,4.080178018416,0
OVT.US,D,20210423,000000,23.7627,23.7627,23.7627,23.7627,48.962136220992,0
OVT.US,D,20210426,000000,23.7764,23.7764,23.7764,23.7764,40.80178018416,0
OVT.US,D,20210427,000000,23.8087,23.8283,23.7764,23.7764,54237.806398804,0
OVT.US,D,20210428,000000,23.7891,23.7891,23.7891,23.7891,159.12694271822,0
OVT.US,D,20210429,000000,23.848,23.848,23.848,23.848,546.74385446774,0
OVT.US,D,20210430,000000,23.8381,23.8568,23.8137,23.8137,7286.1778963864,0
OVT.US,D,20210503,000000,23.7891,23.8235,23.7725,23.8235,2003.3674070423,0
OVT.US,D,20210504,000000,23.8029,23.8029,23.8029,23.8029,421.27838040145,0
OVT.US,D,20210505,000000,23.8568,23.895,23.8157,23.8255,11706.030734835,0
OVT.US,D,20210506,000000,23.8764,23.899,23.8568,23.899,2964.2493303792,0
OVT.US,D,20210507,000000,23.9332,23.9332,23.8901,23.8901,333.55455300551,0
OVT.US,D,20210510,000000,23.8813,23.8813,23.8813,23.8813,69.363026313072,0
OVT.US,D,20210511,000000,23.8617,23.8617,23.8617,23.8617,17.340756578268,0
OVT.US,D,20210512,000000,23.8185,23.8381,23.7941,23.7941,41316.902658986,0
OVT.US,D,20210513,000000,23.7529,23.7823,23.7529,23.7823,9447.6522016423,0
