<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEMX.US,D,20230522,000000,40.599,40.61,40.5663,40.5663,9503,0
PEMX.US,D,20230523,000000,40.0586,40.0586,40.0586,40.0586,3,0
PEMX.US,D,20230524,000000,40,40,39.9772,39.9772,101,0
PEMX.US,D,20230525,000000,40.5998,40.5998,40.5998,40.5998,129,0
PEMX.US,D,20230526,000000,41.65,41.73,41.64,41.6732,7996,0
PEMX.US,D,20230530,000000,41.4392,41.4392,41.4392,41.4392,2,0
PEMX.US,D,20230531,000000,41,41,40.7,40.9235,3000,0
PEMX.US,D,20230601,000000,41.4307,41.4307,41.4307,41.4307,1,0
PEMX.US,D,20230602,000000,41.838,41.838,41.838,41.838,1,0
PEMX.US,D,20230605,000000,41.75,41.75,41.707,41.707,1001,0
PEMX.US,D,20230606,000000,42.0288,42.0288,42.0288,42.0288,1,0
PEMX.US,D,20230607,000000,41.9133,41.9133,41.9133,41.9133,1,0
PEMX.US,D,20230608,000000,42.1124,42.1124,42.1124,42.1124,1,0
PEMX.US,D,20230609,000000,42.4053,42.4053,42.4053,42.4053,58,0
PEMX.US,D,20230612,000000,42.7905,42.7905,42.7905,42.7905,1,0
PEMX.US,D,20230613,000000,43.1233,43.1233,43.1233,43.1233,1,0
PEMX.US,D,20230614,000000,43.342,43.342,43.342,43.342,56,0
PEMX.US,D,20230615,000000,43.44,43.6065,43.44,43.6065,401,0
PEMX.US,D,20230616,000000,43.2116,43.2116,43.2116,43.2116,2,0
PEMX.US,D,20230620,000000,42.7081,42.7081,42.7081,42.7081,2,0
PEMX.US,D,20230621,000000,42.48,42.5627,42.48,42.5627,500,0
PEMX.US,D,20230622,000000,42.5875,42.5875,42.5875,42.5875,2,0
PEMX.US,D,20230623,000000,42.1318,42.1318,42.1318,42.1318,1,0
PEMX.US,D,20230626,000000,42.33,42.33,42.1458,42.1458,600,0
