<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTRB.US,D,20211209,000000,49.2472,49.2472,49.2472,49.2472,2.0212325178308,0
PTRB.US,D,20211210,000000,49.2789,49.2789,49.2789,49.2789,1.0106162589154,0
PTRB.US,D,20211215,000000,49.3432,49.3432,49.2839,49.3125,507.32936197553,0
PTRB.US,D,20211217,000000,49.456,49.456,49.456,49.456,3.0318487767462,0
PTRB.US,D,20211221,000000,49.3055,49.3055,49.3055,49.3055,2.0212325178308,0
PTRB.US,D,20211222,000000,49.3886,49.3886,49.3886,49.3886,1.0106162589154,0
PTRB.US,D,20211223,000000,49.3036,49.3036,49.3036,49.3036,1.0106162589154,0
PTRB.US,D,20211227,000000,49.3481,49.3481,49.3481,49.3481,1.0106162589154,0
PTRB.US,D,20211228,000000,49.3293,49.3293,49.3293,49.3293,1.0106162589154,0
PTRB.US,D,20211229,000000,49.1037,49.1037,49.1037,49.1037,2.0212325178308,0
PTRB.US,D,20211230,000000,49.2126,49.2126,49.2126,49.2126,2.0212325178308,0
PTRB.US,D,20211231,000000,49.2363,49.2363,49.2363,49.2363,1.0106162589154,0
PTRB.US,D,20220103,000000,48.8632,48.8632,48.8632,48.8632,2.0212325178308,0
PTRB.US,D,20220104,000000,48.7752,48.7752,48.7752,48.7752,2.0212325178308,0
PTRB.US,D,20220105,000000,48.6466,48.6466,48.6466,48.6466,1.0106162589154,0
PTRB.US,D,20220106,000000,48.5872,48.5872,48.5872,48.5872,2.0212325178308,0
PTRB.US,D,20220107,000000,48.4813,48.4813,48.4813,48.4813,10.106162589154,0
PTRB.US,D,20220110,000000,48.4338,48.4338,48.4338,48.4338,2.0212325178308,0
PTRB.US,D,20220111,000000,48.5496,48.5496,48.5496,48.5496,9.0955463302386,0
PTRB.US,D,20220112,000000,48.5386,48.5386,48.5386,48.5386,9.0955463302386,0
PTRB.US,D,20220113,000000,48.6555,48.6555,48.6555,48.6555,2.0212325178308,0
PTRB.US,D,20220114,000000,48.4001,48.4001,48.4001,48.4001,2.0212325178308,0
PTRB.US,D,20220118,000000,48.0687,48.0687,48.0687,48.0687,2.0212325178308,0
PTRB.US,D,20220119,000000,48.1964,48.1964,48.1964,48.1964,177.86846156911,0
PTRB.US,D,20220120,000000,48.222,48.222,48.222,48.222,2.0212325178308,0
PTRB.US,D,20220121,000000,48.3755,48.3755,48.3755,48.3755,2.0212325178308,0
PTRB.US,D,20220124,000000,48.3745,48.4041,48.2824,48.2824,1643.2620369964,0
PTRB.US,D,20220125,000000,48.2032,48.2032,48.2032,48.2032,2.0212325178308,0
PTRB.US,D,20220126,000000,48.2458,48.2458,48.0291,48.0291,1113.6991173248,0
PTRB.US,D,20220127,000000,48.1964,48.226,48.1428,48.1428,423363.3207198,0
PTRB.US,D,20220128,000000,48.1281,48.1786,48.1281,48.1786,8837.8391842152,0
PTRB.US,D,20220131,000000,48.1221,48.1221,48.1221,48.1221,2.0212325178308,0
PTRB.US,D,20220201,000000,48.0489,48.0687,48.0193,48.0687,1361.300100759,0
PTRB.US,D,20220202,000000,48.1687,48.1687,48.1478,48.1558,1795.8650920927,0
PTRB.US,D,20220203,000000,47.9529,47.9529,47.9529,47.9529,2.0212325178308,0
PTRB.US,D,20220204,000000,47.6433,47.6433,47.5967,47.5967,629.61392930429,0
PTRB.US,D,20220207,000000,47.6115,47.6115,47.6115,47.6115,1.0106162589154,0
PTRB.US,D,20220208,000000,47.4958,47.5354,47.476,47.476,2281.971512631,0
PTRB.US,D,20220209,000000,47.6234,47.6234,47.5511,47.5511,1531.0836322568,0
PTRB.US,D,20220210,000000,47.3958,47.3958,47.1693,47.1693,1546.2428761406,0
PTRB.US,D,20220211,000000,47.3741,47.3741,47.3741,47.3741,1.0106162589154,0
PTRB.US,D,20220214,000000,47.2781,47.2781,47.1495,47.1713,1182.421022931,0
PTRB.US,D,20220215,000000,46.9921,46.9921,46.9921,46.9921,1382.5230421963,0
PTRB.US,D,20220216,000000,47.0703,47.0703,47.0456,47.0456,170.7941477567,0
PTRB.US,D,20220217,000000,47.1,47.1396,47.1,47.1197,4060.6561283221,0
PTRB.US,D,20220218,000000,47.2187,47.2465,47.2187,47.2465,1545.2322598816,0
PTRB.US,D,20220222,000000,47.1603,47.2089,47.1603,47.2039,1170.293627824,0
PTRB.US,D,20220223,000000,47.0169,47.0169,47.0169,47.0169,228.39927451488,0
PTRB.US,D,20220224,000000,47.0604,47.0752,46.9842,46.9842,1763.5253718074,0
PTRB.US,D,20220225,000000,46.997,47.0476,46.997,47.0476,101.06162589154,0
PTRB.US,D,20220228,000000,47.3078,47.3078,47.3078,47.3078,280.95131997848,0
PTRB.US,D,20220301,000000,47.6937,47.6937,47.6124,47.6124,755.94096166872,0
PTRB.US,D,20220302,000000,47.3864,47.3864,47.0802,47.0802,2107.1348998386,0
PTRB.US,D,20220303,000000,47.1297,47.2286,47.0901,47.1793,1468.4254242041,0
PTRB.US,D,20220304,000000,47.3968,47.4161,47.3375,47.3869,212933.8139047,0
PTRB.US,D,20220307,000000,47.2682,47.2682,47.1,47.1081,5770.6188384069,0
PTRB.US,D,20220308,000000,46.8427,46.8922,46.8328,46.8358,79193.911281129,0
PTRB.US,D,20220309,000000,46.7635,46.7725,46.7141,46.7371,1138.9645237977,0
PTRB.US,D,20220310,000000,46.4555,46.4979,46.4469,46.4979,582.11496513527,0
PTRB.US,D,20220311,000000,46.4519,46.5162,46.4469,46.4532,9188.5230260588,0
PTRB.US,D,20220314,000000,46.0071,46.0071,46.0071,46.0071,1.0106162589154,0
PTRB.US,D,20220315,000000,46.1402,46.16,45.9873,46.036,1097.5292571821,0
PTRB.US,D,20220316,000000,46.0907,46.1827,46.0808,46.1827,262.760227318,0
PTRB.US,D,20220317,000000,46.2787,46.2787,46.2298,46.2298,673233.13765534,0
PTRB.US,D,20220318,000000,46.3479,46.3836,46.3479,46.3836,4549.7943976371,0
PTRB.US,D,20220321,000000,46.16,46.1896,45.9977,45.9977,5547.2726451866,0
PTRB.US,D,20220322,000000,45.8829,45.8829,45.7729,45.7729,1145.0282213511,0
PTRB.US,D,20220323,000000,45.8631,46.0339,45.8532,46.0339,6409.3283140415,0
PTRB.US,D,20220324,000000,45.8334,46.0165,45.8334,45.9125,7459.3586070546,0
PTRB.US,D,20220325,000000,45.5632,45.6311,45.5632,45.6311,1141.9963725744,0
PTRB.US,D,20220328,000000,45.8038,45.8038,45.685,45.7542,10334.561863669,0
PTRB.US,D,20220329,000000,45.9115,45.9814,45.9115,45.96,1392.6292047854,0
PTRB.US,D,20220330,000000,46.0708,46.15,46.0708,46.1303,1361.300100759,0
PTRB.US,D,20220331,000000,46.1625,46.1625,46.1625,46.1625,235.47358832729,0
