<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWV.US,D,20050303,000000,11.5214,11.5283,11.4433,11.5214,7175.3335738032,0
PWV.US,D,20050304,000000,11.6212,11.6448,11.6132,11.6212,13694.590365353,0
PWV.US,D,20050307,000000,11.6132,11.637,11.6132,11.63,12652.764734276,0
PWV.US,D,20050308,000000,11.6054,11.6054,11.5668,11.5738,6652.9020620094,0
PWV.US,D,20050309,000000,11.5589,11.5589,11.4691,11.4691,14223.096662168,0
PWV.US,D,20050310,000000,11.4513,11.4513,11.3851,11.3979,5998.8502080971,0
PWV.US,D,20050311,000000,11.4147,11.4147,11.3604,11.3693,10824.254442999,0
PWV.US,D,20050315,000000,11.5007,11.5007,11.4187,11.4187,3129.5267499119,0
PWV.US,D,20050316,000000,11.3288,11.3387,11.2952,11.2952,6913.1053537361,0
PWV.US,D,20050317,000000,11.3209,11.3604,11.3041,11.3535,14089.451391709,0
PWV.US,D,20050318,000000,11.3288,11.3288,11.2685,11.2952,8607.9703745555,0
PWV.US,D,20050321,000000,11.3209,11.3209,11.2369,11.2952,13436.412001967,0
PWV.US,D,20050322,000000,11.2843,11.3288,11.153,11.153,13177.221174411,0
PWV.US,D,20050323,000000,11.1214,11.1609,11.1214,11.1609,5479.4560888137,0
PWV.US,D,20050324,000000,11.1688,11.1688,11.1688,11.1688,3000.9438003037,0
PWV.US,D,20050328,000000,11.1994,11.1994,11.1688,11.1757,5479.4560888137,0
PWV.US,D,20050329,000000,11.1609,11.2152,11.0996,11.0996,7306.9539159218,0
PWV.US,D,20050330,000000,11.1609,11.2152,11.1609,11.2152,7958.9808414938,0
PWV.US,D,20050331,000000,11.3041,11.3465,11.3041,11.3387,32090.051872682,0
PWV.US,D,20050401,000000,11.4059,11.4256,11.3535,11.3693,41225.516079881,0
PWV.US,D,20050404,000000,11.2843,11.3288,11.2607,11.3288,17609.789311297,0
PWV.US,D,20050405,000000,11.3535,11.3781,11.3535,11.3535,23087.22047177,0
PWV.US,D,20050406,000000,11.3781,11.4355,11.3781,11.4059,25701.40295908,0
PWV.US,D,20050407,000000,11.4059,11.4187,11.4059,11.4187,3389.7300416386,0
PWV.US,D,20050408,000000,11.392,11.3979,11.3288,11.3288,25179.983911455,0
PWV.US,D,20050411,000000,11.3288,11.3288,11.3041,11.3288,4045.8068238913,0
PWV.US,D,20050412,000000,11.2607,11.4256,11.2369,11.4059,18653.639870714,0
PWV.US,D,20050413,000000,11.3781,11.3781,11.2685,11.2685,2607.0952381181,0
PWV.US,D,20050414,000000,11.2765,11.2765,11.1757,11.1757,22044.382376523,0
PWV.US,D,20050415,000000,11.1144,11.1757,11.0522,11.0612,487370.89004589,0
PWV.US,D,20050418,000000,10.9693,11.0186,10.9288,11.0186,32090.051872682,0
PWV.US,D,20050419,000000,11.0612,11.068,11.0434,11.068,53619.089986601,0
PWV.US,D,20050420,000000,10.994,11.073,10.9229,10.9229,62618.883995002,0
PWV.US,D,20050421,000000,10.9288,11.0236,10.8952,11.0236,22569.851280827,0
PWV.US,D,20050422,000000,11.0315,11.068,11.0315,11.0612,5739.6593805405,0
PWV.US,D,20050425,000000,11.1076,11.1302,11.0996,11.1302,1823.4479704275,0
PWV.US,D,20050426,000000,11.0996,11.1214,11.0364,11.0364,4564.1884790045,0
PWV.US,D,20050427,000000,10.9624,11.1144,10.9456,11.073,39136.802496877,0
PWV.US,D,20050428,000000,11.0098,11.0612,11.0019,11.0098,24913.705834708,0
