<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RECS.US,D,20190926,000000,16.184,16.184,16.155,16.155,616,0
RECS.US,D,20190927,000000,16.176,16.176,16.064,16.064,1230,0
RECS.US,D,20190930,000000,16.159,16.161,16.159,16.161,246,0
RECS.US,D,20191002,000000,15.661,15.661,15.661,15.661,6,0
RECS.US,D,20191003,000000,15.608,15.763,15.608,15.763,984,0
RECS.US,D,20191008,000000,15.713,15.834,15.713,15.713,124,0
RECS.US,D,20191009,000000,15.851,15.891,15.846,15.846,372,0
RECS.US,D,20191010,000000,15.956,15.956,15.94,15.94,125,0
RECS.US,D,20191011,000000,16.208,16.233,16.15,16.15,370,0
RECS.US,D,20191014,000000,16.119,16.122,16.119,16.122,124,0
RECS.US,D,20191015,000000,16.208,16.322,16.208,16.278,616,0
RECS.US,D,20191016,000000,16.231,16.231,16.231,16.231,2,0
RECS.US,D,20191023,000000,16.334,16.334,16.334,16.334,1,0
RECS.US,D,20191024,000000,16.387,16.387,16.387,16.387,1,0
RECS.US,D,20191025,000000,16.44,16.44,16.44,16.44,1,0
RECS.US,D,20191028,000000,16.542,16.542,16.542,16.542,1,0
RECS.US,D,20191029,000000,16.598,16.598,16.538,16.538,616,0
RECS.US,D,20191030,000000,16.493,16.56,16.493,16.56,1045,0
RECS.US,D,20191031,000000,16.494,16.494,16.494,16.494,1,0
RECS.US,D,20191101,000000,16.63,16.669,16.63,16.669,665,0
RECS.US,D,20191104,000000,16.76,16.76,16.751,16.751,369,0
RECS.US,D,20191105,000000,16.751,16.751,16.751,16.751,1,0
RECS.US,D,20191106,000000,16.72,16.72,16.72,16.72,185,0
RECS.US,D,20191107,000000,16.786,16.786,16.786,16.786,1,0
RECS.US,D,20191108,000000,16.768,16.826,16.768,16.826,492,0
RECS.US,D,20191111,000000,16.818,16.818,16.817,16.817,258,0
RECS.US,D,20191112,000000,16.875,16.875,16.842,16.842,246,0
RECS.US,D,20191113,000000,16.842,16.842,16.842,16.842,1,0
RECS.US,D,20191114,000000,16.838,16.838,16.838,16.838,1,0
RECS.US,D,20191115,000000,16.915,16.96,16.915,16.96,269,0
RECS.US,D,20191118,000000,16.939,16.969,16.939,16.969,503,0
RECS.US,D,20191119,000000,16.957,16.957,16.957,16.957,1,0
RECS.US,D,20191120,000000,16.972,16.972,16.88,16.88,590,0
RECS.US,D,20191121,000000,16.85,16.857,16.85,16.857,246,0
RECS.US,D,20191122,000000,16.899,16.908,16.899,16.908,246,0
RECS.US,D,20191125,000000,17.004,17.029,17.004,17.029,246,0
RECS.US,D,20191126,000000,17.054,17.082,17.054,17.082,862,0
RECS.US,D,20191127,000000,17.135,17.16,17.135,17.16,246,0
RECS.US,D,20191129,000000,17.095,17.095,17.095,17.095,1,0
RECS.US,D,20191202,000000,16.96,16.96,16.96,16.96,1,0
RECS.US,D,20191203,000000,16.739,16.846,16.739,16.846,1846,0
RECS.US,D,20191204,000000,16.972,16.972,16.966,16.966,246,0
RECS.US,D,20191205,000000,16.956,16.976,16.956,16.976,258,0
RECS.US,D,20191206,000000,17.159,17.159,17.15,17.15,246,0
RECS.US,D,20191209,000000,17.114,17.114,17.114,17.114,12,0
RECS.US,D,20191210,000000,17.093,17.126,17.089,17.089,492,0
RECS.US,D,20191211,000000,17.129,17.129,17.129,17.129,12,0
RECS.US,D,20191212,000000,17.24,17.273,17.24,17.273,246,0
RECS.US,D,20191213,000000,17.276,17.276,17.276,17.276,12,0
RECS.US,D,20191216,000000,17.403,17.403,17.403,17.403,12,0
RECS.US,D,20191217,000000,17.411,17.411,17.411,17.411,12,0
RECS.US,D,20191218,000000,17.431,17.431,17.431,17.431,12,0
RECS.US,D,20191219,000000,17.476,17.492,17.469,17.469,1476,0
RECS.US,D,20191220,000000,17.561,17.561,17.561,17.561,12,0
RECS.US,D,20191223,000000,17.572,17.572,17.572,17.572,12,0
RECS.US,D,20191224,000000,17.574,17.574,17.574,17.574,12,0
RECS.US,D,20191226,000000,17.631,17.631,17.631,17.631,245,0
RECS.US,D,20191227,000000,17.644,17.644,17.644,17.644,6,0
RECS.US,D,20191230,000000,17.59,17.59,17.554,17.554,245,0
RECS.US,D,20191231,000000,17.59,17.59,17.59,17.59,246,0
RECS.US,D,20200102,000000,17.735,17.735,17.735,17.735,12,0
RECS.US,D,20200103,000000,17.634,17.634,17.634,17.634,12,0
RECS.US,D,20200106,000000,17.623,17.648,17.623,17.648,490,0
RECS.US,D,20200107,000000,17.615,17.615,17.589,17.589,491,0
RECS.US,D,20200108,000000,17.648,17.737,17.639,17.691,1224,0
RECS.US,D,20200109,000000,17.794,17.813,17.794,17.813,257,0
RECS.US,D,20200110,000000,17.851,17.851,17.793,17.793,245,0
RECS.US,D,20200113,000000,17.86,17.917,17.86,17.917,553,0
RECS.US,D,20200114,000000,17.925,17.941,17.909,17.909,857,0
RECS.US,D,20200115,000000,17.974,17.982,17.95,17.95,367,0
RECS.US,D,20200116,000000,18.055,18.1,18.055,18.1,490,0
RECS.US,D,20200117,000000,18.162,18.187,18.162,18.187,367,0
RECS.US,D,20200121,000000,18.129,18.129,18.109,18.109,245,0
RECS.US,D,20200122,000000,18.136,18.136,18.136,18.136,12,0
RECS.US,D,20200123,000000,18.04,18.14,18.04,18.14,735,0
RECS.US,D,20200124,000000,17.985,17.985,17.985,17.985,12,0
RECS.US,D,20200127,000000,17.7,17.77,17.7,17.722,959,0
RECS.US,D,20200128,000000,17.803,17.9,17.803,17.9,1103,0
RECS.US,D,20200129,000000,17.915,17.915,17.891,17.891,122,0
RECS.US,D,20200130,000000,17.835,17.922,17.835,17.922,979,0
RECS.US,D,20200131,000000,17.566,17.566,17.566,17.566,1,0
RECS.US,D,20200203,000000,17.735,17.735,17.677,17.677,122,0
RECS.US,D,20200204,000000,17.908,17.95,17.908,17.929,612,0
