<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RLY.US,D,20120501,000000,21.7864,21.994,21.7864,21.9507,6100.2467772208,0
RLY.US,D,20120502,000000,22.2636,22.2636,21.7569,21.7569,302.87796394732,0
RLY.US,D,20120503,000000,21.625,21.625,21.5827,21.5827,1108.8585861293,0
RLY.US,D,20120504,000000,21.3643,21.3643,21.3102,21.3161,2169.9478289514,0
RLY.US,D,20120507,000000,21.1783,21.1783,21.1783,21.1783,625.0669390188,0
RLY.US,D,20120509,000000,21.136,21.136,21.136,21.136,277.46873878395,0
RLY.US,D,20120510,000000,21.1498,21.1498,21.0868,21.1055,693.16366245662,0
RLY.US,D,20120511,000000,21.0494,21.0494,21.0494,21.0494,5265.8078228559,0
RLY.US,D,20120514,000000,20.8104,20.8104,20.8104,20.8104,277.46873878395,0
RLY.US,D,20120515,000000,20.6421,20.6421,20.6421,20.6421,277.46873878395,0
RLY.US,D,20120516,000000,20.5565,20.5565,20.5565,20.5565,277.46873878395,0
RLY.US,D,20120517,000000,20.3341,20.3341,20.3341,20.3341,5769.9268500971,0
RLY.US,D,20120523,000000,20.0606,20.0606,20.0164,20.0242,524.44640737187,0
RLY.US,D,20120524,000000,20.3272,20.3272,20.3272,20.3272,277.46873878395,0
RLY.US,D,20120525,000000,20.3341,20.3341,20.3341,20.3341,1470.6859524556,0
RLY.US,D,20120530,000000,20.2781,20.2781,20.1334,20.1334,37978.660667179,0
RLY.US,D,20120601,000000,19.9583,19.9583,19.9583,19.9583,1389.3764319328,0
RLY.US,D,20120604,000000,19.8333,19.9239,19.8088,19.9239,1664.8124327037,0
RLY.US,D,20120605,000000,19.8018,19.9957,19.8018,19.9435,70927.31112102,0
RLY.US,D,20120606,000000,20.3017,20.3017,20.3017,20.3017,835.45532337146,0
RLY.US,D,20120608,000000,20.2328,20.3499,20.2328,20.3499,4116.2944764652,0
RLY.US,D,20120612,000000,20.2269,20.2269,20.1964,20.2269,27380.981036043,0
RLY.US,D,20120614,000000,20.2869,20.3627,20.2869,20.3627,9312.9892068768,0
RLY.US,D,20120615,000000,20.4346,20.523,20.4346,20.523,6869.6381151676,0
RLY.US,D,20120619,000000,20.5496,20.7887,20.5496,20.7887,1661.7633256841,0
RLY.US,D,20120620,000000,20.7523,20.7523,20.7523,20.7523,2628.3302508985,0
RLY.US,D,20120621,000000,20.3341,20.3341,20.3341,20.3341,277.46873878395,0
RLY.US,D,20120622,000000,20.3017,20.3017,20.3017,20.3017,8138.0666353228,0
RLY.US,D,20120625,000000,20.1334,20.1334,20.1138,20.1138,460.41515996019,0
RLY.US,D,20120626,000000,20.1758,20.1758,20.1758,20.1758,265.27231070554,0
RLY.US,D,20120627,000000,20.3567,20.407,20.3567,20.407,1251.1502470441,0
RLY.US,D,20120628,000000,20.3086,20.3086,20.3086,20.3086,134.16070886257,0
RLY.US,D,20120629,000000,20.7336,20.7336,20.7336,20.7336,134.16070886257,0
RLY.US,D,20120703,000000,21.1302,21.1498,21.1302,21.1498,1358.8853617368,0
