<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHP.US,D,20100805,000000,19.0389,19.0673,19.0291,19.051,12095.738618983,0
SCHP.US,D,20100806,000000,19.106,19.1173,19.0796,19.0947,25881.982635371,0
SCHP.US,D,20100809,000000,19.11,19.11,19.043,19.0837,61106.595099663,0
SCHP.US,D,20100810,000000,19.0796,19.1996,19.0717,19.1924,57615.183952371,0
SCHP.US,D,20100811,000000,19.2151,19.226,19.1853,19.1924,58903.188064678,0
SCHP.US,D,20100812,000000,19.1996,19.1996,19.0548,19.0752,273532.97332948,0
SCHP.US,D,20100813,000000,19.0982,19.1668,19.0796,19.1392,341199.18937255,0
SCHP.US,D,20100816,000000,19.2495,19.2495,19.1853,19.1996,158422.2058066,0
SCHP.US,D,20100817,000000,19.1786,19.1853,19.1278,19.1468,213735.08240822,0
SCHP.US,D,20100818,000000,19.1891,19.1891,19.1243,19.1243,73593.334967025,0
SCHP.US,D,20100819,000000,19.1243,19.1786,19.1173,19.1468,44305.041456068,0
SCHP.US,D,20100820,000000,19.1553,19.1553,19.106,19.106,51872.065615882,0
SCHP.US,D,20100823,000000,19.0914,19.1392,19.0548,19.1392,40974.630822811,0
SCHP.US,D,20100824,000000,19.2182,19.8269,19.1507,19.1924,69007.12032427,0
SCHP.US,D,20100825,000000,19.2416,19.2416,19.1628,19.1891,90739.889712133,0
SCHP.US,D,20100826,000000,19.2338,19.3057,19.2182,19.3057,40098.328024974,0
SCHP.US,D,20100827,000000,19.3057,19.3057,19.1712,19.1712,126944.30530472,0
SCHP.US,D,20100830,000000,19.2574,19.2747,19.2182,19.2574,66746.213105701,0
SCHP.US,D,20100831,000000,19.326,19.326,19.2788,19.2986,54843.675103562,0
SCHP.US,D,20100901,000000,19.2416,19.2416,19.1243,19.226,93295.19787066,0
SCHP.US,D,20100902,000000,19.2076,19.2151,19.1628,19.1924,32439.303571426,0
SCHP.US,D,20100903,000000,19.1392,19.1786,19.1308,19.159,30456.697241411,0
SCHP.US,D,20100907,000000,19.2538,19.2869,19.2222,19.2869,46547.54861589,0
SCHP.US,D,20100908,000000,19.2676,19.2676,19.2035,19.2299,45602.245597751,0
SCHP.US,D,20100909,000000,19.2076,19.2076,19.1425,19.1668,61658.596862082,0
SCHP.US,D,20100910,000000,19.1853,19.2222,19.1786,19.1818,32448.5036008,0
SCHP.US,D,20100913,000000,19.1924,19.3016,19.1924,19.2869,26831.885668198,0
SCHP.US,D,20100914,000000,19.3466,19.3466,19.3138,19.326,70134.123922542,0
SCHP.US,D,20100915,000000,19.2869,19.3095,19.2373,19.2495,56938.98179341,0
SCHP.US,D,20100916,000000,19.2182,19.2182,19.1468,19.1853,70442.324906557,0
SCHP.US,D,20100917,000000,19.1996,19.2222,19.1668,19.1747,24911.379536451,0
SCHP.US,D,20100920,000000,19.2112,19.2612,19.1956,19.2416,63211.101818883,0
SCHP.US,D,20100921,000000,19.3057,19.4955,19.2825,19.4838,124349.89702135,0
SCHP.US,D,20100922,000000,19.5926,19.6117,19.5346,19.5392,39557.826299276,0
SCHP.US,D,20100923,000000,19.566,19.566,19.4696,19.5142,38674.623479404,0
SCHP.US,D,20100924,000000,19.4622,19.4878,19.4258,19.4258,57587.583864248,0
SCHP.US,D,20100927,000000,19.4408,19.4913,19.4295,19.4806,43437.938687605,0
SCHP.US,D,20100928,000000,19.5346,19.6474,19.5231,19.6,44896.143343325,0
SCHP.US,D,20100929,000000,19.6,19.6,19.5068,19.5265,51168.263368798,0
SCHP.US,D,20100930,000000,19.5068,19.5621,19.3912,19.4913,66645.012782591,0
SCHP.US,D,20101001,000000,19.4734,19.5186,19.4581,19.5068,41554.232673353,0
SCHP.US,D,20101004,000000,19.5346,19.5346,19.5026,19.5231,104165.0325756,0
SCHP.US,D,20101005,000000,19.566,19.6393,19.5536,19.6222,56630.780809392,0
SCHP.US,D,20101006,000000,19.8388,19.9574,19.8151,19.8151,116315.97137083,0
SCHP.US,D,20101007,000000,19.8388,19.8388,19.7514,19.7824,64243.805116074,0
SCHP.US,D,20101008,000000,19.8618,19.8848,19.8388,19.874,39028.82461029,0
SCHP.US,D,20101011,000000,19.9121,19.9121,19.8581,19.8694,29812.695185256,0
SCHP.US,D,20101012,000000,19.8694,19.8848,19.7966,19.8082,150411.28022951,0
SCHP.US,D,20101013,000000,19.8191,19.9304,19.8191,19.92,62412.99927072,0
SCHP.US,D,20101014,000000,19.9686,20.056,19.961,19.9909,73975.136186032,0
SCHP.US,D,20101015,000000,19.961,19.961,19.846,19.874,79752.754632672,0
SCHP.US,D,20101018,000000,19.8956,19.9338,19.8882,19.9,46731.549203362,0
SCHP.US,D,20101019,000000,19.8269,19.9494,19.8269,19.9456,45110.04402626,0
SCHP.US,D,20101020,000000,19.92,19.9456,19.9042,19.9338,28469.490896703,0
SCHP.US,D,20101021,000000,19.9422,19.9686,19.924,19.9338,32420.903512679,0
SCHP.US,D,20101022,000000,19.9042,19.9456,19.8956,19.9304,67769.716373517,0
SCHP.US,D,20101025,000000,19.9986,20.0193,19.9803,19.9986,94815.502724652,0
SCHP.US,D,20101026,000000,19.9538,19.9538,19.8882,19.8922,41340.331990415,0
SCHP.US,D,20101027,000000,19.823,19.8346,19.7704,19.7864,51211.963508324,0
SCHP.US,D,20101028,000000,19.8151,19.8618,19.8082,19.8388,19616.762631927,0
SCHP.US,D,20101029,000000,19.9,19.916,19.8778,19.9121,144341.56085026,0
SCHP.US,D,20101101,000000,19.9538,19.9538,19.874,19.9082,85042.771522509,0
SCHP.US,D,20101102,000000,19.961,19.9986,19.9422,19.961,49026.956532086,0
SCHP.US,D,20101103,000000,20.0362,20.056,19.8922,19.961,84159.568702642,0
SCHP.US,D,20101104,000000,20.056,20.0804,19.9422,19.9538,73126.433476313,0
SCHP.US,D,20101105,000000,19.9304,19.9456,19.8922,19.9042,127841.30816865,0
SCHP.US,D,20101108,000000,19.9456,19.9456,19.8778,19.9,68174.517665957,0
SCHP.US,D,20101109,000000,19.9,19.9272,19.7271,19.7347,125509.10072243,0
