<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYNB.US,D,20221004,000000,26.058,26.1459,26.058,26.1459,20685,0
SYNB.US,D,20221005,000000,25.94,26.24,25.8965,26.1717,4157,0
SYNB.US,D,20221006,000000,26.05,26.06,25.985,25.985,1759,0
SYNB.US,D,20221007,000000,25.36,25.36,25.15,25.21,4552,0
SYNB.US,D,20221010,000000,24.96,24.96,24.7919,24.7919,501,0
SYNB.US,D,20221011,000000,25.01,25.01,24.5,24.6866,1392,0
SYNB.US,D,20221012,000000,24.6316,24.6316,24.6316,24.6316,7,0
SYNB.US,D,20221013,000000,25.0799,25.08,25.0734,25.0734,796,0
SYNB.US,D,20221014,000000,24.542,24.542,24.542,24.542,8,0
SYNB.US,D,20221017,000000,25.2,25.2,25.1884,25.1884,381,0
SYNB.US,D,20221018,000000,25.4595,25.4595,25.3886,25.3886,139,0
SYNB.US,D,20221019,000000,24.8661,24.8661,24.7485,24.8066,541,0
SYNB.US,D,20221020,000000,24.84,24.84,24.4528,24.4528,240,0
SYNB.US,D,20221021,000000,24.8567,24.8567,24.8567,24.8567,2,0
SYNB.US,D,20221024,000000,25.11,25.11,24.9895,24.9895,150,0
SYNB.US,D,20221025,000000,25.57,25.59,25.3634,25.5878,1077,0
SYNB.US,D,20221026,000000,25.64,25.64,25.6043,25.6043,840,0
SYNB.US,D,20221027,000000,25.575,25.575,25.3179,25.3179,101,0
SYNB.US,D,20221028,000000,25.5199,25.5199,25.5199,25.5199,2,0
SYNB.US,D,20221031,000000,25.608,25.608,25.608,25.608,2,0
SYNB.US,D,20221101,000000,25.6695,25.6695,25.6695,25.6695,53,0
SYNB.US,D,20221102,000000,25.4999,25.8,25.1122,25.1122,592,0
SYNB.US,D,20221103,000000,25.0194,25.0194,25.0194,25.0194,2,0
SYNB.US,D,20221104,000000,25.25,25.4146,25.18,25.4146,201,0
SYNB.US,D,20221107,000000,25.42,25.42,25.42,25.42,208,0
SYNB.US,D,20221108,000000,25.66,25.702,25.66,25.702,168,0
SYNB.US,D,20221109,000000,25.3415,25.3415,25.3415,25.3415,2,0
