<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TYA.US,D,20210929,000000,24.9756,24.9756,24.8264,24.8761,39570.394554267,0
TYA.US,D,20210930,000000,24.8124,24.9656,24.7975,24.9616,47514.024613258,0
TYA.US,D,20211001,000000,25.1348,25.2184,25.1149,25.2184,267566.54870851,0
TYA.US,D,20211004,000000,25.2144,25.2144,25.1447,25.1546,2820.4259073174,0
TYA.US,D,20211005,000000,25.0254,25.0254,24.9547,24.9567,6848.0262674817,0
TYA.US,D,20211006,000000,24.9855,25.0154,24.9855,24.9855,837.2825305757,0
TYA.US,D,20211007,000000,24.8463,24.8662,24.7378,24.7378,8586.9203585933,0
TYA.US,D,20211008,000000,24.7468,24.7468,24.6184,24.6284,2945.0634028653,0
TYA.US,D,20211011,000000,24.4951,24.4951,24.4493,24.4493,1218.2310048712,0
TYA.US,D,20211012,000000,24.5289,24.6782,24.5289,24.6782,6218.8079431835,0
TYA.US,D,20211013,000000,24.7875,24.8264,24.6483,24.7348,7030.961946431,0
TYA.US,D,20211014,000000,24.7777,24.8543,24.7777,24.8543,3710.9809158289,0
TYA.US,D,20211015,000000,24.6682,24.698,24.5289,24.5388,5140.291550257,0
TYA.US,D,20211018,000000,24.3498,24.4095,24.2602,24.4095,3346.1146990234,0
TYA.US,D,20211019,000000,24.3498,24.3697,24.2622,24.2622,4352.2609332446,0
TYA.US,D,20211020,000000,24.32,24.3498,24.2801,24.2841,36479.585692898,0
TYA.US,D,20211021,000000,24.1806,24.1826,24.0524,24.0524,3799.4333320242,0
TYA.US,D,20211022,000000,24.0424,24.2295,24.0424,24.1876,6777.6663909627,0
TYA.US,D,20211025,000000,24.32,24.32,24.2841,24.2841,10467.539343836,0
TYA.US,D,20211026,000000,24.2404,24.3021,24.2404,24.3021,845.32365932072,0
TYA.US,D,20211027,000000,24.3797,24.6383,24.3797,24.5836,9381.9869632576,0
TYA.US,D,20211028,000000,24.4493,24.4692,24.3498,24.3498,24874.226631641,0
TYA.US,D,20211029,000000,24.1806,24.3498,24.1806,24.33,3499.901286272,0
TYA.US,D,20211101,000000,24.2792,24.3627,24.2404,24.3627,47770.335592005,0
TYA.US,D,20211102,000000,24.4692,24.5587,24.4692,24.5388,1724.8221158078,0
TYA.US,D,20211103,000000,24.5587,24.5587,24.3001,24.4265,13836.772288001,0
TYA.US,D,20211104,000000,24.5488,24.7875,24.5378,24.7338,20259.62387309,0
TYA.US,D,20211105,000000,24.8363,25.0651,24.7905,25.0651,7363.6636482564,0
TYA.US,D,20211108,000000,24.9259,24.9259,24.6941,24.6941,97739.919895775,0
TYA.US,D,20211109,000000,24.9358,25.0551,24.9358,24.9955,14936.396643883,0
TYA.US,D,20211110,000000,24.8662,24.8662,24.3498,24.3597,12168.238073408,0
TYA.US,D,20211111,000000,24.31,24.31,24.1021,24.122,4980.4741164497,0
TYA.US,D,20211112,000000,24.32,24.3996,24.2891,24.2891,6617.8489571553,0
TYA.US,D,20211115,000000,24.2255,24.2255,24.0971,24.0971,4001.4666917429,0
TYA.US,D,20211116,000000,24.0921,24.1707,24.0324,24.0424,7424.9772549372,0
TYA.US,D,20211117,000000,24.1509,24.2642,24.1509,24.2642,603379.16221714,0
TYA.US,D,20211118,000000,24.2304,24.33,24.2304,24.322,20671.731721272,0
TYA.US,D,20211119,000000,24.509,24.6085,24.4095,24.4115,14592.638390034,0
TYA.US,D,20211122,000000,24.122,24.1608,23.9032,23.9319,4096.9550955901,0
TYA.US,D,20211123,000000,23.8344,23.8444,23.7618,23.7618,11595.307650325,0
TYA.US,D,20211124,000000,23.7151,23.8633,23.7052,23.8623,19325.847797574,0
TYA.US,D,20211126,000000,24.5687,24.7079,24.5687,24.7079,6927.4324138388,0
TYA.US,D,20211129,000000,24.4095,24.6483,24.4006,24.5886,21964.343167035,0
TYA.US,D,20211130,000000,25.1249,25.1249,24.698,24.886,50497.283377662,0
TYA.US,D,20211201,000000,24.6831,25.0054,24.5886,24.9885,24903.375723341,0
TYA.US,D,20211202,000000,24.9358,24.9358,24.698,24.8124,15947.56858357,0
TYA.US,D,20211203,000000,24.6672,25.2442,24.6672,25.1239,24261.090564833,0
TYA.US,D,20211206,000000,25.0641,25.0651,24.7965,24.8363,7929.5580836875,0
TYA.US,D,20211207,000000,24.7478,24.7875,24.6085,24.6383,7733.5555705275,0
TYA.US,D,20211208,000000,24.5488,24.5587,24.4105,24.5001,27163.938041786,0
TYA.US,D,20211209,000000,24.6682,24.6901,24.6184,24.6383,19097.680769434,0
TYA.US,D,20211210,000000,24.6284,24.7975,24.6284,24.6682,8113.4989037299,0
TYA.US,D,20211213,000000,24.7547,24.9656,24.7547,24.9259,26672.424047247,0
TYA.US,D,20211214,000000,24.8174,24.8463,24.7328,24.7875,11006.294969753,0
TYA.US,D,20211215,000000,24.6682,24.8174,24.6284,24.7468,19164.02008158,0
TYA.US,D,20211216,000000,24.9358,25.0254,24.9358,25.0134,8444.1903233691,0
TYA.US,D,20211217,000000,25.1935,25.2342,25.0711,25.0721,8984.956231472,0
TYA.US,D,20211220,000000,25.1646,25.279,25.0751,25.0751,12033.549166929,0
TYA.US,D,20211221,000000,24.698,24.881,24.698,24.8044,10570.063735335,0
TYA.US,D,20211222,000000,24.8363,24.8463,24.7468,24.8463,17925.686254847,0
TYA.US,D,20211223,000000,24.7777,24.7975,24.7378,24.7498,35407.10014653,0
TYA.US,D,20211227,000000,24.7478,24.8174,24.7428,24.7428,8312.5168401693,0
TYA.US,D,20211228,000000,24.8562,24.8562,24.7975,24.8074,5747.3967705064,0
TYA.US,D,20211229,000000,24.6582,24.6782,24.4941,24.5488,33593.825614527,0
TYA.US,D,20211230,000000,24.5587,24.6682,24.5388,24.6483,28770.153508605,0
TYA.US,D,20211231,000000,24.7179,24.7378,24.6473,24.6493,2418.3694700662,0
TYA.US,D,20220103,000000,24.2801,24.2801,24.0663,24.0911,50346.512213693,0
TYA.US,D,20220104,000000,24.0215,24.0811,23.9022,24.0811,31097.055139197,0
TYA.US,D,20220105,000000,23.9917,24.0304,23.7339,23.7439,45219.287497647,0
TYA.US,D,20220106,000000,23.6047,23.6146,22.8396,23.545,77514.470819852,0
TYA.US,D,20220107,000000,23.5052,23.5052,23.3161,23.4007,28483.688297064,0
TYA.US,D,20220110,000000,23.2664,23.3659,23.1868,23.2912,20002.307753249,0
TYA.US,D,20220111,000000,23.2764,23.5052,23.2664,23.5052,3585.3382791879,0
TYA.US,D,20220112,000000,23.5648,23.5947,23.4852,23.535,76531.442830773,0
TYA.US,D,20220113,000000,23.5549,23.6842,23.5052,23.6773,41219.83108809,0
TYA.US,D,20220114,000000,23.4952,23.5052,23.2634,23.2863,27020.202865469,0
TYA.US,D,20220118,000000,23.0077,23.0276,22.7799,22.7799,40912.257913593,0
TYA.US,D,20220119,000000,22.8983,23.0276,22.8883,22.9182,17520.614394316,0
TYA.US,D,20220120,000000,23.0276,23.0674,22.9779,23.0475,28782.215201722,0
TYA.US,D,20220121,000000,23.3857,23.4256,23.3261,23.3659,38473.785621664,0
TYA.US,D,20220124,000000,23.5251,23.5997,23.346,23.346,25439.115925979,0
TYA.US,D,20220125,000000,23.4156,23.4952,23.2564,23.2863,74449.795626904,0
TYA.US,D,20220126,000000,23.3012,23.336,22.8197,22.8396,19498.732065592,0
TYA.US,D,20220127,000000,22.8297,23.0873,22.8297,22.9779,31812.715597504,0
TYA.US,D,20220128,000000,22.9579,23.1868,22.9579,23.137,24115.345106329,0
TYA.US,D,20220131,000000,23.1211,23.1769,23.0873,23.1769,3240.574884245,0
TYA.US,D,20220201,000000,23.1858,23.1968,23.0574,23.1072,115240.43146823,0
TYA.US,D,20220202,000000,23.1818,23.333,23.1818,23.2266,29799.417987969,0
TYA.US,D,20220203,000000,22.9679,22.9978,22.9182,22.9679,57832.803075311,0
TYA.US,D,20220204,000000,22.6506,22.7202,22.4615,22.4825,66434.800550301,0
TYA.US,D,20220207,000000,22.5013,22.5511,22.4665,22.5411,18649.387841899,0
TYA.US,D,20220208,000000,22.3123,22.364,22.3123,22.3421,14002.620568368,0
TYA.US,D,20220209,000000,22.4317,22.5013,22.382,22.3919,40303.142411157,0
TYA.US,D,20220210,000000,22.1233,22.1233,21.7064,21.7462,63985.271706348,0
TYA.US,D,20220211,000000,22.0098,22.3074,21.7611,22.3024,24672.193271922,0
TYA.US,D,20220214,000000,22.0537,22.1432,21.8656,21.9641,12763.281600541,0
TYA.US,D,20220215,000000,21.786,21.8756,21.7661,21.8158,25161.696984275,0
TYA.US,D,20220216,000000,21.9442,21.974,21.8557,21.974,8475.3496972561,0
TYA.US,D,20220217,000000,22.2426,22.2526,22.173,22.2526,2663.6238967894,0
TYA.US,D,20220218,000000,22.3919,22.4715,22.382,22.4317,11632.497870771,0
TYA.US,D,20220222,000000,22.2775,22.4416,22.2526,22.4217,18687.583203437,0
TYA.US,D,20220223,000000,22.1929,22.2327,22.0437,22.1432,4915.1399453964,0
TYA.US,D,20220224,000000,22.6207,22.6207,22.2327,22.3222,3595.3896901192,0
TYA.US,D,20220225,000000,22.1929,22.2526,22.0437,22.2526,14306.173178492,0
TYA.US,D,20220228,000000,22.7102,22.9282,22.6506,22.8594,6133.3709502676,0
TYA.US,D,20220301,000000,23.2863,23.7638,23.2863,23.5748,47192.379463457,0
TYA.US,D,20220302,000000,23.2066,23.2066,22.6506,22.6506,16882.349800179,0
TYA.US,D,20220303,000000,22.7501,22.9679,22.7501,22.9082,9974.01506711,0
TYA.US,D,20220304,000000,23.4355,23.6047,23.4325,23.4852,4326.1272648233,0
TYA.US,D,20220307,000000,23.1769,23.4555,23.1589,23.1878,25960.784153313,0
TYA.US,D,20220308,000000,22.8495,22.8694,22.6903,22.7471,15876.203565958,0
TYA.US,D,20220309,000000,22.561,22.561,22.3421,22.4127,34576.853603606,0
TYA.US,D,20220310,000000,22.2327,22.2327,21.9839,22.0834,10687.665243231,0
TYA.US,D,20220311,000000,22.0337,22.0337,21.974,22.0039,4802.564142966,0
TYA.US,D,20220314,000000,21.5671,21.5671,21.2885,21.3085,37560.112368011,0
TYA.US,D,20220315,000000,21.587,21.6467,21.2885,21.3085,11125.906759835,0
TYA.US,D,20220316,000000,21.1493,21.189,18.874,21.1592,233150.51767981,0
