<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USAI.US,D,20171214,000000,21.1065,21.1065,21.0629,21.0995,9206.514503546,0
USAI.US,D,20171219,000000,21.0995,21.0995,21.0995,21.0995,664.88691044787,0
USAI.US,D,20171220,000000,20.8815,20.9657,20.8557,20.8557,1805.9902423394,0
USAI.US,D,20171222,000000,21.2274,21.2284,21.2274,21.2284,1204.6661169571,0
USAI.US,D,20171226,000000,21.387,21.4444,21.387,21.4444,362.20698156416,0
USAI.US,D,20171229,000000,21.5514,21.5574,21.5514,21.5574,776.87848413484,0
USAI.US,D,20180102,000000,21.7032,21.8934,21.7032,21.8776,2087.4825762013,0
USAI.US,D,20180103,000000,22.1977,22.3414,22.1848,22.3414,2046.1163192538,0
USAI.US,D,20180104,000000,22.4573,22.4573,22.3245,22.3245,3013.6831585854,0
USAI.US,D,20180105,000000,22.1987,22.1987,22.1194,22.1194,1337.845285666,0
USAI.US,D,20180108,000000,22.276,22.276,22.1194,22.2681,1475.0601867599,0
USAI.US,D,20180109,000000,22.2581,22.276,22.2423,22.2423,10417.23421908,0
USAI.US,D,20180110,000000,22.2363,22.2423,22.2363,22.2373,8977.4866906906,0
USAI.US,D,20180111,000000,22.2591,22.5475,22.2591,22.5475,1494.2299155892,0
USAI.US,D,20180112,000000,22.6169,22.6169,22.6169,22.6169,122.08090464976,0
USAI.US,D,20180116,000000,22.8747,22.9232,22.5911,22.6507,7067.5763394345,0
USAI.US,D,20180117,000000,22.5991,22.5991,22.5991,22.5991,1505.3281796483,0
USAI.US,D,20180119,000000,22.1987,22.1987,22.1987,22.1987,2198.465216792,0
USAI.US,D,20180122,000000,22.5733,22.5911,22.5733,22.5911,449.98416094044,0
USAI.US,D,20180123,000000,23.0075,23.0075,23.0075,23.0075,667.9137097367,0
USAI.US,D,20180124,000000,23.0055,23.0055,22.9311,22.9311,1073.5048144409,0
USAI.US,D,20180125,000000,22.8321,22.8321,22.6973,22.6973,481.26108692509,0
USAI.US,D,20180129,000000,22.6417,22.6417,22.4157,22.4157,15063.371127446,0
USAI.US,D,20180130,000000,22.1987,22.1987,21.9945,21.9945,605.35985776741,0
USAI.US,D,20180131,000000,21.9737,21.9737,21.9737,21.9737,285.52806624696,0
USAI.US,D,20180201,000000,21.7844,21.7844,21.7844,21.7844,254.25114026231,0
USAI.US,D,20180202,000000,21.4544,21.4544,21.3136,21.3136,1469.0065881822,0
USAI.US,D,20180205,000000,20.9776,20.9776,20.5405,20.7051,1443.7832607753,0
USAI.US,D,20180206,000000,19.918,21.0737,19.918,21.0737,2170.2150900962,0
USAI.US,D,20180207,000000,21.1223,21.2799,21.1223,21.2799,782.93208271251,0
USAI.US,D,20180209,000000,19.9815,19.9815,19.9815,19.9815,517.58267839113,0
USAI.US,D,20180213,000000,21.0896,21.0896,21.0807,21.0807,447.96629474788,0
USAI.US,D,20180214,000000,21.264,21.272,21.264,21.272,578.11866416787,0
USAI.US,D,20180215,000000,21.3047,21.3047,21.3047,21.3047,214.90274950743,0
USAI.US,D,20180216,000000,20.9885,20.9885,20.9885,20.9885,449.98416094044,0
USAI.US,D,20180221,000000,20.6991,20.6991,20.6991,20.6991,326.8943231944,0
USAI.US,D,20180223,000000,20.3849,20.3849,20.3849,20.3849,602.33305847857,0
USAI.US,D,20180226,000000,20.5177,20.5177,20.3948,20.4573,575.09186487904,0
USAI.US,D,20180302,000000,19.4166,19.4166,19.4166,19.4166,604.35092467113,0
USAI.US,D,20180305,000000,19.6624,19.6624,19.6614,19.6624,6589.3420517982,0
USAI.US,D,20180308,000000,19.3947,19.3947,19.3947,19.3947,302.6799288837,0
USAI.US,D,20180309,000000,19.7268,19.7268,19.7268,19.7268,581.14546345671,0
USAI.US,D,20180316,000000,19.5524,19.5524,19.5028,19.5305,746.61049124647,0
USAI.US,D,20180320,000000,18.9517,18.9517,18.9219,18.9359,1616.310820239,0
USAI.US,D,20180321,000000,19.0003,19.1271,19.0003,19.1271,2993.5044966598,0
USAI.US,D,20180322,000000,19.1133,19.1133,19.1133,19.1133,201.7866192558,0
USAI.US,D,20180323,000000,18.7852,18.7852,18.7852,18.7852,195.73302067813,0
USAI.US,D,20180328,000000,18.5701,18.5701,18.5701,18.5701,121.07197155348,0
USAI.US,D,20180329,000000,18.8347,18.8347,18.8347,18.8347,157.39356301953,0
USAI.US,D,20180402,000000,18.8259,18.8259,18.8259,18.8259,269.3851367065,0
USAI.US,D,20180406,000000,19.1975,19.1975,19.1975,19.1975,174.54542565627,0
USAI.US,D,20180409,000000,18.9685,18.9685,18.9685,18.9685,135.19703490139,0
USAI.US,D,20180411,000000,19.478,19.478,19.4701,19.4701,1197.6035852832,0
USAI.US,D,20180412,000000,19.4433,19.4433,19.4433,19.4433,1358.0239475915,0
USAI.US,D,20180416,000000,19.9726,19.9726,19.9726,19.9726,168.49182707859,0
USAI.US,D,20180417,000000,20.3264,20.3264,20.3264,20.3264,492.35935098416,0
USAI.US,D,20180418,000000,20.4216,20.4216,20.4186,20.4186,1078.5494799223,0
USAI.US,D,20180419,000000,20.2541,20.2541,20.2452,20.2452,3949.9730719323,0
USAI.US,D,20180420,000000,20.1232,20.1232,20.1232,20.1232,2562.6900645487,0
USAI.US,D,20180423,000000,20.0717,20.2204,20.0717,20.2204,611.41345634508,0
USAI.US,D,20180424,000000,19.8268,19.8458,19.8268,19.8458,12515.815059342,0
