<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UYM.US,D,20070201,000000,14.166,14.1707,14.166,14.1707,871.46057996499,0
UYM.US,D,20070202,000000,14.0688,14.0688,14.0688,14.0688,417.6585268035,0
UYM.US,D,20070205,000000,14.1571,14.1571,14.084,14.1215,45203.503631732,0
UYM.US,D,20070206,000000,14.1934,14.1934,14.1934,14.1934,871.46057996499,0
UYM.US,D,20070207,000000,14.2315,14.2315,14.1797,14.1797,25067.543502956,0
UYM.US,D,20070208,000000,14.048,14.2114,14.048,14.2114,89523.49884138,0
UYM.US,D,20070213,000000,14.5236,14.6687,14.5037,14.6687,68042.196342612,0
UYM.US,D,20070214,000000,14.6869,14.8098,14.6869,14.8098,23714.169238218,0
UYM.US,D,20070215,000000,14.8657,14.9801,14.8657,14.9801,4015.9473731105,0
UYM.US,D,20070216,000000,14.9686,14.9686,14.9619,14.9619,2248.9305289419,0
UYM.US,D,20070220,000000,14.8348,15.056,14.8278,15.0422,26396.822083455,0
UYM.US,D,20070221,000000,14.9801,14.9801,14.9801,14.9801,1317.2307383803,0
UYM.US,D,20070222,000000,15.5366,15.6516,15.2572,15.3682,118173.26740115,0
UYM.US,D,20070223,000000,15.3886,15.4871,15.315,15.4871,97579.48927184,0
UYM.US,D,20070226,000000,15.9267,15.9267,15.5547,15.5697,59524.371964245,0
UYM.US,D,20070227,000000,14.812,14.9327,13.6486,14.252,878637.07792073,0
UYM.US,D,20070228,000000,14.0276,14.5261,13.673,14.2544,16577.8307562,0
UYM.US,D,20070301,000000,13.8339,14.3157,13.8339,14.3157,2694.7006873572,0
UYM.US,D,20070302,000000,14.1548,14.1548,13.5719,13.669,3124.40705628,0
UYM.US,D,20070305,000000,13.4073,13.5697,13.2731,13.2731,10300.905012029,0
UYM.US,D,20070306,000000,13.6775,13.8068,13.6775,13.8068,8497.7446415019,0
UYM.US,D,20070307,000000,13.8538,13.9964,13.7529,13.7978,12975.52596252,0
UYM.US,D,20070308,000000,14.1252,14.1886,14.0642,14.0642,5823.1236910103,0
UYM.US,D,20070309,000000,14.1886,14.2629,14.1753,14.2629,10300.905012029,0
UYM.US,D,20070312,000000,14.4058,14.4857,14.4058,14.4505,3578.2091094415,0
UYM.US,D,20070313,000000,14.2228,14.2228,13.6309,13.6486,10300.905012029,0
UYM.US,D,20070314,000000,13.8339,13.8538,13.6621,13.8516,9859.1508009864,0
UYM.US,D,20070315,000000,14.3028,14.479,14.296,14.296,16577.8307562,0
UYM.US,D,20070316,000000,14.2228,14.2228,14.0276,14.0276,12975.52596252,0
UYM.US,D,20070319,000000,14.2291,14.4525,14.2291,14.4345,17015.56901987,0
UYM.US,D,20070320,000000,14.6511,14.7273,14.6136,14.6426,8963.5945367827,0
UYM.US,D,20070321,000000,14.6378,15.0734,14.6378,15.0734,2248.9305289419,0
UYM.US,D,20070322,000000,15.0422,15.1076,14.9686,14.9686,6714.6640078408,0
