<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VWO.US,D,20050310,000000,18.2885,18.3636,18.168,18.2384,148781.27035728,0
VWO.US,D,20050311,000000,18.3183,18.407,18.2161,18.2161,253564.72028505,0
VWO.US,D,20050314,000000,18.168,18.2161,18.0331,18.1103,155109.51785071,0
VWO.US,D,20050315,000000,17.902,17.9474,17.7093,17.7171,175730.80449257,0
VWO.US,D,20050316,000000,17.6882,17.7363,17.5387,17.5638,270064.03266585,0
VWO.US,D,20050317,000000,17.5387,17.7883,17.5387,17.7026,335245.60450295,0
VWO.US,D,20050318,000000,17.7816,17.7816,17.6351,17.7296,103676.1622801,0
VWO.US,D,20050321,000000,17.5686,17.5686,17.4241,17.5051,111379.43895176,0
VWO.US,D,20050322,000000,17.5686,17.6207,17.1754,17.2295,93505.097392738,0
VWO.US,D,20050323,000000,17.1167,17.1899,17.055,17.08,74255.726655494,0
VWO.US,D,20050324,000000,17.0223,17.1244,17.0088,17.0155,156208.50343543,0
VWO.US,D,20050328,000000,17.0917,17.1418,17.0011,17.08,90752.963520552,0
VWO.US,D,20050329,000000,16.9086,16.9452,16.661,16.7062,70676.499760634,0
VWO.US,D,20050330,000000,16.8719,17.0714,16.7939,17.0714,243388.46660833,0
VWO.US,D,20050331,000000,17.2795,17.3084,17.0917,17.1639,248615.65300132,0
VWO.US,D,20050401,000000,17.4974,17.4974,17.1244,17.1754,195537.4512062,0
VWO.US,D,20050404,000000,17.2863,17.294,17.1573,17.2709,60224.202490402,0
VWO.US,D,20050405,000000,17.2863,17.3875,17.1899,17.2381,96532.237100568,0
VWO.US,D,20050406,000000,17.3875,17.4867,17.3654,17.3924,132004.8766251,0
VWO.US,D,20050407,000000,17.3789,17.5108,17.3008,17.4685,66828.493577352,0
VWO.US,D,20050408,000000,17.4531,17.4685,17.3229,17.3229,85529.928159047,0
VWO.US,D,20050411,000000,17.4531,17.4531,17.3654,17.3875,122381.74789328,0
VWO.US,D,20050412,000000,17.3528,17.4155,17.1573,17.4155,346518.76824863,0
VWO.US,D,20050413,000000,17.4309,17.4531,17.2449,17.2709,80854.828953091,0
VWO.US,D,20050414,000000,17.1032,17.1032,16.8372,16.8372,133931.99299035,0
VWO.US,D,20050415,000000,16.7795,16.7795,16.4653,16.5531,308844.0065232,0
VWO.US,D,20050418,000000,16.5049,16.5531,16.4142,16.5049,118531.66619425,0
VWO.US,D,20050419,000000,16.7274,16.844,16.7274,16.844,147408.3166948,0
VWO.US,D,20050420,000000,16.7939,16.8064,16.5578,16.5732,83604.887309536,0
VWO.US,D,20050421,000000,16.8141,16.9452,16.713,16.9452,212038.83910273,0
VWO.US,D,20050422,000000,16.9298,16.9452,16.7641,16.8286,48956.227534071,0
VWO.US,D,20050425,000000,16.8575,16.9877,16.7939,16.9877,93232.167072834,0
VWO.US,D,20050426,000000,16.923,17.0155,16.8719,16.8768,170234.83881116,0
VWO.US,D,20050427,000000,16.8575,16.8719,16.7274,16.8007,106156.40359026,0
VWO.US,D,20050428,000000,16.7573,16.7573,16.449,16.449,85810.122784044,0
VWO.US,D,20050429,000000,16.7274,16.7641,16.5125,16.7641,56102.228229346,0
VWO.US,D,20050502,000000,16.8007,16.844,16.7274,16.844,84155.936738696,0
VWO.US,D,20050503,000000,16.7274,16.8286,16.7274,16.7274,161709.65790618,0
VWO.US,D,20050504,000000,16.923,17.3229,16.923,17.3084,855571.17415251,0
VWO.US,D,20050505,000000,17.3605,17.4531,17.1899,17.3171,305266.85514408,0
VWO.US,D,20050506,000000,17.3528,17.5176,17.3306,17.401,345146.85234402,0
VWO.US,D,20050509,000000,17.3229,17.4925,17.1986,17.4531,341567.62544916,0
VWO.US,D,20050510,000000,17.2449,17.3084,17.0917,17.0965,203507.43165053,0
VWO.US,D,20050511,000000,17.1418,17.1986,17.0223,17.1899,56651.202142765,0
VWO.US,D,20050512,000000,17.1639,17.2228,16.844,16.8931,145758.28168093,0
VWO.US,D,20050513,000000,16.9452,16.9578,16.7274,16.8517,115233.67168226,0
VWO.US,D,20050516,000000,16.8286,17.0011,16.7939,16.9578,58577.280750146,0
VWO.US,D,20050517,000000,16.9144,17.0223,16.8372,16.9877,191410.28815579,0
VWO.US,D,20050518,000000,17.0628,17.4771,17.0628,17.401,713387.96833496,0
VWO.US,D,20050519,000000,17.3528,17.3875,17.2554,17.3229,74806.776084653,0
VWO.US,D,20050520,000000,17.2063,17.2381,17.1032,17.1639,97356.216849631,0
VWO.US,D,20050523,000000,17.134,17.2228,17.0628,17.1754,77004.747254068,0
VWO.US,D,20050524,000000,17.1639,17.1832,17.055,17.1754,67655.586600026,0
VWO.US,D,20050525,000000,17.1754,17.1754,17.0011,17.109,88278.948757622,0
VWO.US,D,20050526,000000,17.1899,17.2554,17.1244,17.1754,62700.292769074,0
VWO.US,D,20050527,000000,17.3306,17.4155,17.294,17.401,94879.08881309,0
VWO.US,D,20050531,000000,17.3654,17.3654,17.1986,17.2496,179035.02555178,0
VWO.US,D,20050601,000000,17.0917,17.3721,17.055,17.345,267862.94822283,0
VWO.US,D,20050602,000000,17.3924,17.4974,17.3528,17.4974,373192.25879041,0
VWO.US,D,20050603,000000,17.4974,17.6351,17.4077,17.4531,63252.379956103,0
VWO.US,D,20050606,000000,17.5638,17.6207,17.4867,17.6062,126231.8295923,0
VWO.US,D,20050607,000000,17.5686,17.6496,17.5051,17.5176,313788.92277545,0
VWO.US,D,20050608,000000,17.5754,17.5985,17.4395,17.4395,71506.706056919,0
VWO.US,D,20050609,000000,17.4867,17.5851,17.4155,17.5638,112203.41870082,0
VWO.US,D,20050610,000000,17.6882,17.6882,17.4925,17.5686,95706.181835764,0
VWO.US,D,20050613,000000,17.5552,17.6207,17.4925,17.5638,154830.36098359,0
VWO.US,D,20050614,000000,17.5686,17.6351,17.5387,17.6293,62976.336362588,0
VWO.US,D,20050615,000000,17.8037,17.8809,17.7026,17.8809,81408.991655862,0
VWO.US,D,20050616,000000,17.9088,18.1805,17.9088,18.1459,121831.73622199,0
VWO.US,D,20050617,000000,18.1381,18.2161,18.0717,18.2114,84425.753784989,0
VWO.US,D,20050620,000000,18.1459,18.2161,18.0331,18.1459,457900.28271614,0
VWO.US,D,20050621,000000,18.0938,18.0938,18.0139,18.0331,165831.63216724,0
VWO.US,D,20050622,000000,18.2114,18.2114,18.1025,18.1805,87729.974844203,0
VWO.US,D,20050623,000000,18.1883,18.2036,17.8182,17.9175,177938.11548282,0
VWO.US,D,20050624,000000,17.9474,17.9791,17.8182,17.8182,67376.4297329,0
VWO.US,D,20050627,000000,17.8809,17.9628,17.8182,17.8867,171607.79247365,0
VWO.US,D,20050628,000000,17.9532,18.0639,17.9175,18.0331,48956.227534071,0
VWO.US,D,20050629,000000,17.9309,17.9791,17.8683,17.9791,187557.09318315,0
VWO.US,D,20050630,000000,18.0013,18.0013,17.8182,17.8471,120455.6692859,0
VWO.US,D,20050701,000000,18.0139,18.0331,17.8742,18.0139,31626.708856986,0
VWO.US,D,20050705,000000,17.7816,18.0331,17.6832,18.0331,320946.3388073,0
VWO.US,D,20050706,000000,17.8683,17.9628,17.8548,17.8943,239535.2716357,0
VWO.US,D,20050707,000000,17.7363,17.8943,17.6351,17.8867,98455.202434338,0
VWO.US,D,20050708,000000,17.8867,18.0206,17.8548,18.0013,48677.070666945,0
VWO.US,D,20050711,000000,18.1103,18.3579,18.1103,18.2885,132282.99573435,0
VWO.US,D,20050712,000000,18.379,18.5438,18.379,18.5092,78654.782267935,0
VWO.US,D,20050713,000000,18.4947,18.5293,18.4561,18.5092,58027.269078857,0
VWO.US,D,20050714,000000,18.7578,18.7626,18.5361,18.6257,91579.018785356,0
VWO.US,D,20050715,000000,18.5293,18.5805,18.4561,18.5293,79477.724259128,0
VWO.US,D,20050718,000000,18.5168,18.5805,18.4811,18.4811,71230.662463405,0
VWO.US,D,20050719,000000,18.566,18.6748,18.5092,18.6672,38778.936099484,0
