<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WBIL.US,D,20140829,000000,23.689,23.697,23.651,23.661,74489.066792098,0
WBIL.US,D,20140902,000000,23.6031,23.68,23.6031,23.68,31393.924819969,0
WBIL.US,D,20140903,000000,23.7439,23.7439,23.697,23.7239,47743.570703809,0
WBIL.US,D,20140904,000000,23.7928,23.7928,23.689,23.689,8703.782073456,0
WBIL.US,D,20140905,000000,23.7159,23.8497,23.7159,23.8497,11218.341581326,0
WBIL.US,D,20140908,000000,23.8686,23.9056,23.8297,23.8876,90069.317575522,0
WBIL.US,D,20140909,000000,23.8297,23.8397,23.7728,23.7728,2652.810189976,0
WBIL.US,D,20140910,000000,23.8097,23.8097,23.7529,23.7529,9133.561367829,0
WBIL.US,D,20140911,000000,23.7529,23.8008,23.7339,23.7828,17736.159971048,0
WBIL.US,D,20140912,000000,23.6231,23.6231,23.6231,23.6231,1440.612180206,0
WBIL.US,D,20140915,000000,23.68,23.68,23.67,23.67,4979.02818889,0
WBIL.US,D,20140916,000000,23.689,23.7728,23.689,23.7439,5778.477785416,0
WBIL.US,D,20140917,000000,23.7439,23.7439,23.697,23.697,2695.888301067,0
WBIL.US,D,20140918,000000,23.7728,23.7728,23.7728,23.7728,512.930066944,0
WBIL.US,D,20140919,000000,23.7439,23.8008,23.7339,23.7828,4551.252527591,0
WBIL.US,D,20140922,000000,23.6321,23.6321,23.5931,23.5931,2323.212549303,0
WBIL.US,D,20140923,000000,23.6031,23.6031,23.5552,23.5552,2507.546792111,0
WBIL.US,D,20140924,000000,23.5832,23.6131,23.5832,23.6131,3388.143528134,0
WBIL.US,D,20140925,000000,23.4264,23.4654,23.4264,23.4654,2254.08720825,0
WBIL.US,D,20140926,000000,23.4853,23.5482,23.4853,23.5482,5423.834731318,0
WBIL.US,D,20140929,000000,23.5023,23.5283,23.4943,23.5283,29760.963864659,0
WBIL.US,D,20140930,000000,23.4943,23.4943,23.4554,23.4654,5975.835643205,0
WBIL.US,D,20141001,000000,23.2188,23.2378,23.2188,23.2378,3251.896479102,0
WBIL.US,D,20141002,000000,23.1899,23.1989,23.1899,23.1989,2147.894655328,0
WBIL.US,D,20141003,000000,23.2278,23.2558,23.2278,23.2478,3147.707559254,0
WBIL.US,D,20141006,000000,23.2088,23.2478,23.2088,23.2478,7223.09723177,0
WBIL.US,D,20141007,000000,23.134,23.142,23.114,23.114,4821.742992581,0
WBIL.US,D,20141008,000000,23.0851,23.105,23.0122,23.105,5892.684870634,0
WBIL.US,D,20141009,000000,23.0661,23.0661,23.0661,23.0661,2288.148970508,0
WBIL.US,D,20141010,000000,22.9823,22.9922,22.9633,22.9633,5203.435093178,0
WBIL.US,D,20141013,000000,22.9823,22.9823,22.9553,22.9553,8144.76844581,0
WBIL.US,D,20141014,000000,22.9463,22.9633,22.9264,22.9633,3943.149889632,0
WBIL.US,D,20141015,000000,22.9922,22.9922,22.9363,22.9363,12323.345221637,0
WBIL.US,D,20141016,000000,22.9922,23.0122,22.9823,23.0022,5470.920108557,0
WBIL.US,D,20141017,000000,22.9633,22.9823,22.9553,22.9723,3771.839261805,0
WBIL.US,D,20141020,000000,22.9633,22.9723,22.9363,22.9723,3614.554065496,0
WBIL.US,D,20141021,000000,23.0192,23.0561,23.0192,23.0561,8240.942833362,0
WBIL.US,D,20141022,000000,23.0661,23.0661,23.0192,23.0272,3128.673045051,0
WBIL.US,D,20141023,000000,23.0761,23.0761,23.0561,23.0761,2071.756598516,0
WBIL.US,D,20141024,000000,23.0761,23.095,23.0761,23.095,6918.545004522,0
WBIL.US,D,20141027,000000,23.0661,23.0761,23.0661,23.0661,3552.441440202,0
WBIL.US,D,20141028,000000,23.124,23.1719,23.124,23.1719,4005.262514926,0
WBIL.US,D,20141029,000000,23.2088,23.2088,23.142,23.1519,9119.535936311,0
WBIL.US,D,20141030,000000,23.1719,23.2478,23.095,23.2478,10190.477814364,0
WBIL.US,D,20141031,000000,23.3196,23.3296,23.2817,23.3107,5840.59041071,0
WBIL.US,D,20141103,000000,23.3007,23.3296,23.3007,23.3107,39640.878552553,0
WBIL.US,D,20141104,000000,23.1899,23.2088,23.124,23.1899,59838.50175501,0
WBIL.US,D,20141105,000000,23.2088,23.2627,23.1619,23.2558,12090.923785053,0
WBIL.US,D,20141106,000000,23.114,23.142,23.114,23.114,2768.019091731,0
WBIL.US,D,20141107,000000,23.105,23.124,23.095,23.095,9651.500517458,0
WBIL.US,D,20141110,000000,23.105,23.142,23.105,23.142,2592.701197756,0
WBIL.US,D,20141111,000000,23.142,23.142,23.114,23.114,1422.57948254,0
WBIL.US,D,20141112,000000,23.1519,23.1519,23.124,23.142,3033.500474036,0
WBIL.US,D,20141113,000000,23.134,23.3196,23.114,23.3196,11544.933772388,0
WBIL.US,D,20141114,000000,23.2717,23.3107,23.2717,23.3107,7122.91557807,0
WBIL.US,D,20141117,000000,23.3695,23.3975,23.3695,23.3975,9577.36609372,0
WBIL.US,D,20141118,000000,23.4364,23.4364,23.4075,23.4364,8728.827486881,0
WBIL.US,D,20141119,000000,23.3795,23.4264,23.3795,23.3875,7246.139012121,0
WBIL.US,D,20141120,000000,23.4554,23.5113,23.4554,23.5023,8151.781161569,0
WBIL.US,D,20141121,000000,23.6161,23.6161,23.5482,23.5862,4222.656703455,0
WBIL.US,D,20141124,000000,23.5862,23.6251,23.5862,23.6251,8758.881982991,0
WBIL.US,D,20141125,000000,23.5961,23.6251,23.5862,23.6061,4530.214380314,0
WBIL.US,D,20141126,000000,23.6061,23.6341,23.5961,23.6341,3738.779316084,0
WBIL.US,D,20141128,000000,23.4364,23.4364,23.3975,23.4175,5419.82746517,0
WBIL.US,D,20141201,000000,23.1899,23.2278,23.1899,23.2278,7424.462355707,0
WBIL.US,D,20141202,000000,23.2378,23.3107,23.2378,23.3107,8289.030027138,0
WBIL.US,D,20141203,000000,23.4654,23.5193,23.4654,23.5193,6497.782058982,0
WBIL.US,D,20141204,000000,23.4554,23.5023,23.4554,23.4943,8929.190794281,0
WBIL.US,D,20141205,000000,23.5862,23.5961,23.5582,23.5961,9549.315230684,0
WBIL.US,D,20141208,000000,23.5382,23.5961,23.3695,23.4364,10063.247114165,0
WBIL.US,D,20141209,000000,23.2627,23.3975,23.2627,23.3396,11944.658570651,0
WBIL.US,D,20141210,000000,23.2378,23.2378,23.105,23.114,13103.76030396,0
WBIL.US,D,20141211,000000,23.2088,23.2088,23.1719,23.1719,5430.847447077,0
WBIL.US,D,20141212,000000,23.0272,23.124,23.0272,23.0661,7305.246187804,0
WBIL.US,D,20141215,000000,22.8784,22.8964,22.8585,22.8964,26427.92024606,0
WBIL.US,D,20141216,000000,22.9553,22.9553,22.8784,22.9164,5836.583144562,0
WBIL.US,D,20141217,000000,22.9823,22.9823,22.9633,22.9823,3977.21165189,0
WBIL.US,D,20141218,000000,23.105,23.142,23.0851,23.142,3919.106292744,0
WBIL.US,D,20141219,000000,23.1989,23.2558,23.1989,23.2558,4067.37514022,0
WBIL.US,D,20141222,000000,23.0761,23.0851,22.9553,22.9823,16431.794839874,0
WBIL.US,D,20141223,000000,22.9264,22.9363,22.8964,22.9264,7655.881975754,0
WBIL.US,D,20141224,000000,22.9553,22.9633,22.9264,22.9264,6936.577702188,0
