<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XES.US,D,20060622,000000,247.383,247.552,243.74,245.906,2788.0463541972,0
XES.US,D,20060623,000000,253.409,253.409,253.409,253.409,378.82153913966,0
XES.US,D,20060626,000000,251.205,251.205,250.775,250.775,250.54334599184,0
XES.US,D,20060627,000000,256.972,258.538,252.083,252.172,7169.5483889024,0
XES.US,D,20060628,000000,254.357,254.896,251.983,254.806,2318.0270371165,0
XES.US,D,20060629,000000,258.368,263.348,257.83,263.248,2581.5986370999,0
XES.US,D,20060630,000000,267.01,269.155,263.607,269.155,8041.439232954,0
XES.US,D,20060703,000000,270.393,273.735,270.393,273.735,296.64332165434,0
XES.US,D,20060705,000000,269.405,272.767,267.259,272.767,1606.4839344997,0
XES.US,D,20060706,000000,272.497,272.497,267.319,268.397,1515.2861565586,0
XES.US,D,20060707,000000,269.405,270.393,261.672,262.1,1664.6099907698,0
XES.US,D,20060710,000000,262.55,265.094,260.893,262.02,2867.2180515306,0
XES.US,D,20060711,000000,262.729,267.509,262.46,267.509,2352.1009321714,0
XES.US,D,20060712,000000,266.67,268.107,265.682,267.09,6126.2858961924,0
XES.US,D,20060713,000000,264.236,265.433,260.514,260.972,3211.9656956154,0
XES.US,D,20060714,000000,262.988,263.168,256.373,261.492,6734.6051402606,0
XES.US,D,20060717,000000,259.895,259.895,250.465,251.205,905.96473910649,0
XES.US,D,20060718,000000,253.888,253.888,246.504,247.013,928.01255355377,0
XES.US,D,20060719,000000,250.705,252.411,250.365,251.045,2341.0770249477,0
XES.US,D,20060720,000000,253.309,253.309,244.518,244.778,5817.6164939305,0
XES.US,D,20060721,000000,238.751,239.978,235.728,235.728,724.5713566084,0
XES.US,D,20060724,000000,241.774,243.381,241.774,243.381,1044.264666094,0
XES.US,D,20060725,000000,246.504,251.983,246.504,251.983,2409.2248150575,0
XES.US,D,20060726,000000,251.045,260.444,250.555,259.646,4278.2781761566,0
XES.US,D,20060727,000000,261.492,262.988,256.373,256.712,1528.3144105502,0
XES.US,D,20060728,000000,256.133,256.712,252.491,256.712,1984.3033002554,0
XES.US,D,20060731,000000,261.322,262.988,259.137,262.37,700.51919539318,0
XES.US,D,20060801,000000,261.672,265.433,261.672,265.433,791.71697333421,0
XES.US,D,20060802,000000,268.477,270.921,263.248,265.334,997.16251704751,0
XES.US,D,20060803,000000,260.893,262.46,259.226,261.762,757.64307827932,0
XES.US,D,20060804,000000,259.816,259.816,255.155,255.155,1823.9555588206,0
XES.US,D,20060807,000000,259.726,259.726,255.395,258.119,68.14779010978,0
XES.US,D,20060808,000000,257.061,259.646,254.806,254.806,1549.3600516135,0
