<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XHYT.US,D,20220218,000000,39.0531,39.0531,38.9742,39.0531,12593.748911744,0
XHYT.US,D,20220222,000000,38.9742,38.9939,38.9348,38.9348,2136.7025006297,0
XHYT.US,D,20220223,000000,39.0334,39.0334,38.8954,38.8954,5383.3935151323,0
XHYT.US,D,20220224,000000,38.6394,39.0136,38.6394,39.0136,26391.931837627,0
XHYT.US,D,20220225,000000,39.1908,39.368,39.1908,39.368,16350.242519078,0
XHYT.US,D,20220228,000000,39.25,39.4074,39.25,39.4074,4265.2806571507,0
XHYT.US,D,20220301,000000,39.506,39.506,39.2894,39.3283,9241.4414238265,0
XHYT.US,D,20220302,000000,39.2991,39.3484,39.25,39.3484,4541.5083568519,0
XHYT.US,D,20220303,000000,39.368,39.368,39.2697,39.2697,5232.0776061048,0
XHYT.US,D,20220304,000000,39.1514,39.1514,38.9838,38.9838,9139.8871224657,0
XHYT.US,D,20220307,000000,38.8561,38.8561,38.5606,38.5606,8111.1420496816,0
XHYT.US,D,20220308,000000,38.5212,38.6394,38.4425,38.4819,6296.3666843653,0
XHYT.US,D,20220309,000000,38.7186,38.8167,38.7186,38.8167,3351.2919449041,0
XHYT.US,D,20220310,000000,38.5803,38.5803,38.5212,38.5305,2033.1171132419,0
XHYT.US,D,20220311,000000,38.4228,38.4228,38.2352,38.2352,2640.411835379,0
XHYT.US,D,20220314,000000,38.1274,38.1274,37.7284,37.7284,7311.9096979725,0
XHYT.US,D,20220315,000000,37.8517,38.0585,37.8517,38.0193,6195.8279260182,0
XHYT.US,D,20220316,000000,38.4031,38.6198,38.2455,38.6198,17873.557039488,0
XHYT.US,D,20220317,000000,38.6591,38.8364,38.6591,38.8364,8225.8984102192,0
XHYT.US,D,20220318,000000,38.8364,38.9742,38.8364,38.9742,7010.2934229313,0
XHYT.US,D,20220321,000000,38.9348,38.9348,38.5606,38.5996,4265.2806571507,0
XHYT.US,D,20220322,000000,38.5705,38.7379,38.5705,38.7379,5280.823670758,0
XHYT.US,D,20220323,000000,38.6985,38.6985,38.6394,38.6886,4265.2806571507,0
XHYT.US,D,20220324,000000,38.6886,38.7084,38.6394,38.7084,1396.37164371,0
XHYT.US,D,20220325,000000,38.6198,38.6198,38.4819,38.4819,3148.1833421826,0
XHYT.US,D,20220328,000000,38.6001,38.6591,38.6001,38.6591,406.21720544293,0
XHYT.US,D,20220329,000000,38.8757,39.1564,38.8757,39.1564,5280.823670758,0
XHYT.US,D,20220330,000000,39.1711,39.1711,39.0924,39.0924,121.86516163288,0
XHYT.US,D,20220331,000000,39.0727,39.0727,39.0334,39.0365,3046.6290408219,0
XHYT.US,D,20220401,000000,38.7182,38.7182,38.7182,38.7182,203.10860272146,0
XHYT.US,D,20220404,000000,38.7969,38.9545,38.7969,38.9545,3148.1833421826,0
XHYT.US,D,20220405,000000,38.9348,38.9348,38.5705,38.5705,3149.1988851962,0
XHYT.US,D,20220406,000000,38.2258,38.3243,38.2258,38.2554,3046.6290408219,0
XHYT.US,D,20220407,000000,38.1569,38.1569,38.1569,38.1569,101.55430136073,0
XHYT.US,D,20220408,000000,38.0191,38.0191,37.8911,37.8911,2222.0081137727,0
XHYT.US,D,20220411,000000,37.7532,37.7532,37.6154,37.6154,3237.55112738,0
XHYT.US,D,20220412,000000,37.822,37.822,37.822,37.822,101.55430136073,0
XHYT.US,D,20220413,000000,38.0683,38.0683,38.0683,38.0683,101.55430136073,0
XHYT.US,D,20220414,000000,37.9108,37.9108,37.832,37.8714,3047.6445838356,0
XHYT.US,D,20220418,000000,37.7729,37.7729,37.7729,37.7729,101.55430136073,0
XHYT.US,D,20220419,000000,37.7237,37.7237,37.7237,37.7237,4.0621720544293,0
XHYT.US,D,20220420,000000,37.832,37.832,37.822,37.822,1016.5585566209,0
XHYT.US,D,20220421,000000,38.0092,38.0092,37.5855,37.5855,4366.8349585114,0
XHYT.US,D,20220422,000000,37.4774,37.4774,37.3987,37.4006,4062.1720544293,0
XHYT.US,D,20220425,000000,37.3397,37.5563,37.3397,37.5563,9429.3168813438,0
XHYT.US,D,20220426,000000,37.4677,37.4677,37.4283,37.4283,2145.8423877523,0
XHYT.US,D,20220427,000000,37.3494,37.3494,37.251,37.256,4062.1720544293,0
XHYT.US,D,20220428,000000,37.2805,37.3494,37.2214,37.3445,6296.3666843653,0
XHYT.US,D,20220429,000000,37.1427,37.1427,36.8768,36.8768,9244.4880528672,0
XHYT.US,D,20220502,000000,36.7581,36.7581,36.7581,36.7581,1010.9330720606,0
XHYT.US,D,20220503,000000,36.9461,36.9461,36.9461,36.9461,3.0327992161819,0
XHYT.US,D,20220504,000000,37.0747,37.411,36.9955,37.2774,6975.4381972185,0
XHYT.US,D,20220505,000000,37.0944,37.1043,36.7285,36.7285,7278.7181188367,0
XHYT.US,D,20220506,000000,36.5405,36.6197,36.5306,36.5306,2021.8661441213,0
XHYT.US,D,20220509,000000,36.1844,36.1844,36.1844,36.1844,8.0874645764852,0
XHYT.US,D,20220510,000000,36.3229,36.3921,36.3031,36.3921,4043.7322882426,0
XHYT.US,D,20220511,000000,36.2635,36.3625,36.2339,36.2339,5155.7586675093,0
XHYT.US,D,20220512,000000,36.0855,36.1251,36.0855,36.1151,5054.6653603032,0
XHYT.US,D,20220513,000000,36.2437,36.2635,36.1251,36.1844,3134.9034564601,0
XHYT.US,D,20220516,000000,36.1745,36.1745,36.1745,36.1745,1010.9330720606,0
XHYT.US,D,20220517,000000,36.1349,36.1349,36.1349,36.1349,1010.9330720606,0
XHYT.US,D,20220518,000000,35.947,35.947,35.8679,35.8679,101.09330720606,0
XHYT.US,D,20220519,000000,35.7294,36.0261,35.7294,36.0261,23453.647271807,0
XHYT.US,D,20220520,000000,36.1844,36.1844,36.0459,36.0459,2122.9594513274,0
XHYT.US,D,20220523,000000,36.1251,36.1449,36.0855,36.0855,2021.8661441213,0
XHYT.US,D,20220524,000000,36.1053,36.3427,36.1053,36.3427,7581.9980404549,0
XHYT.US,D,20220525,000000,36.4021,36.9015,36.4021,36.9015,8087.4645764852,0
XHYT.US,D,20220526,000000,37.0549,37.411,37.0549,37.411,19308.821676358,0
XHYT.US,D,20220527,000000,37.589,37.7968,37.589,37.7968,7076.5315044245,0
XHYT.US,D,20220531,000000,37.5297,37.5297,37.4855,37.4855,4054.8525520353,0
XHYT.US,D,20220601,000000,37.2527,37.2725,37.2132,37.2132,1920.7728369152,0
XHYT.US,D,20220602,000000,37.2527,37.2923,37.2527,37.2923,1113.0373123388,0
XHYT.US,D,20220603,000000,37.1142,37.1142,37.0054,37.0054,102.10424027813,0
XHYT.US,D,20220606,000000,36.9164,36.9164,36.6987,36.6987,407.40602804044,0
XHYT.US,D,20220607,000000,36.6987,36.6987,36.6987,36.6987,291.14872475347,0
XHYT.US,D,20220608,000000,36.4613,36.4613,36.4613,36.4613,107.15890563843,0
XHYT.US,D,20220609,000000,36.3129,36.3129,36.1943,36.2239,3033.810149254,0
XHYT.US,D,20220610,000000,35.7689,35.7689,35.4524,35.5513,5054.6653603032,0
XHYT.US,D,20220613,000000,34.7402,34.7402,34.3643,34.3841,8189.5688167633,0
XHYT.US,D,20220614,000000,34.5424,34.6412,34.4236,34.5622,6473.0044604043,0
XHYT.US,D,20220615,000000,35.0962,35.1362,34.938,35.1362,2767.9347513021,0
XHYT.US,D,20220616,000000,34.8194,34.8194,34.4632,34.6215,4651.303064551,0
XHYT.US,D,20220617,000000,34.7996,34.8391,34.7006,34.8391,4144.8255954487,0
XHYT.US,D,20220621,000000,34.8094,34.8094,34.8094,34.8094,1.0109330720606,0
XHYT.US,D,20220622,000000,34.6215,34.7698,34.6116,34.7698,12435.487719418,0
XHYT.US,D,20220623,000000,34.8886,34.9974,34.8886,34.9974,1314.2129936788,0
XHYT.US,D,20220624,000000,35.116,35.2744,35.116,35.2546,7491.0140639694,0
XHYT.US,D,20220627,000000,35.2744,35.2744,35.1754,35.1781,2044.1066717066,0
XHYT.US,D,20220628,000000,34.9578,34.9578,34.7204,34.7204,6035.2704402021,0
XHYT.US,D,20220629,000000,34.5819,34.5819,34.5819,34.5819,101.09330720606,0
