<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XSVM.US,D,20110617,000000,12.7734,12.8883,12.7158,12.7575,17931.505880536,0
XSVM.US,D,20110620,000000,12.812,12.928,12.7575,12.8655,47384.498687127,0
XSVM.US,D,20110621,000000,13.0162,13.1064,12.9438,13.0637,22038.034629905,0
XSVM.US,D,20110622,000000,13.0637,13.147,13.0331,13.0331,48685.067620281,0
XSVM.US,D,20110623,000000,12.7654,13.0083,12.7575,12.9359,43803.645976682,0
XSVM.US,D,20110624,000000,13.0261,13.0261,12.8745,12.9032,73538.142842505,0
XSVM.US,D,20110627,000000,12.8972,13.0261,12.8467,13.0261,94953.639821707,0
XSVM.US,D,20110628,000000,13.0707,13.1638,13.0707,13.1391,30947.284963302,0
XSVM.US,D,20110629,000000,13.261,13.261,13.1312,13.2372,15467.588630915,0
XSVM.US,D,20110630,000000,13.2827,13.372,13.2827,13.3383,14071.167061104,0
XSVM.US,D,20110701,000000,13.3274,13.5851,13.3185,13.5851,15478.687357265,0
XSVM.US,D,20110705,000000,13.5672,13.5672,13.481,13.5464,24326.390208177,0
XSVM.US,D,20110706,000000,13.5057,13.593,13.481,13.5851,6160.8020991759,0
XSVM.US,D,20110707,000000,13.6981,13.8546,13.6981,13.8468,15261.757705885,0
XSVM.US,D,20110708,000000,13.6257,13.6921,13.6078,13.6921,32029.915269953,0
XSVM.US,D,20110711,000000,13.5613,13.593,13.4245,13.4503,23532.326786616,0
XSVM.US,D,20110712,000000,13.4156,13.5385,13.4066,13.481,6117.4161689,0
XSVM.US,D,20110713,000000,13.4899,13.6257,13.4661,13.4899,16399.881644285,0
XSVM.US,D,20110714,000000,13.5464,13.5464,13.3185,13.3185,4458.6610671893,0
XSVM.US,D,20110715,000000,13.3413,13.3918,13.3185,13.3185,8409.8076476631,0
XSVM.US,D,20110718,000000,13.3492,13.3829,13.1064,13.1728,14594.825149783,0
XSVM.US,D,20110719,000000,13.2441,13.4245,13.2441,13.4066,9205.8890194695,0
XSVM.US,D,20110720,000000,13.4156,13.4582,13.3591,13.3988,8457.2294784297,0
XSVM.US,D,20110721,000000,13.5057,13.6168,13.4899,13.6168,50823.085905271,0
XSVM.US,D,20110722,000000,13.5385,13.5851,13.481,13.5385,6394.8843276411,0
XSVM.US,D,20110725,000000,13.3918,13.5057,13.376,13.4245,13653.451360309,0
XSVM.US,D,20110726,000000,13.3888,13.3968,13.3333,13.3462,4733.1023005624,0
XSVM.US,D,20110727,000000,13.2372,13.2372,12.9596,12.9596,35094.172717579,0
XSVM.US,D,20110728,000000,12.9161,13.0945,12.8259,12.9161,18195.857362683,0
XSVM.US,D,20110729,000000,12.7902,13.0479,12.7624,12.9082,30984.617042842,0
XSVM.US,D,20110801,000000,13.147,13.147,12.7942,12.9032,19611.449459823,0
XSVM.US,D,20110802,000000,12.8071,12.9161,12.4502,12.4502,45632.917874128,0
XSVM.US,D,20110803,000000,12.3987,12.5058,12.1807,12.4632,161901.15716277,0
XSVM.US,D,20110804,000000,12.3363,12.3363,11.7852,11.7852,23067.189255054,0
XSVM.US,D,20110805,000000,11.8953,11.9369,11.3352,11.6108,184370.02417007,0
