<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZTEN.US,D,20240112,000000,50.3895,50.3895,50.3895,50.3895,1,0
ZTEN.US,D,20240116,000000,50.0271,50.0271,50.0271,50.0271,1,0
ZTEN.US,D,20240117,000000,49.9,49.9037,49.9,49.9037,108,0
ZTEN.US,D,20240118,000000,49.81,49.8138,49.81,49.8138,200,0
ZTEN.US,D,20240119,000000,49.76,49.8489,49.75,49.8489,4564,0
ZTEN.US,D,20240122,000000,50.08,50.09,49.9965,49.9965,2502,0
ZTEN.US,D,20240123,000000,49.8776,49.8776,49.8776,49.8776,1,0
ZTEN.US,D,20240124,000000,49.897,49.95,49.76,49.76,1515,0
ZTEN.US,D,20240125,000000,50.03,50.06,50.02,50.06,6026,0
ZTEN.US,D,20240126,000000,49.92,49.99,49.9133,49.94,2537,0
ZTEN.US,D,20240129,000000,50.1,50.225,50.08,50.225,1903,0
ZTEN.US,D,20240130,000000,50.25,50.28,50.1,50.2775,4101,0
ZTEN.US,D,20240131,000000,50.52,50.58,50.39,50.4352,3601,0
ZTEN.US,D,20240201,000000,50.75,50.9,50.63,50.835,2800,0
ZTEN.US,D,20240202,000000,50.33,50.38,50.25,50.3767,5149,0
ZTEN.US,D,20240205,000000,50.04,50.04,49.83,49.9216,2121,0
ZTEN.US,D,20240206,000000,49.98,50.21,49.98,50.1756,1101,0
ZTEN.US,D,20240207,000000,50.05,50.12,50.05,50.07,906,0
ZTEN.US,D,20240208,000000,49.91,49.91,49.83,49.8482,1553,0
ZTEN.US,D,20240209,000000,49.81,49.83,49.8,49.8,5934,0
ZTEN.US,D,20240212,000000,49.86,49.89,49.85,49.85,1833,0
ZTEN.US,D,20240213,000000,49.3511,49.3511,49.3511,49.3511,5,0
ZTEN.US,D,20240214,000000,49.57,49.57,49.57,49.57,301,0
ZTEN.US,D,20240215,000000,49.77,49.77,49.7319,49.7319,102,0
ZTEN.US,D,20240216,000000,49.5,49.55,49.5,49.55,1057,0
ZTEN.US,D,20240220,000000,49.6,49.73,49.6,49.6847,3616,0
ZTEN.US,D,20240221,000000,49.73,49.73,49.57,49.57,1013,0
ZTEN.US,D,20240222,000000,49.5988,49.5988,49.5988,49.5988,5,0
ZTEN.US,D,20240223,000000,49.78,49.78,49.76,49.78,577,0
ZTEN.US,D,20240226,000000,49.608,49.608,49.608,49.608,5,0
ZTEN.US,D,20240227,000000,49.65,49.65,49.57,49.57,1955,0
ZTEN.US,D,20240228,000000,49.51,49.59,49.51,49.5887,4301,0
ZTEN.US,D,20240229,000000,49.7,49.78,49.64,49.69,3682,0
ZTEN.US,D,20240301,000000,49.32,49.67,49.25,49.67,1625,0
ZTEN.US,D,20240304,000000,49.59,49.5999,49.5399,49.5399,3206,0
ZTEN.US,D,20240305,000000,49.77,49.79,49.75,49.79,2232,0
ZTEN.US,D,20240306,000000,49.91,50.02,49.91,49.9126,1291,0
ZTEN.US,D,20240307,000000,50.06,50.06,49.99,50.06,1610,0
ZTEN.US,D,20240308,000000,50.15,50.15,50.14,50.14,1238,0
ZTEN.US,D,20240311,000000,50.13,50.13,50.1127,50.1127,1400,0
ZTEN.US,D,20240312,000000,49.9692,49.9692,49.9692,49.9692,1,0
ZTEN.US,D,20240313,000000,49.95,49.96,49.91,49.91,3122,0
ZTEN.US,D,20240314,000000,49.77,49.77,49.55,49.5536,4210,0
ZTEN.US,D,20240315,000000,49.58,49.59,49.52,49.59,1810,0
ZTEN.US,D,20240318,000000,49.32,49.5105,49.26,49.5105,8105,0
ZTEN.US,D,20240319,000000,49.68,49.68,49.661,49.661,279,0
ZTEN.US,D,20240320,000000,49.766,49.766,49.766,49.766,65,0
ZTEN.US,D,20240321,000000,49.81,49.8273,49.8099,49.8273,437,0
ZTEN.US,D,20240322,000000,50.04,50.04,50.0164,50.0164,216,0
ZTEN.US,D,20240325,000000,49.8666,49.8666,49.8666,49.8666,10,0
ZTEN.US,D,20240326,000000,49.85,49.85,49.85,49.85,300,0
ZTEN.US,D,20240327,000000,50.03,50.1252,50.0299,50.1252,2405,0
ZTEN.US,D,20240328,000000,50.13,50.13,50.09,50.09,1016,0
ZTEN.US,D,20240401,000000,49.71,49.71,49.48,49.4891,1094,0
ZTEN.US,D,20240402,000000,49.26,49.4208,49.21,49.4208,3093,0
ZTEN.US,D,20240403,000000,49.31,49.48,49.31,49.4732,2743,0
ZTEN.US,D,20240404,000000,49.57,49.57,49.5543,49.5543,200,0
ZTEN.US,D,20240405,000000,49.45,49.45,49.3422,49.37,825,0
ZTEN.US,D,20240408,000000,49.26,49.2923,49.26,49.2923,1265,0
ZTEN.US,D,20240409,000000,49.51,49.53,49.51,49.5105,500,0
ZTEN.US,D,20240410,000000,48.8599,48.8599,48.8599,48.8599,23,0
ZTEN.US,D,20240411,000000,48.765,48.7985,48.765,48.7985,1033,0
ZTEN.US,D,20240412,000000,48.93,48.93,48.9102,48.9102,434,0
ZTEN.US,D,20240415,000000,48.42,48.433,48.42,48.433,207,0
ZTEN.US,D,20240416,000000,48.2794,48.2794,48.2794,48.2794,80,0
ZTEN.US,D,20240417,000000,48.481,48.6,48.481,48.549,1480,0
ZTEN.US,D,20240418,000000,48.45,48.45,48.39,48.4271,1582,0
ZTEN.US,D,20240419,000000,48.54,48.54,48.54,48.54,100,0
ZTEN.US,D,20240422,000000,48.58,48.6,48.576,48.6,1603,0
ZTEN.US,D,20240423,000000,48.57,48.83,48.57,48.7054,2857,0
ZTEN.US,D,20240424,000000,48.48,48.5378,48.48,48.5378,287,0
ZTEN.US,D,20240425,000000,48.3868,48.3868,48.3868,48.3868,6,0
ZTEN.US,D,20240426,000000,48.5441,48.5441,48.5441,48.5441,17,0
ZTEN.US,D,20240429,000000,48.75,48.8,48.72,48.7576,2277,0
ZTEN.US,D,20240430,000000,48.4996,48.52,48.498,48.498,3948,0
ZTEN.US,D,20240501,000000,48.42,48.56,48.33,48.4856,1315,0
ZTEN.US,D,20240502,000000,48.7646,48.7646,48.7646,48.7646,102,0
ZTEN.US,D,20240503,000000,49.1,49.11,49.04,49.0843,1305,0
ZTEN.US,D,20240506,000000,49.1817,49.1817,49.1817,49.1817,3,0
ZTEN.US,D,20240507,000000,49.2347,49.2347,49.2347,49.2347,24,0
ZTEN.US,D,20240508,000000,49.1052,49.1052,49.1052,49.1052,566,0
ZTEN.US,D,20240509,000000,49.09,49.1782,49.09,49.1782,1904,0
ZTEN.US,D,20240510,000000,49.0215,49.0215,49.0215,49.0215,10,0
ZTEN.US,D,20240513,000000,49.1296,49.1395,49.0735,49.0735,1521,0
ZTEN.US,D,20240514,000000,49.23,49.23,49.1957,49.1957,1527,0
ZTEN.US,D,20240515,000000,49.65,49.65,49.606,49.606,289,0
ZTEN.US,D,20240516,000000,49.5999,49.5999,49.5603,49.5603,207,0
ZTEN.US,D,20240517,000000,49.49,49.49,49.48,49.48,202,0
ZTEN.US,D,20240520,000000,49.4137,49.4137,49.4137,49.4137,14,0
ZTEN.US,D,20240521,000000,49.54,49.54,49.4998,49.4998,376,0
ZTEN.US,D,20240522,000000,49.4213,49.4213,49.4213,49.4213,2,0
ZTEN.US,D,20240523,000000,49.26,49.26,49.2359,49.2359,235,0
ZTEN.US,D,20240524,000000,49.345,49.345,49.345,49.345,88,0
ZTEN.US,D,20240528,000000,49.0753,49.0753,49.0753,49.0753,88,0
ZTEN.US,D,20240529,000000,48.8419,48.8419,48.8419,48.8419,17,0
ZTEN.US,D,20240530,000000,49.11,49.1152,49.11,49.1152,367,0
ZTEN.US,D,20240531,000000,49.37,49.37,49.368,49.368,204,0
ZTEN.US,D,20240603,000000,49.27,49.4005,49.27,49.4005,1777,0
ZTEN.US,D,20240604,000000,49.61,49.68,49.535,49.6236,2140,0
ZTEN.US,D,20240605,000000,49.7586,49.7586,49.7586,49.7586,5,0
ZTEN.US,D,20240606,000000,49.78,49.78,49.7438,49.7438,1085,0
ZTEN.US,D,20240607,000000,49.3145,49.3145,49.3145,49.3145,2,0
ZTEN.US,D,20240610,000000,49.25,49.25,49.2255,49.2255,416,0
ZTEN.US,D,20240611,000000,49.253,49.43,49.25,49.43,207,0
ZTEN.US,D,20240612,000000,49.97,49.99,49.755,49.755,2268,0
ZTEN.US,D,20240613,000000,49.9695,49.9695,49.9695,49.9695,61,0
ZTEN.US,D,20240614,000000,50.01,50.01,50.0003,50.0003,307,0
ZTEN.US,D,20240617,000000,49.7929,49.7929,49.7929,49.7929,6,0
ZTEN.US,D,20240618,000000,50.01,50.01,49.9818,49.9818,854,0
ZTEN.US,D,20240620,000000,49.86,49.87,49.8362,49.8396,2889,0
ZTEN.US,D,20240621,000000,49.875,49.875,49.875,49.875,17,0
ZTEN.US,D,20240624,000000,49.94,49.94,49.9121,49.9121,173,0
ZTEN.US,D,20240625,000000,49.92,49.9256,49.911,49.9256,595,0
ZTEN.US,D,20240626,000000,49.67,49.67,49.65,49.65,1026,0
ZTEN.US,D,20240627,000000,49.81,49.81,49.7566,49.7566,386,0
ZTEN.US,D,20240628,000000,49.8199,49.8199,49.5217,49.5217,2380,0
ZTEN.US,D,20240701,000000,49.34,49.34,48.9901,48.9901,5250,0
ZTEN.US,D,20240702,000000,49.2085,49.2505,49.2085,49.2505,948,0
ZTEN.US,D,20240703,000000,49.5836,49.5836,49.5836,49.5836,57,0
ZTEN.US,D,20240705,000000,49.8613,49.8613,49.8613,49.8613,50,0
ZTEN.US,D,20240708,000000,49.882,49.882,49.882,49.882,3,0
ZTEN.US,D,20240709,000000,49.7965,49.7965,49.7965,49.7965,2,0
ZTEN.US,D,20240710,000000,49.88,49.8856,49.8799,49.8856,974,0
ZTEN.US,D,20240711,000000,50.1483,50.1483,50.1483,50.1483,30086,0
ZTEN.US,D,20240712,000000,50.3136,50.3136,50.3136,50.3136,12,0
ZTEN.US,D,20240715,000000,50.1077,50.1077,50.1077,50.1077,28,0
ZTEN.US,D,20240716,000000,50.25,50.3195,50.25,50.3195,3867,0
ZTEN.US,D,20240717,000000,50.3559,50.3559,50.3559,50.3559,2,0
ZTEN.US,D,20240718,000000,50.1857,50.1857,50.1857,50.1857,7,0
ZTEN.US,D,20240719,000000,50.05,50.05,50.05,50.05,238,0
ZTEN.US,D,20240722,000000,50.0337,50.0337,50.0337,50.0337,4,0
ZTEN.US,D,20240723,000000,50.14,50.15,50.0262,50.0262,3054,0
ZTEN.US,D,20240724,000000,50.015,50.015,49.8075,49.8075,454,0
ZTEN.US,D,20240725,000000,50,50.01,49.9472,49.9472,270,0
ZTEN.US,D,20240726,000000,50.2,50.22,50.1773,50.2071,1472,0
ZTEN.US,D,20240729,000000,50.3003,50.3003,50.3003,50.3003,5,0
ZTEN.US,D,20240730,000000,50.32,50.3687,50.32,50.3687,661,0
ZTEN.US,D,20240731,000000,50.6539,50.6539,50.6539,50.6539,2,0
ZTEN.US,D,20240801,000000,50.6435,50.6435,50.6435,50.6435,15,0
ZTEN.US,D,20240802,000000,51.01,51.1272,51.01,51.1272,979,0
ZTEN.US,D,20240805,000000,51,51.04,50.9945,50.9945,206,0
ZTEN.US,D,20240806,000000,50.7094,50.7094,50.7094,50.7094,60,0
ZTEN.US,D,20240807,000000,50.4992,50.4992,50.4992,50.4992,6,0
ZTEN.US,D,20240808,000000,50.54,50.55,50.5037,50.5037,5944,0
ZTEN.US,D,20240809,000000,50.7287,50.7287,50.7287,50.7287,70,0
ZTEN.US,D,20240812,000000,50.8882,50.8882,50.8334,50.8334,1642,0
ZTEN.US,D,20240813,000000,50.98,51.11,50.98,51.11,2596,0
ZTEN.US,D,20240814,000000,51.2709,51.2709,51.2709,51.2709,3,0
ZTEN.US,D,20240815,000000,51.11,51.11,51.0856,51.0856,402,0
ZTEN.US,D,20240816,000000,51.2,51.2589,51.2,51.2589,125,0
