<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AHT.US,D,20050225,000000,3849.5,3856.6,3811.6,3837.9,291,0
AHT.US,D,20050228,000000,3852.8,3860.5,3796.6,3800.3,1077.7,0
AHT.US,D,20050301,000000,3796.6,3943,3796.6,3928,290.8,0
AHT.US,D,20050302,000000,3890.5,3928,3815.2,3909.2,185.4,0
AHT.US,D,20050303,000000,3909.2,3920.6,3856.6,3920.6,186.20000000000002,0
AHT.US,D,20050304,000000,3939.5,3954.4,3898.1,3946.7,187.3,0
AHT.US,D,20050307,000000,3913,3946.7,3882.9,3901.7,150,0
AHT.US,D,20050308,000000,3905.3,3920.6,3826.7,3864.3,84.9,0
AHT.US,D,20050309,000000,3834.1,3834.1,3740.2,3744.2,315.5,0
AHT.US,D,20050310,000000,3759,3830.2,3759,3777.7,511.1,0
AHT.US,D,20050311,000000,3777.7,3822.7,3710.1,3721.5,151.6,0
AHT.US,D,20050314,000000,3646,3777.7,3646,3728.8,266.3,0
AHT.US,D,20050315,000000,3721.5,3796.6,3710.1,3713.7,276.7,0
AHT.US,D,20050316,000000,3695.2,3747.6,3661,3702.6,505.70000000000005,0
AHT.US,D,20050317,000000,3721.5,3796.6,3702.6,3781.5,133.8,0
AHT.US,D,20050318,000000,3796.6,3811.6,3747.6,3800.3,428.90000000000003,0
AHT.US,D,20050321,000000,3777.7,3819,3740.2,3785.2,243.70000000000002,0
AHT.US,D,20050322,000000,3796.6,3834.1,3777.7,3777.7,331.8,0
AHT.US,D,20050323,000000,3777.7,3864.3,3721.5,3804.2,413.20000000000005,0
AHT.US,D,20050324,000000,3804.2,3860.5,3759,3773.9,263.6,0
AHT.US,D,20050328,000000,3789.1,3852.8,3781.5,3852.8,467.70000000000005,0
AHT.US,D,20050329,000000,3792.8,3928,3785.2,3800.3,1576.8000000000002,0
AHT.US,D,20050330,000000,3834.1,3931.9,3811.6,3913,506.8,0
AHT.US,D,20050331,000000,3852.8,3852.8,3796.6,3834.1,3594.6000000000004,0
AHT.US,D,20050401,000000,3826.7,3837.9,3740.2,3777.7,523.6,0
AHT.US,D,20050404,000000,3777.7,3796.6,3759,3792.8,727.1,0
AHT.US,D,20050405,000000,3789.1,3819,3751.4,3759,350.40000000000003,0
AHT.US,D,20050406,000000,3759,3777.7,3728.8,3773.9,345.6,0
AHT.US,D,20050407,000000,3770.3,3773.9,3732.5,3770.3,547,0
AHT.US,D,20050408,000000,3759,3773.9,3698.7,3725.3,275.90000000000003,0
AHT.US,D,20050411,000000,3728.8,3728.8,3646,3691.3,212.60000000000002,0
AHT.US,D,20050412,000000,3706.4,3777.7,3669.1,3773.9,475.1,0
AHT.US,D,20050413,000000,3773.9,3789.1,3721.5,3736.2,160.70000000000002,0
AHT.US,D,20050414,000000,3721.5,3744.2,3672.3,3679.9,249,0
AHT.US,D,20050415,000000,3679.9,3713.7,3665.2,3706.4,380.40000000000003,0
AHT.US,D,20050418,000000,3702.6,3777.7,3702.6,3777.7,433.1,0
AHT.US,D,20050419,000000,3789.1,3796.6,3740.2,3785.2,234.9,0
AHT.US,D,20050420,000000,3785.2,3785.2,3706.4,3725.3,249.8,0
AHT.US,D,20050421,000000,3759,3826.7,3740.2,3804.2,230.10000000000002,0
AHT.US,D,20050422,000000,3777.7,3811.6,3672.3,3728.8,453.90000000000003,0
AHT.US,D,20050425,000000,3740.2,3773.9,3717.5,3759,262,0
AHT.US,D,20050426,000000,3759,3759,3702.6,3747.6,237,0
AHT.US,D,20050427,000000,3740.2,3804.2,3653.7,3800.3,1005.1,0
AHT.US,D,20050428,000000,3800.3,3845.4,3796.6,3819,490.3,0
AHT.US,D,20050429,000000,3826.7,3886.8,3785.2,3849.5,731.9000000000001,0
AHT.US,D,20050502,000000,3871.6,3886.8,3834.1,3879.3,706.1,0
AHT.US,D,20050503,000000,3882.9,3890.5,3792.8,3849.5,653.1,0
AHT.US,D,20050504,000000,3852.8,3868.1,3796.6,3852.8,599.9,0
AHT.US,D,20050505,000000,3834.1,3852.8,3796.6,3852.8,1154.3,0
AHT.US,D,20050506,000000,3882.9,3882.9,3804.2,3852.8,819.7,0
