<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIBD.US,D,20240520,000000,23.95,23.9558,23.87,23.9558,328,0
AIBD.US,D,20240521,000000,24.0732,24.0732,24.0732,24.0732,242,0
AIBD.US,D,20240522,000000,24.2,24.24,24.0756,24.0756,993,0
AIBD.US,D,20240523,000000,23.85,24.4511,23.805,24.4511,1701,0
AIBD.US,D,20240524,000000,23.9397,23.9397,23.9397,23.9397,3,0
AIBD.US,D,20240528,000000,23.6373,23.6373,23.6373,23.6373,4,0
AIBD.US,D,20240529,000000,23.9987,23.9987,23.9987,23.9987,15,0
AIBD.US,D,20240530,000000,24.935,25.1055,24.935,25.1055,343,0
AIBD.US,D,20240531,000000,25.45,25.64,25.0979,25.0979,417,0
AIBD.US,D,20240603,000000,24.99,25.0141,24.99,25.0141,219,0
AIBD.US,D,20240604,000000,25.23,25.23,24.8153,24.8153,773,0
AIBD.US,D,20240605,000000,23.7199,23.7199,23.7199,23.7199,3,0
AIBD.US,D,20240606,000000,23.7465,23.7465,23.7465,23.7465,21,0
AIBD.US,D,20240607,000000,23.69,23.99,23.6697,23.8609,374,0
AIBD.US,D,20240610,000000,23.7898,23.7898,23.7898,23.7898,9,0
AIBD.US,D,20240611,000000,23.59,23.59,23.342,23.342,221,0
AIBD.US,D,20240612,000000,22.7534,22.7534,22.7534,22.7534,41,0
AIBD.US,D,20240613,000000,22.8307,22.8307,22.8307,22.8307,20,0
AIBD.US,D,20240614,000000,22.9598,22.9598,22.7975,22.7975,902,0
AIBD.US,D,20240617,000000,22.31,22.31,22.2929,22.2929,1415,0
AIBD.US,D,20240618,000000,22.42,22.42,22.1876,22.1876,885,0
AIBD.US,D,20240620,000000,22.28,22.34,22.2237,22.2237,869,0
AIBD.US,D,20240621,000000,22.15,22.51,22.15,22.3824,1233,0
AIBD.US,D,20240624,000000,22.8651,22.8651,22.8651,22.8651,8,0
AIBD.US,D,20240625,000000,22.21,22.36,22.1693,22.1693,631,0
AIBD.US,D,20240626,000000,22.19,22.19,22.0431,22.0431,306,0
AIBD.US,D,20240627,000000,21.625,21.71,21.6211,21.7051,925,0
AIBD.US,D,20240628,000000,21.68,21.8041,21.68,21.8041,179,0
AIBD.US,D,20240701,000000,21.5182,21.5182,21.5182,21.5182,15,0
AIBD.US,D,20240702,000000,21.1893,21.1893,21.1893,21.1893,2,0
AIBD.US,D,20240703,000000,20.9007,20.9007,20.9007,20.9007,15,0
AIBD.US,D,20240705,000000,20.2918,20.2918,20.2918,20.2918,590,0
AIBD.US,D,20240708,000000,20.1403,20.16,20.132,20.132,424,0
AIBD.US,D,20240709,000000,20.1986,20.1986,20.1986,20.1986,46,0
AIBD.US,D,20240710,000000,19.99,19.99,19.5889,19.5889,500,0
AIBD.US,D,20240711,000000,20.3363,20.3363,20.3363,20.3363,91,0
AIBD.US,D,20240712,000000,20.0865,20.0865,20.0865,20.0865,73,0
AIBD.US,D,20240715,000000,20.0557,20.0557,20.0557,20.0557,31,0
AIBD.US,D,20240716,000000,20,20.13,19.96,20.0011,533,0
AIBD.US,D,20240717,000000,20.86,21.25,20.8,21.25,2383,0
AIBD.US,D,20240718,000000,21.06,21.74,20.84,21.4603,4297,0
AIBD.US,D,20240719,000000,21.6,21.92,21.54,21.887,1213,0
AIBD.US,D,20240722,000000,21.0644,21.0644,21.0644,21.0644,192,0
AIBD.US,D,20240723,000000,20.9,21.0404,20.89,21.0404,1704,0
AIBD.US,D,20240724,000000,21.59,22.8001,21.59,22.8001,5277,0
AIBD.US,D,20240725,000000,22.84,23.62,22.5901,23.35,3526,0
AIBD.US,D,20240726,000000,23.14,23.14,22.75,22.9153,965,0
AIBD.US,D,20240729,000000,22.5,22.94,22.5,22.8195,7921,0
AIBD.US,D,20240730,000000,22.92,23.7701,22.92,23.4432,3233,0
AIBD.US,D,20240731,000000,22.43,22.43,22.22,22.2609,842,0
AIBD.US,D,20240801,000000,22.525,23.3548,22.525,23.3548,509,0
AIBD.US,D,20240802,000000,25.16,25.72,24.93,25.1601,20507,0
AIBD.US,D,20240805,000000,27.32,27.32,26.19,26.863,6924,0
AIBD.US,D,20240806,000000,26.43,26.67,25.99,25.99,2605,0
AIBD.US,D,20240807,000000,25.05,26.6614,25.05,26.6614,891,0
AIBD.US,D,20240808,000000,24.7592,24.7592,24.7592,24.7592,343,0
AIBD.US,D,20240809,000000,24.81,24.81,24.26,24.3001,1581,0
AIBD.US,D,20240812,000000,24.22,24.3325,24.1303,24.3325,1162,0
AIBD.US,D,20240813,000000,23.5304,23.5304,23.0917,23.0917,607,0
AIBD.US,D,20240814,000000,23,23,22.9567,22.9567,482,0
AIBD.US,D,20240815,000000,22.47,22.482,21.94,22.0003,7266,0
AIBD.US,D,20240816,000000,22.08,22.09,21.86,21.9273,2473,0
AIBD.US,D,20240819,000000,21.52,21.558,21.4079,21.4079,1121,0
AIBD.US,D,20240820,000000,21.41,21.4502,21.41,21.4502,160,0
AIBD.US,D,20240821,000000,21.4299,21.4299,21.2106,21.2106,141,0
AIBD.US,D,20240822,000000,22.21,22.21,22.1718,22.1718,443,0
AIBD.US,D,20240823,000000,21.81,21.81,21.4614,21.687,803,0
AIBD.US,D,20240826,000000,22.1731,22.1731,22.1731,22.1731,49,0
AIBD.US,D,20240827,000000,22.43,22.47,22.09,22.1487,1627,0
AIBD.US,D,20240828,000000,22.6401,22.83,22.6401,22.6757,1873,0
AIBD.US,D,20240829,000000,22.095,22.6712,21.9801,22.6712,370,0
AIBD.US,D,20240830,000000,22.0398,22.0398,22.0398,22.0398,174,0
AIBD.US,D,20240903,000000,22.34,23.789,22.34,23.789,12947,0
AIBD.US,D,20240904,000000,23.98,24.08,23.5503,23.7418,4477,0
AIBD.US,D,20240905,000000,23.6,23.72,23.6,23.6803,527,0
AIBD.US,D,20240906,000000,24.77,25.01,24.77,24.9153,1095,0
AIBD.US,D,20240909,000000,24.26,24.26,24.104,24.104,450,0
AIBD.US,D,20240910,000000,23.324,23.324,23.324,23.324,540,0
AIBD.US,D,20240911,000000,22.17,22.17,22.0466,22.0466,389,0
AIBD.US,D,20240912,000000,21.469,21.469,21.469,21.469,150,0
AIBD.US,D,20240913,000000,21.1973,21.1973,21.1973,21.1973,163,0
AIBD.US,D,20240916,000000,21.1,21.1,21.015,21.018,3080,0
AIBD.US,D,20240917,000000,20.61,21.25,20.61,21.1217,5927,0
AIBD.US,D,20240918,000000,21.2636,21.2636,21.2636,21.2636,170,0
AIBD.US,D,20240919,000000,20.12,20.12,20.04,20.1078,484,0
AIBD.US,D,20240920,000000,19.9,19.9,19.9,19.9,346,0
AIBD.US,D,20240923,000000,19.9214,19.9214,19.9214,19.9214,75,0
AIBD.US,D,20240924,000000,19.58,19.58,19.5547,19.5547,168,0
AIBD.US,D,20240925,000000,19.49,19.49,19.4573,19.4573,563,0
AIBD.US,D,20240926,000000,18.88,19.34,18.88,19.1297,476,0
AIBD.US,D,20240927,000000,19.3817,19.42,19.3817,19.42,428,0
AIBD.US,D,20240930,000000,19.66,19.66,19.2745,19.2745,708,0
AIBD.US,D,20241001,000000,19.31,19.99,19.31,19.9071,2443,0
AIBD.US,D,20241002,000000,19.67,19.6866,19.66,19.6866,507,0
AIBD.US,D,20241003,000000,19.55,19.55,19.4657,19.4657,710,0
AIBD.US,D,20241004,000000,19.15,19.15,18.812,18.812,418,0
AIBD.US,D,20241007,000000,19.2217,19.2217,19.2217,19.2217,73,0
AIBD.US,D,20241008,000000,18.54,18.54,18.4118,18.4118,303,0
AIBD.US,D,20241009,000000,18.4,18.4,18.0391,18.0391,541,0
AIBD.US,D,20241010,000000,18.09,18.1068,18.09,18.1068,129,0
AIBD.US,D,20241011,000000,18.0009,18.0009,18.0009,18.0009,55,0
AIBD.US,D,20241014,000000,17.75,17.7865,17.68,17.7865,1258,0
AIBD.US,D,20241015,000000,18.42,18.475,18.42,18.4286,1489,0
AIBD.US,D,20241016,000000,18.69,18.6901,18.4383,18.4383,1836,0
AIBD.US,D,20241017,000000,18.06,18.3381,18.06,18.3381,616,0
AIBD.US,D,20241018,000000,18.2796,18.2796,18.2796,18.2796,3,0
AIBD.US,D,20241021,000000,18.1945,18.1945,18.1945,18.1945,154,0
AIBD.US,D,20241022,000000,18.3233,18.3233,18.1608,18.1608,143,0
AIBD.US,D,20241023,000000,18.7882,18.7882,18.7882,18.7882,115,0
AIBD.US,D,20241024,000000,18.66,18.6601,18.66,18.6601,443,0
AIBD.US,D,20241025,000000,18.4933,18.4933,18.4933,18.4933,23,0
AIBD.US,D,20241028,000000,18.3699,18.4173,18.32,18.4173,1562,0
AIBD.US,D,20241029,000000,18.09,18.0901,17.8786,17.8786,207,0
AIBD.US,D,20241030,000000,17.985,18.2877,17.86,18.2877,775,0
AIBD.US,D,20241031,000000,19.19,19.3584,19.1199,19.3584,1699,0
AIBD.US,D,20241101,000000,19.06,19.06,18.67,18.6701,767,0
AIBD.US,D,20241104,000000,18.93,19.1365,18.93,19.1365,242,0
AIBD.US,D,20241105,000000,18.2267,18.2267,18.2267,18.2267,21,0
AIBD.US,D,20241106,000000,17.1,17.1001,16.9394,16.9394,4097,0
AIBD.US,D,20241107,000000,16.195,16.195,16.195,16.195,32,0
AIBD.US,D,20241108,000000,16.2795,16.2795,16.2795,16.2795,86,0
AIBD.US,D,20241111,000000,16.385,16.385,16.32,16.32,504,0
AIBD.US,D,20241113,000000,16.1,16.4,16.1,16.3886,2559,0
AIBD.US,D,20241114,000000,16.685,16.7085,16.685,16.7085,354,0
AIBD.US,D,20241115,000000,17.11,17.3696,17.11,17.3696,316,0
AIBD.US,D,20241119,000000,17.21,17.21,16.9359,16.9359,267,0
