<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKO-B.US,D,20100823,000000,18.3706,18.7835,18.1831,18.6999,720796.51945138,0
AKO-B.US,D,20100824,000000,18.4619,18.8116,18.0588,18.5727,26515.714458359,0
AKO-B.US,D,20100825,000000,18.6028,18.9379,18.4979,18.5727,38897.538105581,0
AKO-B.US,D,20100826,000000,18.5358,19.2109,18.5358,19.002,47139.047925972,0
AKO-B.US,D,20100827,000000,19.0283,19.2458,18.9515,19.1672,85083.346199717,0
AKO-B.US,D,20100830,000000,19.2701,19.5043,19.1001,19.3158,31532.061867148,0
AKO-B.US,D,20100831,000000,19.3974,19.5043,19.1147,19.1147,78220.225293828,0
AKO-B.US,D,20100901,000000,19.3294,19.5801,19.2857,19.3449,4958.7000755461,0
AKO-B.US,D,20100902,000000,19.3216,19.922,19.2254,19.4207,42612.702849747,0
AKO-B.US,D,20100903,000000,19.1973,19.5043,19.1973,19.2934,6002.5285739068,0
AKO-B.US,D,20100907,000000,19.2934,19.3712,19.2322,19.2769,3718.2529941608,0
AKO-B.US,D,20100908,000000,19.2177,19.3022,18.9088,19.238,8867.3951527411,0
AKO-B.US,D,20100909,000000,19.2575,19.477,19.138,19.2701,1604.860580813,0
AKO-B.US,D,20100910,000000,19.4702,19.751,19.2701,19.5801,12175.940314212,0
AKO-B.US,D,20100913,000000,19.7588,19.922,19.4984,19.5606,25759.093209547,0
AKO-B.US,D,20100914,000000,19.6918,19.922,19.6849,19.8947,158703.10841744,0
AKO-B.US,D,20100915,000000,19.9511,19.9511,19.6781,19.7898,55360.998829726,0
AKO-B.US,D,20100916,000000,19.8608,19.9151,19.6364,19.6567,37236.059608191,0
AKO-B.US,D,20100917,000000,19.65,20.1056,19.5528,20.1056,67501.938977326,0
AKO-B.US,D,20100920,000000,20.0715,20.1726,19.9298,19.988,11176.376732449,0
AKO-B.US,D,20100921,000000,20.0852,20.0852,19.6635,19.7898,12846.090563159,0
AKO-B.US,D,20100922,000000,19.8413,19.8413,19.412,19.4391,157587.22075253,0
AKO-B.US,D,20100923,000000,19.2769,19.5732,19.0778,19.1079,42831.968599402,0
AKO-B.US,D,20100924,000000,19.1749,19.751,18.9311,19.138,46841.546509772,0
AKO-B.US,D,20100927,000000,19.1254,19.6567,19.1254,19.5801,119840.57047846,0
AKO-B.US,D,20100928,000000,19.7131,19.9968,19.6121,19.9452,68350.178309328,0
