<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BANC_F.US,D,20231204,000000,21.64,22,21,21.45,86153,0
BANC_F.US,D,20231205,000000,21.32,21.5,21.25,21.25,84282,0
BANC_F.US,D,20231206,000000,21.18,21.53,21.18,21.44,41980,0
BANC_F.US,D,20231207,000000,21.44,21.55,21.32,21.42,37652,0
BANC_F.US,D,20231208,000000,21.3,21.4501,21.3,21.4199,59363,0
BANC_F.US,D,20231211,000000,21.4,21.5,21.3,21.38,85632,0
BANC_F.US,D,20231212,000000,21.35,21.48,21.25,21.25,44802,0
BANC_F.US,D,20231213,000000,21.25,21.8251,21.25,21.48,124359,0
BANC_F.US,D,20231214,000000,21.66,23.29,21.66,22.75,141002,0
BANC_F.US,D,20231215,000000,22.75,23.7108,22.4,23.31,120813,0
BANC_F.US,D,20231218,000000,23.24,23.45,23.13,23.44,62305,0
BANC_F.US,D,20231219,000000,23.31,23.9,23.29,23.81,108536,0
BANC_F.US,D,20231220,000000,23.8,24.49,23.8,24.28,198270,0
BANC_F.US,D,20231221,000000,24.33,24.35,23.95,24.1,79479,0
BANC_F.US,D,20231222,000000,24,24.275,23.87,24.23,61866,0
BANC_F.US,D,20231226,000000,24.11,24.35,24.0218,24.25,102268,0
BANC_F.US,D,20231227,000000,24.14,24.3,24.01,24.29,118911,0
BANC_F.US,D,20231228,000000,24.15,24.35,24.03,24.2,167845,0
BANC_F.US,D,20231229,000000,24.3,24.3,23.19,23.22,441878,0
BANC_F.US,D,20240102,000000,23.17,23.41,22.68,22.9,116371,0
BANC_F.US,D,20240103,000000,22.82,23.1799,22.62,22.75,33077,0
BANC_F.US,D,20240104,000000,22.93,23.01,22.71,22.75,46923,0
BANC_F.US,D,20240105,000000,22.72,22.97,22.4,22.81,66266,0
BANC_F.US,D,20240108,000000,22.84,22.9599,22.7,22.87,33311,0
BANC_F.US,D,20240109,000000,22.8,22.94,22.75,22.81,35705,0
BANC_F.US,D,20240110,000000,22.77,22.91,22.65,22.66,54511,0
BANC_F.US,D,20240111,000000,22.67,22.7921,22.5501,22.63,20246,0
BANC_F.US,D,20240112,000000,22.65,22.78,22.65,22.75,28367,0
BANC_F.US,D,20240116,000000,22.65,22.6999,22.5301,22.6,40026,0
BANC_F.US,D,20240117,000000,22.5,22.7,22.45,22.57,14812,0
BANC_F.US,D,20240118,000000,22.6699,22.6699,22.46,22.5,23531,0
BANC_F.US,D,20240119,000000,22.605,22.67,22.45,22.55,16247,0
BANC_F.US,D,20240122,000000,22.56,22.98,22.56,22.96,32329,0
BANC_F.US,D,20240123,000000,22.93,23.16,22.85,23.01,41163,0
BANC_F.US,D,20240124,000000,23.12,23.12,22.85,23.035,46487,0
BANC_F.US,D,20240125,000000,23.0649,23.19,22.95,22.99,85567,0
BANC_F.US,D,20240126,000000,23,23.4199,22.93,23,147861,0
BANC_F.US,D,20240129,000000,23,23.19,22.9,22.94,112736,0
BANC_F.US,D,20240130,000000,22.98,23.1,22.9,23,152733,0
BANC_F.US,D,20240131,000000,22.49,22.9,22.35,22.5,98003,0
BANC_F.US,D,20240201,000000,22.7,22.85,21.4,22.73,112959,0
BANC_F.US,D,20240202,000000,22.55,22.89,22.3903,22.74,25952,0
BANC_F.US,D,20240205,000000,22.75,22.81,22.53,22.53,37548,0
BANC_F.US,D,20240206,000000,22.63,22.72,22.1201,22.22,48895,0
BANC_F.US,D,20240207,000000,22.25,22.49,21.61,22.32,62477,0
