<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBDC.US,D,20070214,000000,4.61483,4.61483,4.61483,4.61483,0,0
BBDC.US,D,20070215,000000,4.61483,4.92138,4.38649,4.92138,1675183.7754682,0
BBDC.US,D,20070216,000000,4.6549,4.65797,4.55564,4.61483,55494.23691526,0
BBDC.US,D,20070220,000000,4.67049,4.76643,4.64832,4.70446,65989.942304492,0
BBDC.US,D,20070221,000000,4.7359,4.7359,4.65797,4.65797,107010.28030088,0
BBDC.US,D,20070222,000000,4.68913,4.71085,4.67328,4.68571,57441.838028255,0
BBDC.US,D,20070223,000000,4.70446,4.7359,4.52167,4.58355,156600.27875627,0
BBDC.US,D,20070226,000000,4.6087,4.6087,4.48158,4.48158,76817.612908336,0
BBDC.US,D,20070227,000000,4.48158,4.56871,4.38287,4.46053,74794.565155657,0
BBDC.US,D,20070228,000000,4.46053,4.58355,4.38287,4.53708,39620.263925671,0
BBDC.US,D,20070301,000000,4.50033,4.50033,4.40504,4.40504,21199.427942167,0
BBDC.US,D,20070302,000000,4.5341,4.5341,4.4351,4.43882,10997.964447703,0
BBDC.US,D,20070305,000000,4.53708,4.53708,4.45097,4.45097,34892.993044877,0
BBDC.US,D,20070306,000000,4.55322,4.55322,4.39512,4.4018,10809.347848492,0
BBDC.US,D,20070307,000000,4.41368,4.42973,4.39808,4.39808,23765.691500572,0
BBDC.US,D,20070308,000000,4.42973,4.46053,4.3311,4.3311,39354.0450685,0
BBDC.US,D,20070309,000000,4.45691,4.46053,4.3311,4.3311,13250.585546849,0
BBDC.US,D,20070312,000000,4.33638,4.52167,4.29965,4.52167,53750.341729413,0
BBDC.US,D,20070313,000000,4.51833,4.51833,4.3209,4.3209,43520.855197352,0
BBDC.US,D,20070314,000000,4.3311,4.45097,4.3209,4.41014,26412.790744356,0
BBDC.US,D,20070315,000000,4.36451,4.36766,4.22849,4.3464,49362.580727199,0
BBDC.US,D,20070316,000000,4.3491,4.35142,4.25308,4.29055,12636.234337992,0
BBDC.US,D,20070319,000000,4.37963,4.38287,4.30595,4.35142,8189.1938331679,0
