<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGH.US,D,20121026,000000,9.01743,9.03349,9.01743,9.02405,1051607.1745154,0
BGH.US,D,20121031,000000,9.02405,9.03728,9.01743,9.01743,91851.456160877,0
BGH.US,D,20121101,000000,9.03728,9.03728,9.01743,9.03728,54583.323777253,0
BGH.US,D,20121102,000000,9.02405,9.02689,9.01743,9.01743,35231.362238021,0
BGH.US,D,20121105,000000,9.02689,9.02689,9.01743,9.02119,71405.458086291,0
BGH.US,D,20121106,000000,9.03349,9.03349,9.01743,9.01743,73119.519195835,0
BGH.US,D,20121107,000000,9.01743,9.02119,9.01743,9.01743,192490.12066421,0
BGH.US,D,20121108,000000,9.02119,9.02119,9.01743,9.01743,20435.417450451,0
BGH.US,D,20121109,000000,9.02119,9.02119,9.01743,9.02119,32391.522720725,0
BGH.US,D,20121112,000000,9.02119,9.02119,9.01743,9.01743,25103.588817925,0
BGH.US,D,20121113,000000,9.02119,9.02119,9.01743,9.01743,76224.932378865,0
BGH.US,D,20121114,000000,9.01743,9.05618,9.01743,9.01743,166574.99797527,0
BGH.US,D,20121115,000000,9.01743,9.02119,9.01743,9.01743,86883.853130438,0
BGH.US,D,20121116,000000,9.01743,9.02119,9.01743,9.01743,69019.527344303,0
BGH.US,D,20121119,000000,9.02119,9.02119,9.02119,9.02119,7346.1273355331,0
BGH.US,D,20121120,000000,9.01743,9.02119,9.01743,9.01743,49480.288757915,0
BGH.US,D,20121121,000000,9.02119,9.02405,9.01743,9.02119,25888.671128593,0
BGH.US,D,20121123,000000,9.01743,9.02119,9.01743,9.01743,142570.73600477,0
BGH.US,D,20121126,000000,9.01743,9.02119,9.01743,9.01743,59191.18558717,0
BGH.US,D,20121127,000000,9.01743,9.02119,9.01743,9.01743,118293.49393164,0
BGH.US,D,20121128,000000,9.01743,9.02119,9.01743,9.01743,109775.03344216,0
BGH.US,D,20121129,000000,9.01743,9.02119,9.01743,9.01743,45824.683119969,0
BGH.US,D,20121130,000000,9.01743,9.05429,9.01743,9.01743,58756.321935305,0
BGH.US,D,20121203,000000,9.03728,9.03728,9.01743,9.03728,153672.9849075,0
BGH.US,D,20121204,000000,9.01743,9.04483,8.97225,9.02119,1368254.5710055,0
BGH.US,D,20121205,000000,9.01743,9.03349,9.01743,9.01743,288350.57530908,0
BGH.US,D,20121206,000000,9.02119,9.02405,9.01743,9.01743,208520.82428808,0
BGH.US,D,20121207,000000,9.02119,9.04483,9.01743,9.04106,139405.01326417,0
BGH.US,D,20121210,000000,8.99663,9.03728,8.95353,8.95542,90114.117678239,0
