<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGY.US,D,20070524,000000,7.17999,7.17999,7.17999,7.17999,0,0
BGY.US,D,20070525,000000,7.18492,7.20024,7.17999,7.17999,3976218.7272296,0
BGY.US,D,20070529,000000,7.17999,7.18492,7.03827,7.17999,1306288.15925,0
BGY.US,D,20070530,000000,7.18812,7.2509,7.18492,7.22202,526024.89888484,0
BGY.US,D,20070531,000000,7.26044,7.26044,7.18492,7.18492,372867.57965419,0
BGY.US,D,20070601,000000,7.19579,7.23471,7.17999,7.17999,350308.65697529,0
BGY.US,D,20070604,000000,7.18812,7.20991,7.17999,7.17999,518780.2294095,0
BGY.US,D,20070605,000000,7.21247,7.21247,7.17999,7.17999,302137.2557853,0
BGY.US,D,20070606,000000,7.18812,7.19096,7.17999,7.17999,423267.62242355,0
BGY.US,D,20070607,000000,7.18492,7.18492,7.17999,7.18492,709538.21763752,0
BGY.US,D,20070608,000000,7.18492,7.18492,7.17999,7.17999,362570.41057485,0
BGY.US,D,20070611,000000,7.18492,7.18492,7.17999,7.18492,432457.86431084,0
BGY.US,D,20070612,000000,7.17999,7.18492,7.17999,7.17999,381500.13303252,0
BGY.US,D,20070613,000000,7.17999,7.18492,7.17999,7.17999,199104.30375423,0
BGY.US,D,20070614,000000,7.17999,7.18492,7.17999,7.18492,1106346.2665042,0
BGY.US,D,20070615,000000,7.17999,7.18492,7.17999,7.17999,428280.48163479,0
BGY.US,D,20070618,000000,7.17999,7.18492,7.17999,7.17999,202168.42186882,0
BGY.US,D,20070619,000000,7.18492,7.18492,7.17999,7.18492,524353.94581442,0
BGY.US,D,20070620,000000,7.18492,7.18492,7.17999,7.17999,223886.58687131,0
BGY.US,D,20070621,000000,7.17999,7.18492,7.17999,7.17999,174317.7957242,0
BGY.US,D,20070622,000000,7.17999,7.18492,7.17999,7.17999,471157.01067435,0
BGY.US,D,20070625,000000,7.17999,7.18492,7.17999,7.17999,1367548.3407489,0
BGY.US,D,20070626,000000,7.17999,7.18492,7.17999,7.17999,932031.63946467,0
BGY.US,D,20070627,000000,7.17999,7.18492,7.17999,7.17999,972968.93346167,0
BGY.US,D,20070628,000000,7.17999,7.18492,7.17999,7.17999,325241.19223432,0
