<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHK.US,D,20050225,000000,6.15172,6.17619,6.14311,6.17106,98759.311705691,0
BHK.US,D,20050228,000000,6.17106,6.19011,6.14805,6.18025,101983.29145908,0
BHK.US,D,20050301,000000,6.18025,6.2048,6.14311,6.14805,186575.03256275,0
BHK.US,D,20050302,000000,6.13837,6.19456,6.13837,6.19456,135046.23275974,0
BHK.US,D,20050303,000000,6.2048,6.20953,6.13837,6.13837,105201.99464986,0
BHK.US,D,20050304,000000,6.18537,6.21398,6.14805,6.1992,117224.11489553,0
BHK.US,D,20050307,000000,6.19456,6.22478,6.19456,6.2048,97046.53948319,0
BHK.US,D,20050308,000000,6.2048,6.22763,6.19011,6.19456,121521.34748334,0
BHK.US,D,20050309,000000,6.21398,6.21398,6.10702,6.10702,168326.56843983,0
BHK.US,D,20050310,000000,6.12491,6.13391,6.0928,6.098,116164.58112388,0
BHK.US,D,20050311,000000,6.08852,6.08852,6.013,6.013,184219.57501462,0
BHK.US,D,20050314,000000,6.00524,6.06446,6.00031,6.04502,113575.89950847,0
BHK.US,D,20050315,000000,6.03972,6.05839,6.013,6.01754,84162.228907393,0
BHK.US,D,20050316,000000,6.00524,6.00524,5.92886,5.94233,167255.42623044,0
BHK.US,D,20050317,000000,5.95285,5.96015,5.91132,5.948,110785.65320145,0
BHK.US,D,20050318,000000,5.91132,5.93747,5.86803,5.90089,138907.62127614,0
BHK.US,D,20050321,000000,5.8738,5.90668,5.86803,5.87883,155230.14004719,0
BHK.US,D,20050322,000000,5.86803,5.90089,5.73299,5.76634,268589.70048876,0
BHK.US,D,20050323,000000,5.75289,5.76634,5.71538,5.75631,233159.69320224,0
BHK.US,D,20050324,000000,5.74739,5.79441,5.71974,5.76634,131616.46706466,0
BHK.US,D,20050328,000000,5.76188,5.83504,5.73299,5.76188,132050.20051101,0
BHK.US,D,20050329,000000,5.77166,5.77166,5.73755,5.76634,90608.077789117,0
BHK.US,D,20050330,000000,5.77602,5.85902,5.75631,5.83949,108850.21003691,0
BHK.US,D,20050331,000000,5.84974,5.88771,5.79914,5.84443,110358.25163021,0
BHK.US,D,20050401,000000,5.89247,5.99606,5.8738,5.91976,72136.942724152,0
BHK.US,D,20050404,000000,5.89703,5.94233,5.86803,5.91465,100689.47830764,0
BHK.US,D,20050405,000000,5.91132,5.94233,5.90089,5.91976,94037.843484208,0
BHK.US,D,20050406,000000,5.91132,5.95285,5.91132,5.91132,86315.06645139,0
BHK.US,D,20050407,000000,5.89703,5.90089,5.85475,5.88771,105429.9421545,0
BHK.US,D,20050408,000000,5.86387,5.91132,5.81713,5.86387,84162.228907393,0
BHK.US,D,20050411,000000,5.84443,5.91132,5.82983,5.89703,94684.750059926,0
BHK.US,D,20050412,000000,5.86387,6.0078,5.86387,5.98087,99201.487652228,0
BHK.US,D,20050413,000000,5.96533,6.00524,5.92402,5.98087,71278.973644119,0
BHK.US,D,20050414,000000,5.91976,5.97587,5.88771,5.948,100689.47830764,0
BHK.US,D,20050415,000000,5.91976,5.98599,5.81363,5.90089,120235.97683207,0
BHK.US,D,20050418,000000,5.86387,5.96015,5.84443,5.91132,76863.687508245,0
BHK.US,D,20050419,000000,5.88309,5.97074,5.87883,5.92402,68918.239533377,0
BHK.US,D,20050420,000000,5.94233,5.95285,5.88771,5.94233,58180.434626444,0
BHK.US,D,20050421,000000,5.91132,5.93294,5.88771,5.92886,67638.145444716,0
BHK.US,D,20050422,000000,5.93747,5.94233,5.88771,5.94233,80729.29727474,0
BHK.US,D,20050425,000000,5.95701,5.98087,5.91976,5.948,78583.846918397,0
BHK.US,D,20050426,000000,5.92886,5.96533,5.8738,5.88771,84804.914233028,0
BHK.US,D,20050427,000000,5.91976,5.96533,5.90089,5.92402,80510.847582777,0
BHK.US,D,20050428,000000,5.95285,5.99606,5.91465,5.99606,100056.2907947,0
BHK.US,D,20050429,000000,5.99606,6.06834,5.97587,6.03121,164243.5642939,0
BHK.US,D,20050502,000000,6.05346,6.05839,5.98599,5.99606,95974.34196128,0
BHK.US,D,20050503,000000,5.97587,5.97587,5.97587,5.97587,84593.851728715,0
BHK.US,D,20050504,000000,5.99606,6.05839,5.97074,6.03972,69340.364542004,0
BHK.US,D,20050505,000000,6.03972,6.05839,5.99606,6.01754,94897.923189282,0
BHK.US,D,20050506,000000,6.00031,6.08265,5.98599,6.08265,101345.88269605,0
BHK.US,D,20050509,000000,6.04938,6.12093,6.03972,6.10702,98113.460442495,0
BHK.US,D,20050510,000000,6.0928,6.12491,6.06446,6.0928,72990.690554099,0
BHK.US,D,20050511,000000,6.08265,6.13391,6.05839,6.10702,107577.5031359,0
BHK.US,D,20050512,000000,6.03972,6.08265,6.01754,6.05839,45085.061546335,0
BHK.US,D,20050513,000000,6.05839,6.05839,5.99017,6.02181,136337.93528614,0
BHK.US,D,20050516,000000,5.98599,6.03518,5.98087,5.99017,147507.36301438,0
BHK.US,D,20050517,000000,6.00524,6.013,5.93747,5.95701,143847.5391896,0
BHK.US,D,20050518,000000,5.97587,6.01754,5.95285,6.01754,147507.36301438,0
BHK.US,D,20050519,000000,6.013,6.05346,6.00031,6.02571,127535.57354375,0
BHK.US,D,20050520,000000,6.01754,6.05839,5.99606,6.01754,109717.67692964,0
BHK.US,D,20050523,000000,6.00031,6.03518,5.95285,6.02571,142354.27197157,0
BHK.US,D,20050524,000000,5.98087,6.08265,5.98087,6.02571,150080.21494197,0
BHK.US,D,20050525,000000,6.04938,6.08265,6.01754,6.05346,131616.46706466,0
BHK.US,D,20050526,000000,6.03972,6.10702,6.02181,6.04938,189802.17825369,0
BHK.US,D,20050527,000000,6.05346,6.10169,6.03518,6.06446,156301.28225659,0
BHK.US,D,20050531,000000,6.11137,6.12491,6.05839,6.10169,154799.5725384,0
BHK.US,D,20050601,000000,6.12093,6.17106,6.08265,6.15172,121309.22966652,0
BHK.US,D,20050602,000000,6.11137,6.13837,6.08265,6.12491,226296.99587447,0
BHK.US,D,20050603,000000,6.12491,6.14805,6.06834,6.10702,248192.62007193,0
BHK.US,D,20050606,000000,6.07318,6.10702,6.06834,6.07318,135904.20183977,0
BHK.US,D,20050607,000000,6.08265,6.12491,6.05839,6.11649,215782.91722212,0
BHK.US,D,20050608,000000,6.12093,6.13837,6.08265,6.11137,155669.15005618,0
BHK.US,D,20050609,000000,6.08265,6.12491,6.05839,6.0928,103273.93867294,0
BHK.US,D,20050610,000000,6.05346,6.0928,6.03972,6.07828,112926.88230771,0
BHK.US,D,20050613,000000,6.05839,6.07828,5.98087,6.01754,173272.8182284,0
BHK.US,D,20050614,000000,6.03972,6.05346,5.95701,5.98599,147709.98301852,0
BHK.US,D,20050615,000000,5.97587,5.98087,5.91976,5.95701,111426.22790205,0
BHK.US,D,20050616,000000,5.91976,5.96533,5.91132,5.96533,115304.50141881,0
BHK.US,D,20050617,000000,5.948,6.02181,5.92402,6.01754,124317.92566548,0
BHK.US,D,20050620,000000,6.10702,6.13837,6.07318,6.10702,731710.43464035,0
BHK.US,D,20050621,000000,6.12491,6.20953,6.10702,6.18537,701866.19653046,0
BHK.US,D,20050622,000000,6.2048,6.24944,6.18537,6.24944,484808.46178228,0
BHK.US,D,20050623,000000,6.25473,6.27899,6.19456,6.21947,301230.51678079,0
BHK.US,D,20050624,000000,6.23597,6.28886,6.20953,6.2682,333436.54431394,0
BHK.US,D,20050627,000000,6.27899,6.34182,6.25852,6.33176,310678.72978636,0
BHK.US,D,20050628,000000,6.33879,6.34182,6.29293,6.31671,260647.41845145,0
BHK.US,D,20050629,000000,6.33528,6.35121,6.31671,6.33176,370357.70819343,0
BHK.US,D,20050630,000000,6.31188,6.32588,6.24944,6.24944,339865.50819531,0
BHK.US,D,20050701,000000,6.24944,6.31188,6.24479,6.30211,207402.68048836,0
BHK.US,D,20050705,000000,6.30211,6.31671,6.24479,6.25852,363063.38804436,0
BHK.US,D,20050706,000000,6.25852,6.31671,6.25473,6.28393,216638.77567712,0
BHK.US,D,20050707,000000,6.33176,6.33879,6.28886,6.32126,133110.78959519,0
BHK.US,D,20050708,000000,6.35121,6.39119,6.32126,6.34589,278896.93788689,0
BHK.US,D,20050711,000000,6.37035,6.40929,6.34589,6.40408,344165.90672069,0
BHK.US,D,20050712,000000,6.41288,6.44654,6.35575,6.36599,266233.1876281,0
BHK.US,D,20050713,000000,6.35575,6.38617,6.32126,6.38105,247553.10068386,0
BHK.US,D,20050714,000000,6.38617,6.41886,6.34182,6.39574,218137.31945773,0
BHK.US,D,20050715,000000,6.39119,6.40028,6.35121,6.38617,234668.79010807,0
BHK.US,D,20050718,000000,6.34589,6.37583,6.31188,6.32588,208264.87081849,0
BHK.US,D,20050719,000000,6.32126,6.36096,6.31188,6.36096,255271.6564666,0
BHK.US,D,20050720,000000,6.36096,6.36096,6.31671,6.36096,159953.71889373,0
BHK.US,D,20050721,000000,6.36096,6.36096,6.31188,6.32126,186575.03256275,0
BHK.US,D,20050722,000000,6.33879,6.35575,6.32126,6.35121,128389.32137368,0
BHK.US,D,20050725,000000,6.33528,6.36096,6.32588,6.35121,163176.6433346,0
BHK.US,D,20050726,000000,6.35575,6.43382,6.34182,6.39119,234243.49916187,0
BHK.US,D,20050727,000000,6.35575,6.39119,6.35575,6.38105,170045.67253747,0
BHK.US,D,20050728,000000,6.37583,6.40929,6.34589,6.36096,152015.65810651,0
BHK.US,D,20050729,000000,6.38617,6.39574,6.33528,6.38105,161449.09673678,0
BHK.US,D,20050801,000000,6.38105,6.4291,6.36096,6.42303,143847.5391896,0
BHK.US,D,20050802,000000,6.41288,6.43382,6.36599,6.41288,110358.25163021,0
BHK.US,D,20050803,000000,6.40408,6.41886,6.36096,6.39574,137405.91155794,0
BHK.US,D,20050804,000000,6.37035,6.42303,6.36096,6.42303,122378.26125086,0
BHK.US,D,20050805,000000,6.41288,6.4291,6.36599,6.42303,154583.23347149,0
BHK.US,D,20050808,000000,6.40408,6.41288,6.31188,6.31188,152015.65810651,0
BHK.US,D,20050809,000000,6.30211,6.34182,6.27378,6.31188,145149.79484121,0
BHK.US,D,20050810,000000,6.31188,6.34182,6.28393,6.34182,139123.96034305,0
BHK.US,D,20050811,000000,6.32588,6.36096,6.27378,6.28886,110785.65320145,0
BHK.US,D,20050812,000000,6.28393,6.36096,6.25473,6.32588,143427.52480602,0
BHK.US,D,20050815,000000,6.33879,6.34182,6.23597,6.25852,127535.57354375,0
BHK.US,D,20050816,000000,6.24479,6.25852,6.21398,6.24944,189155.27167798,0
BHK.US,D,20050817,000000,6.2682,6.29293,6.23597,6.2682,119374.84181448,0
BHK.US,D,20050818,000000,6.28393,6.34182,6.2682,6.33879,109717.67692964,0
BHK.US,D,20050819,000000,6.34182,6.39119,6.31671,6.33879,168968.19845294,0
