<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCM.US,D,20131122,000000,200,220.4,181.4,200.1,689844.7,0
BTCM.US,D,20131125,000000,198.1,208.1,182.5,203.1,140481.5,0
BTCM.US,D,20131126,000000,205,209,195,200.3,52053.2,0
BTCM.US,D,20131127,000000,203,208,201.3,208,28727.8,0
BTCM.US,D,20131129,000000,206,208.9,202.2,202.2,31624.9,0
BTCM.US,D,20131202,000000,205.5,207.7,199.4,206.6,27490.6,0
BTCM.US,D,20131203,000000,210,210,202,202.3,27323.5,0
BTCM.US,D,20131204,000000,207,207,200.1,201.9,22919.5,0
BTCM.US,D,20131205,000000,201.5,204.6,201,203.6,8425.2,0
BTCM.US,D,20131206,000000,206.8,243.8,205,243.3,95381.5,0
BTCM.US,D,20131209,000000,245,268,243,264,83582.8,0
BTCM.US,D,20131210,000000,267.5,268,245,261.9,27792.5,0
BTCM.US,D,20131211,000000,262,262,248,248.6,32415.9,0
BTCM.US,D,20131212,000000,249.2,276.2,249.2,271.7,54600.3,0
BTCM.US,D,20131213,000000,277,319.4,262.5,315.7,84027.2,0
BTCM.US,D,20131216,000000,320,324.8,271.2,278,86284,0
BTCM.US,D,20131217,000000,266.1,275.2,266.1,272.5,52250.1,0
BTCM.US,D,20131218,000000,294,296.6,280,283.4,31039.2,0
BTCM.US,D,20131219,000000,286,294.4,278.7,286,24197.4,0
BTCM.US,D,20131220,000000,291.8,303.1,289.7,299.3,34643,0
BTCM.US,D,20131223,000000,302.2,312.6,300.4,310.6,19448.8,0
BTCM.US,D,20131224,000000,315,349.3,315,335.5,32501.1,0
BTCM.US,D,20131226,000000,342.3,350,318.7,345.9,32551.4,0
BTCM.US,D,20131227,000000,346,356,335.3,348.4,22316.7,0
BTCM.US,D,20131230,000000,349,394.2,344,375,85301.7,0
BTCM.US,D,20131231,000000,377.2,394,347.3,353.7,53503,0
BTCM.US,D,20140102,000000,353.8,389.3,353.8,372.1,42394.2,0
BTCM.US,D,20140103,000000,373.2,374.5,341,354,80094.8,0
BTCM.US,D,20140106,000000,352,358,336.8,348.6,23975.2,0
