<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CARR.US,D,20200406,000000,16.5266,16.6138,14.3865,14.9567,38335685.604087,0
CARR.US,D,20200407,000000,14.7247,15.3048,14.0969,14.7733,24243438.992089,0
CARR.US,D,20200408,000000,14.0473,14.7733,13.3006,13.8153,50965009.238914,0
CARR.US,D,20200409,000000,13.5624,15.0152,13.4662,14.318,36121116.485447,0
CARR.US,D,20200413,000000,14.0473,14.0473,13.5436,13.5534,22190663.726436,0
CARR.US,D,20200414,000000,13.5624,13.7558,13.3492,13.4364,23070809.177808,0
CARR.US,D,20200415,000000,13.1082,13.2282,12.536,12.9426,15474105.272337,0
CARR.US,D,20200416,000000,12.7403,12.8364,11.8765,12.4874,22446505.739515,0
CARR.US,D,20200417,000000,12.8831,13.3968,12.5261,13.3105,22024627.637615,0
CARR.US,D,20200420,000000,13.0795,14.2784,13.0547,13.9977,20678246.653372,0
CARR.US,D,20200421,000000,13.7756,14.7733,13.737,14.2298,16759481.554068,0
CARR.US,D,20200422,000000,14.4837,14.686,13.7756,14.328,12947805.935521,0
CARR.US,D,20200423,000000,14.2388,15.4239,14.1535,15.2294,12620310.774385,0
CARR.US,D,20200424,000000,15.1134,16.1487,14.8129,15.7422,17954008.242874,0
CARR.US,D,20200427,000000,15.6638,16.2856,15.4763,16.2757,12579378.795074,0
CARR.US,D,20200428,000000,16.353,17.196,16.0903,16.4681,13402568.171668,0
CARR.US,D,20200429,000000,16.9143,17.5163,16.6336,17.0889,12927038.441583,0
CARR.US,D,20200430,000000,16.6832,17.2832,16.4532,17.1563,19709911.703709,0
CARR.US,D,20200501,000000,16.7874,16.8062,16.1001,16.2479,11073119.871341,0
CARR.US,D,20200504,000000,15.645,16.004,15.1997,15.889,10013251.650146,0
CARR.US,D,20200505,000000,16.1587,16.238,15.3445,15.4715,16823601.128577,0
CARR.US,D,20200506,000000,15.5001,15.8592,14.9468,15.7808,10990560.133607,0
CARR.US,D,20200507,000000,15.7035,16.5078,15.3841,15.8978,12856537.866752,0
CARR.US,D,20200508,000000,16.5078,17.8257,16.4046,17.7871,18702510.269456,0
CARR.US,D,20200511,000000,17.8545,18.1648,17.4568,17.7771,9883332.5475037,0
CARR.US,D,20200512,000000,17.8158,17.8247,17.1375,17.2436,7992958.1769059,0
CARR.US,D,20200513,000000,16.6734,16.8915,15.5964,15.9266,11020637.958767,0
CARR.US,D,20200514,000000,15.5191,16.1933,15.2294,16.0317,8048661.8492831,0
CARR.US,D,20200515,000000,15.7908,16.4334,15.5001,16.1885,7591038.8517718,0
CARR.US,D,20200518,000000,16.7606,17.1662,16.7507,17.0026,6333046.0157982,0
CARR.US,D,20200519,000000,16.8945,17.3606,16.6138,17.2138,8606991.3104771,0
CARR.US,D,20200520,000000,17.5937,18.4545,17.4766,18.145,12294096.250167,0
CARR.US,D,20200521,000000,17.9616,18.9106,17.9219,18.8432,10024743.097629,0
CARR.US,D,20200522,000000,18.863,19.2399,18.3583,18.4545,6128809.6369626,0
CARR.US,D,20200526,000000,18.9969,19.9569,18.7351,18.9007,7541113.171153,0
CARR.US,D,20200527,000000,18.9582,19.5006,18.8234,19.3658,9259138.013767,0
CARR.US,D,20200528,000000,19.4521,19.82,18.8958,18.987,8784811.275684,0
CARR.US,D,20200529,000000,18.3671,20.3238,18.2908,19.8299,34057124.050455,0
CARR.US,D,20200601,000000,19.9083,21.2649,19.9083,21.137,7943837.1799561,0
CARR.US,D,20200602,000000,21.013,21.1459,20.2514,20.6927,8563088.6568692,0
CARR.US,D,20200603,000000,20.7998,21.8748,20.7125,21.5267,9947097.1738277,0
CARR.US,D,20200604,000000,21.3423,22.3994,21.3423,21.973,6866475.6601532,0
CARR.US,D,20200605,000000,22.805,23.638,22.6502,22.8248,8096561.703472,0
CARR.US,D,20200608,000000,22.8903,23.6192,22.5818,23.6093,8846847.5463581,0
CARR.US,D,20200609,000000,22.9973,23.2106,22.4827,22.4827,7070936.9067309,0
CARR.US,D,20200610,000000,21.613,22.4252,21.3512,21.5069,10593039.342512,0
