<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CELG-R.US,D,20191213,000000,0.3961,0.41,0.3667,0.40001,192918,0
CELG-R.US,D,20191216,000000,0.3841,0.42,0.3541,0.3975,45229,0
CELG-R.US,D,20191217,000000,0.3817,0.42,0.3817,0.4017,44364,0
CELG-R.US,D,20191218,000000,0.4177,0.4201,0.38,0.38,82732,0
CELG-R.US,D,20191219,000000,0.4,0.4199,0.36,0.3999,103858,0
CELG-R.US,D,20191220,000000,0.4158,0.4158,0.3601,0.4,96769,0
CELG-R.US,D,20191223,000000,0.42,0.42,0.4,0.4091,6273,0
CELG-R.US,D,20191224,000000,0.42,0.48,0.41,0.46,224721,0
CELG-R.US,D,20191226,000000,0.45,0.46,0.45,0.4501,54097,0
CELG-R.US,D,20191227,000000,0.5107,0.58,0.3818,0.5169,368543,0
CELG-R.US,D,20191230,000000,0.5,0.5,0.4101,0.4454,9492,0
CELG-R.US,D,20191231,000000,0.453492,0.455,0.44,0.4501,42020,0
CELG-R.US,D,20200102,000000,0.451,0.481,0.451,0.481,12520,0
CELG-R.US,D,20200103,000000,0.5002,0.5002,0.4724,0.4724,16737,0
CELG-R.US,D,20200106,000000,0.4912,0.5,0.4801,0.5,15546,0
CELG-R.US,D,20200107,000000,0.51,0.51,0.44,0.5012,24221,0
CELG-R.US,D,20200108,000000,0.45,0.5,0.4497,0.5,11734,0
CELG-R.US,D,20200109,000000,0.4999,0.505,0.4975,0.505,65992,0
CELG-R.US,D,20200110,000000,0.4848,0.5275,0.4848,0.525,50683,0
CELG-R.US,D,20200113,000000,0.53,0.53,0.51,0.53,64706,0
CELG-R.US,D,20200114,000000,0.5088,0.5799,0.5002,0.54,64726,0
CELG-R.US,D,20200115,000000,0.4625,0.5685,0.447897,0.567,41070,0
CELG-R.US,D,20200116,000000,0.5799,0.58,0.5499,0.5702,8778,0
CELG-R.US,D,20200117,000000,0.5753,0.5799,0.5693,0.57459,15277,0
CELG-R.US,D,20200121,000000,0.5799,0.58,0.575,0.5751,8137,0
CELG-R.US,D,20200122,000000,0.58,0.589,0.58,0.5825,15289,0
CELG-R.US,D,20200123,000000,0.585,0.59005,0.58,0.58,45853,0
CELG-R.US,D,20200124,000000,0.6,0.6,0.5931,0.5935,18620,0
CELG-R.US,D,20200127,000000,0.5954,0.6,0.5787,0.5787,21940,0
CELG-R.US,D,20200128,000000,0.62589,0.6499,0.62589,0.63465,14696,0
CELG-R.US,D,20200129,000000,0.6093,0.6093,0.5829,0.5829,5026,0
CELG-R.US,D,20200130,000000,0.61222,0.61222,0.58,0.5829,2500,0
CELG-R.US,D,20200131,000000,0.593,0.624,0.593,0.624,40988,0
CELG-R.US,D,20200203,000000,0.624,0.624,0.5828,0.593,40989,0
CELG-R.US,D,20200204,000000,0.6,0.6,0.5978,0.5999,36912,0
CELG-R.US,D,20200205,000000,0.5505,0.599,0.5505,0.599,16534,0
CELG-R.US,D,20200206,000000,0.5751,0.68,0.5601,0.68,44662,0
CELG-R.US,D,20200207,000000,0.6528,0.68,0.626,0.6633,44409,0
