<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHT.US,D,20050225,000000,15.6271,15.9516,15.6145,15.8981,872029.48385631,0
CHT.US,D,20050228,000000,15.8981,15.8981,15.6223,15.6601,666575.74329587,0
CHT.US,D,20050301,000000,15.7699,15.9438,15.5183,15.6601,1136512.2600149,0
CHT.US,D,20050302,000000,16.0594,16.0594,15.7311,15.835,1083999.9113493,0
CHT.US,D,20050303,000000,15.904,16.0215,15.6417,15.699,582245.90231802,0
CHT.US,D,20050304,000000,15.8078,15.8593,15.596,15.6854,505583.72078304,0
CHT.US,D,20050307,000000,15.5183,15.7311,15.5047,15.5708,549408.18303108,0
CHT.US,D,20050308,000000,15.5708,15.6271,15.5047,15.5883,671941.45771803,0
CHT.US,D,20050309,000000,15.6271,15.7767,15.596,15.6465,495361.89067989,0
CHT.US,D,20050310,000000,15.6465,15.6465,15.4989,15.5183,237011.80078622,0
CHT.US,D,20050311,000000,15.4464,15.5183,15.4086,15.4144,263076.48953146,0
CHT.US,D,20050314,000000,15.3891,15.53,15.3775,15.427,343061.8725543,0
CHT.US,D,20050315,000000,15.3891,15.4464,15.3823,15.4018,483095.48865764,0
CHT.US,D,20050316,000000,15.4416,15.5242,15.2648,15.3114,817471.53377914,0
CHT.US,D,20050317,000000,15.1958,15.3775,15.1376,15.2221,359673.76202397,0
CHT.US,D,20050318,000000,15.3056,15.4348,15.2327,15.3377,269466.54889798,0
CHT.US,D,20050321,000000,15.2803,15.427,15.2327,15.2522,259118.09122885,0
CHT.US,D,20050322,000000,15.2522,15.3114,15.1696,15.2143,348298.90042565,0
CHT.US,D,20050323,000000,15.2852,15.3309,15.1696,15.2017,890811.54331867,0
CHT.US,D,20050324,000000,15.157,15.2075,15.0909,15.157,353795.36038342,0
CHT.US,D,20050328,000000,15.157,15.2599,15.1308,15.2017,241101.97411685,0
CHT.US,D,20050329,000000,15.1123,15.2017,14.886,14.8908,438121.08339165,0
