<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CII.US,D,20050225,000000,6.5321,6.56582,6.49311,6.56582,106233.1638575,0
CII.US,D,20050228,000000,6.5502,6.56237,6.51692,6.54565,75173.453660338,0
CII.US,D,20050301,000000,6.54565,6.58209,6.52174,6.554,82482.656173353,0
CII.US,D,20050302,000000,6.52956,6.57001,6.51501,6.53701,106751.32074848,0
CII.US,D,20050303,000000,6.56237,6.57001,6.48202,6.51055,173311.92876245,0
CII.US,D,20050304,000000,6.51692,6.56237,6.50655,6.54565,168361.38521811,0
CII.US,D,20050307,000000,6.54228,6.57001,6.5321,6.55718,155835.40993016,0
CII.US,D,20050308,000000,6.55718,6.57255,6.52174,6.57255,109895.46595951,0
CII.US,D,20050309,000000,6.5321,6.5502,6.51692,6.52174,115370.76711955,0
CII.US,D,20050310,000000,6.51692,6.52174,6.46575,6.51501,105707.30612101,0
CII.US,D,20050311,000000,6.43583,6.43583,6.4052,6.4132,83789.599669055,0
CII.US,D,20050314,000000,6.42575,6.42575,6.36476,6.40121,150083.97845244,0
CII.US,D,20050315,000000,6.42575,6.42575,6.33621,6.38158,117462.09673682,0
CII.US,D,20050316,000000,6.38158,6.38158,6.30123,6.32139,129988.07202479,0
CII.US,D,20050317,000000,6.32956,6.3493,6.30123,6.34068,74126.138670513,0
CII.US,D,20050318,000000,6.34068,6.36476,6.32956,6.34484,85358.371912216,0
CII.US,D,20050321,000000,6.32956,6.33339,6.28977,6.29768,89017.373651876,0
CII.US,D,20050322,000000,6.24513,6.30895,6.22086,6.24904,95013.031944458,0
CII.US,D,20050323,000000,6.21404,6.21404,6.12961,6.19569,99181.389608788,0
CII.US,D,20050324,000000,6.18015,6.26094,6.15641,6.21404,90574.044566371,0
CII.US,D,20050328,000000,6.22086,6.26094,6.11742,6.15641,89524.529334972,0
CII.US,D,20050329,000000,6.13669,6.22086,6.08469,6.19215,145395.26365555,0
CII.US,D,20050330,000000,6.21077,6.30432,6.21077,6.26468,132854.98679735,0
CII.US,D,20050331,000000,6.29768,6.35313,6.22841,6.30123,99444.318477032,0
CII.US,D,20050401,000000,6.28977,6.37865,6.28259,6.3493,96062.547175858,0
CII.US,D,20050404,000000,6.33339,6.44429,6.26468,6.44066,120331.21175098,0
CII.US,D,20050405,000000,6.45992,6.45992,6.37121,6.43402,120331.21175098,0
CII.US,D,20050406,000000,6.4052,6.45575,6.3614,6.43583,74126.138670513,0
CII.US,D,20050407,000000,6.4052,6.44429,6.33621,6.39328,95534.489197794,0
CII.US,D,20050408,000000,6.36476,6.38848,6.26468,6.26468,50900.388602069,0
CII.US,D,20050411,000000,6.26468,6.30432,6.21077,6.24513,84050.328295725,0
