<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CODI_C.US,D,20191125,000000,24.9,24.97,24.875,24.8878,133150,0
CODI_C.US,D,20191126,000000,24.97,25,24.91,24.95,245405,0
CODI_C.US,D,20191127,000000,24.99,25.29,24.9899,25.15,661419,0
CODI_C.US,D,20191129,000000,25.23,25.39,25.11,25.11,498617,0
CODI_C.US,D,20191202,000000,25.14,25.14,24.94,24.99,175482,0
CODI_C.US,D,20191203,000000,24.9,25.08,24.8,25.03,57336,0
CODI_C.US,D,20191204,000000,25.08,25.14,24.98,25.07,89722,0
CODI_C.US,D,20191205,000000,25.13,25.2209,24.97,25.19,158130,0
CODI_C.US,D,20191206,000000,25.22,25.27,25.16,25.19,80545,0
CODI_C.US,D,20191209,000000,25.29,25.3,25.1439,25.23,79150,0
CODI_C.US,D,20191210,000000,25.25,25.29,25.19,25.25,47361,0
CODI_C.US,D,20191211,000000,25.29,25.39,25.275,25.35,35361,0
CODI_C.US,D,20191212,000000,25.4,25.4,25.35,25.3897,34786,0
CODI_C.US,D,20191213,000000,25.4,25.5,25.37,25.45,20677,0
CODI_C.US,D,20191216,000000,25.38,25.4868,25.29,25.44,46256,0
CODI_C.US,D,20191217,000000,25.44,25.48,25.38,25.48,22004,0
CODI_C.US,D,20191218,000000,25.42,25.45,25.4,25.45,16574,0
CODI_C.US,D,20191219,000000,25.45,25.4787,25.3815,25.4553,23107,0
CODI_C.US,D,20191220,000000,25.455,25.49,25.42,25.49,20656,0
CODI_C.US,D,20191223,000000,25.5,25.545,25.46,25.48,48099,0
CODI_C.US,D,20191224,000000,25.5,25.6157,25.4528,25.56,12445,0
CODI_C.US,D,20191226,000000,25.59,25.84,25.569,25.84,38834,0
CODI_C.US,D,20191227,000000,25.84,25.84,25.32,25.55,90251,0
CODI_C.US,D,20191230,000000,25.5444,25.5444,25.4,25.45,26128,0
CODI_C.US,D,20191231,000000,25.47,25.64,25.33,25.64,80358,0
CODI_C.US,D,20200102,000000,25.68,25.8484,25.68,25.75,23361,0
CODI_C.US,D,20200103,000000,25.83,25.9,25.6217,25.9,22082,0
CODI_C.US,D,20200106,000000,25.8273,25.885,25.45,25.58,59421,0
CODI_C.US,D,20200107,000000,25.65,25.81,25.5996,25.81,39274,0
CODI_C.US,D,20200108,000000,25.82,25.85,25.59,25.8375,80974,0
CODI_C.US,D,20200109,000000,25.83,25.9,25.65,25.78,83861,0
CODI_C.US,D,20200110,000000,25.78,25.99,25.78,25.98,55134,0
CODI_C.US,D,20200113,000000,26,26.05,25.965,26.05,36382,0
CODI_C.US,D,20200114,000000,25.63,25.8589,25.6101,25.83,25933,0
CODI_C.US,D,20200115,000000,25.79,25.88,25.6,25.66,29520,0
CODI_C.US,D,20200116,000000,25.62,25.6868,25.4,25.45,52147,0
CODI_C.US,D,20200117,000000,25.43,25.78,25.43,25.74,51424,0
CODI_C.US,D,20200121,000000,25.75,25.89,25.75,25.8,15584,0
CODI_C.US,D,20200122,000000,25.8,25.85,25.7873,25.83,12720,0
CODI_C.US,D,20200123,000000,25.8,25.8,25.56,25.72,32183,0
CODI_C.US,D,20200124,000000,25.72,25.79,25.62,25.63,14619,0
CODI_C.US,D,20200127,000000,25.67,25.78,25.51,25.63,14989,0
CODI_C.US,D,20200128,000000,25.79,25.79,25.57,25.67,23906,0
CODI_C.US,D,20200129,000000,25.79,25.79,25.61,25.68,19474,0
CODI_C.US,D,20200130,000000,25.79,25.79,25.72,25.7761,9113,0
CODI_C.US,D,20200131,000000,25.79,25.99,25.7709,25.87,22557,0
CODI_C.US,D,20200203,000000,25.8663,25.8663,25.68,25.7085,18749,0
CODI_C.US,D,20200204,000000,25.7717,25.7808,25.67,25.75,9612,0
CODI_C.US,D,20200205,000000,25.79,25.94,25.79,25.94,29846,0
CODI_C.US,D,20200206,000000,25.94,25.94,25.847,25.847,4085,0
CODI_C.US,D,20200207,000000,25.91,26.05,25.854,26.04,36716,0
CODI_C.US,D,20200210,000000,25.9248,26.0116,25.88,25.92,14249,0
CODI_C.US,D,20200211,000000,25.9045,25.97,25.665,25.75,29215,0
CODI_C.US,D,20200212,000000,25.73,25.79,25.55,25.64,47902,0
CODI_C.US,D,20200213,000000,25.65,25.72,25.575,25.65,23610,0
CODI_C.US,D,20200214,000000,25.69,25.72,25.62,25.67,23074,0
CODI_C.US,D,20200218,000000,25.7,25.8,25.62,25.65,22369,0
CODI_C.US,D,20200219,000000,25.66,25.7,25.62,25.7,11300,0
CODI_C.US,D,20200220,000000,25.64,25.74,25.575,25.66,11426,0
CODI_C.US,D,20200221,000000,25.69,25.69,25.5,25.55,16646,0
CODI_C.US,D,20200224,000000,25.4,25.4975,25,25.06,89316,0
CODI_C.US,D,20200225,000000,25.29,25.29,23,23,67917,0
CODI_C.US,D,20200226,000000,23.92,24.75,23.92,24.25,129183,0
CODI_C.US,D,20200227,000000,24.26,24.4851,23.67,24.178,63831,0
CODI_C.US,D,20200228,000000,24.19,24.4768,23.1365,23.85,47722,0
CODI_C.US,D,20200302,000000,24,24.55,23.7,24.5049,48412,0
CODI_C.US,D,20200303,000000,24.75,24.9881,24.0751,24.36,35810,0
CODI_C.US,D,20200304,000000,24.65,25,24.45,24.99,36444,0
CODI_C.US,D,20200305,000000,24.99,25.11,24.2,24.2,45878,0
CODI_C.US,D,20200306,000000,25.09,25.09,23.91,24,26962,0
CODI_C.US,D,20200309,000000,23.3,23.3,21.285,21.75,65513,0
CODI_C.US,D,20200310,000000,22.75,23.5,21.95,22.39,37474,0
CODI_C.US,D,20200311,000000,22.2,22.2,20.14,20.504,74378,0
CODI_C.US,D,20200312,000000,18.05,18.44,16.03,17.59,87123,0
CODI_C.US,D,20200313,000000,19.16,20.25,18,20.25,73053,0
CODI_C.US,D,20200316,000000,19.26,19.26,17.5315,17.625,38488,0
CODI_C.US,D,20200317,000000,17.75,17.7559,16.9,17.41,95389,0
CODI_C.US,D,20200318,000000,16.75,16.75,13.4045,16.01,141190,0
CODI_C.US,D,20200319,000000,15.51,17.31,14.188,17.18,51297,0
CODI_C.US,D,20200320,000000,17.395,18.4199,15.91,15.935,29415,0
CODI_C.US,D,20200323,000000,15.75,15.75,14.49,15.42,57214,0
CODI_C.US,D,20200324,000000,16.62,19,16.49,17.23,60962,0
