<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRH.US,D,20050225,000000,18.1207,18.4108,18.1207,18.2955,14214.984361576,0
CRH.US,D,20050228,000000,18.6353,18.7843,18.4803,18.6353,38070.027158984,0
CRH.US,D,20050301,000000,18.8628,18.8628,18.4108,18.6144,12613.508641475,0
CRH.US,D,20050302,000000,18.4187,18.4247,18.0849,18.1644,50350.356376604,0
CRH.US,D,20050303,000000,18.2141,18.3333,17.8753,17.9737,25355.860081299,0
CRH.US,D,20050304,000000,18.2846,18.7684,18.2707,18.4614,31178.950616047,0
CRH.US,D,20050307,000000,18.3541,18.685,18.3194,18.5081,11899.840328746,0
CRH.US,D,20050308,000000,18.3691,18.7346,18.3691,18.4754,25952.764608024,0
CRH.US,D,20050309,000000,18.4863,18.5369,18.0313,18.0492,27133.488064768,0
CRH.US,D,20050310,000000,17.8962,18.1574,17.7919,17.7919,34569.1267476,0
CRH.US,D,20050311,000000,18.0571,18.2459,17.8833,17.9021,26649.320986597,0
CRH.US,D,20050314,000000,18.0492,18.0492,17.8326,17.8554,19473.381069187,0
CRH.US,D,20050315,000000,17.7163,18.0243,17.7163,17.7163,8698.9020572682,0
CRH.US,D,20050316,000000,17.7273,17.9955,17.7213,17.9309,11018.072427547,0
CRH.US,D,20050317,000000,18.1276,18.1932,17.6418,17.9737,16625.753908806,0
CRH.US,D,20050318,000000,18.1574,18.1992,17.7213,17.8912,9359.2213988058,0
CRH.US,D,20050321,000000,18.0313,18.0492,17.5942,17.7402,20684.302056793,0
CRH.US,D,20050322,000000,17.5942,18.2061,17.5942,17.7829,54010.2971172,0
CRH.US,D,20050323,000000,17.3945,17.46,17.1153,17.1511,25670.920986636,0
CRH.US,D,20050324,000000,17.2852,17.5246,17.0587,17.0646,21706.991768686,0
CRH.US,D,20050328,000000,17.0944,17.3835,17.0875,17.0944,9210.246913215,0
CRH.US,D,20050329,000000,17.3279,17.3706,16.8958,17.0021,25450.479011336,0
CRH.US,D,20050330,000000,17.3786,17.5445,17.0785,17.2067,26041.344031889,0
CRH.US,D,20050331,000000,17.0587,17.4809,17.0497,17.2494,54791.406582189,0
CRH.US,D,20050401,000000,17.4253,17.6577,17.1918,17.4441,23570.179422934,0
CRH.US,D,20050404,000000,16.7279,17.1719,16.7279,16.9325,28730.93744742,0
CRH.US,D,20050405,000000,17.1848,17.4253,17.1282,17.2415,15452.076542597,0
CRH.US,D,20050406,000000,17.5524,17.7163,17.3279,17.4809,11720.668312292,0
CRH.US,D,20050407,000000,17.616,17.7919,17.4104,17.6657,24526.434566929,0
CRH.US,D,20050408,000000,17.8167,18.1207,17.5524,17.7561,20497.077365442,0
CRH.US,D,20050411,000000,17.5524,18.0174,17.5524,17.6995,14875.303703114,0
CRH.US,D,20050412,000000,17.7919,17.9021,17.4869,17.621,14417.307818358,0
CRH.US,D,20050413,000000,17.5167,17.9081,17.4809,17.9081,5464.7465018409,0
CRH.US,D,20050414,000000,17.616,17.9081,17.4809,17.769,16260.363785363,0
CRH.US,D,20050415,000000,17.2276,17.776,17.2276,17.6915,15528.576954117,0
CRH.US,D,20050418,000000,17.0944,17.4869,17.0944,17.2852,18440.625513672,0
CRH.US,D,20050419,000000,17.4362,17.6995,17.0646,17.5167,8433.1637856738,0
CRH.US,D,20050420,000000,17.4193,17.6091,17.0587,17.0785,17713.871604236,0
CRH.US,D,20050421,000000,17.3786,17.4809,17.1362,17.4809,10884.196707387,0
CRH.US,D,20050422,000000,17.2276,17.2355,16.9236,17.0587,9610.8674893308,0
CRH.US,D,20050425,000000,16.8183,16.8183,16.5719,16.6653,19988.752262582,0
CRH.US,D,20050426,000000,16.5659,16.8481,16.5441,16.6792,9867.5465016663,0
