<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAVA.US,D,20180727,000000,25,26,24.13,25.2,4784297,0
DAVA.US,D,20180730,000000,24.8,25.25,23,23.25,885773,0
DAVA.US,D,20180731,000000,23.25,24.47,23.25,23.91,292459,0
DAVA.US,D,20180801,000000,23.81,24.1,23.3,23.8,201869,0
DAVA.US,D,20180802,000000,23.71,26.41,23.25,24.8,283212,0
DAVA.US,D,20180803,000000,25.25,25.5,24.43,25.08,70140,0
DAVA.US,D,20180806,000000,25.12,26.4799,25.05,26.41,77386,0
DAVA.US,D,20180807,000000,26.5,26.9499,26,26.19,29581,0
DAVA.US,D,20180808,000000,26.35,26.56,25.561,26.4,29674,0
DAVA.US,D,20180809,000000,26.5,27.09,25.35,26.78,195207,0
DAVA.US,D,20180810,000000,26.81,27.69,26.001,27.61,48443,0
DAVA.US,D,20180813,000000,27.21,29.63,27.1011,29.63,65047,0
DAVA.US,D,20180814,000000,29.7,30.43,28.8002,30.43,149835,0
DAVA.US,D,20180815,000000,30.18,30.5,27.4,29.49,107742,0
DAVA.US,D,20180816,000000,29.61,29.6316,28.59,29.2,50355,0
DAVA.US,D,20180817,000000,29.05,29.05,28,28.57,10971,0
DAVA.US,D,20180820,000000,28.4,28.4,26.35,27.49,69744,0
DAVA.US,D,20180821,000000,27.9,28.25,25.5,25.5,93501,0
DAVA.US,D,20180822,000000,25.5,26.75,24.9,26.2,68408,0
DAVA.US,D,20180823,000000,26.9,27.7,25.63,27.31,72870,0
DAVA.US,D,20180824,000000,27.31,27.575,26.26,26.3,45186,0
DAVA.US,D,20180827,000000,26.39,26.94,25.93,26.85,45795,0
DAVA.US,D,20180828,000000,26.85,26.875,26.045,26.35,13857,0
DAVA.US,D,20180829,000000,26.42,27.485,25.9,26.49,86595,0
DAVA.US,D,20180830,000000,26.7664,27,26,26.4,16312,0
DAVA.US,D,20180831,000000,26.1498,26.606,26.01,26.22,17114,0
DAVA.US,D,20180904,000000,26.22,26.49,26,26.42,19809,0
DAVA.US,D,20180905,000000,26.27,26.5,26,26.25,21363,0
DAVA.US,D,20180906,000000,26.1816,26.45,24.37,25.5,54187,0
DAVA.US,D,20180907,000000,25.49,25.75,24.8537,25.45,99341,0
DAVA.US,D,20180910,000000,24.88,26,24.88,25.5,58318,0
DAVA.US,D,20180911,000000,25.72,25.999,24.99,25.46,18393,0
DAVA.US,D,20180912,000000,24.9085,25.675,24.9085,25.59,12101,0
DAVA.US,D,20180913,000000,25.54,26.02,25.27,25.71,28628,0
DAVA.US,D,20180914,000000,25.3371,26.225,25.3371,25.87,122419,0
DAVA.US,D,20180917,000000,24.94,25.95,24.94,25.82,28222,0
DAVA.US,D,20180918,000000,25.72,27.21,25.6859,26.85,24002,0
DAVA.US,D,20180919,000000,27.04,27.79,27.025,27.66,25122,0
DAVA.US,D,20180920,000000,27.75,28,27.4,27.7,19233,0
DAVA.US,D,20180921,000000,27.9,28.25,27.501,28.15,15150,0
DAVA.US,D,20180924,000000,28.15,29,27.2,28.9,73964,0
DAVA.US,D,20180925,000000,28.65,29.8,28.45,29.8,17809,0
DAVA.US,D,20180926,000000,29.6,30.4,29.33,29.8,87725,0
DAVA.US,D,20180927,000000,29.84,30.089,29.01,29.67,9378,0
DAVA.US,D,20180928,000000,29.5,29.594,28.1007,28.53,11521,0
DAVA.US,D,20181001,000000,29.0056,30.99,29,30.74,53100,0
DAVA.US,D,20181002,000000,30.95,31.5,29.02,29.15,150090,0
DAVA.US,D,20181003,000000,29.27,29.62,28.19,28.19,40065,0
DAVA.US,D,20181004,000000,28,28.435,26.96,27.79,14720,0
DAVA.US,D,20181005,000000,27.75,28.365,27.265,27.86,10027,0
DAVA.US,D,20181008,000000,27.6999,27.8897,26.02,27.43,10215,0
DAVA.US,D,20181009,000000,27.1,27.1,26,26.16,20363,0
DAVA.US,D,20181010,000000,26.12,26.34,24.27,24.43,24745,0
DAVA.US,D,20181011,000000,25,26.38,21.13,21.2,89344,0
DAVA.US,D,20181012,000000,21.7,25,21.7,23.88,202380,0
DAVA.US,D,20181015,000000,23.87,24.49,23.5,23.6,9156,0
DAVA.US,D,20181016,000000,23.66,25,23.66,25,7292,0
DAVA.US,D,20181017,000000,25,25.36,24.3871,25.2,5545,0
DAVA.US,D,20181018,000000,25.2,25.2499,24.01,24.03,10985,0
DAVA.US,D,20181019,000000,24.03,24.35,23.18,23.27,37638,0
