<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIN.US,D,20050225,000000,32.2742,32.998,32.1861,32.774,141174.32623810213,0
DIN.US,D,20050228,000000,32.774,33.0127,31.7451,31.9474,229448.40797251658,0
DIN.US,D,20050301,000000,32.0855,32.8141,32.0855,32.6331,156354.40529017273,0
DIN.US,D,20050302,000000,32.5657,32.7407,32.2351,32.3857,131595.78632439958,0
DIN.US,D,20050303,000000,32.553,32.8366,32.2624,32.4708,94315.23792504633,0
DIN.US,D,20050304,000000,32.5324,32.998,32.3339,32.9255,97551.02390294129,0
DIN.US,D,20050307,000000,32.8904,33.2513,32.7691,33.0811,94754.85497733542,0
DIN.US,D,20050308,000000,33.0743,33.488,32.8787,33.2152,137049.0825032571,0
DIN.US,D,20050309,000000,33.1829,33.1829,32.553,32.6714,121429.38639890449,0
DIN.US,D,20050310,000000,32.7407,32.7887,31.8936,32.0287,150753.8885170566,0
DIN.US,D,20050311,000000,31.8936,32.4091,31.8936,32.3416,139402.56728086047,0
DIN.US,D,20050314,000000,32.3416,33.6044,32.3416,33.1829,189952.39410267028,0
DIN.US,D,20050315,000000,33.1906,33.9301,33.1829,33.2914,185681.97450404023,0
DIN.US,D,20050316,000000,33.2513,33.6367,33.0274,33.089,118630.15037758826,0
DIN.US,D,20050317,000000,33.1164,33.5428,33.0274,33.3384,66163.38873474069,0
DIN.US,D,20050318,000000,33.6259,34.2686,33.4529,33.6983,282942.6466794276,0
DIN.US,D,20050321,000000,33.6983,33.6983,33.2777,33.5086,88857.85228523561,0
DIN.US,D,20050322,000000,33.5624,34.0905,33.3442,33.4626,146037.7176747137,0
DIN.US,D,20050323,000000,33.3941,33.5487,32.7162,32.8904,154143.02928063893,0
DIN.US,D,20050324,000000,32.9128,33.1301,32.5725,32.7407,242564.33160929178,0
DIN.US,D,20050328,000000,32.8787,33.1164,32.5862,32.8904,133657.8970092012,0
DIN.US,D,20050329,000000,32.7887,33.089,32.0972,32.2674,180820.6277979123,0
DIN.US,D,20050330,000000,32.369,32.8425,32.369,32.7613,160184.1854712789,0
DIN.US,D,20050331,000000,32.8298,32.8298,32.1647,32.3544,160630.9590802336,0
DIN.US,D,20050401,000000,32.4561,32.637,31.8251,32.0638,156794.02234246483,0
DIN.US,D,20050404,000000,32.1109,32.8298,31.928,32.6136,150461.4920590231,0
DIN.US,D,20050405,000000,32.6605,33.2103,32.6195,33.0274,202183.97180869247,0
DIN.US,D,20050406,000000,33.0332,33.8782,32.8572,33.535,174775.3821463252,0
DIN.US,D,20050407,000000,33.535,34.16,33.3501,33.849,194079.682567999,0
DIN.US,D,20050408,000000,33.849,33.849,32.952,33.0195,164312.49630183936,0
DIN.US,D,20050411,000000,33.0274,33.0811,32.6714,32.7212,126291.75547026415,0
DIN.US,D,20050412,000000,32.7289,33.0811,32.4091,32.8044,228271.66558370984,0
DIN.US,D,20050413,000000,32.8044,33.1906,32.6067,32.8425,129828.11682810506,0
DIN.US,D,20050414,000000,32.8503,32.8503,30.225,30.225,592260.2717657172,0
DIN.US,D,20050415,000000,30.2427,30.5439,29.7222,29.9599,319631.2456060432,0
DIN.US,D,20050418,000000,30.0471,30.4832,29.6812,30.1976,150019.83027626746,0
DIN.US,D,20050419,000000,30.2622,30.7444,30.1683,30.6731,122903.63707192364,0
DIN.US,D,20050420,000000,30.7297,30.7297,29.6958,29.7536,269237.8406656281,0
DIN.US,D,20050421,000000,29.9257,30.1018,28.9808,29.2537,271445.12721420464,0
DIN.US,D,20050422,000000,29.2684,29.9188,29.1598,29.5364,149134.46198026254,0
DIN.US,D,20050425,000000,29.4728,30.0137,29.2332,29.8836,175068.80096959046,0
DIN.US,D,20050426,000000,30.0197,30.1155,29.2606,29.3017,148099.82835951532,0
DIN.US,D,20050427,000000,29.3017,29.3094,28.4624,28.707,302540.36592437676,0
DIN.US,D,20050428,000000,28.6346,28.7715,26.1257,26.8701,936505.9828390003,0
DIN.US,D,20050429,000000,26.8701,28.0672,26.6157,27.7533,637057.2493939734,0
DIN.US,D,20050502,000000,27.5851,28.9075,27.5851,28.8066,358390.13413936476,0
DIN.US,D,20050503,000000,28.6346,29.8064,28.3451,28.7872,422789.94283875916,0
DIN.US,D,20050504,000000,28.7197,29.3751,28.5681,29.1715,408641.43031172035,0
DIN.US,D,20050505,000000,29.1051,29.4171,28.7715,29.0082,457421.54290676204,0
DIN.US,D,20050506,000000,29.1461,29.3094,28.4996,28.8273,364873.9744780123,0
DIN.US,D,20050509,000000,28.7715,29.4346,28.5886,29.3975,148989.2861164775,0
DIN.US,D,20050510,000000,29.3281,29.6666,29.1461,29.5042,181255.13302401546,0
DIN.US,D,20050511,000000,29.509,29.914,29.283,29.7536,204249.1495892095,0
DIN.US,D,20050512,000000,29.6538,29.998,29.56,29.7897,221048.65517807417,0
DIN.US,D,20050513,000000,29.6205,29.8445,29.4298,29.601,220165.33161254277,0
DIN.US,D,20050516,000000,29.7693,30.583,29.7693,30.4647,266580.7134123614,0
DIN.US,D,20050517,000000,30.402,30.7875,29.9071,30.5556,99474.09291539674,0
DIN.US,D,20050518,000000,30.7062,31.9895,30.7062,31.7979,125112.96835098385,0
DIN.US,D,20050519,000000,31.6305,32.3886,31.5533,32.2047,240939.79324630872,0
DIN.US,D,20050520,000000,32.2047,32.2047,31.8879,32.0492,120691.23869715813,0
DIN.US,D,20050523,000000,31.9808,32.4777,31.9808,32.0287,127325.36672576952,0
DIN.US,D,20050524,000000,32.0287,32.2839,31.8879,31.9895,70142.43424057603,0
DIN.US,D,20050525,000000,31.9895,32.0785,31.8057,31.8879,121429.38639890449,0
DIN.US,D,20050526,000000,31.9611,32.2918,31.9611,32.1303,161658.43614430813,0
DIN.US,D,20050527,000000,32.1647,32.4493,32.0355,32.4218,85912.4180348986,0
DIN.US,D,20050531,000000,32.4218,32.6605,32.2674,32.3075,164022.1445742794,0
DIN.US,D,20050601,000000,32.3075,32.6067,32.0013,32.1647,158123.09715170905,0
DIN.US,D,20050602,000000,32.15,32.1647,31.9328,31.9964,134841.79595467047,0
DIN.US,D,20050603,000000,31.928,31.9611,31.2012,31.5201,239468.6096689949,0
DIN.US,D,20050606,000000,31.5201,31.5465,31.2941,31.3097,135428.6336012111,0
DIN.US,D,20050607,000000,31.3762,31.6238,31.2012,31.2012,179929.12531048665,0
DIN.US,D,20050608,000000,31.2109,31.345,30.7513,30.9566,264075.9185795522,0
DIN.US,D,20050609,000000,30.9566,31.0222,29.9071,30.8079,311384.8475972902,0
DIN.US,D,20050610,000000,30.7404,30.8707,30.3326,30.7062,203363.78129320452,0
DIN.US,D,20050613,000000,30.6377,30.6906,30.2788,30.5087,221486.2274998826,0
DIN.US,D,20050614,000000,30.4421,30.7297,29.9482,30.5966,220606.99339530847,0
DIN.US,D,20050615,000000,30.7346,30.8276,30.2582,30.7513,133069.014632187,0
DIN.US,D,20050616,000000,30.7404,31.1073,30.6046,31.0984,106548.86036154006,0
DIN.US,D,20050617,000000,31.2629,31.2629,30.45,30.5018,197320.5803720809,0
DIN.US,D,20050620,000000,30.45,30.4647,30.1507,30.2788,113620.56071197,0
DIN.US,D,20050621,000000,30.2788,30.3737,30.0069,30.1086,123200.12299091439,0
DIN.US,D,20050622,000000,30.1976,30.2397,29.9325,30.0959,79578.86538622309,0
DIN.US,D,20050623,000000,30.0264,30.225,29.4797,29.5169,83410.69029780185,0
DIN.US,D,20050624,000000,29.5169,29.5237,28.8458,29.4582,169765.7924806969,0
DIN.US,D,20050627,000000,29.3838,29.3917,29.0443,29.2537,98735.94521364634,0
DIN.US,D,20050628,000000,29.2537,29.9482,29.1784,29.9325,255383.76932708634,0
DIN.US,D,20050629,000000,29.9071,29.9071,29.6265,29.7476,89597.02235222279,0
DIN.US,D,20050630,000000,29.782,29.8886,29.3917,29.4425,137638.98724551313,0
DIN.US,D,20050701,000000,29.5169,29.6078,29.1852,29.3751,104627.83607955617,0
DIN.US,D,20050705,000000,29.3223,29.5237,29.1393,29.4503,84439.18972711019,0
DIN.US,D,20050706,000000,29.4503,29.4503,27.5499,28.0917,797982.649662714,0
DIN.US,D,20050707,000000,28.0917,28.1416,27.409,28.1054,475105.39442639996,0
DIN.US,D,20050708,000000,28.0859,28.4996,28.0388,28.3186,433550.3369674675,0
DIN.US,D,20050711,000000,28.3186,28.5886,28.2306,28.3343,337909.0913288943,0
DIN.US,D,20050712,000000,28.3451,28.5622,28.1211,28.2443,245512.83295534019,0
DIN.US,D,20050713,000000,28.2218,28.5348,27.9108,28.1553,334668.19352480234,0
DIN.US,D,20050714,000000,28.1729,28.3735,27.9577,28.0251,130564.21979937785,0
DIN.US,D,20050715,000000,27.9303,28.0535,27.4354,27.5019,484534.6690153804,0
DIN.US,D,20050718,000000,27.5156,27.7533,27.3934,27.6046,219871.91278926743,0
DIN.US,D,20050719,000000,27.7737,28.1553,27.543,27.9245,184794.5614775617,0
DIN.US,D,20050720,000000,27.7533,27.9978,27.7142,27.7396,195996.61738903573,0
DIN.US,D,20050721,000000,27.6359,27.6359,27.1791,27.3797,226649.17195119028,0
DIN.US,D,20050722,000000,27.4951,27.6995,27.1968,27.6673,141174.32623810213,0
DIN.US,D,20050725,000000,27.5998,27.768,27.3728,27.4696,117004.5896493533,0
DIN.US,D,20050726,000000,27.4775,27.854,27.4354,27.4354,147509.92361725928,0
DIN.US,D,20050727,000000,27.5361,27.5361,27.143,27.2026,235485.4747021993,0
DIN.US,D,20050728,000000,28.1632,30.0959,28.0917,29.6538,756279.3492442912,0
