<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DINO.US,D,20110705,000000,22.4009,23.2465,21.5847,21.7,6202552.0120573,0
DINO.US,D,20110706,000000,21.7821,21.8163,21.1124,21.5035,6509259.1275201,0
DINO.US,D,20110707,000000,21.7821,22.5573,21.6668,22.005,9601448.8944612,0
DINO.US,D,20110708,000000,21.5162,22.5358,21.5133,22.09,8368460.9814109,0
DINO.US,D,20110711,000000,21.7792,22.1077,21.4566,21.6775,5280816.380003,0
DINO.US,D,20110712,000000,21.3276,21.7851,21.3227,21.4253,6610296.2238629,0
DINO.US,D,20110713,000000,21.6199,21.7625,21.309,21.3383,7032262.1082416,0
DINO.US,D,20110714,000000,21.5417,21.9161,20.6541,20.9512,9871915.3990353,0
DINO.US,D,20110715,000000,21.1623,21.5133,20.9845,21.5133,6121001.9421024,0
DINO.US,D,20110718,000000,21.3345,21.3687,21.0949,21.265,4362738.9770613,0
DINO.US,D,20110719,000000,21.4801,22.2288,21.4556,22.2024,4950541.5122211,0
DINO.US,D,20110720,000000,22.3999,22.4039,21.9474,21.9746,3359355.0675594,0
DINO.US,D,20110721,000000,22.0578,22.309,21.8584,22.1302,3508627.3878625,0
DINO.US,D,20110722,000000,22.095,22.1116,21.7742,21.7821,3376051.364356,0
DINO.US,D,20110725,000000,21.6775,22.92,21.612,22.3168,5142874.7491993,0
DINO.US,D,20110726,000000,22.1809,22.7009,21.8613,22.2094,4355406.1509209,0
DINO.US,D,20110727,000000,22.0226,22.0744,21.3627,21.5955,4124863.0382212,0
DINO.US,D,20110728,000000,21.5387,21.9923,21.2328,21.3501,2784275.5177107,0
DINO.US,D,20110729,000000,21.1917,22.568,20.8906,22.5241,5914394.8598203,0
DINO.US,D,20110801,000000,23.0959,23.176,22.4155,22.827,7206598.8221365,0
DINO.US,D,20110802,000000,22.8887,23.2416,21.8692,21.9317,9063599.1913937,0
DINO.US,D,20110803,000000,21.7675,21.9737,20.6902,21.4673,7073905.1542375,0
DINO.US,D,20110804,000000,21.2288,21.4723,19.6609,20.0969,10594572.16694,0
DINO.US,D,20110805,000000,20.4781,21.092,18.7939,19.9093,7786726.8509199,0
DINO.US,D,20110808,000000,19.2426,19.6013,17.4176,18.1585,8535465.8921601,0
DINO.US,D,20110809,000000,18.7136,20.0089,18.4878,19.7831,13485367.009687,0
DINO.US,D,20110810,000000,19.6423,21.1115,19.4215,20.0743,8582916.4791715,0
DINO.US,D,20110811,000000,20.2366,21.6501,20.1408,21.3422,6765136.7044173,0
DINO.US,D,20110812,000000,21.8153,22.0187,21.009,21.1829,4326844.1383873,0
DINO.US,D,20110815,000000,21.5328,22.2416,21.397,22.134,3815876.690526,0
DINO.US,D,20110816,000000,21.9796,22.1087,21.2211,21.572,3414626.4491918,0
DINO.US,D,20110817,000000,21.8437,22.1662,21.267,21.3345,3608011.3247405,0
DINO.US,D,20110818,000000,20.5954,20.6443,19.8867,20.1331,8443442.4022799,0
DINO.US,D,20110819,000000,19.7587,20.916,19.7167,20.2494,6179249.2153701,0
DINO.US,D,20110822,000000,19.9013,20.2973,18.7284,19.0833,12424991.041437,0
DINO.US,D,20110823,000000,19.2601,20.2777,18.8114,20.2777,7555026.7311939,0
DINO.US,D,20110824,000000,20.182,21.0539,19.9942,20.6365,4360628.5389576,0
DINO.US,D,20110825,000000,20.9033,21.2298,19.8203,20.0177,5710042.4578972,0
DINO.US,D,20110826,000000,19.9708,21.5152,19.8212,21.4361,6225540.7493658,0
DINO.US,D,20110829,000000,21.6062,21.9659,20.8506,21.9161,5115098.3966095,0
DINO.US,D,20110830,000000,21.8876,22.2328,21.5035,21.9287,6771938.5962989,0
DINO.US,D,20110831,000000,22.2895,22.4409,21.4576,21.7655,6636344.7383737,0
