<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EBF.US,D,20050225,000000,9.36783,9.4049,9.33466,9.37174,181674.15775799,0
EBF.US,D,20050228,000000,9.34539,9.38539,9.25747,9.34539,183676.79399282,0
EBF.US,D,20050301,000000,9.34539,9.46638,9.32489,9.45565,131954.66491037,0
EBF.US,D,20050302,000000,9.41661,9.55224,9.37174,9.49272,166133.7415713,0
EBF.US,D,20050303,000000,9.51029,9.52687,9.33856,9.46638,177464.93205866,0
EBF.US,D,20050304,000000,9.46638,9.58736,9.45565,9.55614,217124.09876447,0
EBF.US,D,20050307,000000,9.5337,9.68396,9.5337,9.62834,262630.26635037,0
EBF.US,D,20050308,000000,9.64103,9.64103,9.52687,9.5698,218041.37585258,0
EBF.US,D,20050309,000000,9.54249,9.54736,9.38539,9.39027,195923.2117871,0
EBF.US,D,20050310,000000,9.44393,9.51517,9.35124,9.35612,109288.18437322,0
EBF.US,D,20050311,000000,9.40003,9.41661,9.35612,9.37174,58303.976523655,0
EBF.US,D,20050314,000000,9.36783,9.5337,9.35124,9.49955,112221.42127398,0
EBF.US,D,20050315,000000,9.49955,9.54736,9.30051,9.35124,365887.99442585,0
EBF.US,D,20050316,000000,9.24792,9.42149,9.24792,9.30636,145294.64097617,0
EBF.US,D,20050317,000000,9.29563,9.40003,9.27416,9.39027,83888.320602547,0
EBF.US,D,20050318,000000,9.42149,9.42832,9.28002,9.32489,274690.15405522,0
EBF.US,D,20050321,000000,9.28002,9.37758,9.24304,9.37174,94122.878146585,0
EBF.US,D,20050322,000000,9.41076,9.42832,9.30051,9.30636,76580.850615667,0
EBF.US,D,20050323,000000,9.27416,9.29563,9.19493,9.22098,134512.79185107,0
EBF.US,D,20050324,000000,9.22098,9.30051,9.21425,9.25367,155166.38724737,0
EBF.US,D,20050328,000000,9.30051,9.34539,9.25747,9.32489,190070.06156338,0
EBF.US,D,20050329,000000,9.28977,9.3288,9.11249,9.16507,173443.26133938,0
EBF.US,D,20050330,000000,9.16507,9.38539,9.16507,9.37758,135610.449685,0
EBF.US,D,20050331,000000,9.35612,9.36783,9.17181,9.25747,232655.29093574,0
EBF.US,D,20050401,000000,9.30636,9.38539,9.07814,9.18342,202861.72115753,0
EBF.US,D,20050404,000000,9.18624,9.22479,9.0073,9.16127,120444.11856777,0
EBF.US,D,20050405,000000,9.16127,9.19015,9.09434,9.18342,145659.50203022,0
EBF.US,D,20050406,000000,9.18342,9.21425,9.11522,9.17854,106731.08232311,0
EBF.US,D,20050407,000000,9.12946,9.18342,9.08292,9.10195,67438.826452557,0
EBF.US,D,20050408,000000,9.08292,9.13609,9.01306,9.01306,80780.85229957,0
EBF.US,D,20050411,000000,9.01306,9.02896,8.75303,8.79235,144749.39917631,0
EBF.US,D,20050412,000000,8.68366,9.22957,8.62746,9.22479,217304.47951029,0
EBF.US,D,20050413,000000,9.13609,9.15356,8.90622,8.90622,133782.04485238,0
EBF.US,D,20050414,000000,8.92954,9.16507,8.92954,9.10195,273958.38216593,0
EBF.US,D,20050415,000000,9.08292,9.10195,8.79235,8.85441,334092.81330341,0
EBF.US,D,20050418,000000,8.8627,9.0073,8.7823,8.98964,254401.41971297,0
EBF.US,D,20050419,000000,9.0073,9.01775,8.89324,8.98399,112579.10809382,0
EBF.US,D,20050420,000000,8.98399,8.98399,8.67087,8.7704,185869.03498888,0
EBF.US,D,20050421,000000,8.88114,9.05443,8.86826,9.03823,126657.00539252,0
EBF.US,D,20050422,000000,8.97647,8.97647,8.81548,8.89324,171979.71756081,0
EBF.US,D,20050425,000000,8.91919,8.94174,8.64473,8.72737,327874.80202566,0
EBF.US,D,20050426,000000,8.68912,8.72737,8.5291,8.61848,148222.75342393,0
EBF.US,D,20050427,000000,8.59096,8.85801,8.59096,8.69995,201953.66808482,0
EBF.US,D,20050428,000000,8.36753,8.36753,7.72707,7.72707,420170.30023022,0
EBF.US,D,20050429,000000,8.26157,8.53632,7.95675,8.48101,684261.03568736,0
EBF.US,D,20050502,000000,8.51047,8.59096,8.27718,8.48101,362786.67546648,0
EBF.US,D,20050503,000000,8.48101,8.48101,7.95177,7.96251,280174.34366249,0
EBF.US,D,20050504,000000,8.08565,8.50334,8.08565,8.42177,221874.46670124,0
EBF.US,D,20050505,000000,8.48101,8.48101,8.10897,8.18497,159921.87963714,0
EBF.US,D,20050506,000000,8.19668,8.45271,8.19668,8.36753,132868.86732667,0
EBF.US,D,20050509,000000,8.31786,8.32206,8.14741,8.21942,189706.22539995,0
EBF.US,D,20050510,000000,8.1638,8.4694,8.12096,8.17551,129943.82955072,0
EBF.US,D,20050511,000000,8.24098,8.28898,8.0994,8.21161,152971.07157951,0
EBF.US,D,20050512,000000,8.17053,8.25044,8.06974,8.0994,222052.79766585,0
EBF.US,D,20050513,000000,8.12438,8.17053,7.71984,7.97763,131035.33804104,0
EBF.US,D,20050516,000000,7.95177,8.24605,7.95177,8.21942,130497.27047539,0
EBF.US,D,20050517,000000,8.21942,8.43768,8.20127,8.28244,218222.781489,0
EBF.US,D,20050518,000000,8.39455,8.74834,8.39455,8.65644,256965.69599728,0
EBF.US,D,20050519,000000,8.67087,8.73371,8.35435,8.49593,152608.26030666,0
EBF.US,D,20050520,000000,8.44734,8.57497,8.26761,8.53632,99058.751282183,0
EBF.US,D,20050523,000000,8.56316,8.62746,8.5291,8.56316,164301.23717627,0
EBF.US,D,20050524,000000,8.59556,8.73371,8.55077,8.61117,123363.00700012,0
EBF.US,D,20050525,000000,8.58648,8.69439,8.58648,8.67087,200127.3130334,0
EBF.US,D,20050526,000000,8.71722,8.74474,8.63555,8.64473,196654.98367638,0
EBF.US,D,20050527,000000,8.65644,8.69439,8.64023,8.65644,288954.58144335,0
EBF.US,D,20050531,000000,8.61117,8.74834,8.61117,8.69439,209816.62877759,0
EBF.US,D,20050601,000000,8.69995,8.92397,8.66366,8.88768,345971.29537185,0
EBF.US,D,20050602,000000,8.89324,9.08292,8.8627,9.0073,203044.15168455,0
EBF.US,D,20050603,000000,8.95393,9.0233,8.8469,8.89695,91930.637150521,0
EBF.US,D,20050606,000000,8.89324,9.04877,8.85441,9.01306,166133.7415713,0
EBF.US,D,20050607,000000,9.02896,9.11912,8.94642,9.00174,200863.1844851,0
EBF.US,D,20050608,000000,8.97647,9.01306,8.94642,8.98964,122450.85436501,0
EBF.US,D,20050609,000000,8.97169,9.0233,8.8627,8.9671,66710.129235071,0
EBF.US,D,20050610,000000,8.92954,9.00174,8.91919,8.98399,34365.606750364,0
EBF.US,D,20050613,000000,8.90622,9.00174,8.90076,8.98964,142371.65298142,0
EBF.US,D,20050614,000000,8.94642,9.0233,8.94642,9.0233,132687.46169025,0
EBF.US,D,20050615,000000,9.28977,9.71128,9.16507,9.69957,539700.21638168,0
EBF.US,D,20050616,000000,9.78251,10.5426,9.76787,10.4119,616274.91765374,0
EBF.US,D,20050617,000000,10.3943,10.4607,10.1865,10.205,430586.26341068,0
EBF.US,D,20050620,000000,10.1211,10.287,10.0791,10.2411,472438.69600314,0
EBF.US,D,20050621,000000,10.2411,10.248,10.0977,10.1709,339755.3338753,0
EBF.US,D,20050622,000000,10.1211,10.2226,10.0684,10.0684,304482.69894283,0
EBF.US,D,20050623,000000,10.0118,10.0118,9.71811,9.82251,237041.82270906,0
EBF.US,D,20050624,000000,9.76007,10.0928,9.76007,9.99225,493823.03839813,0
EBF.US,D,20050627,000000,9.95718,10.0743,9.84886,9.9884,215294.66904124,0
EBF.US,D,20050628,000000,9.99818,10.1055,9.99818,10.0401,253860.27747551,0
EBF.US,D,20050629,000000,10.0684,10.3026,10.0284,10.0889,336467.48482649,0
EBF.US,D,20050630,000000,10.1055,10.1113,9.88792,9.9142,265552.22945452,0
EBF.US,D,20050701,000000,10.003,10.1397,10.003,10.1211,211639.9091572,0
EBF.US,D,20050705,000000,10.0928,10.1631,10.0791,10.1113,192450.88243008,0
EBF.US,D,20050706,000000,10.0977,10.1055,9.89276,9.94255,194459.66800852,0
EBF.US,D,20050707,000000,9.84886,10.0684,9.83227,10.0176,176919.69025881,0
EBF.US,D,20050708,000000,10.0176,10.1631,10.0176,10.1465,199214.1355077,0
EBF.US,D,20050711,000000,10.1465,10.1631,10.0284,10.0743,366802.19684216,0
EBF.US,D,20050712,000000,10.0586,10.205,10.0401,10.1211,355289.60071837,0
EBF.US,D,20050713,000000,10.1113,10.1747,10.0791,10.1211,245270.66934647,0
EBF.US,D,20050714,000000,10.1806,10.2118,10.1113,10.1211,296986.64908532,0
EBF.US,D,20050715,000000,10.0684,10.1465,10.0684,10.1211,291872.4449851,0
EBF.US,D,20050718,000000,10.0928,10.1397,10.0743,10.1113,161198.8933263,0
EBF.US,D,20050719,000000,10.1113,10.1709,10.0889,10.165,197020.86962103,0
EBF.US,D,20050720,000000,10.1211,10.165,10.0977,10.1211,301193.82500343,0
EBF.US,D,20050721,000000,10.1211,10.1397,9.93574,9.96785,140177.36220415,0
EBF.US,D,20050722,000000,9.99225,10.1113,9.9884,10.0743,252212.25338871,0
EBF.US,D,20050725,000000,10.0743,10.0889,9.92497,9.92497,167227.29984282,0
EBF.US,D,20050726,000000,9.9142,10.1055,9.9142,10.0069,147673.41206166,0
EBF.US,D,20050727,000000,9.98158,10.003,9.87032,10.003,85534.294908147,0
EBF.US,D,20050728,000000,9.9884,10.1113,9.97476,10.0928,78405.155885884,0
EBF.US,D,20050729,000000,10.0791,10.0928,9.92497,9.96301,125737.6785232,0
EBF.US,D,20050801,000000,9.99818,10.003,9.93179,9.95135,93572.511893716,0
EBF.US,D,20050802,000000,9.9884,10.0225,9.82251,10.0176,173809.14728403,0
EBF.US,D,20050803,000000,9.99818,9.99818,9.81178,9.87813,162108.9961802,0
EBF.US,D,20050804,000000,9.84886,9.95718,9.73958,9.73958,116056.56190384,0
EBF.US,D,20050805,000000,9.76787,9.78251,9.4615,9.49272,154431.54068628,0
EBF.US,D,20050808,000000,9.55224,9.60883,9.44393,9.60883,137619.23526344,0
EBF.US,D,20050809,000000,9.68396,9.69469,9.62249,9.66933,82972.068405033,0
EBF.US,D,20050810,000000,9.76787,9.86447,9.71811,9.78836,151511.62736332,0
EBF.US,D,20050811,000000,9.76787,9.84398,9.65762,9.75128,93204.576167869,0
EBF.US,D,20050812,000000,9.65762,9.65762,9.45565,9.5376,85534.294908147,0
EBF.US,D,20050815,000000,9.61176,9.89276,9.49955,9.84886,117153.19484717,0
EBF.US,D,20050816,000000,9.76787,9.76787,9.52687,9.54249,145659.50203022,0
EBF.US,D,20050817,000000,9.52687,9.81568,9.49955,9.71128,183496.413247,0
