<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELF.US,D,20160922,000000,24,27.4,23.73,26.5,13578042,0
ELF.US,D,20160923,000000,25.67,26.05,24.13,25.33,2152512,0
ELF.US,D,20160926,000000,25.38,25.76,24.72,25.26,531844,0
ELF.US,D,20160927,000000,25.45,25.5,24.57,24.6,952094,0
ELF.US,D,20160928,000000,24.95,26.8,24.75,26.54,1070729,0
ELF.US,D,20160929,000000,26.24,28.92,25.7,26.85,2143828,0
ELF.US,D,20160930,000000,27.91,28.43,26.8701,28.12,968960,0
ELF.US,D,20161003,000000,28.4,28.68,26.54,26.79,644490,0
ELF.US,D,20161004,000000,26.76,26.76,25.85,26.31,469596,0
ELF.US,D,20161005,000000,25.78,27.14,25.78,26.51,395801,0
ELF.US,D,20161006,000000,26.11,26.5066,26,26.4,211958,0
ELF.US,D,20161007,000000,26.58,26.99,26,26.67,164256,0
ELF.US,D,20161010,000000,26.64,26.92,26.01,26.3,193426,0
ELF.US,D,20161011,000000,26.68,26.68,25.05,25.57,360212,0
ELF.US,D,20161012,000000,25.84,26.65,25.17,26.63,290047,0
ELF.US,D,20161013,000000,26.57,27.99,26.3,27.05,535954,0
ELF.US,D,20161014,000000,27.51,27.8296,26.81,26.94,269895,0
ELF.US,D,20161017,000000,26.92,27.83,26.5507,27.48,412261,0
ELF.US,D,20161018,000000,27.98,27.98,26.24,26.88,170105,0
ELF.US,D,20161019,000000,26.8,27.185,26.35,27.03,73562,0
ELF.US,D,20161020,000000,26.81,27.09,26.35,26.6,100236,0
ELF.US,D,20161021,000000,26.32,27.07,26.251,26.81,102178,0
ELF.US,D,20161024,000000,26.97,27.57,26.51,26.79,233588,0
ELF.US,D,20161025,000000,26.94,27.579,26.6,27.16,158947,0
ELF.US,D,20161026,000000,27.35,27.53,26.58,26.66,194521,0
ELF.US,D,20161027,000000,26.69,27.72,26.25,26.86,187215,0
ELF.US,D,20161028,000000,27.08,27.36,26.4,26.42,138353,0
ELF.US,D,20161031,000000,26.61,26.8,25.83,25.86,312812,0
ELF.US,D,20161101,000000,25.72,26.55,25.25,25.54,191145,0
ELF.US,D,20161102,000000,25.33,25.88,25.33,25.85,71293,0
ELF.US,D,20161103,000000,26.02,26.119,25.05,25.71,69747,0
ELF.US,D,20161104,000000,25.69,26.52,25.5561,26.28,131613,0
ELF.US,D,20161107,000000,26.57,26.77,25.6323,26.31,194181,0
ELF.US,D,20161108,000000,26.57,26.88,26.57,26.57,189093,0
ELF.US,D,20161109,000000,26.24,26.675,25.33,25.71,285806,0
ELF.US,D,20161110,000000,25.93,26.48,25.0001,25.92,219426,0
ELF.US,D,20161111,000000,27.23,28.4706,25.5,27,403362,0
ELF.US,D,20161114,000000,27.27,30.4999,27.16,29.37,525935,0
ELF.US,D,20161115,000000,29.99,31.1,28.92,29,491370,0
ELF.US,D,20161116,000000,29.3,29.59,28.5901,29.45,149481,0
ELF.US,D,20161117,000000,29.49,29.78,29,29.36,178770,0
ELF.US,D,20161118,000000,29.35,29.7652,28.9,29.39,90027,0
ELF.US,D,20161121,000000,29.62,31,29.4941,30.32,283347,0
ELF.US,D,20161122,000000,30.51,30.85,28.73,30.02,305489,0
ELF.US,D,20161123,000000,30.04,31.84,29.8,31.35,248068,0
ELF.US,D,20161125,000000,31.9,31.95,30.39,30.86,183180,0
ELF.US,D,20161128,000000,31.24,31.26,30.1,31.1,199125,0
ELF.US,D,20161129,000000,31.3,32.54,30.93,31.74,368900,0
ELF.US,D,20161130,000000,31.8,32.12,31.2,31.47,376630,0
ELF.US,D,20161201,000000,31.67,32.45,29.4,30.15,451190,0
ELF.US,D,20161202,000000,30.26,30.69,28.97,29.6,390409,0
ELF.US,D,20161205,000000,29.79,30.9,29.3,30.82,239064,0
ELF.US,D,20161206,000000,30.55,31.2912,30.5,30.9,175337,0
ELF.US,D,20161207,000000,30.85,31.57,30.3533,30.88,157741,0
ELF.US,D,20161208,000000,30.76,31.31,30.02,30.4,142690,0
ELF.US,D,20161209,000000,30.4,31.53,30.08,30.92,166257,0
ELF.US,D,20161212,000000,30.79,31.51,30.6,30.69,200781,0
ELF.US,D,20161213,000000,30.72,31.29,30.2,30.24,180984,0
ELF.US,D,20161214,000000,30.06,30.4329,29.05,29.16,190216,0
ELF.US,D,20161215,000000,28.97,29.68,28.11,28.75,192777,0
ELF.US,D,20161216,000000,29.03,29.98,28.81,29.37,1695576,0
ELF.US,D,20161219,000000,29.55,29.8,29.03,29.38,236939,0
ELF.US,D,20161220,000000,29.17,29.92,29.15,29.53,232440,0
ELF.US,D,20161221,000000,29.52,29.6853,29.215,29.6,126433,0
ELF.US,D,20161222,000000,29.21,29.74,29.21,29.51,144734,0
ELF.US,D,20161223,000000,29.46,29.74,29.27,29.51,164121,0
ELF.US,D,20161227,000000,29.45,29.7,29.1,29.36,96925,0
ELF.US,D,20161228,000000,29.36,29.6,28.505,29.29,570648,0
ELF.US,D,20161229,000000,29.2,29.869,28.71,29.04,161805,0
ELF.US,D,20161230,000000,29.18,29.4,28.67,28.94,117426,0
ELF.US,D,20170103,000000,28.84,29.66,28.76,28.94,171194,0
ELF.US,D,20170104,000000,29.24,29.77,28.85,28.99,286318,0
ELF.US,D,20170105,000000,28.98,29.259,28.42,28.95,936812,0
ELF.US,D,20170106,000000,29.04,29.82,28.57,29.64,496593,0
ELF.US,D,20170109,000000,29.93,30.56,28.91,29.06,393541,0
ELF.US,D,20170110,000000,29.22,29.295,28.23,28.87,433050,0
ELF.US,D,20170111,000000,28.98,29.31,28.78,29.28,418252,0
ELF.US,D,20170112,000000,29.24,29.25,28.37,28.93,392468,0
ELF.US,D,20170113,000000,29.06,29.305,28.73,28.84,241470,0
ELF.US,D,20170117,000000,28.86,29,28.35,28.5,173305,0
ELF.US,D,20170118,000000,28.55,28.93,27.585,27.88,345921,0
ELF.US,D,20170119,000000,27.74,27.9,26.86,27.1,401102,0
ELF.US,D,20170120,000000,27.07,27.645,26.55,26.66,299406,0
ELF.US,D,20170123,000000,26.51,26.88,25.991,26.3,163875,0
ELF.US,D,20170124,000000,26.25,26.77,26.16,26.43,173635,0
ELF.US,D,20170125,000000,26.37,26.7483,25.96,26.08,179638,0
ELF.US,D,20170126,000000,25.95,25.9705,24.56,25.55,398092,0
ELF.US,D,20170127,000000,25.46,25.46,25,25.29,552805,0
ELF.US,D,20170130,000000,25.18,25.46,24.68,25.23,341353,0
ELF.US,D,20170131,000000,25.13,25.6,24.4,24.96,545479,0
ELF.US,D,20170201,000000,25.01,25.23,24.29,24.75,238897,0
ELF.US,D,20170202,000000,24.79,24.9239,24.03,24.6,522833,0
ELF.US,D,20170203,000000,24.83,25.1,24.31,24.94,196800,0
ELF.US,D,20170206,000000,25.02,25.39,24.83,25.32,195154,0
ELF.US,D,20170207,000000,25.45,27.13,25.45,26.69,988925,0
ELF.US,D,20170208,000000,26.48,26.64,26.1,26.5,442047,0
ELF.US,D,20170209,000000,26.32,26.7,26.04,26.41,481396,0
ELF.US,D,20170210,000000,26.34,26.92,26.25,26.63,364787,0
ELF.US,D,20170213,000000,26.62,27,26.42,26.96,293276,0
ELF.US,D,20170214,000000,26.82,26.95,26.21,26.84,388663,0
ELF.US,D,20170215,000000,26.74,27.0467,26.5,26.87,273631,0
ELF.US,D,20170216,000000,26.87,27.3283,26.31,26.51,282999,0
ELF.US,D,20170217,000000,26.52,27.31,26.36,26.94,380647,0
ELF.US,D,20170221,000000,27.61,28.73,27.21,28.59,470511,0
ELF.US,D,20170222,000000,28.77,28.83,27.99,28.11,237965,0
