<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENR.US,D,20050225,000000,11.6863,11.8419,11.6368,11.8079,1624132.9689395,0
ENR.US,D,20050228,000000,12.0149,12.0655,11.8467,11.8584,3535949.7468173,0
ENR.US,D,20050301,000000,11.9508,11.9936,11.7826,11.871,2441207.780272,0
ENR.US,D,20050302,000000,11.8195,11.9508,11.767,11.9508,1945772.7916572,0
ENR.US,D,20050303,000000,11.9508,12.0907,11.9508,11.9906,2378279.9046389,0
ENR.US,D,20050304,000000,12.082,12.2386,12.0392,12.2152,1765480.225644,0
ENR.US,D,20050307,000000,12.185,12.2132,12.0198,12.1198,1724528.9109164,0
ENR.US,D,20050308,000000,12.1198,12.1345,11.9886,12.0178,1098242.7031816,0
ENR.US,D,20050309,000000,11.9936,12.0412,11.8963,11.9528,963889.71870464,0
ENR.US,D,20050310,000000,11.944,11.9799,11.836,11.8856,1386410.010862,0
ENR.US,D,20050311,000000,11.8409,11.9245,11.7641,11.8088,1897832.3483057,0
ENR.US,D,20050314,000000,11.8584,12.0052,11.8059,11.9051,1653611.990112,0
ENR.US,D,20050315,000000,12.0149,12.0558,11.9235,12.0081,2266914.7135427,0
ENR.US,D,20050316,000000,11.9712,11.9936,11.8235,11.8312,1570704.3005058,0
ENR.US,D,20050317,000000,11.944,11.9459,11.7826,11.8088,1512266.790849,0
ENR.US,D,20050318,000000,11.8516,11.874,11.5698,11.6465,2523606.2531181,0
ENR.US,D,20050321,000000,11.6746,11.7378,11.5658,11.699,1199633.4181022,0
ENR.US,D,20050322,000000,11.7136,11.871,11.6241,11.6746,1441861.1442462,0
ENR.US,D,20050323,000000,11.6552,11.8302,11.6552,11.7155,1305994.9115789,0
ENR.US,D,20050324,000000,11.7253,11.8166,11.6445,11.6445,1508777.3701407,0
ENR.US,D,20050328,000000,11.6746,11.836,11.6572,11.6932,1354458.9737808,0
ENR.US,D,20050329,000000,11.6445,11.7622,11.6213,11.6816,1745510.6988782,0
ENR.US,D,20050330,000000,11.6816,11.9128,11.6816,11.7845,1425866.5943723,0
ENR.US,D,20050331,000000,11.7739,11.9848,11.7739,11.9712,1981236.9100234,0
ENR.US,D,20050401,000000,11.9528,12.0101,11.6932,11.767,1467327.1258601,0
ENR.US,D,20050404,000000,11.767,11.8536,11.7047,11.8245,920945.77192747,0
ENR.US,D,20050405,000000,11.8118,11.9692,11.8118,11.944,1224104.6267723,0
ENR.US,D,20050406,000000,11.9342,12.1325,11.9333,12.079,1414873.6846762,0
ENR.US,D,20050407,000000,12.079,12.079,11.9644,12.0052,1810433.2640023,0
ENR.US,D,20050408,000000,12.047,12.1121,11.9819,11.9848,1489296.4857205,0
ENR.US,D,20050411,000000,12.0062,12.1763,12.0052,12.1296,1269555.5659629,0
ENR.US,D,20050412,000000,12.079,12.3455,12.079,12.2191,2277890.1349864,0
ENR.US,D,20050413,000000,12.2172,12.2279,11.9508,11.9741,3388120.5208077,0
ENR.US,D,20050414,000000,11.9741,12.1345,11.9644,12.0586,2980592.8045356,0
ENR.US,D,20050415,000000,12.0606,12.0703,11.7047,11.7067,2771822.162618,0
ENR.US,D,20050418,000000,11.6746,11.6932,11.527,11.561,2379770.5209733,0
ENR.US,D,20050419,000000,11.5805,11.9148,11.5036,11.91,2437709.1010772,0
