<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQBK.US,D,20151111,000000,23.9343,24.1997,23.2425,23.5775,816052.33019662,0
EQBK.US,D,20151112,000000,23.5873,24.6043,23.49,23.8349,129287.99800517,0
EQBK.US,D,20151113,000000,23.4502,23.9343,23.2425,23.6769,29890.63744529,0
EQBK.US,D,20151116,000000,23.2226,24.2097,22.818,23.8945,78018.87967023,0
EQBK.US,D,20151117,000000,23.8945,24.2195,23.8349,24.1311,113177.17480673,0
EQBK.US,D,20151118,000000,24.1798,24.3289,23.7852,23.8548,145093.98921728,0
EQBK.US,D,20151119,000000,23.8647,24.2693,23.7852,23.7952,116318.05091673,0
EQBK.US,D,20151120,000000,23.825,24.0714,23.5198,23.7852,129287.99800517,0
EQBK.US,D,20151123,000000,23.6967,24.2295,23.6967,23.7752,91089.431374622,0
EQBK.US,D,20151124,000000,24.0416,24.1112,23.6868,23.805,69000.681896356,0
EQBK.US,D,20151125,000000,23.8747,23.9721,23.7067,23.8647,82678.885481094,0
EQBK.US,D,20151127,000000,23.8846,24.5755,23.5575,23.7752,59071.006301963,0
EQBK.US,D,20151130,000000,23.5575,24.1798,23.4304,23.8747,99903.401778116,0
EQBK.US,D,20151201,000000,24.1798,24.1798,23.6868,23.9243,35785.061893876,0
EQBK.US,D,20151202,000000,23.6967,23.8727,23.6967,23.8349,3829.0116831063,0
EQBK.US,D,20151203,000000,23.8846,23.9343,23.5873,23.6868,45123.182346475,0
EQBK.US,D,20151204,000000,23.6371,23.8747,23.4402,23.6868,18339.215441762,0
EQBK.US,D,20151207,000000,23.8846,23.8846,23.6868,23.6868,11652.026619479,0
EQBK.US,D,20151208,000000,19.7387,23.6868,15.7905,23.5387,42159.37036055,0
EQBK.US,D,20151209,000000,23.6868,23.6868,23.3707,23.5486,32220.640350722,0
