<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQH_C.US,D,20210114,000000,24.84,24.84,24.51,24.57,181744,0
EQH_C.US,D,20210115,000000,24.64,24.87,24.58,24.79,295456,0
EQH_C.US,D,20210119,000000,24.99,25.08,24.87,24.99,167392,0
EQH_C.US,D,20210120,000000,25.02,25.06,24.94,24.98,130323,0
EQH_C.US,D,20210121,000000,25,25,24.84,24.95,156013,0
EQH_C.US,D,20210122,000000,24.95,25,24.83,24.85,145652,0
EQH_C.US,D,20210125,000000,24.92,24.957,24.835,24.85,159308,0
EQH_C.US,D,20210126,000000,24.91,24.96,24.83,24.9,199442,0
EQH_C.US,D,20210127,000000,24.95,24.98,24.85,24.89,300132,0
EQH_C.US,D,20210128,000000,24.9,25.05,24.8999,25,242339,0
EQH_C.US,D,20210129,000000,25,25.29,24.92,24.97,1877821,0
EQH_C.US,D,20210201,000000,24.99,25.145,24.95,25.03,67981,0
EQH_C.US,D,20210202,000000,25.08,25.18,25.06,25.11,55755,0
EQH_C.US,D,20210203,000000,25.16,25.16,25.07,25.07,137819,0
EQH_C.US,D,20210204,000000,25.12,25.16,25.03,25.11,142982,0
EQH_C.US,D,20210205,000000,25.11,25.14,25.07,25.1,22323,0
EQH_C.US,D,20210208,000000,25.1,25.23,25.1,25.2,41279,0
EQH_C.US,D,20210209,000000,25.2,26.04,25.14,25.66,65716,0
EQH_C.US,D,20210210,000000,25.66,25.795,25.45,25.71,63883,0
EQH_C.US,D,20210211,000000,25.76,25.84,25.5,25.64,62867,0
EQH_C.US,D,20210212,000000,25.31,25.6,25.31,25.56,89489,0
EQH_C.US,D,20210216,000000,25.4,25.4499,25.32,25.34,43558,0
EQH_C.US,D,20210217,000000,25.35,25.46,25.32,25.39,193390,0
EQH_C.US,D,20210218,000000,25.37,25.48,25.3,25.3,155054,0
EQH_C.US,D,20210219,000000,25.27,25.38,25.27,25.32,72815,0
EQH_C.US,D,20210222,000000,25.31,25.38,25.27,25.33,117695,0
EQH_C.US,D,20210223,000000,25.3,25.3,25.0834,25.17,102836,0
EQH_C.US,D,20210224,000000,24.96,25.03,24.75,24.83,23270,0
EQH_C.US,D,20210225,000000,24.75,24.99,24.39,24.45,39172,0
EQH_C.US,D,20210226,000000,24.5,24.69,24.4197,24.69,23207,0
EQH_C.US,D,20210301,000000,24.82,24.82,24.64,24.77,19224,0
EQH_C.US,D,20210302,000000,24.71,24.96,24.71,24.85,169010,0
EQH_C.US,D,20210303,000000,24.78,24.89,24.59,24.89,35847,0
EQH_C.US,D,20210304,000000,24.71,24.83,24.5,24.56,48668,0
EQH_C.US,D,20210305,000000,24.65,24.6642,24.41,24.65,34723,0
EQH_C.US,D,20210308,000000,24.68,24.82,24.6245,24.76,9903,0
EQH_C.US,D,20210309,000000,24.88,24.98,24.78,24.94,25981,0
EQH_C.US,D,20210310,000000,24.93,24.97,24.84,24.88,17570,0
EQH_C.US,D,20210311,000000,24.95,25.01,24.9,25,211703,0
EQH_C.US,D,20210312,000000,24.94,24.94,24.75,24.83,52190,0
EQH_C.US,D,20210315,000000,24.88,25.01,24.88,24.97,40096,0
EQH_C.US,D,20210316,000000,24.97,25.09,24.92,25.05,38674,0
EQH_C.US,D,20210317,000000,24.96,25.08,24.87,25,34768,0
EQH_C.US,D,20210318,000000,24.93,24.93,24.66,24.76,62862,0
EQH_C.US,D,20210319,000000,24.69,24.92,24.69,24.86,28601,0
EQH_C.US,D,20210322,000000,24.92,24.93,24.86,24.86,39500,0
EQH_C.US,D,20210323,000000,24.9,24.95,24.85,24.94,31159,0
