<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETHT.US,D,20240610,000000,37.088,37.7895,36.958,36.958,13051.695969372,0
ETHT.US,D,20240611,000000,34.1782,34.1782,32.1935,33.3599,19305.029422478,0
ETHT.US,D,20240612,000000,35.7131,36.3071,33.6782,33.7284,10459.557746047,0
ETHT.US,D,20240613,000000,33.8132,33.8481,31.9983,33.0996,11783.628350863,0
ETHT.US,D,20240614,000000,33.6532,33.6532,31.0984,31.5383,13322.710420962,0
ETHT.US,D,20240617,000000,33.8982,34.7371,33.1282,34.3272,117812.28222878,0
ETHT.US,D,20240618,000000,31.1283,31.9283,30.8834,31.4237,18020.960950738,0
ETHT.US,D,20240620,000000,33.7982,33.9782,32.9082,33.7682,20716.104666733,0
ETHT.US,D,20240621,000000,32.4983,33.7102,32.3983,33.7102,14079.750789425,0
ETHT.US,D,20240624,000000,29.4284,29.7684,28.1285,29.0884,51105.725164571,0
ETHT.US,D,20240625,000000,30.4984,31.3483,30.1884,31.2583,23739.265873952,0
ETHT.US,D,20240626,000000,30.5384,31.1083,29.9984,31.1022,13290.708714501,0
ETHT.US,D,20240627,000000,31.8083,32.1983,31.6983,31.7583,26762.427081171,0
ETHT.US,D,20240628,000000,31.7583,32.1183,30.1384,30.2932,11579.617472175,0
ETHT.US,D,20240701,000000,32.1483,32.5583,31.7883,32.1982,20917.11538544,0
ETHT.US,D,20240702,000000,31.7383,31.7683,30.6184,30.9965,14547.775746414,0
ETHT.US,D,20240703,000000,28.8285,29.2297,28.7335,29.1002,23482.252168939,0
ETHT.US,D,20240705,000000,23.1888,23.7007,22.5589,23.3764,209648.17929134,0
ETHT.US,D,20240708,000000,24.4587,24.4587,22.3138,23.7487,54395.900610072,0
ETHT.US,D,20240709,000000,24.6987,25.3686,24.3787,24.7587,49749.652853294,0
ETHT.US,D,20240710,000000,25.3586,26.1086,25.1087,25.4185,94423.035019244,0
ETHT.US,D,20240711,000000,26.6186,26.6186,25.3386,25.3386,40463.157659701,0
ETHT.US,D,20240712,000000,25.1587,26.2086,25.1587,25.5586,48512.586887919,0
ETHT.US,D,20240715,000000,29.3484,30.7484,29.2084,30.4284,96882.166150091,0
ETHT.US,D,20240716,000000,30.3384,31.9173,29.7594,31.5883,68302.642173943,0
ETHT.US,D,20240717,000000,31.0183,31.5483,29.7684,30.4684,39545.108705607,0
ETHT.US,D,20240718,000000,31.6383,31.6483,29.8484,30.2284,83218.437544657,0
ETHT.US,D,20240719,000000,30.1284,32.738,30.1284,32.4283,104571.57618063,0
ETHT.US,D,20240722,000000,31.6883,31.9573,30.6784,31.8283,60242.212359129,0
ETHT.US,D,20240723,000000,31.7183,31.7183,29.8883,30.9883,146638.81937667,0
ETHT.US,D,20240724,000000,31.1683,31.2183,29.3084,29.3282,129475.90418042,0
ETHT.US,D,20240725,000000,25.6686,26.0279,24.7176,25.0587,162418.66082183,0
ETHT.US,D,20240726,000000,26.8686,27.6685,26.5736,27.5835,111848.96424048,0
ETHT.US,D,20240729,000000,29.2484,29.2484,27.2285,28.0185,96535.147645657,0
ETHT.US,D,20240730,000000,28.6885,28.8485,27.2585,27.2885,114793.12123487,0
ETHT.US,D,20240731,000000,27.9285,28.0681,27.1586,27.2985,41719.224638287,0
ETHT.US,D,20240801,000000,25.8086,25.9286,24.1487,25.0287,93102.964627736,0
ETHT.US,D,20240802,000000,25.2487,25.7786,22.6488,22.9588,152568.13555186,0
ETHT.US,D,20240805,000000,10.5394,15.4692,10.4094,13.7793,763441.70980879,0
ETHT.US,D,20240806,000000,14.4192,15.4792,13.9993,14.8192,200134.67199254,0
ETHT.US,D,20240807,000000,14.4992,14.7192,12.9193,13.1093,443762.66322528,0
ETHT.US,D,20240808,000000,14.3692,15.9482,13.8693,15.5792,199482.6372234,0
ETHT.US,D,20240809,000000,16.1291,16.5091,15.3793,15.8092,134743.1850532,0
ETHT.US,D,20240812,000000,16.9291,17.3082,15.7892,16.6491,266399.20548626,0
ETHT.US,D,20240813,000000,16.3691,17.4691,16.2091,17.2791,172801.2144617,0
ETHT.US,D,20240814,000000,17.3391,17.3391,16.2791,16.6691,111782.9607209,0
ETHT.US,D,20240815,000000,16.4991,16.7391,14.9092,15.1792,228050.16055962,0
ETHT.US,D,20240816,000000,15.9491,16.1891,15.3492,16.0391,131833.02987192,0
ETHT.US,D,20240819,000000,15.7592,16.0991,15.3592,15.8892,184264.82574796,0
ETHT.US,D,20240820,000000,16.2391,16.3891,15.2682,15.7892,137491.33159552,0
ETHT.US,D,20240821,000000,15.5192,16.3891,14.9992,16.3691,271794.49318488,0
ETHT.US,D,20240822,000000,16.0491,16.0691,15.6092,15.7892,96846.164230323,0
ETHT.US,D,20240823,000000,16.4491,17.5991,16.1891,17.5491,197553.53435581,0
ETHT.US,D,20240826,000000,17.3091,17.3291,16.5891,16.6291,82580.403522094,0
ETHT.US,D,20240827,000000,15.9192,15.9192,15.1592,15.3892,158494.45156707,0
ETHT.US,D,20240828,000000,14.6692,14.8792,13.9793,14.4492,183974.81028316,0
ETHT.US,D,20240829,000000,15.2092,15.4792,14.5392,14.7092,113608.05804249,0
ETHT.US,D,20240830,000000,14.5692,14.8292,13.5993,14.4392,158365.4446879,0
ETHT.US,D,20240903,000000,14.44,14.44,13.57,13.7,78928,0
ETHT.US,D,20240904,000000,13.17,14.19,13.14,13.81,74751,0
ETHT.US,D,20240905,000000,13.13,13.33,12.64,12.8,114579,0
ETHT.US,D,20240906,000000,13.14,13.19,11.05,11.21,308427,0
ETHT.US,D,20240909,000000,12.14,12.59,11.8172,12.59,87891,0
ETHT.US,D,20240910,000000,12.47,12.96,12.2365,12.9,198357,0
ETHT.US,D,20240911,000000,12.2519,12.739,11.78,12.45,52632,0
ETHT.US,D,20240912,000000,12.48,12.66,12.19,12.66,104269,0
ETHT.US,D,20240913,000000,12.48,13.37,12.46,13.31,106777,0
ETHT.US,D,20240916,000000,11.98,11.9999,11.59,11.6255,196133,0
ETHT.US,D,20240917,000000,12.17,12.87,11.9801,12.48,166232,0
ETHT.US,D,20240918,000000,11.97,12.6,11.76,12.01,143479,0
ETHT.US,D,20240919,000000,13.41,13.89,13.1608,13.59,254002,0
ETHT.US,D,20240920,000000,14.36,14.75,14.1978,14.46,139855,0
ETHT.US,D,20240923,000000,15.64,16.2899,15.4801,15.95,176231,0
ETHT.US,D,20240924,000000,15.49,15.769,14.97,15.66,89654,0
ETHT.US,D,20240925,000000,15.25,15.43,14.71,14.72,99079,0
ETHT.US,D,20240926,000000,15.3099,15.76,15.1891,15.64,75772,0
ETHT.US,D,20240927,000000,15.69,16.569,15.56,16.23,138895,0
ETHT.US,D,20240930,000000,15.28,15.3318,14.69,14.89,120026,0
ETHT.US,D,20241001,000000,15,15.06,13,13.56,208927,0
ETHT.US,D,20241002,000000,12.915,13.4999,12.3001,12.34,173439,0
ETHT.US,D,20241003,000000,12.12,12.19,11.68,12.12,209238,0
ETHT.US,D,20241004,000000,12.41,13.0431,12.12,12.92,152382,0
ETHT.US,D,20241007,000000,13.39,13.88,12.8002,13.07,127089,0
ETHT.US,D,20241008,000000,12.93,13.17,12.6,13.02,70796,0
ETHT.US,D,20241009,000000,12.87,13.32,12.7,12.77,93301,0
ETHT.US,D,20241010,000000,12.49,12.7666,11.82,12.2,147658,0
ETHT.US,D,20241011,000000,12.83,13.31,12.82,13.19,138844,0
ETHT.US,D,20241014,000000,14.19,15.18,14.14,15,214087,0
ETHT.US,D,20241015,000000,14.74,15.675,13.99,14.61,188258,0
ETHT.US,D,20241016,000000,15,15.099,14.64,14.88,119758,0
ETHT.US,D,20241017,000000,14.77,15.0197,14.4,14.62,143173,0
ETHT.US,D,20241018,000000,14.87,15.52,14.8,15.24,150853,0
ETHT.US,D,20241021,000000,15.71,15.71,15.25,15.55,248942,0
ETHT.US,D,20241022,000000,14.93,15.065,14.66,14.9,109843,0
ETHT.US,D,20241023,000000,14.34,14.44,12.93,13.58,305344,0
ETHT.US,D,20241024,000000,13.78,13.91,13.52,13.84,183237,0
ETHT.US,D,20241025,000000,13.87,14.1498,12.92,13.15,247030,0
ETHT.US,D,20241028,000000,13.73,13.82,13.29,13.46,184741,0
ETHT.US,D,20241029,000000,14.72,15.4272,14.6157,14.82,420398,0
