<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBUF.US,D,20240412,000000,24.85,24.85,24.7257,24.7361,1542,0
FBUF.US,D,20240415,000000,25.05,25.05,24.59,24.5975,4129,0
FBUF.US,D,20240416,000000,24.58,24.62,24.54,24.54,4323,0
FBUF.US,D,20240417,000000,24.63,24.63,24.4564,24.4564,5866,0
FBUF.US,D,20240418,000000,24.43,24.43,24.43,24.43,113,0
FBUF.US,D,20240419,000000,24.4,24.4,24.4,24.4,275,0
FBUF.US,D,20240422,000000,24.35,24.43,24.35,24.4,1567,0
FBUF.US,D,20240423,000000,24.51,24.5175,24.51,24.5175,274,0
FBUF.US,D,20240424,000000,24.5,24.52,24.4,24.495,3470,0
FBUF.US,D,20240425,000000,24.31,24.42,24.31,24.4096,797,0
FBUF.US,D,20240426,000000,24.62,24.63,24.603,24.603,1484,0
FBUF.US,D,20240429,000000,24.83,24.83,24.5815,24.5942,2169,0
FBUF.US,D,20240430,000000,24.56,24.56,24.3616,24.3616,664,0
FBUF.US,D,20240501,000000,24.3685,24.5299,24.33,24.33,1318,0
FBUF.US,D,20240502,000000,24.45,24.491,24.45,24.491,137,0
FBUF.US,D,20240503,000000,24.6574,24.6574,24.6574,24.6574,109,0
FBUF.US,D,20240506,000000,24.73,24.7754,24.71,24.7754,967,0
FBUF.US,D,20240507,000000,24.82,24.82,24.7966,24.7966,10032,0
FBUF.US,D,20240508,000000,24.805,24.8113,24.805,24.8113,304,0
FBUF.US,D,20240509,000000,24.8501,24.8501,24.8501,24.8501,286,0
FBUF.US,D,20240510,000000,24.908,24.908,24.908,24.908,10000,0
FBUF.US,D,20240513,000000,24.92,24.93,24.9111,24.9111,10176,0
FBUF.US,D,20240514,000000,24.9497,24.9616,24.9497,24.9616,313,0
FBUF.US,D,20240515,000000,25.0199,25.0199,24.975,25.0058,209,0
FBUF.US,D,20240516,000000,25.02,25.02,24.99,24.99,249,0
FBUF.US,D,20240517,000000,24.9887,24.9887,24.96,24.9629,361,0
FBUF.US,D,20240520,000000,25.03,25.03,24.9917,24.9917,506,0
FBUF.US,D,20240521,000000,25,25.002,24.9999,25.002,218,0
FBUF.US,D,20240522,000000,24.99,24.99,24.9706,24.9706,5144,0
FBUF.US,D,20240523,000000,24.9789,24.9789,24.9789,24.9789,59,0
FBUF.US,D,20240524,000000,25.0387,25.0387,25.0098,25.0098,144,0
FBUF.US,D,20240528,000000,25,25.0133,25,25.0133,431,0
FBUF.US,D,20240529,000000,25.0023,25.01,24.94,24.9538,8573,0
FBUF.US,D,20240530,000000,24.84,24.85,24.84,24.84,4022,0
FBUF.US,D,20240531,000000,24.98,25,24.98,25,631,0
FBUF.US,D,20240603,000000,24.9899,24.9963,24.96,24.9963,2205,0
FBUF.US,D,20240604,000000,25.05,25.05,24.98,25.0301,3917,0
FBUF.US,D,20240605,000000,25.2,25.2199,25.12,25.2051,3355,0
FBUF.US,D,20240606,000000,25.235,25.235,25.22,25.2316,545,0
FBUF.US,D,20240607,000000,25.225,25.25,25.1969,25.1969,398,0
FBUF.US,D,20240610,000000,25.25,25.3,25.225,25.2798,6240,0
FBUF.US,D,20240611,000000,25.22,25.3021,25.22,25.3021,674,0
FBUF.US,D,20240612,000000,25.44,25.44,25.39,25.4116,5695,0
FBUF.US,D,20240613,000000,25.415,25.4397,25.4,25.4397,1729,0
FBUF.US,D,20240614,000000,25.47,25.49,25.4699,25.4724,2165,0
FBUF.US,D,20240617,000000,25.47,25.5044,25.47,25.5044,456,0
FBUF.US,D,20240618,000000,25.55,25.55,25.5205,25.5274,6092,0
FBUF.US,D,20240620,000000,25.54,25.54,25.5272,25.5272,11062,0
FBUF.US,D,20240621,000000,25.5042,25.5042,25.5042,25.5042,41,0
FBUF.US,D,20240624,000000,25.84,25.84,25.42,25.4345,3682,0
FBUF.US,D,20240625,000000,25.49,25.51,25.47,25.4907,2450,0
FBUF.US,D,20240626,000000,25.53,25.54,25.52,25.5276,5750,0
FBUF.US,D,20240627,000000,25.94,25.94,25.5326,25.566,1243,0
FBUF.US,D,20240628,000000,25.61,25.62,25.5612,25.5612,1035,0
FBUF.US,D,20240701,000000,25.62,25.65,25.571,25.65,13928,0
FBUF.US,D,20240702,000000,25.61,25.6629,25.56,25.6629,1936,0
FBUF.US,D,20240703,000000,25.735,25.74,25.735,25.7385,11680,0
FBUF.US,D,20240705,000000,25.72,25.79,25.72,25.79,3656,0
FBUF.US,D,20240708,000000,25.85,25.85,25.79,25.8252,1074,0
FBUF.US,D,20240709,000000,25.84,25.84,25.7901,25.8095,761,0
FBUF.US,D,20240710,000000,25.8901,25.8901,25.8901,25.8901,144,0
FBUF.US,D,20240711,000000,25.815,25.88,25.815,25.8593,1348,0
FBUF.US,D,20240712,000000,25.9001,25.9029,25.9001,25.9029,146,0
FBUF.US,D,20240715,000000,25.99,26.01,25.9398,25.9398,12213,0
FBUF.US,D,20240716,000000,26.15,26.15,25.96,26.0189,4572,0
FBUF.US,D,20240717,000000,25.905,25.905,25.87,25.87,1150,0
FBUF.US,D,20240718,000000,25.76,25.7649,25.72,25.7649,1700,0
FBUF.US,D,20240719,000000,25.74,25.74,25.6214,25.6214,948,0
FBUF.US,D,20240722,000000,25.93,25.93,25.77,25.8,433,0
FBUF.US,D,20240723,000000,25.95,25.95,25.8068,25.8068,617,0
FBUF.US,D,20240724,000000,25.72,25.72,25.3831,25.3831,35250,0
FBUF.US,D,20240725,000000,25.52,25.5501,25.3374,25.3374,2440,0
FBUF.US,D,20240726,000000,25.53,25.53,25.5147,25.5147,117,0
FBUF.US,D,20240729,000000,25.79,25.79,25.5,25.5,4099,0
FBUF.US,D,20240730,000000,25.6,25.6,25.3501,25.4466,1020,0
FBUF.US,D,20240731,000000,25.65,25.7348,25.65,25.7348,327,0
FBUF.US,D,20240801,000000,25.69,25.7,25.4888,25.4888,1312,0
FBUF.US,D,20240802,000000,25.225,25.27,25.225,25.27,582,0
FBUF.US,D,20240805,000000,24.916,24.916,24.916,24.916,103,0
FBUF.US,D,20240806,000000,24.04,25.05,24.04,24.8601,1069,0
FBUF.US,D,20240807,000000,25.1,25.1,24.8061,24.8061,509,0
FBUF.US,D,20240808,000000,25.1122,25.1122,25.0944,25.0944,236,0
FBUF.US,D,20240809,000000,25.13,25.205,25.11,25.15,1286,0
FBUF.US,D,20240812,000000,25.135,25.16,25.1344,25.1344,2021,0
FBUF.US,D,20240813,000000,25.55,25.55,25.3499,25.42,4561,0
FBUF.US,D,20240814,000000,25.4078,25.4655,25.36,25.4655,860,0
FBUF.US,D,20240815,000000,25.56,25.6986,25.5552,25.6986,2310,0
FBUF.US,D,20240816,000000,25.7489,25.7489,25.7489,25.7489,44,0
FBUF.US,D,20240819,000000,26.05,26.05,25.81,25.9166,609,0
FBUF.US,D,20240820,000000,26.07,26.07,25.8601,25.911,4222,0
FBUF.US,D,20240821,000000,25.9027,25.9027,25.9027,25.9027,12,0
FBUF.US,D,20240822,000000,25.9001,25.9001,25.8536,25.86,505,0
FBUF.US,D,20240823,000000,25.9301,26.01,25.93,25.9961,5556,0
FBUF.US,D,20240826,000000,26.48,26.48,25.9501,25.9651,1787,0
FBUF.US,D,20240827,000000,26.015,26.05,26.015,26.0245,598,0
FBUF.US,D,20240828,000000,25.98,25.98,25.9652,25.9652,612,0
FBUF.US,D,20240829,000000,26.09,26.09,25.957,25.957,16166,0
FBUF.US,D,20240830,000000,26.0821,26.0821,26.0821,26.0821,33,0
FBUF.US,D,20240903,000000,25.8057,25.8057,25.8057,25.8057,5098,0
FBUF.US,D,20240904,000000,25.84,25.84,25.7549,25.7549,182,0
FBUF.US,D,20240905,000000,25.69,25.69,25.6814,25.6814,477,0
FBUF.US,D,20240906,000000,25.412,25.412,25.3945,25.3945,4151,0
FBUF.US,D,20240909,000000,25.56,25.569,25.56,25.569,264,0
FBUF.US,D,20240910,000000,25.6298,25.6298,25.6298,25.6298,31,0
FBUF.US,D,20240911,000000,25.63,25.86,25.63,25.86,630,0
FBUF.US,D,20240912,000000,26.1,26.1,25.85,25.97,3965,0
FBUF.US,D,20240913,000000,26,26.05,26,26.0339,481,0
FBUF.US,D,20240916,000000,26.06,26.06,26.0528,26.0528,766,0
FBUF.US,D,20240917,000000,26.0525,26.0525,26.0525,26.0525,15,0
FBUF.US,D,20240918,000000,26.1,26.1,26.0463,26.0463,106,0
FBUF.US,D,20240919,000000,26.3,26.3,26.2969,26.2969,200,0
FBUF.US,D,20240920,000000,26.2213,26.2645,26.2213,26.2645,233,0
FBUF.US,D,20240923,000000,26.3,26.31,26.2895,26.2895,6739,0
FBUF.US,D,20240924,000000,26.34,26.34,26.3389,26.3389,1343,0
FBUF.US,D,20240925,000000,26.3101,26.34,26.3101,26.33,1636,0
FBUF.US,D,20240926,000000,26.375,26.375,26.3554,26.3554,442,0
