<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLC.US,D,20050225,000000,9.36819,9.47417,9.36819,9.43407,49490.525110336,0
FLC.US,D,20050228,000000,9.47417,9.47417,9.36819,9.39205,105499.907164,0
FLC.US,D,20050301,000000,9.39588,9.53622,9.39588,9.45889,87233.701333058,0
FLC.US,D,20050302,000000,9.42739,9.48849,9.42739,9.46557,50986.175450165,0
FLC.US,D,20050303,000000,9.46557,9.48276,9.42739,9.43407,59742.223658121,0
FLC.US,D,20050304,000000,9.43694,9.45889,9.37965,9.44552,76492.879039686,0
FLC.US,D,20050307,000000,9.40161,9.45508,9.39588,9.44171,64995.852582898,0
FLC.US,D,20050308,000000,9.45889,9.48849,9.44171,9.45508,53501.96824867,0
FLC.US,D,20050309,000000,9.47035,9.47035,9.33572,9.39205,55748.585880977,0
FLC.US,D,20050310,000000,9.37679,9.37679,9.30232,9.35769,80734.744499282,0
FLC.US,D,20050311,000000,9.37582,9.37582,9.28324,9.32141,54499.068475222,0
FLC.US,D,20050314,000000,9.34814,9.38442,9.21446,9.23738,73239.734813141,0
FLC.US,D,20050315,000000,9.23738,9.27653,9.16291,9.16291,53007.607632146,0
FLC.US,D,20050316,000000,9.15815,9.15815,8.98361,8.99489,63753.666796457,0
FLC.US,D,20050317,000000,8.97511,9.01093,8.80698,9.00241,143244.13076092,0
FLC.US,D,20050318,000000,8.97884,9.03554,8.90132,8.92384,66742.872727737,0
FLC.US,D,20050321,000000,8.90132,8.90132,8.78234,8.78493,69256.570777869,0
FLC.US,D,20050322,000000,8.70529,8.70996,8.58471,8.58471,118492.58396063,0
FLC.US,D,20050323,000000,8.54497,8.5658,8.45734,8.51998,142745.58064765,0
FLC.US,D,20050324,000000,8.51998,8.58108,8.50852,8.54853,113245.23928098,0
FLC.US,D,20050328,000000,8.53954,8.62872,8.51635,8.55129,83248.442549413,0
FLC.US,D,20050329,000000,8.55129,8.56866,8.50231,8.54853,66249.559485399,0
FLC.US,D,20050330,000000,8.48722,8.53954,8.41245,8.51998,96003.365405455,0
FLC.US,D,20050331,000000,8.5235,8.5766,8.47902,8.57488,50004.785836425,0
FLC.US,D,20050401,000000,8.58758,8.73451,8.58758,8.63788,116247.01370251,0
FLC.US,D,20050404,000000,8.60189,8.60189,8.54853,8.55129,65493.355321984,0
FLC.US,D,20050405,000000,8.58108,8.61698,8.51998,8.51998,40997.367823454,0
FLC.US,D,20050406,000000,8.54497,8.58108,8.51998,8.55922,44748.014789088,0
FLC.US,D,20050407,000000,8.60189,8.60189,8.51998,8.55568,55008.092330375,0
FLC.US,D,20050408,000000,8.5974,8.5974,8.5235,8.53801,18751.140079792,0
FLC.US,D,20050411,000000,8.53801,8.53801,8.42173,8.47453,55491.979205024,0
FLC.US,D,20050412,000000,8.50231,8.58108,8.47195,8.49152,113751.12101357,0
FLC.US,D,20050413,000000,8.49152,8.55568,8.47902,8.55568,56252.37286519,0
FLC.US,D,20050414,000000,8.54497,8.58108,8.53954,8.5766,57750.117953393,0
FLC.US,D,20050415,000000,8.60189,8.61984,8.47902,8.49152,75241.266885557,0
FLC.US,D,20050418,000000,8.5279,8.59272,8.51205,8.54853,41255.021873594,0
FLC.US,D,20050419,000000,8.55922,8.62339,8.55922,8.61153,27246.392115048,0
FLC.US,D,20050420,000000,8.5766,8.5766,8.4836,8.54853,55748.585880977,0
FLC.US,D,20050421,000000,8.51205,8.61153,8.51205,8.59272,43744.630317412,0
FLC.US,D,20050422,000000,8.59272,8.60896,8.51998,8.51998,68248.996809441,0
FLC.US,D,20050425,000000,8.55922,8.57488,8.4836,8.5235,56749.875604279,0
FLC.US,D,20050426,000000,8.57488,8.57488,8.50231,8.53954,63753.666796457,0
FLC.US,D,20050427,000000,8.50231,8.53801,8.47902,8.47902,86751.909206783,0
FLC.US,D,20050428,000000,8.50231,8.53334,8.46269,8.5235,48002.206389821,0
FLC.US,D,20050429,000000,8.4836,8.61984,8.4836,8.60189,71256.00810191,0
FLC.US,D,20050502,000000,8.61698,8.64495,8.56866,8.64495,53749.148556935,0
FLC.US,D,20050503,000000,8.62339,8.67169,8.60706,8.64962,38250.105329499,0
FLC.US,D,20050504,000000,8.63788,8.67712,8.62872,8.64495,32005.660423297,0
FLC.US,D,20050505,000000,8.68992,8.69622,8.62339,8.67712,49745.037037913,0
FLC.US,D,20050506,000000,8.67712,8.67712,8.60189,8.62339,56006.239931114,0
FLC.US,D,20050509,000000,8.65344,8.65975,8.63788,8.63788,13749.928334219,0
FLC.US,D,20050510,000000,8.64962,8.68161,8.62872,8.64495,28749.37407419,0
FLC.US,D,20050511,000000,8.66615,8.67169,8.60189,8.61984,59248.910415784,0
FLC.US,D,20050512,000000,8.60896,8.64495,8.60189,8.61984,43998.094870799,0
FLC.US,D,20050513,000000,8.58758,8.64495,8.58758,8.6314,32005.660423297,0
FLC.US,D,20050516,000000,8.66615,8.73545,8.63788,8.73545,66249.559485399,0
FLC.US,D,20050517,000000,8.73545,8.75636,8.70166,8.70166,54748.343531861,0
FLC.US,D,20050518,000000,8.7392,8.78493,8.70529,8.76668,53996.328865195,0
FLC.US,D,20050519,000000,8.81528,8.81902,8.72277,8.7621,58008.819377719,0
FLC.US,D,20050520,000000,8.73545,8.73545,8.6927,8.6927,34496.316241303,0
FLC.US,D,20050523,000000,8.70166,8.70166,8.64962,8.65975,31000.181203244,0
FLC.US,D,20050524,000000,8.72277,8.72277,8.61153,8.61984,99749.822874338,0
FLC.US,D,20050525,000000,8.62872,8.65718,8.58758,8.61153,58492.706252369,0
FLC.US,D,20050526,000000,8.58758,8.65344,8.57488,8.64495,32005.660423297,0
FLC.US,D,20050527,000000,8.61153,8.77394,8.61153,8.7392,81741.271093521,0
FLC.US,D,20050531,000000,8.75188,8.7621,8.6927,8.73451,28502.193765928,0
