<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEF-B.US,D,20100823,000000,34.9739,35.0717,34.733,34.794,4186.2966036237,0
GEF-B.US,D,20100824,000000,34.2859,34.5569,34.2037,34.5569,18366.588382178,0
GEF-B.US,D,20100825,000000,34.1253,34.5888,34.1176,34.5888,3560.0572203119,0
GEF-B.US,D,20100826,000000,34.6217,34.8462,34.492,34.822,10111.802583673,0
GEF-B.US,D,20100827,000000,34.8462,35.5574,34.8287,35.5188,12237.502932637,0
GEF-B.US,D,20100830,000000,35.4548,35.4548,34.9739,34.9739,2012.0265335115,0
GEF-B.US,D,20100831,000000,34.8743,34.912,34.5182,34.672,4833.2039533814,0
GEF-B.US,D,20100901,000000,35.0397,35.6533,35.0397,35.6533,6826.6293170915,0
GEF-B.US,D,20100902,000000,35.3697,35.8168,35.0717,35.7132,11307.444442569,0
GEF-B.US,D,20100903,000000,35.9436,36.1448,35.7006,35.959,10226.509797448,0
GEF-B.US,D,20100907,000000,36.1409,36.2329,35.8342,36.2019,7163.5171701602,0
GEF-B.US,D,20100908,000000,35.9513,35.9513,35.3639,35.8448,5286.8658168696,0
GEF-B.US,D,20100909,000000,35.9058,36.0422,35.7191,35.7191,4028.1866603123,0
GEF-B.US,D,20100910,000000,35.9436,36.0742,35.8807,35.8807,772.98194507787,0
GEF-B.US,D,20100913,000000,36.2019,36.59,36.2019,36.4613,6088.7829149717,0
GEF-B.US,D,20100914,000000,36.0074,36.6548,36.0074,36.6238,2012.0265335115,0
GEF-B.US,D,20100915,000000,36.7206,36.7206,36.3346,36.4158,2245.5745543506,0
GEF-B.US,D,20100916,000000,36.0132,36.7448,36.0132,36.681,1737.1425797807,0
GEF-B.US,D,20100917,000000,36.7496,37.366,36.2668,37.366,9300.5849006696,0
GEF-B.US,D,20100920,000000,36.9741,37.1792,36.7845,36.9974,971.39442295883,0
GEF-B.US,D,20100921,000000,36.9383,36.9383,36.681,36.6935,3722.3007569125,0
GEF-B.US,D,20100922,000000,36.5948,36.5948,36.2842,36.2842,1551.1308817673,0
GEF-B.US,D,20100923,000000,36.2087,36.2087,35.7761,35.9667,4132.5598908642,0
GEF-B.US,D,20100924,000000,36.351,36.6606,36.1904,36.5774,3560.0572203119,0
GEF-B.US,D,20100928,000000,36.8483,36.8483,36.7263,36.7496,2688.9024346158,0
GEF-B.US,D,20100929,000000,36.8483,37.1715,36.8483,36.9451,1160.5063159391,0
GEF-B.US,D,20100930,000000,36.9383,37.366,36.798,37.0428,5544.1819991215,0
GEF-B.US,D,20101001,000000,37.3961,37.4213,36.9451,36.9451,2948.2854135123,0
GEF-B.US,D,20101004,000000,36.8483,36.8483,36.8483,36.8483,620.03899337798,0
GEF-B.US,D,20101005,000000,37.2345,37.6999,37.2345,37.6999,6282.0284012412,0
GEF-B.US,D,20101006,000000,37.4928,37.6225,37.4783,37.6225,772.98194507787,0
GEF-B.US,D,20101007,000000,37.7503,37.7947,37.366,37.7947,1101.6026115682,0
GEF-B.US,D,20101008,000000,37.8489,37.8489,37.4599,37.5692,3722.3007569125,0
