<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GFF.US,D,20050225,000000,15.4633,15.5573,15.3638,15.5341,394912.60614237,0
GFF.US,D,20050228,000000,15.431,15.6281,15.3794,15.5341,204489.73062787,0
GFF.US,D,20050301,000000,15.5573,15.6632,15.3343,15.4946,386767.43801147,0
GFF.US,D,20050302,000000,15.5341,15.6632,15.4392,15.5176,169102.8490999,0
GFF.US,D,20050303,000000,15.5425,15.5895,15.3057,15.4007,198861.03530479,0
GFF.US,D,20050304,000000,15.431,15.6854,15.267,15.6281,214263.7153541,0
GFF.US,D,20050307,000000,15.5645,15.8263,15.5645,15.8015,240618.85769295,0
GFF.US,D,20050308,000000,15.771,15.9037,15.7581,15.8015,268754.73822828,0
GFF.US,D,20050309,000000,15.7249,15.7416,15.4549,15.5038,193526.41679539,0
GFF.US,D,20050310,000000,15.4946,15.5573,15.2983,15.4227,236025.39956636,0
GFF.US,D,20050311,000000,15.3942,15.4007,15.1601,15.3397,158880.69565023,0
GFF.US,D,20050314,000000,15.2734,15.3942,15.2171,15.3867,144669.51501577,0
GFF.US,D,20050315,000000,15.3867,15.5176,15.1241,15.1398,186275.41580275,0
GFF.US,D,20050316,000000,15.1536,15.2347,15.0965,15.2255,108835.54991866,0
GFF.US,D,20050317,000000,15.2255,15.267,15.0127,15.1601,522106.79640725,0
GFF.US,D,20050318,000000,15.2255,15.2513,14.855,15.0043,296441.36488588,0
GFF.US,D,20050321,000000,14.9545,15.1601,14.9545,15.0762,111055.77560422,0
GFF.US,D,20050322,000000,15.1398,15.348,15.0836,15.089,181240.2998785,0
GFF.US,D,20050323,000000,15.0965,15.2255,14.9721,15.0264,110606.52172651,0
GFF.US,D,20050324,000000,15.0605,15.1462,14.8845,14.8845,113124.07968863,0
GFF.US,D,20050328,000000,14.8845,15.102,14.8845,14.9877,101132.03958542,0
GFF.US,D,20050329,000000,15.0127,15.1241,14.855,14.8716,184499.01822344,0
GFF.US,D,20050330,000000,14.855,15.0127,14.855,14.9545,134005.70376843,0
GFF.US,D,20050331,000000,14.9085,14.9168,14.3491,14.4579,207748.44897282,0
GFF.US,D,20050401,000000,14.5583,14.6873,14.233,14.2745,205672.54880834,0
GFF.US,D,20050404,000000,14.3021,14.3334,13.9511,14.1197,475907.43749368,0
GFF.US,D,20050405,000000,14.1519,14.3565,14.1519,14.3491,185684.00671251,0
GFF.US,D,20050406,000000,14.3953,14.5951,14.2652,14.2652,171764.73258312,0
GFF.US,D,20050407,000000,14.3334,14.3888,14.2174,14.2745,122606.15790977,0
GFF.US,D,20050408,000000,14.3021,14.3169,13.9133,13.9805,223592.78681978,0
GFF.US,D,20050411,000000,14.0239,14.0394,13.8322,14.0025,145705.83736655,0
GFF.US,D,20050412,000000,13.9133,14.1814,13.8727,14.1344,169841.83917413,0
GFF.US,D,20050413,000000,14.1519,14.1814,13.8984,13.9961,145112.25796772,0
GFF.US,D,20050414,000000,13.9657,14.0717,13.7529,13.8395,152216.76313067,0
GFF.US,D,20050415,000000,13.847,14.0025,13.5382,13.5548,163471.98346824,0
GFF.US,D,20050418,000000,13.5382,13.7206,13.4719,13.6912,172358.31198196,0
GFF.US,D,20050419,000000,13.7281,13.7454,13.4719,13.6754,152809.2573752,0
GFF.US,D,20050420,000000,13.6754,13.6754,12.918,13.0847,340569.16425218,0
GFF.US,D,20050421,000000,13.1816,13.3087,13.0646,13.2349,290072.59433429,0
GFF.US,D,20050422,000000,13.2036,13.3022,13.118,13.2792,282524.26106509,0
GFF.US,D,20050425,000000,13.3409,13.4793,13.318,13.3575,102909.52231902,0
GFF.US,D,20050426,000000,13.318,13.5106,13.2792,13.3409,145410.67539858,0
GFF.US,D,20050427,000000,13.3022,13.4369,13.1354,13.3575,119197.68827225,0
GFF.US,D,20050428,000000,13.3346,13.3898,13.0333,13.0571,162436.74627174,0
GFF.US,D,20050429,000000,13.0802,13.1742,12.8009,12.9576,132080.64005084,0
GFF.US,D,20050502,000000,13.0064,13.1262,12.7798,12.8258,148667.22343494,0
GFF.US,D,20050503,000000,12.835,12.835,12.449,12.5281,504040.06256613,0
GFF.US,D,20050504,000000,12.5116,12.918,12.3954,12.7798,530547.12650614,0
GFF.US,D,20050505,000000,12.7926,12.7926,12.4112,12.5281,554978.29028168,0
GFF.US,D,20050506,000000,12.5964,12.8663,12.5281,12.7862,346490.85123465,0
GFF.US,D,20050509,000000,12.7862,12.8084,12.6794,12.7926,171320.90447687,0
GFF.US,D,20050510,000000,12.8009,12.8009,12.5281,12.6729,2115825.1612444,0
GFF.US,D,20050511,000000,12.5964,12.7281,12.4112,12.635,450884.86462788,0
GFF.US,D,20050512,000000,12.6885,12.7107,12.5558,12.5723,434301.53670669,0
GFF.US,D,20050513,000000,12.5807,12.6646,12.4249,12.4573,364852.74704374,0
GFF.US,D,20050516,000000,12.4573,12.6562,12.4573,12.5281,142148.70159077,0
GFF.US,D,20050517,000000,12.5429,12.7862,12.3954,12.648,379660.76253993,0
GFF.US,D,20050518,000000,12.7107,13.1521,12.7107,12.9834,236618.9789652,0
GFF.US,D,20050519,000000,13.0802,13.294,13.0497,13.2792,470870.15126084,0
GFF.US,D,20050520,000000,13.2479,13.4452,13.0646,13.4137,1126097.1655326,0
GFF.US,D,20050523,000000,13.4452,13.4939,13.3502,13.3575,437410.50375904,0
GFF.US,D,20050524,000000,13.3022,13.4211,13.2876,13.3732,177984.83699645,0
GFF.US,D,20050525,000000,13.3575,13.3575,13.1594,13.1816,588148.20158698,0
GFF.US,D,20050526,000000,13.1521,13.5022,13.1521,13.4211,366479.39333049,0
GFF.US,D,20050527,000000,13.4211,13.4719,13.2876,13.4046,331538.51021735,0
GFF.US,D,20050531,000000,13.4211,13.5704,13.4211,13.4589,467319.5264108,0
GFF.US,D,20050601,000000,13.4589,13.5382,13.4506,13.5106,302956.63126717,0
GFF.US,D,20050602,000000,13.5022,13.8984,13.4719,13.8238,416380.21354095,0
GFF.US,D,20050603,000000,13.8238,13.8395,13.365,13.4506,247872.02899417,0
GFF.US,D,20050606,000000,13.5022,13.6036,13.4506,13.5022,366785.4068414,0
GFF.US,D,20050607,000000,13.5548,13.6202,13.4452,13.4589,406758.15041589,0
GFF.US,D,20050608,000000,13.5022,13.5952,13.5022,13.5466,362186.52294334,0
GFF.US,D,20050609,000000,13.5022,13.6441,13.4654,13.5621,243873.23542071,0
GFF.US,D,20050610,000000,13.5704,13.7768,13.5704,13.7141,156073.40149162,0
GFF.US,D,20050613,000000,13.7281,13.9593,13.7206,13.9593,244026.24217616,0
GFF.US,D,20050614,000000,13.9961,14.5113,13.9961,14.433,368107.12477151,0
GFF.US,D,20050615,000000,14.4975,14.6034,14.3813,14.4266,304143.79006483,0
GFF.US,D,20050616,000000,14.4495,14.679,14.4495,14.679,237803.96745427,0
GFF.US,D,20050617,000000,14.9002,14.996,14.7739,14.9002,400093.13274202,0
GFF.US,D,20050620,000000,14.8845,14.996,14.8356,14.9002,258240.67827353,0
GFF.US,D,20050621,000000,14.9085,15.3638,14.9085,15.1776,468212.60839478,0
GFF.US,D,20050622,000000,15.1914,15.2429,14.855,14.9241,211006.08216346,0
GFF.US,D,20050623,000000,14.9334,14.9877,14.5583,14.6947,196344.56249697,0
GFF.US,D,20050624,000000,14.702,14.702,14.2864,14.4495,461542.16494944,0
GFF.US,D,20050627,000000,14.4495,14.5583,14.2938,14.5195,386619.85702748,0
GFF.US,D,20050628,000000,14.5583,15.0043,14.5583,14.8909,413423.16808974,0
GFF.US,D,20050629,000000,14.9408,15.1914,14.8781,14.8845,591555.58607019,0
GFF.US,D,20050630,000000,14.8845,15.1324,14.8845,14.996,606804.17420976,0
GFF.US,D,20050701,000000,15.0043,15.2983,15.0043,15.1601,352410.36790852,0
GFF.US,D,20050705,000000,15.1398,15.8328,15.1324,15.8263,566378.92129465,0
GFF.US,D,20050706,000000,15.8097,15.9323,15.7857,15.8807,336270.86809357,0
GFF.US,D,20050707,000000,15.7508,16.1119,15.6936,16.0862,244173.82316015,0
GFF.US,D,20050708,000000,16.1424,16.886,16.1277,16.864,417268.95490775,0
GFF.US,D,20050711,000000,16.886,17.0889,16.8786,17.0657,327686.21247358,0
