<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIS.US,D,19830610,000000,1.25894,1.269,1.25894,1.262,1120634.4309296,0
GIS.US,D,19830613,000000,1.26515,1.2826,1.262,1.27906,1614749.2252859,0
GIS.US,D,19830614,000000,1.27235,1.27235,1.25519,1.25894,302620.51472969,0
GIS.US,D,19830615,000000,1.24169,1.24533,1.23853,1.23853,5016833.4977827,0
GIS.US,D,19830616,000000,1.24169,1.262,1.23853,1.25894,5220159.2549648,0
GIS.US,D,19830617,000000,1.25894,1.2826,1.25894,1.2826,2118326.3619696,0
GIS.US,D,19830620,000000,1.2826,1.30282,1.2826,1.29927,1461073.8894314,0
GIS.US,D,19830621,000000,1.29927,1.30282,1.2826,1.2826,5196515.5693612,0
GIS.US,D,19830622,000000,1.28922,1.29612,1.2826,1.29266,3212951.0146215,0
GIS.US,D,19830623,000000,1.29612,1.29612,1.27235,1.27906,1936281.2402708,0
GIS.US,D,19830624,000000,1.26515,1.2756,1.25894,1.27235,886578.88033664,0
GIS.US,D,19830627,000000,1.27235,1.27235,1.25519,1.25894,836927.44482442,0
GIS.US,D,19830628,000000,1.25519,1.25519,1.20471,1.21812,2229444.483596,0
GIS.US,D,19830629,000000,1.21812,1.269,1.21812,1.269,1132452.7240854,0
GIS.US,D,19830630,000000,1.25894,1.27906,1.25519,1.27906,5886855.8145077,0
GIS.US,D,19830701,000000,1.2826,1.28922,1.2826,1.2826,1442162.3891762,0
GIS.US,D,19830705,000000,1.28922,1.28922,1.2826,1.28586,2139599.8981607,0
GIS.US,D,19830706,000000,1.29266,1.29927,1.27235,1.27235,1995386.9046338,0
GIS.US,D,19830707,000000,1.27906,1.28586,1.27235,1.2826,718713.07354471,0
GIS.US,D,19830708,000000,1.28586,1.29266,1.2756,1.28922,1558007.6252279,0
GIS.US,D,19830711,000000,1.2826,1.31278,1.2826,1.28922,959865.88797568,0
GIS.US,D,19830712,000000,1.27906,1.29266,1.27235,1.27235,2130144.6551253,0
GIS.US,D,19830713,000000,1.26515,1.269,1.25519,1.25894,718713.07354471,0
GIS.US,D,19830714,000000,1.25894,1.25894,1.23853,1.24169,1316861.9100891,0
GIS.US,D,19830715,000000,1.24169,1.24169,1.22503,1.23853,1995386.9046338,0
GIS.US,D,19830718,000000,1.23163,1.23163,1.22147,1.22503,3744892.8662266,0
GIS.US,D,19830719,000000,1.23163,1.23537,1.21812,1.21812,2030848.8833931,0
GIS.US,D,19830720,000000,1.21812,1.23853,1.21812,1.23853,1586379.4394415,0
GIS.US,D,19830721,000000,1.23853,1.23853,1.21812,1.22503,2709372.8637532,0
GIS.US,D,19830722,000000,1.21812,1.21812,1.21487,1.21812,2917430.8062835,0
GIS.US,D,19830725,000000,1.21812,1.21812,1.19781,1.19781,1380695.703062,0
GIS.US,D,19830726,000000,1.19781,1.21487,1.19781,1.20806,3227137.4288206,0
GIS.US,D,19830727,000000,1.20806,1.21142,1.19781,1.21142,2047391.2484204,0
GIS.US,D,19830728,000000,1.21142,1.21487,1.20806,1.21142,1420883.7820622,0
GIS.US,D,19830729,000000,1.19781,1.20126,1.16774,1.1845,3789816.173129,0
GIS.US,D,19830801,000000,1.1776,1.19781,1.1705,1.18066,3960038.9449336,0
GIS.US,D,19830802,000000,1.18066,1.20126,1.1776,1.19781,1948102.5759803,0
GIS.US,D,19830803,000000,1.19781,1.19781,1.191,1.19456,399546.13704935,0
GIS.US,D,19830804,000000,1.19456,1.19456,1.17434,1.17434,3652691.3157786,0
GIS.US,D,19830805,000000,1.1705,1.19781,1.1705,1.1845,1063890.8025025,0
GIS.US,D,19830808,000000,1.1845,1.191,1.16774,1.1705,1463442.0104748,0
GIS.US,D,19830809,000000,1.17434,1.17434,1.15393,1.16034,2508420.2985375,0
GIS.US,D,19830810,000000,1.15393,1.16774,1.15393,1.16419,3248411.9791963,0
GIS.US,D,19830811,000000,1.15738,1.1776,1.15393,1.17434,1446891.5319707,0
GIS.US,D,19830812,000000,1.18785,1.19781,1.1845,1.18785,1964653.0544845,0
GIS.US,D,19830815,000000,1.19456,1.19781,1.17434,1.17434,3357166.0365176,0
GIS.US,D,19830816,000000,1.17434,1.1776,1.15048,1.15048,1527272.7608939,0
GIS.US,D,19830817,000000,1.13697,1.15393,1.13697,1.15048,4406872.4531902,0
GIS.US,D,19830818,000000,1.14387,1.14387,1.12001,1.13353,4853704.9472622,0
GIS.US,D,19830819,000000,1.12347,1.13353,1.12001,1.12681,1662033.5539393,0
GIS.US,D,19830822,000000,1.12681,1.13027,1.1137,1.12681,2416213.6771664,0
GIS.US,D,19830823,000000,1.12681,1.13027,1.1137,1.13027,3922204.7883925,0
GIS.US,D,19830824,000000,1.12681,1.12681,1.11647,1.12001,2236531.605588,0
GIS.US,D,19830825,000000,1.12347,1.13353,1.11647,1.13353,657248.41579979,0
GIS.US,D,19830826,000000,1.13353,1.13353,1.1137,1.11647,1437436.2889354,0
GIS.US,D,19830829,000000,1.11647,1.12001,1.1137,1.12001,1283762.9814502,0
GIS.US,D,19830830,000000,1.13353,1.1705,1.13027,1.16774,1728230.3970326,0
GIS.US,D,19830831,000000,1.16034,1.17434,1.16034,1.17434,815652.89444879,0
GIS.US,D,19830901,000000,1.17434,1.19781,1.16419,1.19781,3903294.3023218,0
GIS.US,D,19830902,000000,1.19781,1.20471,1.191,1.20471,669069.7515093,0
GIS.US,D,19830906,000000,1.21142,1.21812,1.20806,1.21142,1238841.7029172,0
GIS.US,D,19830907,000000,1.20806,1.20806,1.19456,1.19456,1009513.2667495,0
GIS.US,D,19830908,000000,1.19781,1.21487,1.191,1.20471,2014300.4332582,0
GIS.US,D,19830909,000000,1.20471,1.20806,1.19781,1.20471,470476.17967561,0
GIS.US,D,19830912,000000,1.21142,1.21812,1.19781,1.19781,1383060.7815516,0
GIS.US,D,19830913,000000,1.191,1.21487,1.191,1.21487,775456.70197188,0
GIS.US,D,19830914,000000,1.21487,1.21812,1.21142,1.21812,252966.03666366,0
GIS.US,D,19830915,000000,1.21487,1.23537,1.21487,1.23163,1307403.6245001,0
GIS.US,D,19830916,000000,1.22503,1.2826,1.22503,1.2826,2293273.2056459,0
GIS.US,D,19830919,000000,1.27906,1.28586,1.27235,1.2826,3851284.8876123,0
GIS.US,D,19830920,000000,1.2826,1.2826,1.26515,1.269,4326491.224267,0
GIS.US,D,19830921,000000,1.262,1.262,1.22147,1.22147,2298004.3768097,0
GIS.US,D,19830922,000000,1.22818,1.24859,1.22818,1.23853,7534711.0677248,0
GIS.US,D,19830923,000000,1.23853,1.23853,1.20806,1.20806,3532120.9936707,0
GIS.US,D,19830926,000000,1.21487,1.22147,1.20806,1.22147,2806306.5995496,0
GIS.US,D,19830927,000000,1.21812,1.22147,1.20126,1.20471,2120687.3837208,0
GIS.US,D,19830928,000000,1.191,1.191,1.15048,1.15393,8163583.6125726,0
GIS.US,D,19830929,000000,1.14703,1.14703,1.10986,1.13353,6146924.1859323,0
GIS.US,D,19830930,000000,1.13353,1.13353,1.1137,1.13027,4371405.4035079,0
GIS.US,D,19831003,000000,1.10305,1.13353,1.10305,1.13353,5352545.8418592,0
GIS.US,D,19831004,000000,1.14053,1.16419,1.13697,1.15738,4657474.4255489,0
GIS.US,D,19831005,000000,1.18066,1.21142,1.17434,1.20806,12390779.065107,0
GIS.US,D,19831006,000000,1.20806,1.23163,1.20806,1.22818,4406872.4531902,0
GIS.US,D,19831007,000000,1.22818,1.24859,1.21487,1.24859,6184750.2289966,0
GIS.US,D,19831010,000000,1.23853,1.24859,1.22818,1.24859,2045033.269223,0
GIS.US,D,19831011,000000,1.25519,1.25519,1.23163,1.23537,2196342.5124032,0
GIS.US,D,19831012,000000,1.22147,1.22147,1.20126,1.20471,1782604.8902318,0
GIS.US,D,19831013,000000,1.20471,1.20471,1.19781,1.20471,1896089.1045324,0
GIS.US,D,19831014,000000,1.20126,1.20471,1.1845,1.20126,5194150.4908716,0
GIS.US,D,19831017,000000,1.20126,1.21487,1.1845,1.21487,815652.89444879,0
GIS.US,D,19831018,000000,1.20806,1.20806,1.19781,1.19781,877118.56637831,0
GIS.US,D,19831019,000000,1.1845,1.20126,1.1845,1.19781,5797020.3567338,0
GIS.US,D,19831020,000000,1.20806,1.21142,1.20126,1.20471,3260235.3432749,0
GIS.US,D,19831021,000000,1.20806,1.21142,1.18785,1.19456,10638900.925733,0
GIS.US,D,19831024,000000,1.1845,1.19456,1.1845,1.191,5856125.0069122,0
GIS.US,D,19831025,000000,1.191,1.20806,1.1845,1.20471,2229444.483596,0
GIS.US,D,19831026,000000,1.20126,1.21812,1.20126,1.21487,5496766.9488629,0
GIS.US,D,19831027,000000,1.20806,1.25894,1.20806,1.25204,3229498.4505718,0
GIS.US,D,19831028,000000,1.25204,1.269,1.24859,1.24859,1198645.5104402,0
GIS.US,D,19831031,000000,1.25519,1.27906,1.25204,1.262,3196403.5786712,0
GIS.US,D,19831101,000000,1.27235,1.27235,1.23853,1.24533,11357622.112754,0
GIS.US,D,19831102,000000,1.24859,1.24859,1.23853,1.24859,3733073.5588863,0
