<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GJR.US,D,20240503,000000,25.2,25.2,25.2,25.2,100,0
GJR.US,D,20240613,000000,24.78,24.8,24.78,24.78,1030,0
GJR.US,D,20240618,000000,24.8,24.8,24.8,24.8,251,0
GJR.US,D,20240624,000000,25.213,25.213,25.213,25.213,189,0
GJR.US,D,20240626,000000,25.4,25.4,25.4,25.4,189,0
GJR.US,D,20240702,000000,25.45,25.5,25.2,25.2,911,0
GJR.US,D,20240703,000000,26,28.1,25.58,25.59,11311,0
GJR.US,D,20240705,000000,26.08,26.66,25.29,25.8,29139,0
GJR.US,D,20240708,000000,25.79,25.79,25.79,25.79,509,0
GJR.US,D,20240709,000000,25.69,25.7,25.5,25.5,4538,0
GJR.US,D,20240710,000000,25.56,25.56,25.03,25.39,2726,0
GJR.US,D,20240711,000000,25.03,25.79,25,25.79,923,0
GJR.US,D,20240716,000000,24.92,24.95,24.7,24.95,8382,0
GJR.US,D,20240717,000000,24.8,24.8,24.8,24.8,1001,0
GJR.US,D,20240718,000000,24.75,24.75,24.75,24.75,148,0
GJR.US,D,20240719,000000,24.75,25.01,24.75,25.01,240,0
GJR.US,D,20240722,000000,24.98,25.01,24.98,25.01,300,0
GJR.US,D,20240725,000000,24.7,24.7,24.7,24.7,4315,0
GJR.US,D,20240726,000000,24.85,25.6,24.85,25.15,6237,0
GJR.US,D,20240729,000000,25.1001,25.15,25.1,25.13,2000,0
GJR.US,D,20240731,000000,25.57,25.65,25.5,25.55,943,0
GJR.US,D,20240801,000000,25.25,25.25,25.1,25.15,1701,0
GJR.US,D,20240802,000000,25.15,25.15,25.15,25.15,1101,0
GJR.US,D,20240805,000000,25.1,25.4,24.47,25.01,7283,0
GJR.US,D,20240806,000000,25.38,25.4,24.86,25.38,1234,0
GJR.US,D,20240819,000000,25.38,25.38,25.38,25.38,603,0
GJR.US,D,20240826,000000,25.01,25.01,24.62,24.85,9571,0
GJR.US,D,20240828,000000,24.85,24.9,24.85,24.9,400,0
GJR.US,D,20240904,000000,24.695,24.97,24.695,24.97,2355,0
GJR.US,D,20240905,000000,24.99,25.25,24.99,25.25,2027,0
GJR.US,D,20240909,000000,25.36,25.36,25.36,25.36,388,0
GJR.US,D,20240916,000000,24.88,24.88,24.88,24.88,114,0
GJR.US,D,20240918,000000,25.09,25.09,25.09,25.09,358,0
GJR.US,D,20240919,000000,24.88,24.8801,24.5,24.81,2089,0
GJR.US,D,20240924,000000,24.81,24.81,24.75,24.75,600,0
GJR.US,D,20240925,000000,24.8999,24.9,24.86,24.9,2138,0
