<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNE.US,D,20111102,000000,5.97725,6.35095,5.71619,5.73081,295418.71356053,0
GNE.US,D,20111103,000000,5.81283,5.96973,5.02837,5.11838,462980.73700939,0
GNE.US,D,20111104,000000,5.09332,5.85272,4.9877,5.81527,343496.61079582,0
GNE.US,D,20111107,000000,5.88793,6.11954,5.56668,5.62628,290607.437405,0
GNE.US,D,20111108,000000,5.88793,5.88793,5.55918,5.55918,331912.427776,0
GNE.US,D,20111109,000000,5.52894,5.64861,5.37993,5.37993,217091.91706867,0
GNE.US,D,20111110,000000,5.50671,5.56668,5.20782,5.21532,202223.31002367,0
GNE.US,D,20111111,000000,5.25278,5.30504,5.11838,5.15564,194389.09224273,0
GNE.US,D,20111114,000000,5.11838,5.22264,5.11838,5.17807,336908.27974311,0
GNE.US,D,20111115,000000,5.1256,5.23035,5.1256,5.20782,277535.36825951,0
GNE.US,D,20111116,000000,5.20782,5.60365,5.15564,5.52894,351149.3290287,0
GNE.US,D,20111117,000000,5.4991,5.54406,5.35731,5.4246,121524.71435286,0
GNE.US,D,20111118,000000,5.40198,5.44732,5.37993,5.43182,95022.704071621,0
GNE.US,D,20111121,000000,5.40198,5.43182,5.24507,5.39466,118919.11914587,0
GNE.US,D,20111122,000000,5.40198,5.43182,5.23775,5.29753,128348.89227592,0
GNE.US,D,20111123,000000,5.28271,5.34229,5.09546,5.10317,135506.33208102,0
GNE.US,D,20111125,000000,5.08825,5.37223,5.08825,5.08825,62850.114689779,0
GNE.US,D,20111128,000000,5.26759,5.40949,5.08825,5.14061,134841.8591593,0
GNE.US,D,20111129,000000,5.1256,5.21532,5.08074,5.14061,126003.75404751,0
GNE.US,D,20111130,000000,5.2515,5.41104,5.08434,5.40343,222825.04686098,0
GNE.US,D,20111201,000000,5.38725,5.48409,5.26018,5.45425,152275.04456425,0
GNE.US,D,20111202,000000,5.52924,5.52924,5.38647,5.40149,103827.99570578,0
GNE.US,D,20111205,000000,5.48409,5.52183,5.31966,5.48409,86049.243364673,0
GNE.US,D,20111206,000000,5.45395,5.55957,5.31869,5.37145,110809.0630687,0
GNE.US,D,20111207,000000,5.34902,5.34902,5.1608,5.2437,114713.86690507,0
GNE.US,D,20111208,000000,5.16822,5.40889,5.12297,5.34122,110532.19935132,0
GNE.US,D,20111209,000000,5.40149,5.93572,5.40149,5.90558,352640.2914179,0
GNE.US,D,20111212,000000,5.84531,5.90558,5.73257,5.89816,120988.41907806,0
GNE.US,D,20111213,000000,5.98086,5.98086,5.69503,5.72487,212573.91136935,0
GNE.US,D,20111214,000000,5.68722,5.77773,5.4166,5.46166,177367.10072914,0
GNE.US,D,20111215,000000,5.55197,5.64968,5.47677,5.4992,200010.45112691,0
GNE.US,D,20111216,000000,5.52924,5.76261,5.49179,5.5743,116831.36163251,0
GNE.US,D,20111219,000000,5.61243,5.64208,5.47677,5.49179,86701.411232301,0
GNE.US,D,20111220,000000,5.51461,6.14616,5.51461,5.95053,140617.0312198,0
GNE.US,D,20111221,000000,5.9282,5.9282,5.77773,5.91299,89269.065855796,0
GNE.US,D,20111222,000000,5.91299,5.98086,5.80777,5.86042,130974.99590642,0
GNE.US,D,20111223,000000,5.85272,5.97345,5.64208,5.87554,120408.03069271,0
GNE.US,D,20111227,000000,5.8301,5.88285,5.81527,5.86042,65645.412814238,0
GNE.US,D,20111228,000000,5.88285,5.88285,5.70995,5.79274,69598.411445855,0
GNE.US,D,20111229,000000,5.89036,5.90558,5.80777,5.86042,51306.948516985,0
GNE.US,D,20111230,000000,5.82903,5.98876,5.82142,5.96613,55787.013632819,0
GNE.US,D,20120103,000000,6.03343,6.16127,5.9204,6.04863,61397.092884072,0
GNE.US,D,20120104,000000,6.06347,6.08628,6.0109,6.01831,71706.677382718,0
GNE.US,D,20120105,000000,5.98827,6.07087,5.96603,6.02591,82920.683358171,0
GNE.US,D,20120106,000000,6.04863,6.07867,5.95053,6.01831,68560.685216233,0
GNE.US,D,20120109,000000,6.05595,6.34911,6.05595,6.31174,112775.82088334,0
GNE.US,D,20120110,000000,6.37191,6.91355,6.34911,6.88371,218271.15142052,0
GNE.US,D,20120111,000000,6.87581,7.43324,6.85338,6.99645,215914.73355918,0
GNE.US,D,20120112,000000,7.05642,7.26735,6.96631,7.06373,50880.373307971,0
GNE.US,D,20120113,000000,6.99645,7.13921,6.99645,7.07163,73074.589230858,0
GNE.US,D,20120117,000000,7.11668,7.36526,7.05642,7.35054,173226.45002242,0
GNE.US,D,20120118,000000,7.36526,7.86126,7.36526,7.76296,346113.48563573,0
GNE.US,D,20120119,000000,7.82361,8.01242,7.70483,7.81718,148645.05360292,0
GNE.US,D,20120120,000000,7.85316,7.88505,7.79436,7.82361,212134.00568505,0
GNE.US,D,20120123,000000,7.86126,7.92796,7.58255,7.74833,139317.82259043,0
GNE.US,D,20120124,000000,7.71117,7.86926,7.68065,7.82361,101133.18885653,0
GNE.US,D,20120125,000000,7.81718,8.11521,7.79436,7.86126,101416.20510097,0
GNE.US,D,20120126,000000,7.90729,8.01934,7.26735,7.40213,197305.3900659,0
GNE.US,D,20120127,000000,7.40984,7.89988,7.36526,7.77855,128503.73087343,0
GNE.US,D,20120130,000000,7.71117,7.77855,7.52354,7.71927,99666.836575537,0
GNE.US,D,20120131,000000,7.78841,7.90914,7.6983,7.87159,152839.02621078,0
GNE.US,D,20120201,000000,7.87696,8.04928,7.81718,8.03445,145181.18087203,0
GNE.US,D,20120202,000000,8.01934,8.12379,7.98091,8.02782,110710.62263586,0
GNE.US,D,20120203,000000,8.05757,8.11521,7.95128,8.0796,159028.46842621,0
GNE.US,D,20120206,000000,8.07297,8.4102,8.04928,8.28255,203631.21329766,0
GNE.US,D,20120207,000000,8.25174,8.27573,7.85316,7.89246,113432.09043567,0
GNE.US,D,20120208,000000,7.91489,7.95975,7.84566,7.92796,103983.85972446,0
GNE.US,D,20120209,000000,7.93537,8.12379,7.93537,8.06439,120788.46194883,0
GNE.US,D,20120210,000000,7.98911,8.06439,7.77095,7.77855,101082.94321892,0
GNE.US,D,20120213,000000,7.83122,7.86126,7.77095,7.80167,54500.110057546,0
GNE.US,D,20120214,000000,7.79436,7.79436,7.52354,7.54597,76272.877877295,0
GNE.US,D,20120215,000000,7.55377,7.57455,7.20679,7.22962,104068.96968203,0
GNE.US,D,20120216,000000,7.26735,7.32724,7.1243,7.18456,108636.19559778,0
GNE.US,D,20120217,000000,7.20679,7.58255,7.18456,7.52354,102083.75428623,0
GNE.US,D,20120221,000000,7.55377,7.65851,7.51583,7.569,26685.560671651,0
GNE.US,D,20120222,000000,7.49995,7.49995,7.36526,7.44718,52955.825767216,0
GNE.US,D,20120223,000000,7.44718,7.44718,7.18456,7.26735,53300.36728219,0
GNE.US,D,20120224,000000,7.03409,7.40213,7.01877,7.33494,74896.762659751,0
GNE.US,D,20120227,000000,7.30529,7.48502,7.28219,7.45489,29668.510871229,0
GNE.US,D,20120228,000000,7.42563,7.42563,7.2974,7.32724,42460.640035802,0
