<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNK.US,D,20150721,000000,61.656,62.05,58.9678,59.442,16065.54209496,0
GNK.US,D,20150722,000000,60.4702,60.7078,57.7029,59.6012,17532.586558883,0
GNK.US,D,20150723,000000,60.786,60.786,58.7312,59.442,6604.5105176608,0
GNK.US,D,20150724,000000,59.7587,59.9952,56.2014,56.2014,18583.687381694,0
GNK.US,D,20150727,000000,56.913,58.5738,56.1213,57.308,10562.720140245,0
GNK.US,D,20150728,000000,58.8896,58.8896,56.1213,56.2014,8312.127790227,0
GNK.US,D,20150729,000000,56.8338,57.308,56.2796,56.518,9475.6458133383,0
GNK.US,D,20150730,000000,56.913,57.2305,55.7281,56.4388,6756.2737380665,0
GNK.US,D,20150731,000000,55.8856,58.0978,55.8856,57.4654,5426.3782585103,0
GNK.US,D,20150803,000000,56.8338,57.4654,56.2014,56.7556,5146.4594297618,0
GNK.US,D,20150804,000000,58.4154,58.4154,56.2796,56.518,3047.6303001494,0
GNK.US,D,20150805,000000,54.9364,60.8652,54.9364,58.4154,14852.560503716,0
GNK.US,D,20150806,000000,59.047,60.0753,57.0687,58.7312,6958.6246986077,0
GNK.US,D,20150807,000000,59.2836,59.2836,56.1213,56.8338,4630.4644803821,0
GNK.US,D,20150810,000000,56.8338,58.178,56.5981,57.2305,1719.9831645993,0
GNK.US,D,20150811,000000,56.044,58.0187,56.044,56.518,5439.8683225464,0
GNK.US,D,20150812,000000,56.044,56.3597,54.9364,55.2531,12739.117138065,0
GNK.US,D,20150813,000000,54.3832,56.8338,53.8298,54.9364,11688.016315254,0
GNK.US,D,20150814,000000,55.3314,55.4888,54.1466,54.8581,1606.4417922957,0
GNK.US,D,20150817,000000,54.9364,54.9364,52.8033,52.8816,6832.7174342709,0
GNK.US,D,20150818,000000,52.0916,52.8816,49.3234,49.7984,3643.4414617427,0
GNK.US,D,20150819,000000,50.1934,50.5101,46.9519,47.2694,6035.6794841396,0
GNK.US,D,20150820,000000,47.4278,50.2743,47.4278,48.4544,4097.6069509572,0
GNK.US,D,20150821,000000,48.2177,48.2969,46.6388,46.6388,3454.5805652377,0
GNK.US,D,20150824,000000,43.4747,47.4278,39.5233,44.2654,20708.372467376,0
GNK.US,D,20150825,000000,45.2938,45.2938,41.5782,42.5264,11309.170350241,0
GNK.US,D,20150826,000000,42.2889,43.7122,41.4198,43.0006,5921.013939833,0
GNK.US,D,20150827,000000,44.2654,44.2654,42.6056,42.9196,4225.7625592999,0
GNK.US,D,20150828,000000,43.3964,44.4238,43.3964,43.553,3416.3587171355,0
GNK.US,D,20150831,000000,43.1589,45.0562,41.7356,44.503,9312.6408729024,0
GNK.US,D,20150901,000000,43.633,44.1862,42.844,43.8705,3164.5441884621,0
GNK.US,D,20150902,000000,43.7122,44.3446,40.3142,44.0289,17637.134555162,0
GNK.US,D,20150903,000000,44.0289,44.2654,42.4482,43.4747,10893.226709129,0
GNK.US,D,20150904,000000,43.4747,43.8705,42.4482,43.4747,9323.8825929324,0
GNK.US,D,20150908,000000,42.2889,43.3964,40.3142,41.1032,10513.256572113,0
GNK.US,D,20150909,000000,41.7356,42.2889,40.63,41.6565,10486.276444041,0
GNK.US,D,20150910,000000,41.4198,41.499,40.3933,40.7882,8968.6442399825,0
GNK.US,D,20150911,000000,41.0231,41.1032,37.9408,38.8117,13826.191464971,0
GNK.US,D,20150914,000000,38.495,39.4432,37.9408,38.6533,7399.3001237861,0
GNK.US,D,20150915,000000,39.1266,39.365,37.23,37.5468,4921.6250291606,0
GNK.US,D,20150916,000000,37.5468,38.8117,36.5976,37.7852,6995.7223747068,0
GNK.US,D,20150917,000000,38.6533,39.2058,37.3092,37.626,7326.2289435906,0
GNK.US,D,20150918,000000,37.9408,38.575,37.1518,37.5468,15041.421400221,0
GNK.US,D,20150921,000000,38.4158,38.6533,37.1518,37.4676,5907.5238757969,0
GNK.US,D,20150922,000000,37.7852,38.02,36.3618,37.23,5655.7093471236,0
GNK.US,D,20150923,000000,37.23,37.23,34.9377,35.4136,8804.5151275436,0
GNK.US,D,20150924,000000,34.6219,36.1235,34.0686,36.1235,5829.9560075896,0
GNK.US,D,20150925,000000,35.7303,35.7303,33.5154,34.5428,10992.153845394,0
GNK.US,D,20150928,000000,34.4645,34.4645,30.1946,31.2238,7030.5717068,0
GNK.US,D,20150929,000000,30.9072,32.012,30.8272,30.9072,6124.4890723771,0
GNK.US,D,20150930,000000,30.9072,31.9356,30.8272,30.9072,12235.488080717,0
