<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNL.US,D,20150602,000000,14.3955,14.3955,13.2395,13.3228,962154.88131876,0
GNL.US,D,20150603,000000,13.3668,13.4689,13.0364,13.1926,1119042.8814254,0
GNL.US,D,20150604,000000,13.1553,13.1702,12.5131,12.9549,832568.84390132,0
GNL.US,D,20150605,000000,12.9831,13.3714,12.969,13.2564,368414.1118027,0
GNL.US,D,20150608,000000,13.1946,13.2564,12.9268,12.998,355191.52641357,0
GNL.US,D,20150609,000000,12.9831,13.1403,12.882,12.8997,320548.07493109,0
GNL.US,D,20150610,000000,13.0289,13.1113,12.7845,12.7976,352294.24503881,0
GNL.US,D,20150611,000000,12.8117,12.8697,12.7976,12.8398,306022.14025097,0
GNL.US,D,20150612,000000,12.7397,12.8697,12.7397,12.8398,230923.58143105,0
GNL.US,D,20150615,000000,12.7976,12.8398,12.6114,12.6404,312255.78214686,0
GNL.US,D,20150616,000000,12.6114,12.7976,12.5131,12.6404,306449.46788736,0
GNL.US,D,20150617,000000,12.5983,13.013,12.5843,12.9409,385131.16893843,0
GNL.US,D,20150618,000000,12.9409,13.3004,12.9409,13.2826,474362.52101299,0
GNL.US,D,20150619,000000,13.2564,13.2826,13.1553,13.2273,158542.8263786,0
GNL.US,D,20150622,000000,13.3274,13.4426,12.7574,13.0401,324282.91847317,0
GNL.US,D,20150623,000000,13.1272,13.2114,12.998,13.013,382810.77987281,0
GNL.US,D,20150624,000000,13.3714,13.3714,13.013,13.1553,509188.65506002,0
GNL.US,D,20150625,000000,13.2273,13.2414,13.1403,13.2114,287283.82339508,0
GNL.US,D,20150626,000000,13.1702,13.3714,13.1702,13.1946,177073.88933083,0
GNL.US,D,20150629,000000,12.7976,13.1553,12.7845,12.8285,175535.50983981,0
GNL.US,D,20150630,000000,12.8117,12.8548,12.5843,12.6404,153495.0186737,0
GNL.US,D,20150701,000000,12.7143,12.7677,12.5843,12.6114,93363.61031849,0
GNL.US,D,20150702,000000,12.6975,12.7247,12.4963,12.5253,116577.11584651,0
GNL.US,D,20150706,000000,12.1508,12.4832,12.1508,12.2379,129892.64499655,0
GNL.US,D,20150707,000000,12.354,12.4083,12.1508,12.354,118355.867133,0
GNL.US,D,20150708,000000,12.3792,12.5674,12.251,12.2931,424970.92447947,0
GNL.US,D,20150709,000000,12.2379,12.4083,11.5322,11.8916,454838.98962524,0
GNL.US,D,20150710,000000,11.7334,12.5674,11.6604,12.4832,546871.47435636,0
GNL.US,D,20150713,000000,12.2931,12.5112,12.0638,12.265,273470.45754863,0
GNL.US,D,20150714,000000,12.2379,12.3671,12.1667,12.325,217248.02874735,0
GNL.US,D,20150715,000000,12.325,12.4944,12.251,12.3671,390265.5104897,0
GNL.US,D,20150716,000000,12.309,12.5234,12.1508,12.1508,292428.84813726,0
GNL.US,D,20150717,000000,12.1508,12.2931,11.9487,12.0479,174206.52089063,0
GNL.US,D,20150720,000000,12.2079,12.222,11.6482,11.8775,286188.79632681,0
GNL.US,D,20150721,000000,11.7483,11.9215,11.6333,11.7334,262495.61552694,0
GNL.US,D,20150722,000000,11.8064,11.8064,11.5864,11.6753,312372.22892778,0
GNL.US,D,20150723,000000,11.6753,11.8195,11.6042,11.6604,198108.02391325,0
GNL.US,D,20150724,000000,11.7905,11.8064,11.5864,11.6482,169900.12663487,0
GNL.US,D,20150727,000000,11.5864,11.8626,11.5864,11.7905,214289.8531844,0
GNL.US,D,20150728,000000,11.8775,11.8775,11.8064,11.8485,183800.02632768,0
GNL.US,D,20150729,000000,11.8064,12.251,11.8064,12.2379,153856.11052645,0
