<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPI.US,D,20050225,000000,24.8326,24.8326,24.0018,24.4232,477192.49520506,0
GPI.US,D,20050228,000000,24.4321,24.4321,24.0773,24.3059,255826.99140848,0
GPI.US,D,20050301,000000,24.3059,24.4769,24.1141,24.2185,217607.44084094,0
GPI.US,D,20050302,000000,24.0962,24.3576,24.0475,24.1837,196334.89277989,0
GPI.US,D,20050303,000000,24.2632,24.3496,23.8657,23.8924,249346.2193878,0
GPI.US,D,20050304,000000,23.9461,24.2532,23.8924,24.1837,158347.76859595,0
GPI.US,D,20050307,000000,24.1837,24.2969,24.0962,24.1837,234444.77029196,0
GPI.US,D,20050308,000000,24.1479,24.5514,24.1479,24.4232,172903.09355344,0
GPI.US,D,20050309,000000,24.2632,24.6766,24.2532,24.3943,294956.12401401,0
GPI.US,D,20050310,000000,24.3943,24.4937,24.0306,24.1738,217495.75543583,0
GPI.US,D,20050311,000000,24.0872,24.3576,23.9114,24.1141,93960.629464241,0
GPI.US,D,20050314,000000,24.1141,24.2632,23.964,24.0872,71892.197119951,0
GPI.US,D,20050315,000000,23.9561,24.1578,23.9561,24.1241,138778.67450649,0
GPI.US,D,20050316,000000,24.0773,24.0872,23.6072,23.7096,187579.15948941,0
GPI.US,D,20050317,000000,23.7703,23.9382,23.5883,23.8657,83265.997294111,0
GPI.US,D,20050318,000000,23.9114,23.9461,23.6469,23.9382,181662.85154319,0
GPI.US,D,20050321,000000,23.7354,23.8924,23.6341,23.8239,121941.34505546,0
GPI.US,D,20050322,000000,23.6907,23.8657,23.303,23.341,123987.90464095,0
GPI.US,D,20050323,000000,23.3667,23.4701,23.2007,23.2086,174495.86829474,0
GPI.US,D,20050324,000000,23.2933,23.2933,23.0785,23.0955,136615.39864181,0
GPI.US,D,20050328,000000,23.0955,23.322,23.0059,23.1222,132295.89013618,0
GPI.US,D,20050329,000000,23.1322,23.1919,22.5746,22.6015,164712.83051224,0
GPI.US,D,20050330,000000,22.6472,22.9414,22.5488,22.9016,170741.83003839,0
GPI.US,D,20050331,000000,22.8638,23.312,22.7704,23.1222,145599.53361659,0
GPI.US,D,20050401,000000,23.0865,23.303,22.6809,22.8042,141850.52623435,0
GPI.US,D,20050404,000000,22.8042,23.2346,22.6552,23.0955,116939.65002134,0
GPI.US,D,20050405,000000,23.0517,23.2683,22.9164,23.0695,105902.91841214,0
GPI.US,D,20050406,000000,23.1142,23.2683,22.9592,23.0148,115683.94384501,0
GPI.US,D,20050407,000000,22.9691,23.1919,22.8549,22.9871,126377.56984031,0
GPI.US,D,20050408,000000,22.9871,23.0148,22.7256,22.8737,113979.48369859,0
GPI.US,D,20050411,000000,22.8737,22.8917,22.7256,22.8827,127403.86815751,0
GPI.US,D,20050412,000000,22.8827,23.1729,22.7614,23.1222,166762.40862219,0
GPI.US,D,20050413,000000,23.0785,23.1322,22.83,22.8737,134000.35028258,0
GPI.US,D,20050414,000000,22.9164,23.0148,22.838,22.8549,298147.71054554,0
GPI.US,D,20050415,000000,22.8638,22.9504,22.7256,22.8549,749968.50146966,0
GPI.US,D,20050418,000000,22.8549,23.2346,22.7704,23.1559,135363.71716474,0
GPI.US,D,20050419,000000,23.1481,23.1829,22.9504,23.0605,148106.92126999,0
GPI.US,D,20050420,000000,23.0865,23.1222,22.83,22.8638,226483.91510991,0
GPI.US,D,20050421,000000,22.9016,23.3497,22.9016,23.2246,144123.47515451,0
GPI.US,D,20050422,000000,23.1402,23.1481,22.7973,23.0338,229438.04438374,0
GPI.US,D,20050425,000000,23.0695,23.2763,22.8827,23.1142,110567.54488131,0
GPI.US,D,20050426,000000,23.0605,23.1639,22.846,22.9085,112500.40671204,0
GPI.US,D,20050427,000000,22.8549,23.1402,22.5656,22.9085,148788.10162367,0
GPI.US,D,20050428,000000,22.9164,22.9164,22.4851,22.5031,122281.43214489,0
GPI.US,D,20050429,000000,22.513,22.5488,21.7934,22.1075,198155.0630307,0
GPI.US,D,20050502,000000,22.0648,22.4941,22.0449,22.4941,116026.04328407,0
GPI.US,D,20050503,000000,22.4107,22.8131,22.1989,22.513,113753.09436391,0
GPI.US,D,20050504,000000,22.6879,23.3847,22.5746,23.3847,169150.06147191,0
GPI.US,D,20050505,000000,23.4531,23.8657,23.1919,23.6907,308267.816893,0
GPI.US,D,20050506,000000,23.814,23.9382,23.4254,23.5515,197931.69222048,0
GPI.US,D,20050509,000000,23.5515,23.8657,23.303,23.8657,96803.07333296,0
GPI.US,D,20050510,000000,23.7354,23.7354,23.1142,23.2683,87817.932183345,0
GPI.US,D,20050511,000000,23.2843,23.4104,22.7973,23.331,89408.694575007,0
GPI.US,D,20050512,000000,23.2843,23.5515,22.5299,22.7793,106588.1234651,0
GPI.US,D,20050513,000000,22.7346,22.8638,22.3828,22.7704,64499.830711639,0
GPI.US,D,20050516,000000,22.7704,23.3847,22.7526,23.3767,89181.299065509,0
GPI.US,D,20050517,000000,23.2933,23.7354,23.2933,23.6739,168243.49795837,0
GPI.US,D,20050518,000000,23.8507,23.972,23.3935,23.5795,315323.11473635,0
GPI.US,D,20050519,000000,23.6072,23.814,23.5605,23.6341,261063.12517584,0
GPI.US,D,20050520,000000,23.1222,23.7603,23.0338,23.6072,117162.01465673,0
GPI.US,D,20050523,000000,23.6162,23.9114,23.6162,23.6818,127291.17657758,0
GPI.US,D,20050524,000000,23.6469,23.7156,23.4531,23.5982,62109.159337452,0
GPI.US,D,20050525,000000,23.4701,23.4701,23.2176,23.4174,96006.182874898,0
GPI.US,D,20050526,000000,23.5515,23.814,23.5078,23.7354,101923.49699594,0
GPI.US,D,20050527,000000,23.6907,23.8417,23.6162,23.6818,80764.646689638,0
GPI.US,D,20050531,000000,23.5795,23.7255,23.4531,23.4801,116141.75338846,0
GPI.US,D,20050601,000000,23.5078,23.9193,23.4254,23.6907,141620.11220039,0
GPI.US,D,20050602,000000,23.64,23.9561,23.5795,23.814,193150.3494721,0
GPI.US,D,20050603,000000,23.7881,23.9114,23.5515,23.6739,104764.93468984,0
GPI.US,D,20050606,000000,23.6469,23.797,23.4531,23.7096,53805.198541509,0
GPI.US,D,20050607,000000,23.7703,24.2185,23.7156,23.7354,264360.36006356,0
GPI.US,D,20050608,000000,23.7792,23.9561,23.6162,23.6907,80764.646689638,0
GPI.US,D,20050609,000000,23.6996,23.8657,23.4442,23.7096,58127.725571604,0
GPI.US,D,20050610,000000,23.6649,23.9014,23.6252,23.814,54149.310330218,0
GPI.US,D,20050613,000000,23.7255,24.0306,23.6341,23.8319,69388.834165836,0
GPI.US,D,20050614,000000,23.7703,24.0555,23.6907,23.9461,81446.83321813,0
GPI.US,D,20050615,000000,23.9461,23.9461,23.3587,23.6341,141166.32735622,0
GPI.US,D,20050616,000000,23.6252,23.7354,23.3667,23.6907,145831.9600002,0
GPI.US,D,20050617,000000,23.5178,23.5605,22.9961,22.9961,195536.99614701,0
GPI.US,D,20050620,000000,22.846,23.1829,22.7793,23.1052,244115.11649454,0
GPI.US,D,20050621,000000,23.1222,23.5178,23.1222,23.4104,122281.43214489,0
GPI.US,D,20050622,000000,23.4354,23.5436,23.1919,23.2933,96689.375578211,0
GPI.US,D,20050623,000000,23.2763,23.2763,22.6114,22.6552,103513.25321278,0
GPI.US,D,20050624,000000,22.6552,22.6552,22.1542,22.4107,162099.79450266,0
GPI.US,D,20050627,000000,22.3669,22.4185,21.8918,22.0726,113070.90783542,0
GPI.US,D,20050628,000000,22.1253,22.6372,22.1253,22.5845,153110.62865376,0
GPI.US,D,20050629,000000,22.2397,22.3321,21.703,21.7477,215675.58518503,0
GPI.US,D,20050630,000000,21.8024,21.8371,21.1346,21.1346,156750.96915537,0
GPI.US,D,20050701,000000,21.1863,21.5816,21.1424,21.5816,130701.10304523,0
GPI.US,D,20050705,000000,21.5192,22.359,21.3958,22.2685,255374.21273913,0
GPI.US,D,20050706,000000,22.2496,22.5209,22.1542,22.3669,321232.37945882,0
GPI.US,D,20050707,000000,22.1542,22.8131,22.1253,22.7256,186325.46566272,0
GPI.US,D,20050708,000000,22.7614,23.4254,22.6292,23.3497,159478.70909451,0
GPI.US,D,20050711,000000,23.3497,23.5178,23.1829,23.4531,128766.22886485,0
GPI.US,D,20050712,000000,23.4104,23.6252,23.2346,23.4978,92479.540128044,0
GPI.US,D,20050713,000000,23.4978,23.5705,23.3847,23.4899,50276.543445014,0
GPI.US,D,20050714,000000,23.5515,23.6469,23.4014,23.5268,127966.31988233,0
GPI.US,D,20050715,000000,23.4442,23.9918,23.3767,23.9382,141166.32735622,0
GPI.US,D,20050718,000000,23.9014,24.0018,23.7096,23.7792,115003.76966615,0
GPI.US,D,20050719,000000,23.8507,24.0555,23.7792,23.814,168808.96820766,0
GPI.US,D,20050720,000000,23.6907,24.3059,23.5078,24.2811,131951.77834746,0
GPI.US,D,20050721,000000,24.289,24.449,23.9114,24.0714,138094.47562836,0
GPI.US,D,20050722,000000,24.131,25.0274,24.131,24.8773,115348.88762968,0
GPI.US,D,20050725,000000,26.3265,26.3265,25.6268,25.9577,253555.04866315,0
GPI.US,D,20050726,000000,25.9577,25.9577,25.257,25.4051,138892.37226124,0
GPI.US,D,20050727,000000,25.4588,25.4588,25.0632,25.1875,112050.64656714,0
GPI.US,D,20050728,000000,25.2749,25.6088,25.2402,25.6088,79169.859598693,0
GPI.US,D,20050729,000000,25.5831,25.8096,25.1965,25.5284,69728.921255262,0
GPI.US,D,20050801,000000,25.4926,26.074,25.4926,25.8186,109317.87575389,0
GPI.US,D,20050802,000000,26.5937,28.993,26.3265,28.7644,698668.67823191,0
GPI.US,D,20050803,000000,27.7775,28.0429,26.8303,27.0162,457858.84602366,0
GPI.US,D,20050804,000000,26.9456,27.4734,26.9456,27.2518,271300.95397734,0
GPI.US,D,20050805,000000,27.034,27.3392,26.8303,26.873,332725.91443666,0
GPI.US,D,20050808,000000,26.6812,27.3482,26.6812,26.8652,139117.7554211,0
GPI.US,D,20050809,000000,26.9546,27.4276,26.9546,27.034,210102.3828527,0
GPI.US,D,20050810,000000,27.1464,27.6294,26.8492,27.0698,181549.15378845,0
GPI.US,D,20050811,000000,27.0251,27.4823,26.88,26.9546,322488.08563517,0
GPI.US,D,20050812,000000,26.9287,27.3482,26.6724,27.1891,132406.56936646,0
GPI.US,D,20050815,000000,27.034,27.8321,26.8125,27.5966,223757.18134558,0
GPI.US,D,20050816,000000,27.5091,27.5091,26.7051,26.8989,185531.59372911,0
GPI.US,D,20050817,000000,26.8303,26.8492,26.2568,26.4616,167329.8912211,0
GPI.US,D,20050818,000000,26.3732,26.8125,26.3642,26.7518,105218.71953401,0
GPI.US,D,20050819,000000,26.6207,26.723,26.3911,26.4526,78147.585980774,0
GPI.US,D,20050822,000000,26.3821,26.8125,26.3821,26.6286,127291.17657758,0
GPI.US,D,20050823,000000,27.2518,27.5191,26.9983,27.3392,131951.77834746,0
GPI.US,D,20050824,000000,27.3233,27.3233,26.8899,27.06,99534.837971393,0
GPI.US,D,20050825,000000,26.8989,27.034,26.5759,26.6207,65177.992540848,0
GPI.US,D,20050826,000000,26.6207,26.6207,26.1734,26.3642,64608.497592284,0
GPI.US,D,20050829,000000,26.2211,26.3732,26.084,26.3265,82242.717501372,0
GPI.US,D,20050830,000000,26.238,26.3364,25.9319,26.1018,67000.175141291,0
GPI.US,D,20050831,000000,26.1297,26.1734,25.6884,26.0213,164026.61928447,0
GPI.US,D,20050901,000000,26.0303,26.1804,25.4747,25.7937,210557.17387169,0
GPI.US,D,20050902,000000,25.8355,25.9666,25.6347,25.6615,165054.92995131,0
GPI.US,D,20050906,000000,25.592,26.1018,25.5651,25.7053,226366.19265588,0
GPI.US,D,20050907,000000,25.5363,25.5363,24.7045,25.2402,224432.32465033,0
GPI.US,D,20050908,000000,25.1238,25.1695,24.922,25.0027,122624.53775878,0
GPI.US,D,20050909,000000,25.0096,25.5114,25.0096,25.2669,172336.61712934,0
GPI.US,D,20050912,000000,25.1596,25.1695,24.9688,25.0544,100101.3143955,0
GPI.US,D,20050913,000000,24.8773,24.9857,24.5871,24.7392,206576.74628067,0
GPI.US,D,20050914,000000,24.7392,24.8773,24.5246,24.5693,166645.69234297,0
GPI.US,D,20050915,000000,24.5782,24.7214,24.4997,24.6766,138434.56271778,0
GPI.US,D,20050916,000000,24.8246,24.9043,24.5693,24.6766,487767.39257151,0
GPI.US,D,20050919,000000,24.6141,24.6865,24.1578,24.3576,71096.312836709,0
GPI.US,D,20050920,000000,24.5782,24.7144,24.3327,24.3943,231826.70340828,0
GPI.US,D,20050921,000000,24.3059,24.3059,23.5268,23.5705,141053.63577629,0
GPI.US,D,20050922,000000,23.4801,23.8924,23.0605,23.7513,170968.21937307,0
GPI.US,D,20050923,000000,23.6072,23.9918,23.4899,23.8239,44023.166933832,0
GPI.US,D,20050926,000000,24.0475,24.0475,23.6469,23.8657,170968.21937307,0
GPI.US,D,20050927,000000,23.7096,24.2811,23.6649,24.0714,102717.36892954,0
GPI.US,D,20050928,000000,24.0714,24.2006,23.6469,24.131,156067.77645205,0
GPI.US,D,20050929,000000,24.0872,24.3576,23.7255,24.2632,139457.84251053,0
GPI.US,D,20050930,000000,24.1738,24.3496,24.0018,24.2632,260037.83303347,0
GPI.US,D,20051003,000000,24.2632,24.5782,24.2632,24.4868,208621.2935165,0
GPI.US,D,20051004,000000,24.4868,24.9043,24.3496,24.6328,140025.32510944,0
GPI.US,D,20051005,000000,24.4868,24.4868,23.9561,24.1052,202821.7018495,0
GPI.US,D,20051006,000000,24.0207,24.449,23.804,24.1648,142305.31725335,0
GPI.US,D,20051007,000000,24.1578,24.449,23.9819,24.3149,297456.46844366,0
GPI.US,D,20051010,000000,24.2274,24.2443,23.9193,24.1837,101126.60653787,0
GPI.US,D,20051011,000000,24.1837,24.3943,24.0207,24.1738,216014.66609964,0
GPI.US,D,20051012,000000,24.0475,24.2274,23.7792,24.0962,178590.99981534,0
GPI.US,D,20051013,000000,24.0962,24.3854,23.8657,24.2363,173014.77895854,0
GPI.US,D,20051014,000000,24.3059,24.3059,23.2933,23.7255,294731.74702897,0
GPI.US,D,20051017,000000,23.9114,23.9114,22.7704,23.1222,622344.2810264,0
GPI.US,D,20051018,000000,22.9871,23.2416,22.8131,23.1222,195995.81186528,0
GPI.US,D,20051019,000000,22.9871,23.5883,22.7973,23.5883,103513.25321278,0
GPI.US,D,20051020,000000,23.4701,23.6072,22.7436,23.0238,113636.37808471,0
GPI.US,D,20051021,000000,23.0865,23.4442,23.0605,23.1481,142305.31725335,0
GPI.US,D,20051024,000000,23.2086,23.7513,23.2007,23.5515,140025.32510944,0
GPI.US,D,20051025,000000,23.3847,23.7156,23.2683,23.6162,90430.968192925,0
GPI.US,D,20051026,000000,23.5268,23.6907,23.0955,23.2416,141166.32735622,0
GPI.US,D,20051027,000000,23.0338,23.3767,22.7883,22.8549,72688.081403192,0
GPI.US,D,20051028,000000,22.9414,23.7354,22.8131,23.0338,182461.7543509,0
GPI.US,D,20051031,000000,23.1222,24.5246,23.1222,24.2969,261517.91619484,0
GPI.US,D,20051101,000000,24.7482,25.6615,24.2363,25.5114,406892.06665158,0
GPI.US,D,20051102,000000,25.423,25.8355,25.2143,25.8275,197133.7955876,0
GPI.US,D,20051103,000000,26.0044,26.0044,25.4588,25.6973,216471.46946827,0
GPI.US,D,20051104,000000,25.8096,26.1485,25.7589,26.064,143554.98638077,0
GPI.US,D,20051107,000000,26.1574,26.6007,26.1574,26.3642,226483.91510991,0
GPI.US,D,20051108,000000,26.1903,26.5053,26.064,26.2658,138551.27899699,0
GPI.US,D,20051109,000000,26.1973,26.8035,26.1804,26.5858,139006.07001599,0
GPI.US,D,20051110,000000,26.5411,26.6107,25.7142,26.4269,324306.24353632,0
GPI.US,D,20051111,000000,26.2927,26.4855,25.9766,26.1654,275622.47483261,0
GPI.US,D,20051114,000000,26.0392,26.238,26.0044,26.1297,110453.84712655,0
GPI.US,D,20051115,000000,26.1734,26.4348,25.9319,26.1574,135703.80425417,0
GPI.US,D,20051116,000000,26.238,26.4269,26.1117,26.2847,172221.91319976,0
GPI.US,D,20051117,000000,26.3732,26.88,26.3542,26.8035,164147.36026296,0
GPI.US,D,20051118,000000,26.8989,26.9794,26.6375,26.7766,155839.37476773,0
GPI.US,D,20051121,000000,26.6375,26.8214,26.6007,26.7329,217607.44084094,0
GPI.US,D,20051122,000000,26.7668,26.8899,26.559,26.723,260720.01956196,0
GPI.US,D,20051123,000000,26.8125,27.3392,26.8125,27.2338,149583.98590691,0
GPI.US,D,20051125,000000,27.2696,27.4008,27.1991,27.2785,39476.262918701,0
GPI.US,D,20051128,000000,27.1891,27.2239,26.5937,26.5937,75874.63706062,0
GPI.US,D,20051129,000000,26.4716,27.3392,26.4269,27.0768,155497.27532866,0
GPI.US,D,20051130,000000,27.034,27.2616,26.9794,27.1364,103740.64872228,0
GPI.US,D,20051201,000000,27.2518,28.4215,27.0698,27.852,302009.40950771,0
GPI.US,D,20051202,000000,27.7775,28.9572,27.7676,28.3628,569105.55890899,0
GPI.US,D,20051205,000000,28.1393,28.2019,27.6026,28.1124,295981.41615639,0
GPI.US,D,20051206,000000,27.9117,28.7385,27.9117,28.0429,133548.57778805,0
GPI.US,D,20051207,000000,28.1582,28.2973,27.8321,28.1045,91344.574930198,0
GPI.US,D,20051208,000000,28.1045,28.1213,27.7189,27.8699,87023.054074924,0
GPI.US,D,20051209,000000,27.8699,28.1313,27.7417,28.0866,128766.22886485,0
GPI.US,D,20051212,000000,28.0429,28.1482,27.8222,27.9494,67224.552126326,0
GPI.US,D,20051213,000000,28.0169,28.2624,27.9832,28.1313,127291.17657758,0
GPI.US,D,20051214,000000,28.1213,28.3728,27.9405,28.175,122281.43214489,0
GPI.US,D,20051215,000000,28.2107,28.3539,27.5698,28.2973,156067.77645205,0
GPI.US,D,20051216,000000,28.3728,28.5616,28.3539,28.3808,191557.5747308,0
GPI.US,D,20051219,000000,28.2446,28.3808,28.1124,28.1582,168347.13396492,0
GPI.US,D,20051220,000000,28.0866,28.4215,28.0429,28.2019,147878.51958567,0
GPI.US,D,20051221,000000,28.2874,28.5259,28.0518,28.3161,132861.36038545,0
GPI.US,D,20051222,000000,28.2874,28.3251,27.7417,27.9206,179618.30430735,0
GPI.US,D,20051223,000000,27.9653,28.2107,27.9494,28.1045,38332.242147468,0
GPI.US,D,20051227,000000,28.192,28.2187,27.6205,27.6483,68705.641462523,0
GPI.US,D,20051228,000000,27.7596,27.8699,27.3482,27.6622,62109.159337452,0
GPI.US,D,20051229,000000,27.6294,27.9405,27.365,27.7,77582.115731493,0
GPI.US,D,20051230,000000,27.4823,27.8699,27.3064,27.6294,134000.35028258,0
GPI.US,D,20060103,000000,27.8033,28.3251,27.1991,28.1482,107611.40325783,0
GPI.US,D,20060104,000000,28.2019,28.4622,28.2019,28.3341,81102.721429422,0
GPI.US,D,20060105,000000,28.4046,28.5437,28.175,28.5259,53575.79068237,0
GPI.US,D,20060106,000000,28.5527,28.5616,28.1482,28.3957,95440.712625616,0
GPI.US,D,20060109,000000,28.2187,28.8946,28.175,28.668,193150.3494721,0
GPI.US,D,20060110,000000,28.4453,28.6491,28.3957,28.6143,108066.19427683,0
GPI.US,D,20060111,000000,28.499,28.8171,28.2624,28.7465,148563.72463863,0
GPI.US,D,20060112,000000,28.6143,28.9473,28.6143,28.7137,128997.64907363,0
GPI.US,D,20060113,000000,28.659,28.8489,28.6491,28.8171,79169.859598693,0
GPI.US,D,20060117,000000,28.7047,28.7047,28.0011,28.3341,124445.7141844,0
GPI.US,D,20060118,000000,28.2624,28.4553,28.1582,28.4553,120920.07761237,0
GPI.US,D,20060119,000000,28.5169,28.8329,28.4453,28.8329,66314.970088336,0
GPI.US,D,20060120,000000,28.8856,28.8856,28.3887,28.5806,175868.29075029,0
GPI.US,D,20060123,000000,28.5706,28.8588,28.4315,28.5706,125012.1906085,0
GPI.US,D,20060124,000000,28.6491,29.4501,28.6491,29.4412,189511.01514532,0
GPI.US,D,20060125,000000,29.2295,29.802,29.2295,29.5317,165395.01704073,0
GPI.US,D,20060126,000000,30.3555,30.3645,29.486,29.8894,176429.73630029,0
GPI.US,D,20060127,000000,29.8894,30.2443,29.6758,30.1608,87924.586714348,0
GPI.US,D,20060130,000000,29.9779,30.4609,29.9779,30.1876,102833.07903393,0
GPI.US,D,20060131,000000,30.1876,30.4868,30.0654,30.3118,86567.256881108,0
GPI.US,D,20060201,000000,30.3645,30.6269,30.2253,30.5235,121941.34505546,0
GPI.US,D,20060202,000000,30.4609,30.608,29.8894,30.1776,162324.17148769,0
GPI.US,D,20060203,000000,30.1518,30.5056,30.1101,30.1966,72454.64884477,0
GPI.US,D,20060206,000000,30.1429,30.1429,29.5922,30.0305,94415.420483236,0
GPI.US,D,20060207,000000,29.9421,30.4251,29.3329,29.3796,155727.68936263,0
GPI.US,D,20060208,000000,29.2375,29.9341,29.1639,29.7195,98964.336848007,0
GPI.US,D,20060209,000000,29.8964,30.4609,29.8397,29.9948,85088.179894553,0
GPI.US,D,20060210,000000,30.0028,30.2253,29.5595,30.0654,61650.343619174,0
GPI.US,D,20060213,000000,29.9064,30.2691,29.7652,30.1022,71892.197119951,0
GPI.US,D,20060214,000000,30.2343,30.7263,30.1518,30.5643,122396.13607446,0
GPI.US,D,20060215,000000,30.4162,30.6637,30.278,30.4868,96462.986243534,0
GPI.US,D,20060216,000000,30.5235,30.7441,30.4062,30.6369,122849.92091863,0
GPI.US,D,20060217,000000,30.6905,31.7619,30.6,31.6933,177455.02844267,0
GPI.US,D,20060221,000000,31.5303,31.6287,30.6547,30.9618,117054.35395091,0
GPI.US,D,20060222,000000,31.0393,31.3832,30.77,31.0681,97373.574456345,0
GPI.US,D,20060223,000000,33.4047,35.3378,33.361,33.6244,687748.66290192,0
GPI.US,D,20060224,000000,33.4047,33.4047,32.395,33.0907,448979.35323023,0
GPI.US,D,20060227,000000,33.1751,34.2138,33.1583,33.8271,439313.03172694,0
GPI.US,D,20060228,000000,33.9354,34.1442,33.4693,33.6502,205665.15189303,0
GPI.US,D,20060301,000000,33.7605,34.646,33.7605,34.3539,457057.93086631,0
GPI.US,D,20060302,000000,34.3539,34.6093,33.688,33.7416,198498.16864458,0
GPI.US,D,20060303,000000,33.6244,34.2863,33.6164,33.6164,233875.2753434,0
GPI.US,D,20060306,000000,32.7786,34.4513,32.7786,34.1262,247295.63510304,0
GPI.US,D,20060307,000000,34.0478,34.7186,33.9951,34.1989,256056.39926762,0
GPI.US,D,20060308,000000,34.2953,34.6272,34.0308,34.0567,230347.62642173,0
GPI.US,D,20060309,000000,34.0895,34.9711,34.0021,34.6639,336367.26111308,0
GPI.US,D,20060310,000000,34.7266,35.2513,34.6372,35.1659,432147.0546533,0
GPI.US,D,20060313,000000,35.3825,36.3456,35.3825,36.0334,450800.52965585,0
GPI.US,D,20060314,000000,35.954,36.3089,35.6985,36.1498,286770.89184692,0
GPI.US,D,20060315,000000,36.3089,37.248,36.1151,36.7541,461152.05621209,0
GPI.US,D,20060316,000000,36.444,37.1317,36.444,36.8783,580594.06301272,0
GPI.US,D,20060317,000000,37.0104,37.9239,36.9647,37.7051,547036.12038989,0
GPI.US,D,20060320,000000,37.7848,39.5576,37.7578,39.1194,656004.85348097,0
GPI.US,D,20060321,000000,39.0559,39.7457,38.9475,39.4732,607325.10947653,0
GPI.US,D,20060322,000000,39.3421,40.2454,39.3421,40.149,503583.45457944,0
GPI.US,D,20060323,000000,40.168,41.3914,40.0408,41.2216,596175.68628741,0
GPI.US,D,20060324,000000,41.4391,42.1965,41.1419,42.1696,758156.75216122,0
GPI.US,D,20060327,000000,42.1696,43.1892,41.952,43.0889,656696.09558284,0
GPI.US,D,20060328,000000,43.0324,44.1037,42.917,43.0034,1046180.33166,0
GPI.US,D,20060329,000000,43.8403,43.8492,42.1696,43.7379,702649.10582294,0
