<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSK.US,D,20050225,000000,27.0145,27.2136,26.966,27.186,1390167.6334582,0
GSK.US,D,20050228,000000,27.1691,27.1989,26.7451,26.9531,2747942.5665975,0
GSK.US,D,20050301,000000,27.276,27.6389,27.2692,27.5101,2236601.8797403,0
GSK.US,D,20050302,000000,27.4534,27.6498,27.4278,27.4337,1892377.0924662,0
GSK.US,D,20050303,000000,28.2821,28.4108,28.1264,28.2255,3354999.1874145,0
GSK.US,D,20050304,000000,28.9202,29.0211,27.0097,27.3346,23951780.782469,0
GSK.US,D,20050307,000000,27.2484,27.4129,27.0957,27.2811,3446954.2542959,0
GSK.US,D,20050308,000000,27.4129,27.4981,27.1632,27.3772,2601233.4324906,0
GSK.US,D,20050309,000000,27.2543,27.2851,26.7856,26.7897,2839187.2362631,0
GSK.US,D,20050310,000000,27.3772,27.3772,27.0819,27.1632,2479393.2463716,0
GSK.US,D,20050311,000000,27.1928,27.2692,27.0957,27.0957,2226946.9357618,0
GSK.US,D,20050314,000000,26.8282,27.1146,26.8282,27.0819,2193489.6487061,0
GSK.US,D,20050315,000000,27.5675,27.5675,27.0591,27.2197,2029958.0259847,0
GSK.US,D,20050316,000000,27.2197,27.3148,26.8906,27.0233,1709885.7349611,0
GSK.US,D,20050317,000000,27.0769,27.1304,26.6618,26.7389,2952800.3364439,0
GSK.US,D,20050318,000000,26.2485,26.4377,26.1068,26.296,3619972.3034745,0
GSK.US,D,20050321,000000,26.2139,26.2743,25.972,26.2227,2225150.7609834,0
GSK.US,D,20050322,000000,26.2287,26.3475,26.0125,26.0404,2072897.7031496,0
GSK.US,D,20050323,000000,26.0444,26.18,25.8897,25.9115,3157475.4615518,0
GSK.US,D,20050324,000000,25.8729,25.9552,25.6311,25.6311,4568575.5947892,0
GSK.US,D,20050328,000000,25.9918,25.9918,25.642,25.6737,2325707.2850628,0
GSK.US,D,20050329,000000,25.5162,25.5706,25.4051,25.407,2659200.4325783,0
GSK.US,D,20050330,000000,25.6361,25.7164,25.5587,25.6925,3513514.6388864,0
GSK.US,D,20050331,000000,25.7292,25.8005,25.5776,25.6688,3077862.5372078,0
GSK.US,D,20050401,000000,25.6231,25.7529,25.2823,25.3367,2509809.1453471,0
GSK.US,D,20050404,000000,25.2317,25.3119,25.1584,25.2574,3756661.2041256,0
GSK.US,D,20050405,000000,25.8144,25.9552,25.3367,25.8214,4201440.4973054,0
GSK.US,D,20050406,000000,25.8065,25.9244,25.7361,25.8065,3826436.5397522,0
GSK.US,D,20050407,000000,25.6826,25.8214,25.5776,25.7113,3261246.9366676,0
GSK.US,D,20050408,000000,25.7441,25.8501,25.6163,25.7292,2591754.0696423,0
GSK.US,D,20050411,000000,26.2584,26.2713,26.0345,26.1295,2007951.8576862,0
GSK.US,D,20050412,000000,25.8689,26.0582,25.7529,25.9918,2599447.3485815,0
GSK.US,D,20050413,000000,25.8392,26.1533,25.7411,26.0582,2532886.9639912,0
GSK.US,D,20050414,000000,26.0722,26.6548,26.0641,26.5497,5084380.482332,0
GSK.US,D,20050415,000000,27.0888,27.1533,26.6835,26.7301,5372254.826819,0
GSK.US,D,20050418,000000,26.7897,26.8906,26.3822,26.4784,2873001.7401005,0
GSK.US,D,20050419,000000,27.0383,27.0769,26.7608,26.9223,2611785.4547713,0
GSK.US,D,20050420,000000,26.5378,26.6727,26.3415,26.3415,1481055.0863421,0
GSK.US,D,20050421,000000,26.2434,26.4784,26.0969,26.3367,2133734.5465355,0
GSK.US,D,20050422,000000,26.1017,26.2434,26.0067,26.1454,1605575.4074114,0
GSK.US,D,20050425,000000,26.1017,26.2139,26.0444,26.2079,1171350.1546864,0
GSK.US,D,20050426,000000,25.9046,26.315,25.8451,26.1454,1657819.8753817,0
GSK.US,D,20050427,000000,26.5745,26.6053,26.3259,26.4982,2069678.7157655,0
GSK.US,D,20050428,000000,28.1264,28.4257,27.8064,27.8113,7420642.8169365,0
GSK.US,D,20050429,000000,28.4386,28.4941,27.9302,28.2532,3057289.2723843,0
GSK.US,D,20050502,000000,28.1037,28.4148,28.068,28.0868,2541116.0681033,0
GSK.US,D,20050503,000000,28.4207,28.5516,28.2722,28.5348,3159266.5908956,0
GSK.US,D,20050504,000000,28.5892,28.9025,28.511,28.7269,2703397.4320883,0
GSK.US,D,20050505,000000,28.5615,28.6198,28.4148,28.4723,2718965.6256188,0
GSK.US,D,20050506,000000,28.3524,28.4336,28.2821,28.3217,1380860.8244789,0
GSK.US,D,20050509,000000,28.3275,28.4881,28.1968,28.4554,1851407.1530361,0
GSK.US,D,20050510,000000,27.9758,28.2146,27.947,28.0639,2786589.587859,0
GSK.US,D,20050511,000000,27.8865,28.0303,27.7953,27.9648,2167183.7608954,0
GSK.US,D,20050512,000000,27.8865,28.0125,27.8064,27.9163,2566879.0671326,0
GSK.US,D,20050513,000000,27.7785,27.8064,27.5219,27.6726,1226276.775781,0
