<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GVA.US,D,20050225,000000,22.5343,22.7989,22.2352,22.7909,164771.43898287,0
GVA.US,D,20050228,000000,22.7077,22.7671,21.7696,22.0608,205662.72937352,0
GVA.US,D,20050301,000000,22.1866,22.463,21.8953,22.2669,169717.68112447,0
GVA.US,D,20050302,000000,22.4541,22.4779,21.9251,22.0103,150290.05331686,0
GVA.US,D,20050303,000000,22.0103,22.1371,21.6051,21.6051,220860.81543148,0
GVA.US,D,20050304,000000,21.6388,23.0227,21.5972,22.7671,338347.18897779,0
GVA.US,D,20050307,000000,22.4709,22.7989,22.3827,22.566,211454.87986505,0
GVA.US,D,20050308,000000,22.7334,22.7671,21.3525,21.5892,399625.07248923,0
GVA.US,D,20050309,000000,21.7032,21.7696,21.1494,21.2653,221942.9320796,0
GVA.US,D,20050310,000000,21.1405,21.5041,20.6937,20.9087,224234.35445948,0
GVA.US,D,20050311,000000,20.9761,21.3793,20.7908,20.9661,150779.63034516,0
GVA.US,D,20050314,000000,21.0553,21.7596,21.0553,21.5972,245588.99782798,0
GVA.US,D,20050315,000000,21.7368,21.9023,21.298,21.512,219173.0364803,0
GVA.US,D,20050316,000000,21.5377,21.8032,21.4873,21.5803,169952.87998549,0
GVA.US,D,20050317,000000,21.6784,21.9597,21.512,21.8459,232202.85149333,0
GVA.US,D,20050318,000000,21.9677,22.0103,21.6388,21.831,397454.78256995,0
GVA.US,D,20050321,000000,21.7775,21.9925,21.6051,21.7953,115673.42438584,0
GVA.US,D,20050322,000000,21.9251,22.2124,21.6051,21.7596,168149.01575956,0
GVA.US,D,20050323,000000,21.6784,22.1282,21.6388,21.72,162000.5339464,0
GVA.US,D,20050324,000000,21.8032,22.254,21.6388,22.1282,248844.4327069,0
GVA.US,D,20050328,000000,22.154,22.3987,22.0687,22.3401,270801.71006692,0
GVA.US,D,20050329,000000,22.2966,22.3401,21.4377,21.4873,209885.20506298,0
GVA.US,D,20050330,000000,21.6388,21.8805,21.5566,21.831,142457.83030121,0
GVA.US,D,20050331,000000,21.7596,21.9251,21.5477,21.7775,287082.92221017,0
GVA.US,D,20050401,000000,21.8122,21.8953,21.3148,21.4555,228703.13281885,0
GVA.US,D,20050404,000000,21.4555,21.9677,21.3148,21.8032,149691.45707401,0
GVA.US,D,20050405,000000,21.8459,22.2034,21.6388,21.8032,109646.07503329,0
GVA.US,D,20050406,000000,21.8537,21.9597,21.6051,21.6874,96258.91926146,0
GVA.US,D,20050407,000000,21.613,21.9251,21.5972,21.8716,96378.032847727,0
GVA.US,D,20050408,000000,21.72,21.7696,21.191,21.3614,138957.10218956,0
GVA.US,D,20050411,000000,21.4467,21.5566,21.1048,21.3614,181539.1998429,0
GVA.US,D,20050412,000000,21.2584,21.7121,20.7819,21.4793,228575.94373521,0
GVA.US,D,20050413,000000,21.3228,21.3228,20.5183,20.5847,245830.25331203,0
GVA.US,D,20050414,000000,20.6501,20.6501,20.1092,20.2856,163564.15212545,0
GVA.US,D,20050415,000000,20.2856,20.3292,19.6228,19.822,255478.45379967,0
GVA.US,D,20050418,000000,19.6486,19.9537,19.4326,19.807,170685.73137219,0
GVA.US,D,20050419,000000,19.8943,20.1023,19.5832,20.1023,217242.9926079,0
GVA.US,D,20050420,000000,20.1023,20.2122,19.6079,19.6486,221102.07091553,0
GVA.US,D,20050421,000000,19.9805,20.559,19.9041,20.3133,150290.05331686,0
GVA.US,D,20050422,000000,20.1429,20.1865,19.0928,19.3504,251979.74456237,0
GVA.US,D,20050425,000000,19.9715,20.7819,19.9389,20.2281,241002.11531952,0
GVA.US,D,20050426,000000,20.245,20.7997,19.923,20.1092,254631.53601257,0
GVA.US,D,20050427,000000,19.9805,20.2598,19.5911,19.9973,229905.37249041,0
GVA.US,D,20050428,000000,19.814,19.814,18.4073,19.2988,492863.75573279,0
GVA.US,D,20050429,000000,19.291,19.4237,18.4737,18.7213,339191.07845338,0
GVA.US,D,20050502,000000,18.3627,18.8016,18.2369,18.8016,391662.63207841,0
GVA.US,D,20050503,000000,18.7392,18.862,18.4895,18.651,317114.68750707,0
GVA.US,D,20050504,000000,18.6777,18.9423,18.5777,18.9254,197577.13762776,0
GVA.US,D,20050505,000000,18.854,19.276,18.8016,19.2504,330631.05123689,0
GVA.US,D,20050506,000000,19.3593,19.4733,19.1503,19.4326,373932.87759369,0
GVA.US,D,20050509,000000,19.3593,19.814,19.1919,19.807,253309.17331756,0
