<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYI.US,D,20050225,000000,2.21664,2.25198,2.21664,2.24004,31169.617771311,0
HYI.US,D,20050228,000000,2.24004,2.25198,2.24004,2.24004,66715.270824496,0
HYI.US,D,20050301,000000,2.24791,2.26724,2.24791,2.25577,82168.112421796,0
HYI.US,D,20050302,000000,2.24791,2.26724,2.24791,2.26724,15462.343242063,0
HYI.US,D,20050303,000000,2.26724,2.26724,2.24004,2.24791,65671.145639026,0
HYI.US,D,20050304,000000,2.24402,2.25577,2.24004,2.24004,39411.766732854,0
HYI.US,D,20050307,000000,2.24004,2.25577,2.22896,2.22896,48933.470522295,0
HYI.US,D,20050308,000000,2.22451,2.23654,2.17828,2.19372,57942.085494609,0
HYI.US,D,20050309,000000,2.17828,2.23218,2.17449,2.21334,75219.242886139,0
HYI.US,D,20050310,000000,2.19372,2.20548,2.17449,2.17449,52028.895237966,0
HYI.US,D,20050311,000000,2.16644,2.18577,2.1548,2.18198,27304.559829948,0
HYI.US,D,20050314,000000,2.17828,2.17828,2.16285,2.17034,17000.553955135,0
HYI.US,D,20050315,000000,2.14334,2.16644,2.13577,2.14334,19837.32278563,0
HYI.US,D,20050316,000000,2.13577,2.13577,2.03819,2.04217,175910.28390154,0
HYI.US,D,20050317,000000,2.05374,2.07315,2.04217,2.06566,60511.752533472,0
HYI.US,D,20050318,000000,2.0774,2.0774,2.05012,2.05374,60268.932722897,0
HYI.US,D,20050321,000000,2.03819,2.05779,2.03081,2.03459,47906.237149736,0
HYI.US,D,20050322,000000,2.02664,2.03081,1.99963,2.00761,103793.85589922,0
HYI.US,D,20050323,000000,1.99575,1.99575,1.92576,1.95683,197549.75197696,0
HYI.US,D,20050324,000000,1.9413,1.9881,1.93352,1.9413,56664.642143326,0
HYI.US,D,20050328,000000,1.95683,1.99197,1.94537,1.94915,115133.54105305,0
HYI.US,D,20050329,000000,1.94537,1.97246,1.94537,1.97246,48933.470522295,0
HYI.US,D,20050330,000000,1.94537,1.98391,1.94537,1.98391,62585.222568116,0
HYI.US,D,20050331,000000,1.99575,2.01489,1.97995,1.98391,61038.565948588,0
HYI.US,D,20050401,000000,2.02315,2.05779,2.00342,2.05779,93497.240192557,0
HYI.US,D,20050404,000000,2.03081,2.09674,2.02315,2.07315,85252.979754398,0
HYI.US,D,20050405,000000,2.05012,2.0849,2.04614,2.0849,69544.649486842,0
HYI.US,D,20050406,000000,2.06167,2.10014,2.05779,2.09285,26266.76907432,0
HYI.US,D,20050407,000000,2.05374,2.0774,2.05012,2.05012,41203.354639572,0
HYI.US,D,20050408,000000,2.05012,2.07315,2.05012,2.06946,47906.237149736,0
HYI.US,D,20050411,000000,2.0774,2.09285,2.04614,2.04614,37604.342751535,0
HYI.US,D,20050412,000000,2.03459,2.05012,1.97995,1.9881,191110.8040435,0
HYI.US,D,20050413,000000,1.97246,1.99575,1.97246,1.99197,34770.741135962,0
HYI.US,D,20050414,000000,1.9881,2.00761,1.97995,1.99963,67475.402405425,0
HYI.US,D,20050415,000000,1.99575,1.99963,1.98391,1.99575,59495.076543979,0
HYI.US,D,20050418,000000,2.01489,2.01489,1.96063,1.99963,55115.874047184,0
HYI.US,D,20050419,000000,1.9881,2.02315,1.97995,2.02315,39665.143926497,0
HYI.US,D,20050420,000000,1.98391,2.01916,1.96848,2.01489,32713.10717592,0
HYI.US,D,20050421,000000,1.9881,2.01916,1.9881,2.00761,30898.293026452,0
HYI.US,D,20050422,000000,2.04614,2.06946,2.01489,2.01916,70314.282712533,0
HYI.US,D,20050425,000000,2.02315,2.04614,1.99575,1.99963,56407.041996456,0
HYI.US,D,20050426,000000,1.99963,2.02315,1.9881,2.02315,26526.480697804,0
HYI.US,D,20050427,000000,1.99963,2.01916,1.99575,2.01916,24731.725576167,0
HYI.US,D,20050428,000000,2.0112,2.02315,1.99575,2.00761,18032.010280924,0
HYI.US,D,20050429,000000,2.04614,2.04614,1.99575,1.99575,61565.379363704,0
HYI.US,D,20050502,000000,1.99197,2.03819,1.98391,2.01489,48161.725819991,0
HYI.US,D,20050503,000000,2.01489,2.03459,2.01489,2.01489,12366.918526388,0
HYI.US,D,20050504,000000,1.99197,2.02664,1.9881,2.02315,86269.655743893,0
HYI.US,D,20050505,000000,2.02664,2.05779,2.00761,2.0112,67989.546960859,0
HYI.US,D,20050506,000000,2.00342,2.01916,2.00342,2.0112,31169.617771311,0
HYI.US,D,20050509,000000,2.00342,2.00761,1.9881,2.00342,55633.185817538,0
HYI.US,D,20050510,000000,1.99963,2.00761,1.9881,2.00761,33741.396286787,0
HYI.US,D,20050511,000000,2.02315,2.02664,1.99575,2.01489,74179.340653896,0
HYI.US,D,20050512,000000,2.00761,2.0112,1.99575,2.0112,18032.010280924,0
HYI.US,D,20050513,000000,2.05012,2.05374,2.01916,2.01916,110743.78117318,0
HYI.US,D,20050516,000000,2.03459,2.03459,2.00342,2.01916,48424.604658396,0
HYI.US,D,20050517,000000,2.00761,2.04217,2.00342,2.02664,43527.034652938,0
HYI.US,D,20050518,000000,2.01916,2.05779,2.01916,2.03081,20604.844534706,0
HYI.US,D,20050519,000000,2.03819,2.05374,2.02315,2.05374,13133.38453716,0
HYI.US,D,20050520,000000,2.04217,2.06566,2.04217,2.04614,16230.920729444,0
HYI.US,D,20050523,000000,2.03819,2.03819,2.03081,2.03819,24208.079375972,0
HYI.US,D,20050524,000000,2.03459,2.05012,2.02664,2.05012,35022.00685299,0
HYI.US,D,20050525,000000,2.05374,2.06566,2.04614,2.05779,36569.719210826,0
HYI.US,D,20050526,000000,2.05012,2.06946,2.04614,2.04614,38118.487306969,0
HYI.US,D,20050527,000000,2.05012,2.06946,2.05012,2.06946,13133.38453716,0
HYI.US,D,20050531,000000,2.06566,2.0774,2.04614,2.0774,41462.010524749,0
HYI.US,D,20050601,000000,2.06167,2.12004,2.06167,2.09285,49185.791977632,0
HYI.US,D,20050602,000000,2.11605,2.1241,2.08101,2.11605,54855.106685393,0
HYI.US,D,20050603,000000,2.12732,2.12732,2.09674,2.09674,35285.941429701,0
HYI.US,D,20050606,000000,2.08897,2.10866,2.08897,2.10866,26526.480697804,0
HYI.US,D,20050607,000000,2.11605,2.1241,2.10014,2.11605,37084.919504568,0
HYI.US,D,20050608,000000,2.11605,2.13169,2.08897,2.12004,74955.308309425,0
HYI.US,D,20050609,000000,2.11605,2.14334,2.09285,2.13577,62585.222568116,0
HYI.US,D,20050610,000000,2.13937,2.14334,2.12004,2.12732,41728.056578074,0
HYI.US,D,20050613,000000,2.08101,2.13577,2.08101,2.09674,51240.258722753,0
HYI.US,D,20050614,000000,2.08897,2.1548,2.08897,2.13937,115133.54105305,0
HYI.US,D,20050615,000000,2.11605,2.18198,2.10866,2.14334,48669.535945585,0
HYI.US,D,20050616,000000,2.11605,2.18577,2.10866,2.18577,92200.793551749,0
HYI.US,D,20050617,000000,2.16644,2.20926,2.13937,2.15869,28321.235819442,0
HYI.US,D,20050620,000000,2.1548,2.18577,2.13169,2.15869,28071.025840719,0
HYI.US,D,20050621,000000,2.13577,2.19372,2.13577,2.17449,21129.546473208,0
HYI.US,D,20050622,000000,2.15869,2.20548,2.1241,2.1241,69794.859465565,0
HYI.US,D,20050623,000000,2.1241,2.12732,2.11605,2.11605,37865.110113327,0
HYI.US,D,20050624,000000,2.11605,2.1241,2.10014,2.10449,53561.827259506,0
HYI.US,D,20050627,000000,2.13577,2.13577,2.10449,2.13577,96324.507378289,0
HYI.US,D,20050628,000000,2.13577,2.13937,2.13577,2.13577,5410.6588225839,0
HYI.US,D,20050629,000000,2.11161,2.13169,2.11161,2.13169,10043.238513023,0
HYI.US,D,20050630,000000,2.12732,2.12732,2.11161,2.12004,36315.286278877,0
HYI.US,D,20050701,000000,2.11161,2.1548,2.10866,2.1548,55890.785964407,0
HYI.US,D,20050705,000000,2.1548,2.15869,2.1241,2.15869,43790.96922965,0
HYI.US,D,20050706,000000,2.13577,2.15129,2.11161,2.13937,8498.6933701074,0
HYI.US,D,20050707,000000,2.1548,2.1548,2.13577,2.15129,29117.262502802,0
HYI.US,D,20050708,000000,2.1548,2.15869,2.13577,2.1548,62324.455206326,0
HYI.US,D,20050711,000000,2.14334,2.15869,2.13937,2.14334,20335.631266461,0
HYI.US,D,20050712,000000,2.14334,2.15869,2.14334,2.15869,30130.771277374,0
HYI.US,D,20050713,000000,2.14334,2.17449,2.14334,2.17449,12876.840128597,0
HYI.US,D,20050714,000000,2.1548,2.22451,2.15129,2.22451,41978.266556796,0
HYI.US,D,20050715,000000,2.19789,2.22896,2.17449,2.19372,38369.753023998,0
HYI.US,D,20050718,000000,2.21334,2.23218,2.19372,2.23218,12112.48559444,0
HYI.US,D,20050719,000000,2.21664,2.23218,2.21664,2.23218,12876.840128597,0
HYI.US,D,20050720,000000,2.22451,2.22451,2.20548,2.22092,32187.349499109,0
HYI.US,D,20050721,000000,2.21664,2.22092,2.19789,2.21334,19837.32278563,0
HYI.US,D,20050722,000000,2.22092,2.22451,2.2015,2.2015,7722.7257145759,0
HYI.US,D,20050725,000000,2.19789,2.20926,2.17449,2.17449,56928.576720036,0
HYI.US,D,20050726,000000,2.21334,2.22092,2.18577,2.18577,99676.476502524,0
HYI.US,D,20050727,000000,2.16644,2.20548,2.16285,2.20548,43790.96922965,0
HYI.US,D,20050728,000000,2.19372,2.21334,2.19372,2.2015,16483.242184781,0
HYI.US,D,20050729,000000,2.22896,2.22896,2.16285,2.2015,32187.349499109,0
HYI.US,D,20050801,000000,2.19789,2.19789,2.17449,2.18577,29863.669485743,0
HYI.US,D,20050802,000000,2.18577,2.2015,2.18577,2.2015,19311.56510882,0
