<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IAUG.US,D,20240805,000000,23.785,24.12,23.785,23.9871,153295,0
IAUG.US,D,20240806,000000,23.76,24.13,23.76,24.0322,14349,0
IAUG.US,D,20240807,000000,24.36,24.39,24.0801,24.14,57262,0
IAUG.US,D,20240808,000000,24.22,24.34,24.22,24.3351,17299,0
IAUG.US,D,20240809,000000,24.32,24.41,24.29,24.41,31323,0
IAUG.US,D,20240812,000000,24.31,24.43,24.31,24.3749,9597,0
IAUG.US,D,20240813,000000,24.54,24.6693,24.54,24.659,17270,0
IAUG.US,D,20240814,000000,24.6618,24.72,24.6301,24.6751,8996,0
IAUG.US,D,20240815,000000,24.84,25.06,24.84,24.89,14988,0
IAUG.US,D,20240816,000000,24.885,24.98,24.885,24.9351,21135,0
IAUG.US,D,20240819,000000,25.07,25.2599,25.07,25.1401,29123,0
IAUG.US,D,20240820,000000,25.12,25.195,25.09,25.1093,6752,0
IAUG.US,D,20240821,000000,25.22,25.27,25.11,25.24,20447,0
IAUG.US,D,20240822,000000,25.22,25.28,25.11,25.1234,17891,0
IAUG.US,D,20240823,000000,25.2882,25.44,25.27,25.4101,15976,0
IAUG.US,D,20240826,000000,25.45,25.45,25.31,25.3415,4632,0
IAUG.US,D,20240827,000000,25.3875,25.47,25.3875,25.4099,4588,0
IAUG.US,D,20240828,000000,25.45,25.45,25.295,25.35,14544,0
IAUG.US,D,20240829,000000,25.43,25.51,25.41,25.41,6074,0
IAUG.US,D,20240830,000000,25.392,25.45,25.36,25.45,13252,0
IAUG.US,D,20240903,000000,25.4,25.4,25.1826,25.1826,3031,0
IAUG.US,D,20240904,000000,25.12,25.2,25.08,25.13,8166,0
IAUG.US,D,20240905,000000,25.1062,25.19,25.1062,25.1217,10566,0
IAUG.US,D,20240906,000000,25.06,25.06,24.8626,24.8626,3315,0
IAUG.US,D,20240909,000000,25.06,25.06,24.9974,25.01,3197,0
IAUG.US,D,20240910,000000,24.99,25.01,24.8713,24.9401,45266,0
IAUG.US,D,20240911,000000,24.8511,25.04,24.8511,25.015,7120,0
IAUG.US,D,20240912,000000,25.1414,25.1414,25.1414,25.1414,90,0
IAUG.US,D,20240913,000000,25.2187,25.24,25.1954,25.1954,7343,0
IAUG.US,D,20240916,000000,25.29,25.3282,25.29,25.3282,1874,0
IAUG.US,D,20240917,000000,25.3,25.31,25.2259,25.2259,966,0
IAUG.US,D,20240918,000000,25.1973,25.1973,25.1973,25.1973,59,0
